gene_id,num_transcript,num_exon,num_uniq_exon
LOC111004493,4,11,7
LOC111004494,1,2,2
LOC111004495,1,6,6
LOC111004496,2,7,5
LOC111004497,1,5,5
LOC111004498,1,7,7
LOC111004499,1,6,6
LOC111004500,1,12,12
LOC111004501,1,2,2
LOC111004502,2,10,6
LOC111004503,1,6,6
LOC111004504,2,3,3
LOC111004505,3,8,4
LOC111004506,2,6,5
LOC111004507,2,9,7
LOC111004508,3,8,6
LOC111004509,1,1,1
LOC111004510,1,3,3
LOC111004511,1,8,8
LOC111004512,2,10,7
LOC111004513,1,7,7
LOC111004514,1,4,4
LOC111004515,3,23,10
LOC111004516,1,6,6
LOC111004517,2,8,5
LOC111004531,5,31,13
LOC111004537,1,8,8
LOC111004538,1,2,2
LOC111004539,1,2,2
LOC111004540,1,1,1
LOC111004541,1,7,7
LOC111004542,1,6,6
LOC111004543,1,5,5
LOC111004544,1,3,3
LOC111004545,1,3,3
LOC111004546,1,7,7
LOC111004547,1,3,3
LOC111004548,2,10,7
LOC111004549,1,2,2
LOC111004550,1,2,2
LOC111004551,1,2,2
LOC111004552,2,26,15
LOC111004553,2,33,18
LOC111004554,1,5,5
LOC111004555,1,4,4
LOC111004556,1,5,5
LOC111004557,1,3,3
LOC111004558,2,20,11
LOC111004559,1,7,7
LOC111004560,1,1,1
LOC111004561,1,2,2
LOC111004562,2,6,4
LOC111004563,1,6,6
LOC111004564,1,6,6
LOC111004565,1,4,4
LOC111004566,1,13,13
LOC111004567,1,1,1
LOC111004568,1,2,2
LOC111004569,1,5,5
LOC111004570,1,4,4
LOC111004571,2,7,6
LOC111004572,4,18,8
LOC111004573,1,10,10
LOC111004574,1,2,2
LOC111004575,1,1,1
LOC111004576,1,4,4
LOC111004577,2,22,12
LOC111004578,1,23,23
LOC111004579,1,1,1
LOC111004580,1,3,3
LOC111004581,2,9,6
LOC111004582,1,3,3
LOC111004583,2,11,7
LOC111004584,1,5,5
LOC111004585,1,9,9
LOC111004586,2,5,3
LOC111004587,1,3,3
LOC111004588,5,54,19
LOC111004589,1,5,5
LOC111004590,1,1,1
LOC111004591,1,6,6
LOC111004592,1,10,10
LOC111004593,3,69,27
LOC111004594,1,6,6
LOC111004595,2,14,8
LOC111004596,1,3,3
LOC111004597,2,10,6
LOC111004598,2,21,12
LOC111004599,1,2,2
LOC111004600,1,8,8
LOC111004601,1,6,6
LOC111004602,6,43,15
LOC111004603,1,2,2
LOC111004604,1,6,6
LOC111004605,2,26,14
LOC111004606,1,5,5
LOC111004607,2,29,16
LOC111004608,2,6,4
LOC111004609,1,3,3
LOC111004610,5,12,7
LOC111004611,1,3,3
LOC111004612,2,9,7
