gene_id,num_transcript,num_exon,num_uniq_exon
AGL62,1,8,8
CisiCr001,1,1,1
CisiCr002,1,1,1
CisiCr003,1,1,1
CisiCr004,1,1,1
CisiCr005,1,1,1
CisiCr006,1,1,1
CisiCr007,1,1,1
CisiCr008,1,1,1
CisiCt001,1,1,1
CisiCt002,1,1,1
CisiCt003,1,1,1
CisiCt004,1,1,1
CisiCt005,1,1,1
CisiCt006,1,1,1
CisiCt007,1,1,1
CisiCt008,1,1,1
CisiCt009,1,1,1
CisiCt010,1,1,1
CisiCt011,1,1,1
CisiCt012,1,1,1
CisiCt013,1,1,1
CisiCt014,1,1,1
CisiCt015,1,1,1
CisiCt016,1,1,1
CisiCt017,1,1,1
CisiCt018,1,1,1
CisiCt019,1,1,1
CisiCt020,1,1,1
CisiCt021,1,1,1
CisiCt022,1,1,1
CisiCt023,1,1,1
CisiCt024,1,1,1
CisiCt025,1,1,1
CisiCt026,1,1,1
CisiCt027,1,1,1
CisiCt028,1,1,1
CisiCt029,1,1,1
CisiCt030,1,1,1
CisiCt031,1,1,1
CisiCt032,1,1,1
CisiCt033,1,1,1
CisiCt034,1,1,1
CisiCt035,1,1,1
CisiCt036,1,1,1
CisiCt037,1,1,1
CisiCt038,1,1,1
CisiCt039,1,1,1
CisiCt040,1,1,1
CisiCt041,1,1,1
CisiCt042,1,1,1
CisiCt043,1,1,1
CisiCt044,1,1,1
CisiCt045,1,1,1
LOC102577955,1,5,5
LOC102578007,1,2,2
LOC102578020,1,2,2
LOC102578057,1,2,2
LOC102606602,1,2,2
LOC102606624,1,2,2
LOC102606625,1,3,3
LOC102606640,1,2,2
LOC102606655,1,2,2
LOC102606658,2,7,6
LOC102606683,1,4,4
LOC102606688,1,1,1
LOC102606689,1,2,2
LOC102606692,1,3,3
LOC102606702,2,13,9
LOC102606712,7,58,15
LOC102606713,1,2,2
LOC102606733,2,5,4
LOC102606756,1,3,3
LOC102606759,2,6,4
LOC102606761,1,2,2
LOC102606814,1,1,1
LOC102606819,2,5,4
LOC102606820,3,10,6
LOC102606830,1,6,6
LOC102606835,3,7,5
LOC102606861,2,6,4
LOC102606897,1,2,2
LOC102606905,5,15,8
LOC102606908,1,2,2
LOC102606914,1,2,2
LOC102606920,2,5,5
LOC102606940,1,6,6
LOC102606942,1,2,2
LOC102606958,1,2,2
LOC102606979,1,3,3
LOC102606982,1,1,1
LOC102606988,1,2,2
LOC102607015,2,18,12
LOC102607032,2,4,4
LOC102607033,1,1,1
LOC102607036,1,2,2
LOC102607049,1,3,3
LOC102607062,2,6,4
LOC102607094,1,5,5
LOC102607096,2,12,7
LOC102607106,2,4,3
LOC102607132,1,4,4
LOC102607141,1,3,3
LOC102607143,1,8,8
LOC102607147,1,2,2
LOC102607160,2,5,5
LOC102607175,1,2,2
LOC102607176,1,2,2
LOC102607178,1,10,10
LOC102607184,3,11,6
LOC102607214,1,2,2
LOC102607219,1,5,5
LOC102607225,1,3,3
LOC102607228,4,24,12
LOC102607233,1,3,3
LOC102607247,1,3,3
LOC102607271,1,1,1
LOC102607279,1,3,3
LOC102607306,2,12,8
LOC102607314,3,7,5
LOC102607344,2,12,7
LOC102607351,1,2,2
LOC102607354,1,3,3
LOC102607394,10,32,13
LOC102607397,1,2,2
LOC102607413,1,3,3
LOC102607432,1,3,3
LOC102607435,1,2,2
LOC102607436,1,5,5
LOC102607446,1,2,2
LOC102607451,4,16,7
LOC102607452,4,12,7
LOC102607454,1,4,4
LOC102607476,1,3,3
LOC102607480,5,11,8
LOC102607486,3,12,8
LOC102607500,1,2,2
LOC102607513,1,2,2
LOC102607517,2,5,4
LOC102607529,1,2,2
LOC102607531,1,3,3
LOC102607537,1,2,2
LOC102607550,1,3,3
LOC102607555,1,1,1
LOC102607572,1,1,1
LOC102607579,1,1,1
LOC102607583,1,2,2
LOC102607599,1,9,9
LOC102607602,4,10,8
LOC102607607,1,4,4
LOC102607610,7,25,11
LOC102607619,2,6,6
LOC102607622,1,1,1
LOC102607645,4,22,9
LOC102607647,3,15,7
LOC102607696,1,4,4
LOC102607701,1,2,2
LOC102607709,1,3,3
LOC102607720,2,5,4
LOC102607722,1,3,3
LOC102607725,1,3,3
LOC102607726,1,2,2
LOC102607731,1,2,2
LOC102607735,1,3,3
LOC102607756,1,2,2
LOC102607763,1,2,2
LOC102607774,1,2,2
LOC102607775,1,2,2
LOC102607788,1,10,10
LOC102607791,1,3,3
LOC102607793,1,3,3
LOC102607801,1,3,3
LOC102607808,1,2,2
LOC102607817,1,2,2
LOC102607830,1,2,2
LOC102607831,3,7,5
LOC102607833,1,2,2
LOC102607868,1,6,6
LOC102607896,1,11,11
LOC102607909,1,1,1
LOC102607910,1,3,3
LOC102607913,1,8,8
LOC102607916,1,3,3
LOC102607921,1,2,2
LOC102607926,1,4,4
LOC102607929,3,15,10
LOC102607935,1,1,1
LOC102607942,2,9,6
LOC102607947,2,8,5
LOC102607955,16,85,14
LOC102607956,4,18,9
LOC102607958,1,5,5
LOC102607959,1,2,2
LOC102607974,1,3,3
LOC102607980,2,6,4
LOC102607986,1,1,1
LOC102607991,1,6,6
LOC102607993,1,4,4
LOC102608005,6,43,16
LOC102608012,4,28,10
LOC102608019,1,3,3
LOC102608021,1,4,4
LOC102608024,1,1,1
LOC102608029,1,2,2
LOC102608046,3,11,6
LOC102608070,1,2,2
LOC102608086,1,3,3
LOC102608088,3,8,5
LOC102608091,1,4,4
LOC102608094,1,2,2
LOC102608106,1,3,3
LOC102608112,1,5,5
LOC102608114,1,4,4
LOC102608127,1,5,5
LOC102608143,1,1,1
LOC102608154,1,2,2
LOC102608167,1,4,4
LOC102608189,2,8,6
LOC102608193,1,2,2
LOC102608200,1,4,4
LOC102608209,1,2,2
LOC102608218,1,2,2
LOC102608239,1,2,2
LOC102608241,1,1,1
LOC102608242,1,3,3
LOC102608251,1,2,2
LOC102608282,1,2,2
LOC102608286,1,1,1
LOC102608292,2,7,5
LOC102608297,1,2,2
LOC102608300,1,2,2
LOC102608316,1,1,1
LOC102608333,4,16,7
LOC102608339,1,2,2
LOC102608353,1,2,2
LOC102608356,1,2,2
LOC102608357,1,3,3
LOC102608363,1,2,2
LOC102608384,3,6,3
LOC102608390,2,4,4
LOC102608394,3,19,12
LOC102608397,2,6,5
LOC102608411,1,1,1
LOC102608418,1,2,2
LOC102608419,1,2,2
LOC102608420,1,3,3
LOC102608428,1,5,5
LOC102608439,3,36,16
LOC102608442,1,3,3
LOC102608443,3,12,8
LOC102608451,1,2,2
LOC102608459,1,5,5
LOC102608461,23,155,36
LOC102608465,1,2,2
LOC102608476,1,1,1
LOC102608480,1,2,2
LOC102608494,1,2,2
LOC102608501,1,2,2
LOC102608503,8,83,19
LOC102608535,7,42,14
LOC102608547,1,4,4
LOC102608577,2,6,5
LOC102608590,7,33,9
LOC102608603,1,3,3
LOC102608605,1,5,5
LOC102608608,2,6,5
LOC102608616,1,2,2
LOC102608631,1,3,3
LOC102608649,3,14,8
LOC102608655,1,4,4
LOC102608657,1,2,2
LOC102608661,1,6,6
LOC102608670,1,2,2
LOC102608675,2,6,6
LOC102608699,20,272,33
LOC102608715,1,2,2
LOC102608739,1,2,2
LOC102608779,1,3,3
LOC102608785,1,3,3
LOC102608789,1,2,2
LOC102608796,2,6,5
LOC102608797,1,2,2
LOC102608804,2,6,4
LOC102608805,1,1,1
LOC102608806,1,2,2
LOC102608824,2,7,5
LOC102608829,1,2,2
LOC102608835,1,2,2
LOC102608843,1,5,5
LOC102608857,2,6,4
LOC102608860,10,36,18
LOC102608870,2,5,4
LOC102608871,1,4,4
LOC102608897,1,5,5
LOC102608901,1,2,2
LOC102608905,1,2,2
LOC102608910,4,25,12
LOC102608919,1,6,6
LOC102608935,1,4,4
LOC102608943,1,1,1
LOC102608986,1,2,2
LOC102608991,2,10,6
LOC102608995,1,1,1
LOC102608998,1,3,3
LOC102609017,1,2,2
LOC102609028,2,5,4
LOC102609061,1,3,3
LOC102609074,1,2,2
LOC102609093,1,5,5
LOC102609094,2,7,5
LOC102609106,2,8,6
LOC102609111,1,5,5
LOC102609126,1,3,3
LOC102609135,1,3,3
LOC102609149,1,5,5
LOC102609157,1,2,2
LOC102609160,7,38,17
LOC102609167,1,5,5
LOC102609176,1,3,3
LOC102609179,1,3,3
LOC102609183,2,10,6
LOC102609185,1,2,2
LOC102609188,1,2,2
LOC102609209,1,4,4
LOC102609213,1,3,3
LOC102609214,4,28,12
LOC102609224,1,2,2
LOC102609225,4,19,9
LOC102609226,3,8,6
LOC102609245,1,2,2
LOC102609270,1,2,2
LOC102609276,1,1,1
LOC102609284,1,3,3
LOC102609286,1,7,7
LOC102609288,1,3,3
LOC102609296,1,7,7
LOC102609302,1,2,2
LOC102609315,1,2,2
LOC102609329,1,1,1
LOC102609371,1,2,2
LOC102609381,1,3,3
LOC102609394,1,5,5
LOC102609423,2,10,6
LOC102609427,1,2,2
LOC102609445,1,2,2
LOC102609448,1,2,2
LOC102609452,1,8,8
LOC102609456,1,7,7
LOC102609461,1,2,2
LOC102609469,1,3,3
LOC102609471,1,4,4
LOC102609474,1,3,3
LOC102609478,1,7,7
LOC102609486,3,50,19
LOC102609498,2,18,13
LOC102609509,1,1,1
LOC102609536,1,2,2
LOC102609543,1,2,2
LOC102609546,1,2,2
LOC102609559,4,19,8
LOC102609560,1,3,3
LOC102609593,1,2,2
LOC102609594,1,3,3
LOC102609597,1,4,4
LOC102609646,1,2,2
LOC102609647,1,3,3
LOC102609649,1,2,2
LOC102609652,1,2,2
LOC102609670,1,1,1
LOC102609687,1,1,1
LOC102609691,1,3,3
LOC102609744,2,5,5
LOC102609745,1,3,3
LOC102609746,1,3,3
LOC102609751,1,8,8
LOC102609761,1,3,3
LOC102609784,1,3,3
LOC102609787,1,1,1
LOC102609797,6,31,13
LOC102609808,2,8,6
LOC102609820,3,14,9
LOC102609835,1,1,1
LOC102609848,12,159,23
LOC102609851,5,19,10
LOC102609852,1,2,2
LOC102609855,1,1,1
LOC102609862,4,11,7
LOC102609864,2,5,4
LOC102609889,1,2,2
LOC102609895,1,2,2
LOC102609899,1,3,3
LOC102609904,1,4,4
LOC102609910,1,4,4
LOC102609912,2,4,3
LOC102609929,1,2,2
LOC102609943,1,2,2
LOC102609946,1,5,5
LOC102609954,1,3,3
LOC102609969,1,5,5
LOC102609970,1,2,2
LOC102609971,2,4,4
LOC102609977,10,102,31
LOC102610016,1,1,1
LOC102610019,1,11,11
LOC102610020,2,5,4
LOC102610026,2,4,3
LOC102610033,1,2,2
LOC102610039,1,9,9
LOC102610040,1,4,4
LOC102610042,2,10,7
LOC102610059,2,4,3
LOC102610063,1,2,2
LOC102610081,2,5,4
LOC102610095,2,6,4
LOC102610098,1,4,4
LOC102610099,1,2,2
LOC102610100,1,2,2
LOC102610107,2,8,5
LOC102610117,1,5,5
LOC102610122,1,3,3
LOC102610148,2,6,4
LOC102610151,1,16,16
LOC102610161,1,3,3
LOC102610162,1,2,2
LOC102610174,1,2,2
LOC102610180,1,1,1
LOC102610183,1,8,8
LOC102610238,1,2,2
LOC102610243,2,5,5
LOC102610245,1,2,2
LOC102610250,2,6,4
LOC102610262,4,19,14
LOC102610263,1,3,3
LOC102610270,1,3,3
LOC102610285,1,4,4
LOC102610298,10,70,20
LOC102610301,2,11,7
LOC102610315,4,14,9
LOC102610325,1,5,5
LOC102610371,1,3,3
LOC102610372,1,3,3
LOC102610378,1,3,3
LOC102610418,1,2,2
LOC102610427,1,2,2
LOC102610457,1,2,2
LOC102610459,1,2,2
LOC102610486,1,2,2
LOC102610510,1,6,6
LOC102610512,1,5,5
LOC102610516,1,5,5
LOC102610527,1,7,7
LOC102610541,1,3,3
LOC102610549,1,1,1
LOC102610564,1,3,3
LOC102610574,1,3,3
LOC102610584,1,2,2
LOC102610586,1,2,2
LOC102610600,1,2,2
LOC102610672,1,3,3
LOC102610677,1,3,3
LOC102610678,9,46,19
LOC102610680,1,4,4
LOC102610744,1,1,1
LOC102610760,1,3,3
LOC102610766,1,3,3
LOC102610771,1,4,4
LOC102610772,1,2,2
LOC102610773,1,2,2
LOC102610781,1,3,3
LOC102610786,6,81,20
LOC102610805,1,2,2
LOC102610812,1,2,2
LOC102610816,9,34,13
LOC102610835,1,3,3
LOC102610846,1,4,4
LOC102610871,1,4,4
LOC102610874,1,2,2
LOC102610879,2,8,6
LOC102610899,1,2,2
LOC102610924,1,3,3
LOC102610950,1,8,8
LOC102610964,6,18,6
LOC102610973,1,2,2
LOC102610976,1,3,3
LOC102610979,2,5,5
LOC102610982,1,23,23
LOC102610995,3,12,7
LOC102610996,1,2,2
LOC102611001,2,5,4
LOC102611008,2,3,3
LOC102611013,1,4,4
LOC102611045,1,1,1
LOC102611047,1,2,2
LOC102611051,1,1,1
LOC102611060,1,5,5
LOC102611064,3,8,7
LOC102611065,1,2,2
LOC102611066,1,4,4
LOC102611073,1,3,3
LOC102611094,1,1,1
LOC102611105,2,6,4
LOC102611116,1,7,7
LOC102611120,1,2,2
LOC102611154,1,3,3
LOC102611160,1,4,4
LOC102611167,1,3,3
LOC102611172,3,9,9
LOC102611181,1,3,3
LOC102611199,2,6,4
LOC102611216,1,5,5
LOC102611217,1,1,1
LOC102611227,3,7,6
LOC102611233,1,3,3
LOC102611235,1,3,3
LOC102611261,10,68,19
LOC102611265,1,2,2
LOC102611271,1,2,2
LOC102611274,7,26,14
LOC102611283,1,2,2
LOC102611286,1,2,2
LOC102611291,1,3,3
LOC102611295,1,2,2
LOC102611311,2,9,7
LOC102611321,1,6,6
LOC102611332,1,2,2
LOC102611334,10,51,12
LOC102611335,1,3,3
LOC102611336,1,3,3
LOC102611339,2,6,4
LOC102611346,1,1,1
LOC102611387,8,22,10
LOC102611389,2,10,6
LOC102611395,1,2,2
LOC102611407,4,20,10
LOC102611412,1,2,2
LOC102611467,2,9,6
LOC102611469,3,16,11
LOC102611483,3,8,5
LOC102611485,2,9,7
LOC102611489,2,6,6
LOC102611519,1,2,2
LOC102611563,1,5,5
LOC102611564,1,5,5
LOC102611575,1,3,3
LOC102611596,2,4,4
LOC102611603,2,5,4
LOC102611619,1,2,2
LOC102611643,1,4,4
LOC102611644,3,13,8
LOC102611646,1,3,3
LOC102611653,1,3,3
LOC102611654,3,9,9
LOC102611660,1,3,3
LOC102611672,2,5,5
LOC102611673,1,2,2
LOC102611676,1,1,1
LOC102611682,4,29,12
LOC102611735,1,7,7
LOC102611742,1,2,2
LOC102611743,1,2,2
LOC102611756,1,2,2
LOC102611762,1,6,6
LOC102611763,4,13,7
LOC102611765,2,10,9
LOC102611773,1,5,5
LOC102611794,1,4,4
LOC102611799,5,21,9
LOC102611802,1,3,3
LOC102611803,1,3,3
LOC102611817,2,8,6
LOC102611827,1,1,1
LOC102611836,1,2,2
LOC102611847,2,10,6
LOC102611848,1,2,2
LOC102611853,4,14,8
LOC102611859,1,1,1
LOC102611863,1,3,3
LOC102611865,1,6,6
LOC102611867,5,28,12
LOC102611878,1,4,4
LOC102611879,2,5,5
LOC102611890,5,30,12
LOC102611897,1,3,3
LOC102611903,1,5,5
LOC102611928,5,15,9
