transcript_id,num_exon
NM_000203.5,14
NM_000269.3,5
NM_000409.5,6
NM_000427.3,2
NM_000501.4,33
NM_000560.4,8
NM_000591.4,2
NM_000705.4,7
NM_000705.4_1,7
NM_001001480.3,1
NM_001001480.3_1,1
NM_001001522.2,5
NM_001001888.4,3
NM_001002760.1,9
NM_001002761.1,9
NM_001002847.4,3
NM_001002913.3,5
NM_001003693.3,6
NM_001003693.3_1,6
NM_001003693.3_2,6
NM_001003693.3_3,6
NM_001003693.3_4,6
NM_001003693.3_5,6
NM_001003693.3_6,6
NM_001003818.3,8
NM_001004063.3,2
NM_001004325.2,1
NM_001004325.2_1,1
NM_001004325.2_2,1
NM_001004454.2,5
NM_001005175.5,2
NM_001005185.2,2
NM_001005354.3,4
NM_001005356.3,11
NM_001005405.3,1
NM_001005753.3,5
NM_001005922.1,1
NM_001005922.1_1,1
NM_001005922.1_2,1
NM_001006666.2,3
NM_001007125.3,2
NM_001008220.2,4
NM_001008394.3,1
NM_001008401.4,6
NM_001008739.2,1
NM_001012416.1,1
NM_001012416.1_1,1
NM_001012503.2,1
NM_001012508.6,2
NM_001012708.2,1
NM_001012708.2_1,1
NM_001012708.2_2,1
NM_001012709.1,1
NM_001012710.2,1
NM_001013649.4,4
NM_001013698.2,2
NM_001013845.2,5
NM_001014291.4,2
NM_001014336.2,3
NM_001014450.3,2
NM_001017418.3,2
NM_001017970.3,1
NM_001018100.5,13
NM_001024209.4,2
NM_001024455.4,2
NM_001024599.5,1
NM_001024959.3,6
NM_001024960.3,6
NM_001029891.3,1
NM_001032288.3,4
NM_001032363.4,4
NM_001035005.4,3
NM_001035267.2,3
NM_001039771.3,3
NM_001040021.3,3
NM_001040033.2,9
NM_001040138.3,4
NM_001040144.3,3
NM_001040624.2,8
NM_001040625.2,7
NM_001040626.2,7
NM_001040627.2,6
NM_001040628.2,8
NM_001040629.2,7
NM_001040630.2,6
NM_001042616.3,2
NM_001042705.3,5
NM_001042706.3,4
NM_001077447.3,3
NM_001077620.3,5
NM_001081003.3,2
NM_001081004.3,2
NM_001081752.3,30
NM_001081753.3,31
NM_001081754.3,32
NM_001081755.3,32
NM_001083314.4,6
NM_001085372.3,2
NM_001097615.3,4
