transcript_id,num_exon
XM_020188507.1,3
XM_020188508.1,1
XM_020188509.1,1
XM_020188510.1,1
XM_020188511.1,1
XM_020188513.1,2
XM_020188514.1,1
XM_020188515.1,1
XM_020188516.1,1
XM_020188517.1,1
XM_020188518.1,1
XM_020188519.1,1
XM_020188521.1,1
XM_020188522.1,3
XM_020188523.1,3
XM_020188524.1,3
XM_020188525.1,2
XM_020188530.1,1
XM_020188531.1,1
XM_020188532.1,1
XM_020188533.1,1
XM_020188535.1,2
XM_020188537.1,1
XM_020188538.1,1
XM_020188539.1,3
XM_020188540.1,1
XM_020188541.1,2
XM_020188542.1,1
XM_020188543.1,1
XM_020188544.1,1
XM_020188545.1,1
XM_020188546.1,1
XM_020188547.1,1
XM_020188548.1,1
XM_020188549.1,2
XM_020188551.1,1
XM_020188552.1,2
XM_020188554.1,1
XM_020188555.1,1
XM_020188557.1,1
XM_020188558.1,1
XM_020188559.1,1
XM_020188560.1,2
XM_020188562.1,1
XM_020188563.1,2
XM_020188564.1,1
XM_020188566.1,1
XM_020188567.1,2
XM_020188568.1,1
XM_020188569.1,1
XM_020188570.1,1
XM_020188571.1,1
XM_020188573.1,1
XM_020188574.1,1
XM_020188578.1,2
XM_020188580.1,1
XM_020188585.1,1
XM_020188588.1,1
XM_020188589.1,2
XM_020188591.1,1
XM_020188592.1,1
XM_020188593.1,1
XM_020188595.1,3
XM_020188597.1,2
XM_020188598.1,2
XM_020188599.1,1
XM_020188600.1,1
XM_020188601.1,1
XM_020188603.1,1
XM_020188604.1,1
XM_020188606.1,1
XM_020188608.1,1
XM_020188609.1,2
XM_020188610.1,1
XM_020188611.1,1
XM_020188612.1,3
XM_020188614.1,1
XM_020188615.1,1
XM_020188616.1,1
XM_020188618.1,1
XM_020188621.1,1
XM_020188625.1,1
XM_020188626.1,1
XM_020188628.1,1
XM_020188629.1,1
XM_020188631.1,1
XM_020188633.1,1
XM_020188635.1,1
XM_020188651.1,1
XM_020188652.1,1
XM_020188653.1,2
XM_020188655.1,1
XM_020188657.1,4
XM_020188658.1,6
XM_020188661.1,1
XM_020188667.1,2
XM_020188668.1,1
XM_020188671.1,1
XM_020188672.1,2
XM_020188673.1,1
XM_020188683.1,4
XM_020188686.1,1
XM_020188687.1,2
XM_020188688.1,1
XM_020188692.1,1
XM_020188697.1,1
XM_020188698.1,1
XM_020188699.1,1
XM_020188700.1,1
XM_020188702.1,1
XM_020188708.1,1
XM_020188710.1,1
XM_020188713.1,1
XM_020188715.1,1
XM_020188716.1,1
XM_020188717.1,1
XM_020188720.1,1
XM_020188722.1,1
XM_020188724.1,1
XM_020188725.1,1
XM_020188726.1,1
XM_020188727.1,1
XM_020188730.1,1
XM_020188732.1,1
XM_020188733.1,2
XM_020188736.1,1
XM_020188737.1,2
XM_020188738.1,1
XM_020188739.1,1
XM_020188740.1,1
XM_020188743.1,2
XM_020188745.1,2
XM_020188748.1,1
XM_020188749.1,3
XM_020188752.1,1
XM_020188754.1,2
XM_020188755.1,1
XM_020188756.1,1
XM_020188757.1,1
XM_020188758.1,2
XM_020188759.1,1
XM_020188761.1,1
XM_020188762.1,1
XM_020188764.1,1
XM_020188767.1,1
XM_020188768.1,1
XM_020188769.1,1
XM_020188770.1,1
XM_020188771.1,2
XM_020188772.1,2
XM_020188774.1,2
XM_020188775.1,2
XM_020188776.1,1
XM_020188780.1,1
XM_020188783.1,2
XM_020188787.1,2
XM_020188789.1,1
XM_020188790.1,1
XM_020188793.1,1
XM_020188794.1,1
XM_020188796.1,1
XM_020188797.1,1
XM_020188798.1,2
XM_020188799.1,1
XM_020188800.1,1
XM_020188801.1,1
XM_020188802.1,1
XM_020188804.1,1
XM_020188805.1,2
XM_020188807.1,1
XM_020188808.1,2
XM_020188810.1,3
XM_020188812.1,1
XM_020188821.1,1
XM_020188825.1,1
XM_020188828.1,1
XM_020188833.1,1
XM_020188836.1,2
XM_020188837.1,1
XM_020188838.1,3
XM_020188839.1,1
XM_020188840.1,1
XM_020188841.1,1
XM_020188842.1,2
XM_020188843.1,2
XM_020188844.1,1
XM_020188846.1,2
XM_020188847.1,3
XM_020188849.1,2
XM_020188855.1,2
XM_020188856.1,1
XM_020188858.1,1
XM_020188859.1,1
XM_020188861.1,1
XM_020188863.1,2
XM_020188865.1,1
XM_020188867.1,2
XM_020188868.1,1
XM_020188871.1,1
XM_020188872.1,2
XM_020188874.1,2
XM_020188875.1,2
XM_020188876.1,1
XM_020188879.1,1
XM_020188880.1,2
XM_020188884.1,1
XM_020188885.1,1
XM_020188886.1,1
XM_020188887.1,1
XM_020188888.1,1
XM_020188889.1,1
XM_020188891.1,1
XM_020188893.1,1
XM_020188896.1,1
XM_020188898.1,2
XM_020188899.1,1
XM_020188902.1,1
XM_020188903.1,1
XM_020188907.1,1
XM_020188908.1,1
XM_020188909.1,2
XM_020188910.1,1
XM_020188911.1,1
XM_020188912.1,1
XM_020188913.1,1
XM_020188914.1,1
XM_020188916.1,1
XM_020188917.1,1
XM_020188918.1,2
XM_020188919.1,1
XM_020188920.1,1
XM_020188921.1,2
XM_020188922.1,1
XM_020188924.1,1
XM_020188925.1,1
XM_020188926.1,1
XM_020188929.1,1
XM_020188930.1,2
XM_020188931.1,1
XM_020188932.1,1
XM_020188934.1,1
XM_020188935.1,1
XM_020188936.1,1
XM_020188937.1,1
XM_020188938.1,1
XM_020188941.1,1
XM_020188942.1,1
XM_020188943.1,1
XM_020188945.1,2
XM_020188946.1,1
XM_020188950.1,1
XM_020188951.1,1
XM_020188952.1,1
XM_020188957.1,1
XM_020188960.1,3
XM_020188961.1,1
XM_020188962.1,1
XM_020188963.1,1
XM_020188973.1,2
XM_020188974.1,1
XM_020188976.1,1
XM_020188979.1,1
XM_020188982.1,1
XM_020188983.1,2
XM_020188985.1,1
XM_020188987.1,2
XM_020188989.1,1
XM_020188994.1,2
XM_020188995.1,5
XM_020188996.1,1
XM_020188997.1,1
XM_020188999.1,1
XM_020189000.1,1
XM_020189001.1,2
XM_020189002.1,1
XM_020189003.1,1
XM_020189004.1,1
XM_020189005.1,3
XM_020189006.1,1
XM_020189007.1,1
XM_020189008.1,1
XM_020189012.1,1
XM_020189013.1,1
XM_020189018.1,1
XM_020189019.1,1
XM_020189020.1,1
XM_020189027.1,1
XM_020189028.1,2
XM_020189029.1,1
XM_020189030.1,1
XM_020189032.1,2
XM_020189034.1,1
XM_020189039.1,2
XM_020189041.1,1
XM_020189042.1,2
XM_020189047.1,1
XM_020189048.1,1
XM_020189050.1,2
XM_020189051.1,1
XM_020189054.1,1
XM_020189055.1,1
XM_020189056.1,1
XM_020189057.1,3
XM_020189058.1,2
XM_020189063.1,2
XM_020189064.1,1
XM_020189065.1,2
XM_020189066.1,1
XM_020189067.1,1
XM_020189068.1,1
XM_020189069.1,2
XM_020189070.1,1
XM_020189075.1,1
XM_020189079.1,1
XM_020189080.1,1
XM_020189083.1,1
XM_020189084.1,3
XM_020189086.1,2
XM_020189087.1,1
XM_020189089.1,1
XM_020189090.1,1
XM_020189091.1,1
XM_020189092.1,2
XM_020189093.1,1
XM_020189094.1,2
XM_020189095.1,2
XM_020189098.1,1
XM_020189099.1,1
XM_020189100.1,1
XM_020189103.1,1
XM_020189106.1,1
XM_020189108.1,1
XM_020189110.1,1
XM_020189111.1,1
XM_020189112.1,1
XM_020189116.1,2
XM_020189118.1,1
XM_020189119.1,2
XM_020189120.1,1
XM_020189121.1,1
XM_020189125.1,2
XM_020189129.1,1
XM_020189130.1,3
XM_020189133.1,1
XM_020189134.1,1
XM_020189136.1,1
XM_020189137.1,1
XM_020189140.1,1
XM_020189142.1,1
XM_020189143.1,1
