gene_id,num_transcript,num_exon,num_uniq_exon
GH804_mgp01,1,5,5
GH804_mgp02,1,2,2
GH804_mgp03,1,1,1
GH804_mgp04,1,5,5
GH804_mgp05,1,1,1
GH804_mgp06,1,5,5
GH804_mgp07,1,1,1
GH804_mgp08,1,1,1
GH804_mgp09,1,1,1
GH804_mgp10,1,1,1
GH804_mgp11,1,1,1
GH804_mgp12,1,1,1
GH804_mgp13,1,1,1
GH804_mgp14,1,1,1
GH804_mgp15,1,1,1
GH804_mgp16,1,1,1
GH804_mgp17,1,1,1
GH804_mgp18,1,1,1
GH804_mgp19,1,1,1
GH804_mgp20,1,1,1
GH804_mgp21,1,1,1
GH804_mgp22,1,1,1
GH804_mgp23,1,1,1
GH804_mgp24,1,5,5
GH804_mgp25,1,2,2
GH804_mgp26,1,1,1
GH804_mgp27,1,1,1
GH804_mgp28,1,1,1
GH804_mgp29,1,1,1
GH804_mgp30,1,1,1
GH804_mgp31,1,1,1
GH804_mgp32,1,4,4
GH804_mgr01,1,1,1
GH804_mgr02,1,1,1
GH804_mgr03,1,1,1
GH804_mgt01,1,1,1
GH804_mgt02,1,1,1
GH804_mgt03,1,1,1
GH804_mgt04,1,1,1
GH804_mgt05,1,1,1
GH804_mgt06,1,1,1
GH804_mgt07,1,1,1
GH804_mgt08,1,1,1
GH804_mgt09,1,1,1
GH804_mgt10,1,1,1
GH804_mgt11,1,1,1
GH804_mgt12,1,1,1
GH804_mgt13,1,1,1
GH804_mgt14,1,1,1
GH804_mgt15,1,1,1
GH804_mgt16,1,1,1
GH804_mgt17,1,1,1
LOC110599617,1,1,1
LOC110599644,2,4,3
LOC110599673,1,6,6
LOC110599677,1,2,2
LOC110599749,1,7,7
LOC110599785,1,5,5
LOC110599793,1,1,1
LOC110599794,1,1,1
LOC110599795,1,1,1
LOC110599799,1,4,4
LOC110599805,1,7,7
LOC110599826,2,11,7
LOC110599845,1,3,3
LOC110599856,1,1,1
LOC110599858,1,3,3
LOC110599867,1,1,1
LOC110599881,7,23,14
LOC110599905,1,9,9
LOC110599944,1,8,8
LOC110599953,3,8,6
LOC110600024,1,2,2
LOC110600036,1,2,2
LOC110600053,4,14,6
LOC110600120,2,4,3
LOC110600147,1,1,1
LOC110600171,1,2,2
LOC110600176,1,2,2
LOC110600202,1,2,2
LOC110600203,1,2,2
LOC110600230,1,2,2
LOC110600241,1,8,8
LOC110600243,1,2,2
LOC110600254,3,13,10
LOC110600281,2,7,6
LOC110600294,1,2,2
LOC110600297,5,28,15
LOC110600325,1,2,2
LOC110600338,1,2,2
LOC110600360,1,2,2
LOC110600373,1,2,2
LOC110600398,1,3,3
LOC110600440,2,5,5
LOC110600444,1,2,2
LOC110600448,1,2,2
LOC110600453,1,2,2
LOC110600461,1,8,8
LOC110600477,1,3,3
LOC110600497,1,2,2
LOC110600502,1,5,5
LOC110600525,1,3,3
LOC110600530,1,3,3
LOC110600531,1,3,3
LOC110600538,1,5,5
LOC110600550,1,4,4
LOC110600564,1,5,5
LOC110600571,1,3,3
LOC110600578,1,1,1
LOC110600579,1,4,4
LOC110600588,1,6,6
LOC110600605,1,2,2
LOC110600614,3,16,10
LOC110600615,1,2,2
LOC110600637,1,3,3
LOC110600651,2,7,5
LOC110600698,1,3,3
LOC110600701,2,4,4
LOC110600737,1,2,2
LOC110600746,1,3,3
LOC110600752,5,19,9
LOC110600772,1,3,3
LOC110600775,1,3,3
LOC110600801,2,4,3
LOC110600810,1,2,2
LOC110600824,1,2,2
LOC110600841,1,3,3
LOC110600863,4,44,16
LOC110600943,1,2,2
LOC110600949,2,4,3
LOC110600952,1,2,2
LOC110600981,1,1,1
LOC110600982,2,8,5
LOC110600998,2,5,4
LOC110601004,1,5,5
LOC110601022,1,5,5
LOC110601023,26,153,29
LOC110601032,1,3,3
LOC110601039,1,4,4
LOC110601056,1,2,2
LOC110601065,1,1,1
LOC110601084,1,2,2
LOC110601102,1,2,2
LOC110601124,1,6,6
LOC110601125,2,7,5
LOC110601151,1,2,2
LOC110601155,1,3,3
LOC110601193,3,13,7
LOC110601208,1,2,2
LOC110601224,1,2,2
LOC110601228,2,4,3
LOC110601233,1,2,2
LOC110601238,23,161,25
LOC110601257,2,6,4
LOC110601269,1,3,3
LOC110601277,1,4,4
LOC110601301,1,1,1
LOC110601318,1,2,2
LOC110601322,1,1,1
LOC110601326,1,12,12
LOC110601330,1,2,2
LOC110601350,2,5,4
LOC110601351,1,3,3
LOC110601381,1,5,5
LOC110601411,2,8,7
LOC110601446,1,2,2
LOC110601465,2,8,5
LOC110601470,1,2,2
LOC110601476,1,10,10
LOC110601485,1,3,3
LOC110601522,1,1,1
LOC110601523,1,4,4
LOC110601544,1,1,1
LOC110601549,1,3,3
LOC110601554,1,3,3
LOC110601563,1,2,2
LOC110601568,1,3,3
LOC110601570,3,12,6
LOC110601576,1,3,3
LOC110601581,1,2,2
LOC110601591,1,1,1
LOC110601606,1,3,3
LOC110601610,1,7,7
LOC110601651,1,2,2
LOC110601689,2,8,6
LOC110601751,2,10,7
LOC110601782,1,3,3
LOC110601829,1,1,1
LOC110601897,2,7,5
LOC110601898,1,2,2
LOC110601900,8,28,14
LOC110601950,2,21,14
LOC110601985,1,1,1
LOC110601990,1,4,4
LOC110602002,1,4,4
LOC110602003,1,2,2
LOC110602009,1,1,1
LOC110602012,1,1,1
LOC110602022,1,1,1
LOC110602041,1,3,3
LOC110602053,1,2,2
LOC110602055,1,1,1
LOC110602056,1,2,2
LOC110602059,1,5,5
LOC110602062,1,3,3
LOC110602066,1,9,9
LOC110602075,1,4,4
LOC110602086,1,3,3
LOC110602087,1,4,4
LOC110602093,1,2,2
LOC110602224,2,22,14
LOC110602232,10,38,12
LOC110602240,2,7,5
LOC110602269,5,24,13
LOC110602316,1,2,2
LOC110602333,1,3,3
LOC110602342,1,1,1
LOC110602364,1,2,2
LOC110602373,1,2,2
LOC110602400,1,2,2
LOC110602406,1,2,2
LOC110602437,1,3,3
LOC110602470,1,2,2
LOC110602478,2,5,4
LOC110602496,1,2,2
LOC110602508,1,2,2
LOC110602519,1,2,2
LOC110602520,27,241,38
LOC110602526,1,1,1
LOC110602540,1,4,4
LOC110602544,1,12,12
LOC110602550,1,2,2
LOC110602559,1,4,4
LOC110602569,2,12,7
LOC110602577,1,2,2
LOC110602586,1,2,2
LOC110602595,1,2,2
LOC110602596,1,3,3
LOC110602623,1,2,2
LOC110602640,3,8,5
LOC110602657,1,2,2
LOC110602688,1,3,3
LOC110602699,1,3,3
LOC110602703,1,2,2
LOC110602728,1,2,2
LOC110602836,11,62,23
LOC110602847,1,2,2
LOC110602869,1,3,3
LOC110602876,2,6,6
LOC110602880,14,61,25
LOC110602903,2,5,4
LOC110602921,1,3,3
LOC110602932,2,5,3
LOC110602973,1,1,1
LOC110602993,1,2,2
LOC110602998,4,13,6
LOC110603015,1,6,6
LOC110603041,4,13,7
LOC110603049,1,5,5
LOC110603051,1,2,2
LOC110603053,1,3,3
LOC110603062,1,2,2
LOC110603072,1,6,6
LOC110603074,3,13,9
LOC110603099,1,19,19
LOC110603103,1,8,8
LOC110603118,17,54,15
LOC110603128,1,2,2
LOC110603131,2,18,11
LOC110603139,1,1,1
LOC110603155,1,2,2
LOC110603162,6,36,16
LOC110603209,1,1,1
LOC110603222,1,16,16
LOC110603228,1,1,1
LOC110603235,1,2,2
LOC110603247,1,3,3
LOC110603270,1,6,6
LOC110603272,1,8,8
LOC110603297,1,3,3
LOC110603300,1,2,2
LOC110603302,1,2,2
