gene_id,num_transcript,num_exon,num_uniq_exon
UREG_00153,1,1,1
UREG_00154,1,1,1
UREG_00155,1,2,2
UREG_00156,1,2,2
UREG_00157,1,3,3
UREG_00158,1,1,1
UREG_00159,1,5,5
UREG_00160,1,2,2
UREG_00161,1,2,2
UREG_00162,1,10,10
UREG_00163,1,3,3
UREG_00164,1,5,5
UREG_00165,1,2,2
UREG_00166,1,4,4
UREG_00167,1,2,2
UREG_00168,1,11,11
UREG_00169,1,2,2
UREG_00170,1,4,4
UREG_00171,1,1,1
UREG_00172,1,2,2
UREG_00173,1,4,4
UREG_00174,1,4,4
UREG_00175,1,2,2
UREG_00176,1,2,2
UREG_00177,1,6,6
UREG_00178,1,2,2
UREG_00179,1,8,8
UREG_00180,1,1,1
UREG_00181,1,3,3
UREG_00182,1,2,2
UREG_00183,1,3,3
UREG_00184,1,3,3
UREG_00185,1,2,2
UREG_00186,1,2,2
UREG_00187,1,6,6
UREG_00188,1,6,6
UREG_00189,1,5,5
UREG_00190,1,2,2
UREG_00191,1,2,2
UREG_00192,1,2,2
UREG_00193,1,2,2
UREG_00194,1,1,1
UREG_00195,1,3,3
UREG_00196,1,4,4
UREG_00197,1,2,2
UREG_00198,1,4,4
UREG_00199,1,2,2
UREG_00200,1,1,1
UREG_00201,1,2,2
UREG_00202,1,2,2
UREG_00203,1,3,3
UREG_00204,1,3,3
UREG_00205,1,1,1
UREG_00206,1,3,3
UREG_00207,1,3,3
UREG_00208,1,3,3
UREG_00209,1,12,12
UREG_00210,1,1,1
UREG_00211,1,1,1
UREG_00212,1,4,4
UREG_00213,1,3,3
UREG_00214,1,1,1
UREG_00215,1,1,1
UREG_00216,1,4,4
UREG_00217,1,4,4
UREG_00218,1,4,4
UREG_00219,1,6,6
UREG_00220,1,5,5
UREG_00221,1,5,5
UREG_00222,1,2,2
UREG_00223,1,4,4
UREG_00224,1,7,7
UREG_00225,1,1,1
UREG_00226,1,4,4
UREG_00227,1,2,2
UREG_00228,1,2,2
UREG_00229,1,5,5
UREG_00230,1,2,2
UREG_00231,1,2,2
UREG_00232,1,2,2
UREG_00233,1,2,2
UREG_00234,1,1,1
UREG_00235,1,3,3
UREG_00236,1,4,4
UREG_00237,1,1,1
UREG_00238,1,4,4
UREG_00239,1,2,2
UREG_00240,1,3,3
UREG_00241,1,4,4
UREG_00242,1,3,3
UREG_00243,1,4,4
UREG_00244,1,3,3
UREG_00245,1,2,2
UREG_00246,1,4,4
UREG_00247,1,1,1
UREG_00248,1,5,5
UREG_00249,1,2,2
UREG_00250,1,2,2
UREG_00251,1,2,2
UREG_00252,1,2,2
UREG_00253,1,2,2
UREG_00254,1,3,3
UREG_00255,1,3,3
UREG_00256,1,1,1
UREG_00257,1,7,7
UREG_00258,1,1,1
UREG_00259,1,2,2
UREG_00260,1,3,3
UREG_00261,1,3,3
UREG_00262,1,2,2
UREG_00263,1,1,1
UREG_00264,1,3,3
UREG_00265,1,2,2
UREG_00266,1,9,9
UREG_00267,1,3,3
UREG_00268,1,3,3
UREG_00269,1,3,3
UREG_00270,1,4,4
UREG_00271,1,2,2
UREG_00272,1,1,1
UREG_00273,1,2,2
UREG_00274,1,3,3
UREG_00275,1,4,4
UREG_00276,1,3,3
