transcript_id,num_exon
NM_001008975.1,26
NM_001008976.1,3
NM_001008977.1,7
NM_001008978.1,1
NM_001008979.1,16
NM_001008980.1,14
NM_001008982.1,7
NM_001008983.1,9
NM_001008984.1,9
NM_001008985.2,1
NM_001008986.1,17
NM_001008987.1,7
NM_001008988.1,1
NM_001008990.1,6
NM_001008991.1,10
NM_001008992.1,4
NM_001008993.1,3
NM_001008994.1,28
NM_001008995.3,25
NM_001008996.2,3
NM_001008997.1,11
NM_001008998.1,5
NM_001008999.1,5
NM_001009001.2,8
NM_001009002.1,20
NM_001009003.1,7
NM_001009004.1,1
NM_001009005.2,5
NM_001009006.2,9
NM_001009007.1,4
NM_001009008.2,9
NM_001009009.3,18
NM_001009010.2,14
NM_001009011.1,11
NM_001009012.1,8
NM_001009014.1,4
NM_001009015.1,17
NM_001009016.1,4
NM_001009017.1,7
NM_001009018.1,34
NM_001009019.1,42
NM_001009020.3,17
NM_001009021.1,23
NM_001009022.1,4
NM_001009023.1,8
NM_001009024.2,7
NM_001009025.1,5
NM_001009026.1,8
NM_001009027.1,14
NM_001009029.1,3
NM_001009030.1,1
NM_001009031.1,8
NM_001009032.1,5
NM_001009033.1,10
NM_001009034.1,24
NM_001009035.1,13
NM_001009036.1,1
NM_001009037.1,6
NM_001009038.1,10
NM_001009039.1,15
NM_001009040.1,8
NM_001009041.1,15
NM_001009042.1,20
NM_001009043.1,10
NM_001009044.1,8
NM_001009045.1,11
NM_001009046.1,1
NM_001009047.1,2
NM_001009048.2,6
NM_001009049.1,7
NM_001009050.2,2
NM_001009051.1,1
NM_001009052.1,8
NM_001009053.1,4
NM_001009054.1,9
NM_001009055.2,13
NM_001009056.1,8
NM_001009059.1,8
NM_001009060.1,9
NM_001009061.1,11
NM_001009062.1,6
NM_001009063.1,2
NM_001009064.1,7
NM_001009065.1,12
NM_001009066.2,4
NM_001009067.1,1
NM_001009069.1,5
NM_001009070.1,7
NM_001009071.1,11
NM_001009073.1,4
NM_001009074.1,8
NM_001009075.1,5
NM_001009076.1,2
NM_001009077.1,7
NM_001009078.1,2
NM_001009079.1,7
NM_001009080.1,3
NM_001009081.1,8
NM_001009082.1,8
NM_001009083.2,9
NM_001009084.1,2
NM_001009085.1,1
NM_001009086.1,11
NM_001009087.1,7
NM_001009088.1,1
NM_001009089.1,4
NM_001009091.2,10
NM_001009092.1,8
NM_001009093.4,2
NM_001009094.1,8
NM_001009095.1,3
NM_001009096.1,1
NM_001009097.1,14
NM_001009098.1,7
NM_001009099.1,13
NM_001009100.1,1
NM_001009101.1,6
NM_001009102.1,1
NM_001009103.2,14
NM_001009104.1,1
NM_001009105.1,1
NM_001009106.1,9
NM_001009106.1_1,3
NM_001009106.1_2,4
NM_001009107.1,1
NM_001009108.2,3
NM_001009109.1,5
NM_001009110.1,37
NM_001009111.1,1
NM_001009112.1,3
NM_001009113.1,2
NM_001009114.1,1
NM_001009115.1,1
NM_001009116.1,1
NM_001009117.2,2
NM_001009118.3,8
NM_001009119.1,1
NM_001009120.1,1
NM_001009121.1,1
NM_001009122.2,10
NM_001009123.1,1
NM_001009124.1,1
NM_001009125.1,1
NM_001009126.1,1
NM_001009127.1,5
NM_001009128.1,1
NM_001009129.1,1
NM_001009130.1,1
NM_001009131.1,1
NM_001009132.1,1
NM_001009133.1,2
NM_001009134.3,3
NM_001009135.3,3
NM_001009136.1,3
NM_001009137.1,4
NM_001009138.1,2
NM_001009139.1,1
NM_001009140.1,1
NM_001009141.1,1
NM_001009142.1,1
NM_001009143.1,1
NM_001009144.1,1
NM_001009145.1,1
NM_001009146.1,1
NM_001009147.2,9
NM_001009148.2,9
NM_001009149.1,1
NM_001009150.1,1
NM_001009151.1,2
NM_001009152.1,1
NM_001009153.1,2
NM_001009155.1,2
NM_001009156.1,1
NM_001009157.3,8
NM_001009158.3,6
NM_001009159.1,1
NM_001009160.1,1
NM_001009161.1,1
NM_001009162.1,1
NM_001009163.1,1
NM_001009165.1,8
NM_001009166.1,4
NM_001009167.1,7
NM_001009168.1,2
NM_001009169.1,18
NM_001009170.1,4
NM_001009171.1,15
NM_001009815.1,3
NM_001009816.1,3
NM_001009945.1,6
NM_001009946.1,7
NM_001011714.1,4
NM_001012430.1,15
NM_001012431.1,8
NM_001012432.1,1
NM_001012433.1,6
NM_001012435.1,3
NM_001012436.1,7
NM_001012437.1,1
NM_001012438.1,2
NM_001012439.3,8
NM_001012440.1,3
NM_001012441.1,1
NM_001012637.1,1
NM_001012639.1,2
NM_001012650.1,7
NM_001012724.1,1
NM_001013007.1,13
NM_001013008.2,1
NM_001013009.3,1
NM_001013010.2,1
NM_001013011.2,1
NM_001013014.2,1
NM_001013015.2,1
NM_001013016.2,2
NM_001013017.1,1
NM_001013018.1,18
NM_001013020.2,1
NM_001013021.2,1
NM_001013409.2,1
NM_001013410.3,1
NM_001024129.2,1
NM_001024130.2,1
NM_001024131.2,1
NM_001024132.2,1
NM_001024133.2,1
NM_001031619.1,4
NM_001031620.3,4
NM_001033034.1,3
NM_001033035.1,7
NM_001033036.1,3
NM_001033037.1,3
NM_001033038.1,3
NM_001033905.2,2
NM_001033906.1,2
NM_001033907.1,2
NM_001033911.2,7
NM_001033912.1,6
NM_001033915.1,4
NM_001033916.1,5
NM_001033928.1,7
NM_001033932.2,4
NM_001033933.1,6
NM_001033934.1,6
NM_001033935.1,6
NM_001034082.1,3
NM_001034084.1,5
NM_001034089.2,12
NM_001034091.1,10
NM_001034092.1,3
NM_001034094.1,6
NM_001034095.1,4
NM_001034096.1,8
NM_001034099.1,3
NM_001034113.1,16
NM_001034114.1,6
NM_001034118.1,3
NM_001034119.1,16
NM_001034120.1,11
NM_001034121.1,9
NM_001034122.1,16
NM_001034123.1,17
NM_001034158.1,9
NM_001034159.1,19
NM_001034161.1,26
NM_001034162.1,26
NM_001034165.1,9
NM_001034166.1,13
NM_001034169.1,31
NM_001034170.1,14
NM_001034171.1,16
NM_001034189.1,12
NM_001034190.1,14
NM_001035508.1,4
NM_001035519.1,8
NM_001035520.1,7
NM_001035522.1,9
NM_001035523.1,11
NM_001037289.1,11
NM_001037291.1,5
NM_001037296.1,8
NM_001037297.1,4
NM_001037299.1,11
NM_001037300.1,6
NM_001037301.1,6
NM_001037302.1,5
NM_001037303.1,5
NM_001037307.1,6
NM_001037308.1,5
NM_001037309.1,9
NM_001037313.1,9
NM_001037314.1,4
NM_001038012.1,11
NM_001038649.1,11
NM_001038656.1,12
NM_001038657.1,11
NM_001039963.1,16
NM_001039964.1,6
NM_001040115.1,7
NM_001040116.1,4
NM_001040447.1,1
NM_001040622.1,9
NM_001042379.1,24
NM_001042380.1,20
NM_001042381.1,12
NM_001042382.1,14
NM_001042435.1,9
NM_001042436.1,38
NM_001042622.1,8
NM_001042624.1,5
NM_001042626.1,3
NM_001042627.1,3
