gene_id,num_transcript,num_exon,num_uniq_exon
CTHT_0000010,1,1,1
CTHT_0000020,1,1,1
CTHT_0000030,1,1,1
CTHT_0000040,1,1,1
CTHT_0000050,1,1,1
CTHT_0000190,1,1,1
CTHT_0000330,1,3,3
CTHT_0000360,1,3,3
CTHT_0000370,1,1,1
CTHT_0000400,1,5,5
CTHT_0000430,1,2,2
CTHT_0000470,1,2,2
CTHT_0000750,1,1,1
CTHT_0000760,1,1,1
CTHT_0000770,1,1,1
CTHT_0000830,1,1,1
CTHT_0001090,1,2,2
CTHT_0001140,1,2,2
CTHT_0001160,1,1,1
CTHT_0001240,1,1,1
CTHT_0001290,1,2,2
CTHT_0001320,1,2,2
CTHT_0001340,1,2,2
CTHT_0001380,1,1,1
CTHT_0001450,1,4,4
CTHT_0001470,1,1,1
CTHT_0001870,1,1,1
CTHT_0001970,1,2,2
CTHT_0002030,1,1,1
CTHT_0002120,1,1,1
CTHT_0002390,1,1,1
CTHT_0002470,1,2,2
CTHT_0002790,1,3,3
CTHT_0003160,1,2,2
CTHT_0003170,1,1,1
CTHT_0003380,1,2,2
CTHT_0003410,1,2,2
CTHT_0003580,1,2,2
CTHT_0003790,1,4,4
CTHT_0003920,1,1,1
CTHT_0003930,1,3,3
CTHT_0003960,1,4,4
CTHT_0003970,1,2,2
CTHT_0004170,1,2,2
CTHT_0004200,1,2,2
CTHT_0004210,1,2,2
CTHT_0004330,1,2,2
CTHT_0004380,1,3,3
CTHT_0004410,1,2,2
CTHT_0004470,1,3,3
CTHT_0004570,1,3,3
CTHT_0004790,1,2,2
CTHT_0004850,1,1,1
CTHT_0004860,1,3,3
CTHT_0004900,1,6,6
CTHT_0005130,1,1,1
CTHT_0005160,1,5,5
CTHT_0005250,1,2,2
CTHT_0005370,1,4,4
CTHT_0005380,1,6,6
CTHT_0005480,1,5,5
CTHT_0005570,1,1,1
CTHT_0005600,1,1,1
CTHT_0005790,1,2,2
CTHT_0005840,1,2,2
CTHT_0006370,1,2,2
CTHT_0006460,1,4,4
CTHT_0006500,1,1,1
CTHT_0006680,1,1,1
CTHT_0006780,1,2,2
CTHT_0006850,1,1,1
CTHT_0007070,1,2,2
CTHT_0007380,1,1,1
CTHT_0007520,1,1,1
CTHT_0007630,1,2,2
CTHT_0007840,1,1,1
CTHT_0007850,1,1,1
CTHT_0007910,1,1,1
CTHT_0007950,1,2,2
