gene_id,num_transcript,num_exon,num_uniq_exon
44G24.1,1,1,1
A1CF,3,37,15
A2M,2,70,38
A2ML1,26,873,62
A2ML2,8,290,44
A2ML3,6,206,43
A2ML4,1,36,36
A4GALT,5,11,7
A4GNT,1,4,4
AAAS,1,18,18
AACS,1,18,18
AADAC,4,25,12
AADACL3A,1,4,4
AADACL3B,1,4,4
AADACL3C,1,4,4
AADACL4B,1,4,4
AADACL4P,1,3,3
AADAT,4,55,18
AAED1,5,25,7
AAGAB,3,32,15
AAK1,15,279,37
AAMDC,8,42,15
AAMP,2,22,13
AANAT,1,4,4
AAR2,3,9,7
AARS1,2,42,22
AARS2,5,109,27
AARSD1,2,23,13
AASDHPPT,2,13,9
AASS,4,94,27
AATF,1,12,12
AATK,9,134,25
ABAT,5,80,20
ABCA1,1,50,50
ABCA12,3,163,57
ABCA13,1,62,62
ABCA2,5,246,51
ABCA3,2,62,32
ABCA4,3,152,52
ABCA5,4,152,43
ABCA7,3,142,50
ABCA8,2,79,41
ABCA9,2,80,42
ABCB1,3,87,32
ABCB10,1,13,13
ABCB11,1,32,32
ABCB1LA,7,142,32
ABCB5,3,80,32
ABCB6,1,20,20
ABCB7,3,49,19
ABCB8,1,13,13
ABCB9,2,24,13
ABCC1,1,31,31
ABCC10,10,207,38
ABCC13,2,53,29
ABCC2,2,63,33
ABCC3,9,209,43
ABCC4,5,154,42
ABCC5,7,188,36
ABCC6,5,152,40
ABCC8,1,41,41
ABCC9,9,369,45
ABCD2,1,10,10
ABCD3,1,23,23
ABCD4,9,163,28
ABCE1,1,18,18
ABCF2,2,30,17
ABCF3,2,42,24
ABCG1,5,77,19
ABCG2,10,159,22
ABCG4,5,74,19
ABCG5,1,13,13
ABCG8,2,26,16
ABHD1,1,8,8
ABHD10,2,10,7
ABHD11,1,7,7
ABHD12,3,39,15
ABHD12B,2,26,15
ABHD13,2,5,3
ABHD14A,1,4,4
ABHD17A,1,5,5
ABHD17B,3,12,7
ABHD17C,1,3,3
ABHD18,10,119,23
ABHD2,4,44,14
ABHD3,1,10,10
ABHD4,2,13,7
ABHD6,3,31,13
ABHD8,3,16,9
ABI1,17,172,16
ABI2,20,205,17
ABI3,11,110,24
ABI3BP,50,2620,60
ABL1,2,22,12
ABL2,3,33,13
ABLIM1,29,667,48
ABLIM2,19,384,26
ABLIM3,15,323,33
ABR,4,76,26
ABRA,1,2,2
ABRACL,2,6,5
ABTB1,1,12,12
ABTB2,1,17,17
ACAA1,1,12,12
ACAA2,1,10,10
ACACA,6,336,62
ACACB,8,422,60
ACAD11,1,20,20
ACAD8,1,11,11
ACAD9,1,18,18
ACADL,2,21,13
ACADS,3,31,15
ACADSB,1,11,11
ACAN,5,91,27
ACAP2,12,294,31
ACAP3,12,288,33
ACAT1,1,12,12
ACAT2,1,9,9
ACBD3,1,8,8
ACBD4,5,45,17
ACBD5,3,40,16
ACBD6,3,22,12
ACBD7,3,12,6
ACCS,3,46,18
ACCSL,6,78,17
ACD,3,41,17
ACE,1,25,25
ACE2,2,31,19
ACER1,3,21,9
ACER2,2,13,8
ACER3,1,11,11
ACHE,1,8,8
ACKR1,1,2,2
ACKR2,1,3,3
ACKR4,1,3,3
ACLY,19,546,48
ACMSD,5,48,14
ACO1,2,42,23
ACO2,1,18,18
ACOD1,2,11,7
ACOT11,5,82,22
ACOT12,4,57,19
ACOT13,1,3,3
ACOT6,1,3,3
ACOT7,2,17,10
ACOT8,1,6,6
ACOT9,8,121,21
ACOX1,4,54,18
ACOX2,3,44,18
ACOX3,9,167,26
ACP1,2,12,9
ACP2,1,11,11
ACP5,1,4,4
ACP6,5,43,15
ACPP,2,22,13
ACR,1,5,5
ACRBP,2,20,12
ACRL,1,5,5
ACSBG1,9,122,19
ACSBG2,7,102,21
ACSF2,3,48,18
ACSF3,5,46,16
ACSL1,4,87,26
ACSL3,3,45,18
ACSL4,14,227,29
ACSL5,5,107,26
ACSL6,4,84,24
ACSM3,2,26,15
ACSM4,2,28,15
ACSM5,2,30,16
ACSS1A,2,27,15
ACSS1B,3,40,18
ACSS2,9,164,27
ACSS3,1,17,17
ACTA1,2,13,9
ACTA2,3,26,12
ACTB,1,6,6
ACTBL2,1,9,9
ACTC1,1,7,7
ACTG1,1,2,2
ACTG2,1,9,9
ACTL6A,1,14,14
ACTL7A,1,1,1
ACTL9,1,2,2
ACTN1,3,64,25
ACTN2,1,21,21
ACTN4,1,23,23
ACTR10,2,28,18
ACTR10L,3,35,15
ACTR1A,1,11,11
ACTR2,2,19,12
ACTR3,1,12,12
ACTR3B,1,12,12
ACTR5,5,52,17
ACTR6,1,11,11
ACTR8,2,27,14
ACTRT2,1,1,1
ACVR1B,2,18,10
ACVR1C,7,63,15
ACVR2A,3,35,15
ACVR2B,1,11,11
ACVRL1,1,10,10
ACY1,2,29,16
ACYP1,1,2,2
ACYP2,3,13,9
ADA,1,11,11
ADAL,2,19,12
ADAM10,1,16,16
ADAM11,1,26,26
ADAM12,8,194,32
ADAM15,4,88,26
ADAM17,1,19,19
ADAM19,1,23,23
ADAM20,2,3,3
ADAM20L,1,1,1
ADAM22,15,477,40
ADAM23,9,233,36
ADAM32,3,60,23
ADAM32L1,2,40,22
ADAM32L2,1,18,18
ADAM33,2,48,26
ADAM8,5,108,26
ADAM9,3,67,24
ADAM9L,4,89,28
ADAMDEC1,2,48,25
ADAMTS1,1,11,11
ADAMTS12,2,44,26
ADAMTS13,4,121,34
ADAMTS14,2,44,23
ADAMTS15,1,8,8
ADAMTS17,7,162,30
ADAMTS18,5,109,26
ADAMTS19,3,69,27
ADAMTS2,4,92,27
ADAMTS20,7,266,43
ADAMTS3,8,212,36
ADAMTS4,1,9,9
ADAMTS5,1,8,8
ADAMTS6,4,100,28
ADAMTS7,1,24,24
ADAMTS8,1,9,9
ADAMTS9,7,271,47
ADAMTSL1,2,59,31
ADAMTSL2,13,236,38
ADAMTSL2L,10,166,28
ADAMTSL3,9,270,42
ADAMTSL5,3,36,14
