gene_id,num_transcript,num_exon,num_uniq_exon
FKU89_mgp01,1,1,1
FKU89_mgp02,1,1,1
FKU89_mgp03,1,1,1
FKU89_mgp04,1,1,1
FKU89_mgp05,1,1,1
FKU89_mgp06,1,1,1
FKU89_mgp07,1,1,1
FKU89_mgp08,1,1,1
FKU89_mgp10,1,1,1
FKU89_mgp11,1,5,5
FKU89_mgp13,1,1,1
FKU89_mgp15,1,1,1
FKU89_mgp17,1,1,1
FKU89_mgp18,1,1,1
FKU89_mgp19,1,5,5
FKU89_mgp20,1,1,1
FKU89_mgp21,1,1,1
FKU89_mgp22,1,1,1
FKU89_mgp23,1,1,1
FKU89_mgp24,1,1,1
FKU89_mgp25,1,1,1
FKU89_mgp26,1,2,2
FKU89_mgp27,1,5,5
FKU89_mgp29,1,2,2
FKU89_mgp30,1,1,1
FKU89_mgp31,1,2,2
FKU89_mgp32,1,1,1
FKU89_mgp33,1,1,1
FKU89_mgp34,1,1,1
FKU89_mgp35,1,1,1
FKU89_mgp36,1,2,2
FKU89_mgp37,1,5,5
FKU89_mgp38,1,5,5
LOC111875839,1,7,7
LOC111875843,1,2,2
LOC111875845,1,4,4
LOC111875846,1,1,1
LOC111875849,1,5,5
LOC111875850,1,5,5
LOC111875851,1,4,4
LOC111875853,1,4,4
LOC111875855,5,20,8
LOC111875863,1,1,1
LOC111875865,1,3,3
LOC111875867,1,3,3
LOC111875869,2,36,20
LOC111875870,1,5,5
LOC111875871,6,99,25
LOC111875873,1,5,5
LOC111875877,3,24,10
LOC111875878,1,1,1
LOC111875880,2,11,8
LOC111875881,1,5,5
LOC111875882,1,12,12
LOC111875883,1,8,8
LOC111875884,1,3,3
LOC111875885,1,3,3
LOC111875886,1,17,17
LOC111875887,1,3,3
LOC111875888,1,12,12
LOC111875890,2,4,4
LOC111875891,2,6,4
LOC111875892,3,50,19
LOC111875894,1,1,1
LOC111875895,1,6,6
LOC111875896,1,1,1
LOC111875902,1,1,1
LOC111875904,1,1,1
LOC111875907,1,1,1
LOC111875909,1,1,1
LOC111875911,2,19,11
LOC111875912,1,1,1
LOC111875913,1,1,1
LOC111875915,1,1,1
LOC111875916,1,1,1
LOC111875918,1,1,1
LOC111875922,2,30,16
LOC111875923,1,1,1
LOC111875924,1,1,1
LOC111875925,1,2,2
LOC111875927,2,4,4
LOC111875928,4,120,34
LOC111875929,1,1,1
LOC111875930,1,1,1
LOC111875931,1,1,1
LOC111875932,1,21,21
LOC111875933,1,1,1
LOC111875934,1,1,1
LOC111875939,1,1,1
LOC111875940,2,6,5
LOC111875942,1,1,1
LOC111875943,1,1,1
LOC111875945,1,1,1
LOC111875946,1,1,1
LOC111875948,1,1,1
LOC111875950,1,13,13
LOC111875951,1,1,1
LOC111875952,1,29,29
LOC111875954,1,1,1
LOC111875956,1,1,1
LOC111875963,1,2,2
LOC111875965,2,5,4
LOC111875966,1,5,5
LOC111875967,1,3,3
LOC111875968,1,6,6
LOC111875969,1,3,3
LOC111875971,1,15,15
LOC111875972,1,10,10
LOC111875974,1,1,1
LOC111875976,1,7,7
LOC111875977,1,2,2
LOC111875979,1,4,4
LOC111875980,4,61,21
LOC111875981,2,12,8
LOC111875982,2,16,10
LOC111875983,1,4,4
LOC111875984,1,10,10
LOC111875985,1,2,2
LOC111875986,1,2,2
LOC111875987,1,2,2
LOC111875988,1,6,6
LOC111875989,2,12,7
LOC111875990,5,68,20
LOC111875991,1,2,2
LOC111875993,1,1,1
LOC111875994,1,1,1
LOC111875995,1,7,7
LOC111875999,1,1,1
LOC111876000,1,3,3
LOC111876001,1,1,1
LOC111876002,1,7,7
LOC111876003,1,7,7
LOC111876004,1,3,3
LOC111876011,1,5,5
LOC111876012,1,2,2
LOC111876013,1,1,1
LOC111876014,1,3,3
LOC111876015,1,15,15
LOC111876016,1,1,1
LOC111876017,1,9,9
LOC111876018,1,18,18
LOC111876019,1,9,9
LOC111876021,1,1,1
LOC111876023,1,3,3
LOC111876026,1,7,7
LOC111876030,3,17,10
LOC111876031,1,1,1
LOC111876032,1,1,1
LOC111876033,1,19,19
LOC111876034,1,3,3
LOC111876036,2,34,18
LOC111876037,4,23,9
LOC111876038,1,1,1
LOC111876039,1,3,3
LOC111876040,1,8,8
LOC111876042,1,13,13
LOC111876043,1,3,3
LOC111876048,1,6,6
LOC111876049,1,7,7
LOC111876052,3,23,12
LOC111876053,1,2,2
LOC111876054,1,5,5
LOC111876055,1,3,3
LOC111876056,1,8,8
LOC111876057,4,26,12
LOC111876059,1,7,7
LOC111876061,1,8,8
LOC111876064,1,3,3
LOC111876065,3,18,9
LOC111876066,3,28,12
LOC111876068,5,44,15
LOC111876069,1,2,2
LOC111876070,1,11,11
LOC111876071,6,76,21
LOC111876072,1,1,1
LOC111876073,1,1,1
LOC111876074,1,1,1
LOC111876075,1,5,5
LOC111876082,1,1,1
LOC111876083,2,12,7
LOC111876084,1,4,4
LOC111876086,1,5,5
LOC111876087,1,1,1
LOC111876088,1,3,3
LOC111876092,1,9,9
LOC111876093,1,1,1
LOC111876095,1,1,1
LOC111876097,1,4,4
LOC111876098,1,2,2
LOC111876099,1,2,2
LOC111876100,1,1,1
LOC111876101,1,4,4
LOC111876102,2,18,11
LOC111876103,1,9,9
LOC111876104,1,2,2
LOC111876105,1,2,2
LOC111876106,1,9,9
LOC111876107,2,12,8
LOC111876108,1,8,8
LOC111876109,1,2,2
LOC111876110,5,55,15
LOC111876111,1,2,2
LOC111876112,1,2,2
LOC111876113,1,6,6
LOC111876114,1,22,22
LOC111876115,2,51,27
LOC111876116,1,1,1
LOC111876117,1,7,7
LOC111876118,1,5,5
LOC111876119,1,3,3
LOC111876120,2,13,8
LOC111876121,1,13,13
LOC111876122,1,4,4
LOC111876123,1,6,6
LOC111876124,1,3,3
LOC111876126,1,7,7
LOC111876127,1,1,1
LOC111876128,2,5,4
LOC111876129,1,6,6
LOC111876132,1,2,2
LOC111876135,1,6,6
LOC111876136,1,9,9
LOC111876138,1,10,10
LOC111876141,1,1,1
LOC111876143,1,3,3
LOC111876144,1,2,2
LOC111876147,1,9,9
LOC111876148,1,10,10
LOC111876150,1,4,4
LOC111876151,1,3,3
LOC111876153,1,4,4
LOC111876154,1,1,1
LOC111876155,1,8,8
LOC111876156,1,7,7
LOC111876157,1,3,3
LOC111876158,1,5,5
LOC111876163,1,5,5
LOC111876165,1,3,3
LOC111876166,1,2,2
LOC111876167,1,2,2
LOC111876169,1,23,23
LOC111876170,1,2,2
LOC111876171,1,1,1
LOC111876172,1,8,8
LOC111876173,1,1,1
LOC111876174,1,1,1
LOC111876175,2,12,8
LOC111876176,1,7,7
LOC111876177,1,1,1
LOC111876178,1,3,3
LOC111876179,1,2,2
LOC111876180,3,22,10
LOC111876182,1,8,8
LOC111876183,1,8,8
LOC111876184,2,10,6
LOC111876186,1,2,2
LOC111876187,1,6,6
LOC111876188,1,9,9
LOC111876189,3,9,6
LOC111876190,1,10,10
LOC111876192,1,7,7
LOC111876193,1,5,5
LOC111876194,1,6,6
LOC111876195,1,7,7
LOC111876196,3,20,10
LOC111876197,2,13,8
LOC111876198,2,14,8
LOC111876199,1,9,9
