gene_id,num_transcript,num_exon,num_uniq_exon
,1,24,24
AIF1,1,7,7
AKAP5,1,2,2
AMZ1,2,14,8
ANO7L1,1,15,15
ARGLU1,2,8,7
BASP1,1,2,2
BPIFB6,1,16,16
CAMK2N2,1,2,2
CD24,1,2,2
CDC34,1,4,4
CDR1,1,3,3
CEND1,1,1,1
CHAC2,12,37,18
CMC4,5,15,7
COL9A2,1,4,4
COMMD5,2,4,3
CPLX1,1,2,2
CPLX2,2,9,7
CPSF4L,3,12,6
CTXN1,1,1,1
CUNH10orf95,1,2,2
CUNH12orf71,1,2,2
CUNH19orf33,1,4,4
CYSTM1,1,3,3
EID3,1,1,1
ELN,11,348,38
ENHO,1,2,2
FAHD1,1,1,1
FAM122A,1,1,1
FAM25A,1,3,3
GNG3,1,2,2
GPR34,5,14,7
HIGD1C,1,3,3
HMGA1,2,8,5
HMGN4,6,17,8
HRCT1,1,1,1
HYLS1,3,9,5
IFNK,1,1,1
KCNMB1,1,4,4
KIAA0040,7,25,11
LOC100653525,1,1,1
LOC100653618,1,1,1
LOC100653708,1,1,1
LOC100653797,1,4,4
LOC100653987,1,3,3
LOC100653988,1,1,1
LOC100654028,1,1,1
LOC100654183,1,1,1
LOC100654277,1,2,2
LOC100654468,1,1,1
LOC100654512,1,1,1
LOC100654762,1,1,1
LOC100654956,1,1,1
LOC100655188,2,27,15
LOC100655201,1,1,1
LOC100655348,5,28,17
LOC100655413,1,1,1
LOC100655419,1,1,1
LOC100655421,1,3,3
LOC100655852,1,3,3
LOC100655874,1,2,2
LOC100656097,1,1,1
LOC100656139,1,3,3
LOC100656172,1,2,2
LOC100656187,1,1,1
LOC100656426,1,3,3
LOC100656442,1,2,2
LOC100656710,1,3,3
LOC100656727,1,2,2
LOC100656842,1,4,4
LOC100656943,1,2,2
LOC100656987,1,3,3
LOC100657116,1,1,1
LOC100657300,1,3,3
LOC100657328,1,1,1
LOC100657403,2,10,6
LOC100657474,1,1,1
LOC100657642,1,1,1
LOC100657830,1,1,1
LOC100657996,1,1,1
LOC100658124,1,9,9
LOC100658182,1,1,1
LOC100658261,1,2,2
LOC100658330,1,2,2
LOC100658457,1,1,1
LOC100658462,1,2,2
LOC100658671,1,1,1
LOC100658750,1,1,1
LOC100659026,1,1,1
LOC100659054,1,4,4
LOC100659220,1,2,2
LOC100659391,1,1,1
LOC100659483,1,2,2
LOC100659587,2,3,3
LOC100659651,1,1,1
LOC100659688,1,1,1
LOC100659878,1,1,1
LOC100659920,1,1,1
LOC100659967,1,1,1
LOC100660072,1,1,1
LOC100660341,1,2,2
LOC100660348,1,1,1
LOC100660449,1,1,1
LOC100660645,1,1,1
LOC100660659,9,37,18
LOC100660683,1,1,1
LOC100660724,1,3,3
LOC100660931,1,3,3
LOC100660958,1,1,1
LOC100661065,1,1,1
LOC100661220,1,1,1
LOC100661313,1,4,4
LOC100661487,1,1,1
LOC100661554,1,1,1
LOC100661557,4,21,11
LOC100661672,1,1,1
LOC100661698,1,1,1
LOC100661889,1,6,6
LOC100662071,1,1,1
LOC100662135,1,2,2
LOC100662242,1,1,1
LOC100662358,1,1,1
LOC100662412,1,2,2
LOC100662530,1,1,1
LOC100662549,3,13,7
LOC100662561,1,1,1
LOC100662617,5,27,9
LOC100662661,1,1,1
LOC100662708,1,1,1
LOC100662943,1,1,1
LOC100662972,1,2,2
LOC100663018,5,17,7
LOC100663228,1,1,1
LOC100663279,1,2,2
LOC100663282,1,1,1
LOC100663289,1,1,1
LOC100663292,1,1,1
LOC100663373,1,1,1
LOC100663496,1,1,1
LOC100663512,1,1,1
LOC100663583,43,349,29
LOC100663594,3,17,9
LOC100663619,1,3,3
LOC100663702,1,2,2
LOC100663825,1,2,2
LOC100663863,1,1,1
LOC100663908,1,1,1
LOC100663950,1,1,1
LOC100663953,1,1,1
LOC100664269,1,3,3
LOC100664305,1,1,1
