species,commonName,group,database,taxid,link,filePrefix,num_transcript,num_gene,num_exon,num_uniqExon,min_transcriptPerGene,min_exonPerTranscript,min_exonPerGene,q1_transcriptPerGene,q1_exonPerTranscript,q1_exonPerGene,median_transcriptPerGene,median_exonPerTranscript,median_exonPerGene,q3_transcriptPerGene,q3_exonPerTranscript,q3_exonPerGene,max_transcriptPerGene,max_exonPerTranscript,max_exonPerGene,mean_transcriptPerGene,mean_exonPerTranscript,mean_exonPerGene,std_transcriptPerGene,std_exonPerTranscript,std_exonPerGene
Homo_sapiens,Human,mammal,refseq,,,GCF_000001405.39_GRCh38.p13_genomic,177497,44682,1998918,424878,1,1,1,1,4,3,2,8,5,4,15,12,177,363,367,3.972449756,11.2617002,9.575511392,6.494083308,11.03096525,11.21458911
Mus_musculus,Mouse,mammal,refseq,,,GCF_000001635.27_GRCm39_genomic,133543,40840,1520722,361144,1,1,1,1,4,2,1,8,5,3,15,11,88,349,359,3.269906954,11.38750814,8.857664055,5.034793643,11.79720101,10.85765063
Loxodonta_africana,African savanna elephant,mammal,refseq,,,GCF_000001905.1_Loxafr3.0_genomic,47518,25224,496310,232806,1,1,1,1,4,2,1,8,6,2,14,13,50,318,318,1.883840787,10.4446736,9.229979385,2.175174064,9.92412451,10.34279617
Danio_rerio,zebra fish,actinopterygii,refseq,,,GCF_000002035.6_GRCz11_genomic,75520,47046,794067,387264,1,1,1,1,3,2,1,7,5,2,14,11,50,317,318,1.605237427,10.51465837,8.238341198,1.761978843,12.48754873,10.00218116
Strongylocentrotus_purpuratus,purple sea urchin,echinoderm,refseq,,,GCF_000002235.5_Spur_5.0_genomic,45216,32946,441491,261048,1,1,1,1,3,3,1,6,5,1,12,10,50,246,246,1.372427609,9.764043701,7.924361076,1.247055275,11.77167648,9.161394165
Canis_lupus_familiaris,dog,mammal,refseq,,,GCF_000002285.3_CanFam3.1_genomic,83609,31838,913515,301961,1,1,1,1,4,3,1,8,6,3,14,13,50,316,316,2.626075759,10.92603667,9.486462718,3.276619055,10.60513037,10.26598802
Monodelphis_domestica,gray short-tailed opossum,mammal,refseq,,,GCF_000002295.2_MonDom5_genomic,69896,33748,667102,281736,1,1,1,1,3,3,1,6,5,2,13,11,50,167,171,2.071115325,9.544208538,8.34858362,2.171256447,10.15930721,9.34742648
Sus_scrofa,pig,mammal,refseq,,,GCF_000003025.6_Sscrofa11.1_genomic,78738,27340,966733,289236,1,1,1,1,5,3,1,9,7,3,16,15,51,321,321,2.879956108,12.27784551,10.59323336,4.132857157,11.2604034,11.3220101
Oryctolagus_cuniculus,rabbit,mammal,refseq,,,GCF_000003625.3_OryCun2.0_genomic,44396,24149,476553,227419,1,1,1,1,4,3,1,8,6,2,14,13,39,327,327,1.83841981,10.73414272,9.418733695,1.974467574,10.40920076,10.15016
Branchiostoma_floridae,Florida lancelet,cephalochordate,refseq,,,GCF_000003815.1_Version_2_genomic,28627,28625,203274,203270,1,1,1,1,2,2,1,5,5,1,9,9,2,308,308,1.000069869,7.100778985,7.101275109,0.008358622,8.392127367,8.392343849
Xenopus_tropicalis,tropical clawed frog,amphibia,refseq,,,GCF_000004195.4_UCB_Xtro_10.0_genomic,53207,28302,647166,264651,1,1,1,1,4,2,1,8,6,2,16,13,50,352,352,1.879973147,12.16317402,9.351529927,2.202298981,13.84063834,10.70285632
Anolis_carolinensis,"green anole, Carolina anole",reptilia,refseq,,,GCF_000090745.1_AnoCar2.0_genomic,38780,21856,429984,214086,1,1,1,1,4,3,1,8,7,2,15,13,40,249,249,1.774341142,11.0877772,9.797584187,1.824325959,10.50258878,9.90244918
Cavia_porcellus,domestic guinea pig,mammal,refseq,,,GCF_000151735.1_Cavpor3.0_genomic,45410,26252,467003,236309,1,1,1,1,3,2,1,7,6,2,14,12,31,328,328,1.72977297,10.28414446,9.001866524,1.704829029,10.13135196,10.00103402
Microcebus_murinus,gray mouse lemur,mammal,refseq,,,GCF_000165445.2_Mmur_3.0_genomic,74854,28984,854309,282671,1,1,1,1,4,3,1,8,6,3,15,13,50,314,321,2.582597295,11.41300398,9.754209219,3.117677632,12.92776375,10.44778584
Felis_catus,cat,mammal,refseq,,,GCF_000181335.3_Felis_catus_9.0_genomic,72795,31494,800937,282199,1,1,1,1,4,2,1,8,5,3,15,12,50,327,327,2.311392646,11.00263754,8.96091319,2.675552353,10.84445667,10.24763539
Python_bivittatus,Burmese python,reptilia,refseq,,,GCF_000186305.1_Python_molurus_bivittatus-5.0.2_genomic,35976,21973,377971,211958,1,1,1,1,4,4,1,8,7,2,14,13,34,294,301,1.637282119,10.50619858,9.64656624,1.455123007,10.08164946,9.218426844
Ciona_intestinalis,vase tunicate,urochordata,refseq,,,GCF_000224145.3_KH_genomic,24973,16327,270540,154137,1,1,1,1,3,3,1,8,7,2,14,12,50,230,230,1.529552275,10.83329996,9.448092117,1.339600555,12.39310053,10.41368317
