transcript_id,num_exon
NM_001287263.1,9
NM_001287264.1,8
NM_001287265.1,18
NM_001287266.1,9
NM_001287268.1,3
NM_001287269.1,12
NM_001287270.1,12
NM_001287271.1,11
NM_001287272.1,5
NM_001287274.1,8
NM_001287276.1,5
NM_001287278.1,8
NM_001287280.1,5
NM_001287282.1,5
NM_001287284.1,13
NM_001287287.1,8
NM_001287289.1,6
NM_001287291.1,17
NM_001287293.1,9
NM_001287295.1,18
NM_001287297.1,6
NM_001287299.1,9
NM_001287301.1,7
NM_001287303.1,12
NM_001287305.1,8
NM_001287307.1,12
NM_001287309.1,4
NM_001287311.2,10
NM_001287313.1,8
NM_001287315.1,4
NM_001287317.1,3
NM_001287605.1,2
NM_001287606.2,4
NM_001287608.1,1
NM_001290157.1,5
NM_001290560.1,5
NM_001291759.1,12
NM_001293067.1,12
NM_001293068.1,12
NM_001294158.1,11
NM_001317141.1,6
NM_001317142.1,1
NM_001317143.1,9
NM_001317144.1,3
NM_001317145.1,15
NM_001317146.1,2
XM_006257742.3,29
XM_006257747.2,14
XM_006257750.3,7
XM_006257752.3,3
XM_006257757.3,9
XM_006257762.2,1
XM_006257765.3,9
XM_006257778.3,4
XM_006257781.3,3
XM_006257790.3,20
XM_006257798.3,6
XM_006257799.3,6
XM_006257804.3,9
XM_006257806.3,23
XM_006257807.3,17
XM_006257811.3,22
XM_006257812.2,11
XM_006257815.3,7
XM_006257816.3,7
XM_006257817.3,6
XM_006257819.2,20
XM_006257821.3,13
XM_006257827.3,25
XM_006257828.3,24
XM_006257829.3,23
XM_006257831.3,8
XM_006257832.3,8
XM_006257840.2,9
XM_006257842.3,3
XM_006257843.3,7
XM_006257846.3,8
XM_006257847.3,24
XM_006257850.3,15
XM_006257851.3,11
XM_006257854.3,5
XM_006257855.3,4
XM_006257857.3,5
XM_006257858.3,4
XM_006257862.3,5
XM_006257866.3,6
XM_006257867.3,10
XM_006257868.3,5
XM_006257869.3,4
XM_006257873.2,4
XM_006257879.3,26
XM_006257880.3,7
XM_006257881.1,5
XM_006257882.3,8
XM_006257887.3,13
XM_006257888.3,13
XM_006257889.3,6
XM_006257893.3,3
XM_006257894.3,3
XM_006257895.3,5
XM_006257896.3,4
XM_006257904.3,2
XM_006257914.3,2
XM_006257916.2,8
XM_006257920.3,21
XM_006257922.3,13
XM_006257924.3,8
XM_006257933.2,9
XM_006257936.3,3
XM_006257939.3,4
XM_006257942.3,18
XM_006257945.2,5
XM_006257946.3,8
XM_006257948.3,8
XM_006257949.3,12
XM_006257950.3,2
XM_006257951.3,8
XM_006257952.3,8
XM_006257955.3,3
XM_006257960.3,10
XM_006257962.3,9
XM_006257964.3,2
XM_006257966.2,4
XM_006257968.3,14
XM_006257969.3,6
XM_006257970.3,17
XM_006257974.3,13
XM_006257984.3,4
XM_006257986.2,5
XM_006257987.3,22
XM_006257989.3,18
XM_006257990.3,19
XM_006257991.3,10
XM_006257993.3,11
XM_006257994.3,7
XM_006257995.3,12
XM_006257996.2,18
XM_006257997.3,17
XM_006258000.3,2
XM_006258002.3,9
XM_006258003.2,8
XM_006258004.2,7
XM_006258010.3,4
XM_006258012.3,5
XM_006258013.3,36
XM_006258014.3,2
XM_006258016.2,5
XM_006258017.1,1
XM_006258018.2,5
XM_006258021.3,22
XM_006258022.3,11
XM_006258026.2,2
XM_006258028.3,17
XM_006258029.2,1
XM_006258030.1,1
XM_006258031.2,1
XM_006258032.3,13
XM_006258033.3,13
XM_006258034.3,13
XM_006258038.3,10
XM_006258043.3,7
XM_006258044.3,2
XM_006258045.2,11
XM_006258046.3,11
XM_006258049.2,2
XM_006258051.3,7
XM_006258054.3,2
XM_006258061.3,8
XM_006258063.2,4
XM_006258065.3,16
XM_006258073.3,12
XM_006258074.3,12
XM_006258077.3,7
XM_006258080.3,22
XM_006258081.3,8
XM_006258082.3,4
XM_006258084.2,4
XM_006258085.3,3
XM_006258087.3,19
XM_006258089.3,4
XM_006258092.3,19
XM_006258093.3,4
XM_006258096.2,4
XM_006258099.3,21
XM_006258100.3,17
XM_006258101.3,2
XM_006258102.2,12
XM_006258108.3,8
XM_006258112.2,9
XM_006258122.3,3
XM_006258123.3,6
XM_006258124.3,7
XM_006258125.3,5
XM_006258126.3,21
XM_006258132.3,9
XM_006258136.3,25
XM_006258138.3,19
XM_006258139.3,16
XM_006258143.3,54
