gene_id,num_transcript,num_exon,num_uniq_exon
DGAT1,2,29,18
FAD2,4,10,7
GAPDH,1,11,11
LOC105155173,1,9,9
LOC105155174,3,6,4
LOC105155177,1,2,2
LOC105155178,2,48,25
LOC105155179,2,15,10
LOC105155180,3,14,8
LOC105155181,2,10,6
LOC105155182,1,9,9
LOC105155183,2,10,6
LOC105155184,1,11,11
LOC105155185,1,1,1
LOC105155186,1,2,2
LOC105155187,10,39,11
LOC105155188,2,13,8
LOC105155189,1,15,15
LOC105155190,1,4,4
LOC105155191,2,34,21
LOC105155192,1,1,1
LOC105155193,1,1,1
LOC105155194,2,6,5
LOC105155195,1,6,6
LOC105155196,1,5,5
LOC105155197,3,58,22
LOC105155198,2,9,7
LOC105155199,1,1,1
LOC105155200,1,1,1
LOC105155201,1,9,9
LOC105155203,1,2,2
LOC105155204,1,2,2
LOC105155205,1,1,1
LOC105155206,1,2,2
LOC105155207,1,2,2
LOC105155208,1,2,2
LOC105155209,1,4,4
LOC105155210,1,19,19
LOC105155211,1,8,8
LOC105155212,1,1,1
LOC105155213,1,14,14
LOC105155214,1,2,2
LOC105155215,1,2,2
LOC105155216,1,6,6
LOC105155217,1,3,3
LOC105155218,1,7,7
LOC105155219,1,4,4
LOC105155220,1,2,2
LOC105155221,1,2,2
LOC105155222,1,1,1
LOC105155223,1,8,8
LOC105155224,1,7,7
LOC105155225,1,1,1
LOC105155226,1,9,9
LOC105155227,1,8,8
LOC105155228,1,2,2
LOC105155229,3,9,6
LOC105155230,4,11,7
LOC105155231,1,6,6
LOC105155232,1,10,10
LOC105155233,1,5,5
LOC105155234,2,9,6
LOC105155235,1,4,4
LOC105155236,3,16,8
LOC105155237,1,1,1
LOC105155238,1,6,6
LOC105155239,1,1,1
LOC105155240,1,6,6
LOC105155241,1,4,4
LOC105155242,1,3,3
LOC105155245,1,4,4
LOC105155246,1,4,4
LOC105155247,1,2,2
LOC105155248,1,3,3
LOC105155249,1,3,3
LOC105155250,1,6,6
LOC105155251,1,1,1
LOC105155252,1,7,7
LOC105155253,1,9,9
LOC105155254,1,1,1
LOC105155255,1,2,2
LOC105155256,1,1,1
LOC105155257,1,4,4
LOC105155258,1,4,4
LOC105155259,1,1,1
LOC105155260,1,4,4
LOC105155261,6,47,12
LOC105155262,1,3,3
LOC105155263,1,1,1
LOC105155264,1,2,2
LOC105155265,1,3,3
LOC105155266,1,2,2
LOC105155268,1,5,5
LOC105155269,1,1,1
LOC105155270,1,4,4
LOC105155271,1,3,3
LOC105155272,1,4,4
LOC105155274,1,3,3
LOC105155275,1,3,3
LOC105155276,1,2,2
LOC105155277,1,3,3
