transcript_id,num_exon
XM_018427576.1,5
XM_018427577.1,1
XM_018427578.1,2
XM_018427579.1,1
XM_018427580.1,3
XM_018427581.1,4
XM_018427582.1,2
XM_018427583.1,2
XM_018427584.1,2
XM_018427585.1,2
XM_018427586.1,2
XM_018427587.1,4
XM_018427588.1,1
XM_018427589.1,5
XM_018427590.1,4
XM_018427591.1,2
XM_018427592.1,2
XM_018427593.1,4
XM_018427594.1,6
XM_018427595.1,1
XM_018427596.1,3
XM_018427597.1,4
XM_018427598.1,2
XM_018427599.1,2
XM_018427600.1,6
XM_018427601.1,1
XM_018427602.1,2
XM_018427603.1,3
XM_018427604.1,3
XM_018427605.1,3
XM_018427606.1,3
XM_018427607.1,3
XM_018427608.1,2
XM_018427609.1,2
XM_018427610.1,2
XM_018427611.1,5
XM_018427612.1,2
XM_018427613.1,1
XM_018427614.1,3
XM_018427615.1,3
XM_018427616.1,8
XM_018427617.1,3
XM_018427618.1,6
XM_018427619.1,5
XM_018427620.1,2
XM_018427621.1,4
XM_018427622.1,2
XM_018427623.1,2
XM_018427624.1,2
XM_018427625.1,1
XM_018427626.1,1
XM_018427627.1,3
XM_018427628.1,3
XM_018427629.1,4
XM_018427630.1,2
XM_018427631.1,3
XM_018427632.1,1
XM_018427633.1,2
XM_018427634.1,2
XM_018427635.1,2
XM_018427636.1,2
XM_018427637.1,3
XM_018427638.1,4
XM_018427639.1,3
XM_018427640.1,7
XM_018427641.1,4
XM_018427642.1,2
XM_018427643.1,3
XM_018427644.1,3
XM_018427645.1,1
XM_018427646.1,1
XM_018427647.1,4
XM_018427648.1,9
XM_018427649.1,4
XM_018427650.1,2
XM_018427651.1,1
XM_018427652.1,1
XM_018427653.1,2
XM_018427654.1,1
XM_018427655.1,2
XM_018427656.1,1
XM_018427657.1,1
XM_018427658.1,1
XM_018427659.1,1
XM_018427660.1,2
XM_018427661.1,2
XM_018427662.1,1
XM_018427663.1,1
XM_018427664.1,1
XM_018427665.1,1
XM_018427666.1,1
XM_018427667.1,1
XM_018427668.1,1
XM_018427669.1,1
XM_018427670.1,1
XM_018427671.1,1
XM_018427672.1,1
XM_018427673.1,1
XM_018427674.1,1
XM_018427675.1,1
XM_018427676.1,1
XM_018427677.1,1
XM_018427678.1,1
XM_018427679.1,1
XM_018427680.1,1
XM_018427681.1,1
XM_018427682.1,2
XM_018427683.1,1
XM_018427684.1,1
XM_018427685.1,1
XM_018427686.1,2
XM_018427687.1,1
XM_018427688.1,1
XM_018427689.1,1
XM_018427690.1,1
XM_018427691.1,1
XM_018427692.1,1
XM_018427693.1,1
XM_018427694.1,1
XM_018427695.1,1
XM_018427696.1,1
XM_018427697.1,1
XM_018427698.1,1
XM_018427699.1,1
XM_018427700.1,1
XM_018427701.1,1
XM_018427702.1,1
XM_018427703.1,1
XM_018427704.1,1
XM_018427705.1,1
XM_018427706.1,2
XM_018427707.1,1
XM_018427708.1,1
XM_018427709.1,2
XM_018427710.1,1
XM_018427711.1,1
XM_018427712.1,1
XM_018427713.1,1
XM_018427714.1,1
XM_018427715.1,2
XM_018427716.1,2
XM_018427717.1,1
XM_018427718.1,1
XM_018427719.1,2
XM_018427720.1,1
XM_018427721.1,1
XM_018427722.1,1
XM_018427723.1,3
XM_018427724.1,1
XM_018427725.1,2
XM_018427726.1,1
XM_018427727.1,1
XM_018427728.1,2
XM_018427729.1,2
XM_018427730.1,2
XM_018427731.1,3
XM_018427732.1,1
XM_018427733.1,3
XM_018427734.1,2
XM_018427735.1,1
XM_018427736.1,1
XM_018427737.1,1
XM_018427738.1,3
XM_018427739.1,2
XM_018427740.1,2
XM_018427741.1,1
XM_018427742.1,2
XM_018427743.1,2
XM_018427744.1,1
XM_018427745.1,1
XM_018427746.1,2
XM_018427747.1,2
XM_018427748.1,2
XM_018427749.1,2
XM_018427750.1,2
XM_018427751.1,2
XM_018427752.1,3
XM_018427753.1,2
XM_018427754.1,1
XM_018427755.1,2
XM_018427756.1,1
XM_018427757.1,1
XM_018427758.1,1
XM_018427759.1,1
XM_018427760.1,2
XM_018427761.1,2
XM_018427762.1,1
XM_018427763.1,2
XM_018427764.1,1
XM_018427765.1,1
XM_018427766.1,1
XM_018427767.1,1
XM_018427768.1,1
XM_018427769.1,1
XM_018427770.1,7
XM_018427771.1,1
XM_018427772.1,1
XM_018427773.1,1
XM_018427774.1,3
XM_018427775.1,2
XM_018427776.1,2
XM_018427777.1,1
XM_018427778.1,2
XM_018427779.1,1
XM_018427780.1,2
XM_018427781.1,1
XM_018427782.1,1
XM_018427783.1,1
XM_018427784.1,1
XM_018427785.1,1
XM_018427786.1,1
XM_018427787.1,1
XM_018427788.1,1
XM_018427789.1,3
XM_018427790.1,1
XM_018427791.1,2
XM_018427792.1,1
XM_018427793.1,2
XM_018427794.1,1
XM_018427795.1,2
XM_018427796.1,2
XM_018427797.1,1
XM_018427798.1,2
XM_018427799.1,1
XM_018427800.1,1
XM_018427801.1,1
XM_018427802.1,2
XM_018427803.1,2
XM_018427804.1,2
XM_018427805.1,2
XM_018427806.1,2
XM_018427807.1,2
XM_018427808.1,2
XM_018427809.1,2
XM_018427810.1,1
XM_018427811.1,3
XM_018427812.1,1
XM_018427813.1,1
XM_018427814.1,2
XM_018427815.1,2
XM_018427816.1,2
XM_018427817.1,1
XM_018427818.1,1
XM_018427819.1,2
XM_018427820.1,2
XM_018427821.1,2
XM_018427822.1,1
XM_018427823.1,1
XM_018427824.1,1
XM_018427825.1,1
XM_018427826.1,1
XM_018427827.1,1
XM_018427828.1,1
XM_018427829.1,1
XM_018427830.1,1
XM_018427831.1,1
XM_018427832.1,1
XM_018427833.1,1
XM_018427834.1,1
XM_018427835.1,1
XM_018427836.1,1
XM_018427837.1,1
XM_018427838.1,1
XM_018427839.1,1
XM_018427840.1,1
XM_018427841.1,1
XM_018427842.1,4
XM_018427843.1,4
XM_018427844.1,1
XM_018427845.1,1
XM_018427846.1,10
XM_018427847.1,3
XM_018427848.1,3
XM_018427849.1,4
XM_018427850.1,3
XM_018427851.1,1
XM_018427852.1,8
XM_018427853.1,3
XM_018427854.1,4
XM_018427855.1,2
XM_018427856.1,6
XM_018427857.1,1
XM_018427858.1,8
XM_018427859.1,7
XM_018427860.1,4
XM_018427861.1,6
XM_018427862.1,6
XM_018427863.1,1
XM_018427864.1,10
XM_018427865.1,5
XM_018427866.1,6
XM_018427867.1,4
XM_018427868.1,11
XM_018427869.1,7
XM_018427870.1,1
XM_018427871.1,17
XM_018427872.1,4
XM_018427873.1,1
XM_018427874.1,1
XM_018427875.1,1
XM_018427876.1,1
XM_018427877.1,3
XM_018427878.1,8
XM_018427879.1,2
XM_018427880.1,9
XM_018427881.1,5
XM_018427882.1,2
XM_018427883.1,3
XM_018427884.1,2
XM_018427885.1,1
XM_018427886.1,3
XM_018427887.1,4
XM_018427888.1,13
XM_018427889.1,1
XM_018427890.1,3
XM_018427891.1,1
XM_018427892.1,2
XM_018427893.1,5
XM_018427894.1,4
XM_018427895.1,22
XM_018427896.1,4
XM_018427897.1,1
XM_018427898.1,1
XM_018427899.1,4
XM_018427900.1,2
XM_018427901.1,1
XM_018427902.1,2
XM_018427903.1,2
XM_018427904.1,7
XM_018427905.1,3
XM_018427906.1,4
XM_018427907.1,8
XM_018427908.1,1
XM_018427909.1,1
XM_018427910.1,2
XM_018427911.1,8
XM_018427912.1,2
XM_018427913.1,11
XM_018427914.1,7
XM_018427915.1,2
XM_018427916.1,4
XM_018427917.1,5
XM_018427918.1,3
XM_018427919.1,18
XM_018427920.1,5
XM_018427921.1,5
XM_018427922.1,8
XM_018427923.1,5
XM_018427924.1,1
XM_018427925.1,6
XM_018427926.1,15
XM_018427927.1,2
XM_018427928.1,10
XM_018427929.1,3
XM_018427930.1,12
XM_018427931.1,1
XM_018427932.1,4
XM_018427933.1,1
XM_018427934.1,5
XM_018427935.1,3
XM_018427936.1,2
XM_018427937.1,2
XM_018427938.1,9
XM_018427939.1,5
XM_018427940.1,6
XM_018427941.1,1
XM_018427942.1,2
XM_018427943.1,4
XM_018427944.1,1
XM_018427945.1,5
XM_018427946.1,6
XM_018427947.1,11
XM_018427948.1,6
XM_018427949.1,14
XM_018427950.1,4
XM_018427951.1,6
XM_018427952.1,17
XM_018427953.1,3
XM_018427954.1,2
XM_018427955.1,3
XM_018427956.1,5
XM_018427957.1,6
XM_018427958.1,1
XM_018427959.1,3
XM_018427960.1,2
XM_018427961.1,2
XM_018427962.1,6
XM_018427963.1,7
XM_018427964.1,4
XM_018427965.1,4
XM_018427966.1,9
XM_018427967.1,3
XM_018427968.1,7
XM_018427969.1,1
XM_018427970.1,5
XM_018427971.1,2
XM_018427972.1,6
XM_018427973.1,3
XM_018427974.1,2
XM_018427975.1,8
XM_018427976.1,6
XM_018427977.1,6
XM_018427978.1,6
XM_018427979.1,6
XM_018427980.1,6
XM_018427981.1,4
XM_018427982.1,1
XM_018427983.1,5
XM_018427984.1,2
XM_018427985.1,4
XM_018427986.1,1
XM_018427987.1,4
XM_018427988.1,6
XM_018427989.1,3
XM_018427990.1,1
XM_018427991.1,5
XM_018427992.1,3
XM_018427993.1,7
XM_018427994.1,5
XM_018427995.1,4
XM_018427996.1,2
XM_018427997.1,1
XM_018427998.1,2
XM_018427999.1,5
XM_018428000.1,3
XM_018428001.1,3
XM_018428002.1,6
XM_018428003.1,8
XM_018428004.1,6
XM_018428005.1,2
XM_018428006.1,1
XM_018428007.1,2
XM_018428008.1,1
XM_018428009.1,4
XM_018428010.1,13
XM_018428011.1,1
XM_018428012.1,3
XM_018428013.1,1
XM_018428014.1,4
XM_018428015.1,1
XM_018428016.1,2
XM_018428017.1,2
XM_018428018.1,9
XM_018428019.1,2
XM_018428020.1,4
XM_018428021.1,2
XM_018428022.1,5
XM_018428023.1,2
XM_018428024.1,3
XM_018428025.1,5
XM_018428026.1,7
XM_018428027.1,3
XM_018428028.1,8
XM_018428029.1,9
XM_018428030.1,4
XM_018428031.1,7
XM_018428032.1,5
XM_018428033.1,5
XM_018428034.1,6
XM_018428035.1,2
XM_018428036.1,9
XM_018428037.1,2
XM_018428038.1,5
XM_018428039.1,5
XM_018428040.1,2
XM_018428041.1,3
XM_018428042.1,4
XM_018428043.1,3
XM_018428044.1,4
XM_018428045.1,1
XM_018428046.1,3
XM_018428047.1,7
XM_018428048.1,4
XM_018428049.1,1
XM_018428050.1,2
XM_018428051.1,1
XM_018428052.1,3
XM_018428053.1,4
XM_018428054.1,4
XM_018428055.1,7
