gene_id,num_transcript,num_exon,num_uniq_exon
BABINDRAFT_100031,1,1,1
BABINDRAFT_10015,1,1,1
BABINDRAFT_10024,1,2,2
BABINDRAFT_10026,1,1,1
BABINDRAFT_10034,1,1,1
BABINDRAFT_10035,1,2,2
BABINDRAFT_100419,1,1,1
BABINDRAFT_100469,1,1,1
BABINDRAFT_100502,1,1,1
BABINDRAFT_10053,1,1,1
BABINDRAFT_10061,1,1,1
BABINDRAFT_100667,1,1,1
BABINDRAFT_10070,1,1,1
BABINDRAFT_10074,1,2,2
BABINDRAFT_100771,1,1,1
BABINDRAFT_100775,1,1,1
BABINDRAFT_10078,1,1,1
BABINDRAFT_10081,1,1,1
BABINDRAFT_100811,1,2,2
BABINDRAFT_10091,1,1,1
BABINDRAFT_10092,1,1,1
BABINDRAFT_10093,1,2,2
BABINDRAFT_100932,1,1,1
BABINDRAFT_10095,1,2,2
BABINDRAFT_10100,1,1,1
BABINDRAFT_10104,1,1,1
BABINDRAFT_10105,1,1,1
BABINDRAFT_10107,1,1,1
BABINDRAFT_10115,1,1,1
BABINDRAFT_10126,1,2,2
BABINDRAFT_101267,1,1,1
BABINDRAFT_101286,1,2,2
BABINDRAFT_101476,1,1,1
BABINDRAFT_10149,1,1,1
BABINDRAFT_10151,1,3,3
BABINDRAFT_10158,1,1,1
BABINDRAFT_10169,1,2,2
BABINDRAFT_101722,1,1,1
BABINDRAFT_101778,1,2,2
BABINDRAFT_101781,1,1,1
BABINDRAFT_10186,1,1,1
BABINDRAFT_10187,1,1,1
BABINDRAFT_10194,1,1,1
BABINDRAFT_10197,1,3,3
BABINDRAFT_10202,1,2,2
BABINDRAFT_10217,1,1,1
BABINDRAFT_10219,1,1,1
BABINDRAFT_10221,1,1,1
BABINDRAFT_10222,1,1,1
BABINDRAFT_10229,1,1,1
BABINDRAFT_10234,1,2,2
BABINDRAFT_10255,1,2,2
BABINDRAFT_10261,1,1,1
BABINDRAFT_10267,1,1,1
BABINDRAFT_10270,1,1,1
BABINDRAFT_10290,1,1,1
BABINDRAFT_10306,1,1,1
BABINDRAFT_10308,1,1,1
BABINDRAFT_10309,1,1,1
BABINDRAFT_10317,1,2,2
BABINDRAFT_10342,1,1,1
BABINDRAFT_10352,1,1,1
BABINDRAFT_103543,1,1,1
BABINDRAFT_10355,1,1,1
BABINDRAFT_10357,1,1,1
BABINDRAFT_10365,1,2,2
BABINDRAFT_103706,1,3,3
BABINDRAFT_103778,1,1,1
BABINDRAFT_10379,1,1,1
BABINDRAFT_103797,1,1,1
BABINDRAFT_10381,1,1,1
BABINDRAFT_103834,1,1,1
BABINDRAFT_10388,1,1,1
BABINDRAFT_103885,1,1,1
BABINDRAFT_103990,1,2,2
BABINDRAFT_10401,1,1,1
BABINDRAFT_10403,1,1,1
BABINDRAFT_10407,1,1,1
BABINDRAFT_10409,1,1,1
BABINDRAFT_104130,1,2,2
BABINDRAFT_104167,1,1,1
BABINDRAFT_104197,1,1,1
BABINDRAFT_104198,1,1,1
BABINDRAFT_10428,1,2,2
BABINDRAFT_10430,1,1,1
BABINDRAFT_10440,1,1,1
BABINDRAFT_10451,1,1,1
BABINDRAFT_10459,1,1,1
BABINDRAFT_10464,1,2,2
BABINDRAFT_104671,1,1,1
BABINDRAFT_10469,1,2,2
BABINDRAFT_104713,1,1,1
BABINDRAFT_104759,1,1,1
BABINDRAFT_10491,1,2,2
BABINDRAFT_104969,1,1,1
BABINDRAFT_10530,1,2,2
BABINDRAFT_10540,1,2,2
BABINDRAFT_105485,1,1,1
BABINDRAFT_10549,1,1,1
BABINDRAFT_10551,1,2,2
BABINDRAFT_10552,1,2,2
BABINDRAFT_10556,1,3,3
BABINDRAFT_10561,1,1,1
BABINDRAFT_10563,1,1,1
BABINDRAFT_10564,1,3,3
BABINDRAFT_10567,1,1,1
BABINDRAFT_10569,1,2,2
BABINDRAFT_10581,1,1,1
BABINDRAFT_10605,1,1,1
BABINDRAFT_10607,1,1,1
BABINDRAFT_10609,1,4,4
BABINDRAFT_10618,1,1,1
BABINDRAFT_106280,1,1,1
BABINDRAFT_106298,1,1,1
BABINDRAFT_106299,1,1,1
BABINDRAFT_10634,1,1,1
BABINDRAFT_10635,1,2,2
BABINDRAFT_10646,1,1,1
BABINDRAFT_10673,1,1,1
BABINDRAFT_106749,1,1,1
BABINDRAFT_10685,1,1,1
BABINDRAFT_106869,1,1,1
BABINDRAFT_10690,1,2,2
BABINDRAFT_106955,1,1,1
BABINDRAFT_10701,1,1,1
BABINDRAFT_10707,1,3,3
BABINDRAFT_107119,1,1,1
BABINDRAFT_10713,1,2,2
BABINDRAFT_10714,1,4,4
BABINDRAFT_107166,1,1,1
BABINDRAFT_10719,1,1,1
BABINDRAFT_10742,1,1,1
BABINDRAFT_107758,1,2,2
BABINDRAFT_10780,1,1,1
BABINDRAFT_10781,1,2,2
BABINDRAFT_107981,1,1,1
BABINDRAFT_10800,1,2,2
BABINDRAFT_10828,1,1,1
BABINDRAFT_10833,1,2,2
BABINDRAFT_10847,1,1,1
BABINDRAFT_108538,1,1,1
BABINDRAFT_108681,1,1,1
BABINDRAFT_10871,1,1,1
BABINDRAFT_10875,1,2,2
BABINDRAFT_108819,1,1,1
BABINDRAFT_108908,1,1,1
BABINDRAFT_10894,1,1,1
BABINDRAFT_108994,1,1,1
BABINDRAFT_10907,1,1,1
BABINDRAFT_109105,1,1,1
BABINDRAFT_109207,1,1,1
BABINDRAFT_109235,1,1,1
BABINDRAFT_109507,1,1,1
BABINDRAFT_109739,1,1,1
BABINDRAFT_109750,1,1,1
BABINDRAFT_109765,1,1,1
BABINDRAFT_109771,1,1,1
BABINDRAFT_10979,1,1,1
BABINDRAFT_109792,1,1,1
BABINDRAFT_109817,1,1,1
BABINDRAFT_109840,1,1,1
BABINDRAFT_10988,1,2,2
BABINDRAFT_109890,1,1,1
BABINDRAFT_109910,1,1,1
BABINDRAFT_109915,1,1,1
BABINDRAFT_110091,1,1,1
BABINDRAFT_11010,1,1,1
BABINDRAFT_110255,1,1,1
BABINDRAFT_110367,1,1,1
BABINDRAFT_110395,1,1,1
BABINDRAFT_110404,1,2,2
BABINDRAFT_11041,1,3,3
BABINDRAFT_11056,1,1,1
BABINDRAFT_11062,1,4,4
BABINDRAFT_110730,1,2,2
BABINDRAFT_11075,1,2,2
BABINDRAFT_110806,1,1,1
BABINDRAFT_110858,1,2,2
BABINDRAFT_11094,1,2,2
BABINDRAFT_111016,1,2,2
BABINDRAFT_11103,1,1,1
BABINDRAFT_111099,1,1,1
BABINDRAFT_111152,1,1,1
BABINDRAFT_111324,1,1,1
BABINDRAFT_11148,1,2,2
BABINDRAFT_111523,1,1,1
BABINDRAFT_11173,1,2,2
BABINDRAFT_111844,1,1,1
BABINDRAFT_11193,1,2,2
BABINDRAFT_11195,1,1,1
BABINDRAFT_11201,1,2,2
BABINDRAFT_112050,1,1,1
BABINDRAFT_112089,1,1,1
BABINDRAFT_112299,1,1,1
BABINDRAFT_112432,1,1,1
BABINDRAFT_112597,1,1,1
BABINDRAFT_113030,1,1,1
BABINDRAFT_11320,1,2,2
BABINDRAFT_113357,1,2,2
BABINDRAFT_113384,1,1,1
BABINDRAFT_113501,1,1,1
BABINDRAFT_113944,1,1,1
BABINDRAFT_114027,1,2,2
BABINDRAFT_114123,1,1,1
BABINDRAFT_114125,1,1,1
BABINDRAFT_114323,1,1,1
BABINDRAFT_114365,1,1,1
BABINDRAFT_11438,1,2,2
BABINDRAFT_114500,1,1,1
BABINDRAFT_114529,1,1,1
BABINDRAFT_11464,1,1,1
BABINDRAFT_114641,1,1,1
BABINDRAFT_11482,1,2,2
