gene_id,num_transcript,num_exon,num_uniq_exon
TREMEDRAFT_11544,1,18,18
TREMEDRAFT_11782,1,6,6
TREMEDRAFT_11835,1,5,5
TREMEDRAFT_12156,1,4,4
TREMEDRAFT_12670,1,10,10
TREMEDRAFT_13269,1,9,9
TREMEDRAFT_13756,1,5,5
TREMEDRAFT_14015,1,10,10
TREMEDRAFT_14396,1,7,7
TREMEDRAFT_14527,1,4,4
TREMEDRAFT_14638,1,5,5
TREMEDRAFT_15245,1,4,4
TREMEDRAFT_15540,1,4,4
TREMEDRAFT_15554,1,6,6
TREMEDRAFT_15960,1,6,6
TREMEDRAFT_16281,1,3,3
TREMEDRAFT_16695,1,3,3
TREMEDRAFT_17281,1,6,6
TREMEDRAFT_17689,1,4,4
TREMEDRAFT_17826,1,2,2
TREMEDRAFT_18058,1,5,5
TREMEDRAFT_18336,1,4,4
TREMEDRAFT_18663,1,5,5
TREMEDRAFT_18845,1,5,5
TREMEDRAFT_18983,1,5,5
TREMEDRAFT_19459,1,3,3
TREMEDRAFT_19925,1,2,2
TREMEDRAFT_20091,1,3,3
TREMEDRAFT_20116,1,2,2
TREMEDRAFT_20174,1,3,3
TREMEDRAFT_20176,1,2,2
TREMEDRAFT_20321,1,2,2
TREMEDRAFT_20323,1,2,2
TREMEDRAFT_22249,1,2,2
TREMEDRAFT_22812,1,6,6
TREMEDRAFT_22874,1,6,6
TREMEDRAFT_22984,1,3,3
TREMEDRAFT_23472,1,4,4
TREMEDRAFT_24045,1,5,5
TREMEDRAFT_24087,1,2,2
TREMEDRAFT_24246,1,2,2
TREMEDRAFT_24256,1,3,3
TREMEDRAFT_24262,1,2,2
TREMEDRAFT_24263,1,6,6
TREMEDRAFT_24275,1,8,8
TREMEDRAFT_24290,1,4,4
TREMEDRAFT_24317,1,3,3
TREMEDRAFT_24323,1,6,6
TREMEDRAFT_24325,1,8,8
TREMEDRAFT_24336,1,3,3
TREMEDRAFT_24355,1,3,3
TREMEDRAFT_24365,1,3,3
TREMEDRAFT_24381,1,4,4
TREMEDRAFT_24392,1,7,7
TREMEDRAFT_24408,1,8,8
TREMEDRAFT_24419,1,10,10
TREMEDRAFT_24432,1,5,5
TREMEDRAFT_24439,1,4,4
TREMEDRAFT_24444,1,5,5
TREMEDRAFT_24454,1,18,18
TREMEDRAFT_24461,1,2,2
TREMEDRAFT_24464,1,9,9
TREMEDRAFT_24487,1,5,5
TREMEDRAFT_24489,1,8,8
TREMEDRAFT_24507,1,3,3
TREMEDRAFT_24527,1,9,9
TREMEDRAFT_24534,1,5,5
TREMEDRAFT_24538,1,15,15
TREMEDRAFT_24542,1,6,6
TREMEDRAFT_24544,1,10,10
TREMEDRAFT_24569,1,13,13
TREMEDRAFT_24575,1,6,6
TREMEDRAFT_24583,1,7,7
TREMEDRAFT_24594,1,6,6
TREMEDRAFT_24609,1,3,3
TREMEDRAFT_24614,1,7,7
TREMEDRAFT_24620,1,5,5
TREMEDRAFT_24629,1,6,6
TREMEDRAFT_24631,1,9,9
TREMEDRAFT_24636,1,6,6
TREMEDRAFT_24652,1,6,6
TREMEDRAFT_24680,1,3,3
TREMEDRAFT_24691,1,5,5
TREMEDRAFT_24694,1,12,12
TREMEDRAFT_24699,1,6,6
TREMEDRAFT_24714,1,5,5
TREMEDRAFT_24715,1,1,1
TREMEDRAFT_24726,1,6,6
TREMEDRAFT_24730,1,1,1
TREMEDRAFT_24768,1,4,4
TREMEDRAFT_24772,1,6,6
TREMEDRAFT_24778,1,5,5
TREMEDRAFT_24786,1,8,8
TREMEDRAFT_24795,1,15,15
TREMEDRAFT_24796,1,3,3
TREMEDRAFT_24798,1,5,5
TREMEDRAFT_24802,1,9,9
TREMEDRAFT_24812,1,8,8
TREMEDRAFT_24836,1,7,7
TREMEDRAFT_24841,1,4,4
TREMEDRAFT_24846,1,16,16
TREMEDRAFT_24880,1,4,4
TREMEDRAFT_24881,1,8,8
TREMEDRAFT_24895,1,4,4
TREMEDRAFT_24902,1,10,10
TREMEDRAFT_24904,1,3,3
TREMEDRAFT_24920,1,2,2
TREMEDRAFT_24935,1,7,7
TREMEDRAFT_24942,1,4,4
TREMEDRAFT_24947,1,2,2
TREMEDRAFT_24951,1,6,6
TREMEDRAFT_24957,1,9,9
TREMEDRAFT_24963,1,3,3
TREMEDRAFT_24986,1,5,5
TREMEDRAFT_24992,1,4,4
TREMEDRAFT_25006,1,5,5
TREMEDRAFT_25018,1,5,5
TREMEDRAFT_25020,1,4,4
TREMEDRAFT_25026,1,11,11
TREMEDRAFT_25033,1,5,5
TREMEDRAFT_25035,1,4,4
TREMEDRAFT_25037,1,4,4
TREMEDRAFT_25042,1,7,7
TREMEDRAFT_25048,1,2,2
TREMEDRAFT_25063,1,6,6
TREMEDRAFT_25064,1,7,7
TREMEDRAFT_25081,1,10,10
TREMEDRAFT_25082,1,2,2
TREMEDRAFT_25118,1,4,4
TREMEDRAFT_25120,1,8,8
TREMEDRAFT_25124,1,7,7
TREMEDRAFT_25138,1,2,2
TREMEDRAFT_25139,1,9,9
TREMEDRAFT_25144,1,4,4
TREMEDRAFT_25150,1,6,6
TREMEDRAFT_25151,1,6,6
TREMEDRAFT_25160,1,3,3
TREMEDRAFT_25176,1,13,13
TREMEDRAFT_25177,1,5,5
TREMEDRAFT_25178,1,10,10
