transcript_id,num_exon
XM_018328850.1,3
XM_018328851.1,3
XM_018328852.1,5
XM_018328853.1,4
XM_018328854.1,4
XM_018328857.1,5
XM_018328858.1,1
XM_018328859.1,4
XM_018328861.1,1
XM_018328862.1,4
XM_018328865.1,3
XM_018328866.1,4
XM_018328867.1,5
XM_018328870.1,2
XM_018328871.1,3
XM_018328872.1,1
XM_018328873.1,4
XM_018328875.1,3
XM_018328876.1,3
XM_018328879.1,1
XM_018328880.1,3
XM_018328882.1,3
XM_018328883.1,9
XM_018328884.1,2
XM_018328885.1,2
XM_018328886.1,1
XM_018328888.1,3
XM_018328890.1,4
XM_018328891.1,3
XM_018328893.1,3
XM_018328894.1,4
XM_018328895.1,2
XM_018328896.1,3
XM_018328897.1,4
XM_018328898.1,5
XM_018328899.1,2
XM_018328900.1,2
XM_018328901.1,4
XM_018328902.1,2
XM_018328903.1,4
XM_018328905.1,2
XM_018328906.1,1
XM_018328907.1,4
XM_018328908.1,4
XM_018328909.1,4
XM_018328911.1,4
XM_018328913.1,1
XM_018328915.1,6
XM_018328916.1,2
XM_018328917.1,3
XM_018328918.1,4
XM_018328920.1,2
XM_018328922.1,1
XM_018328923.1,6
XM_018328924.1,2
XM_018328925.1,3
XM_018328926.1,5
XM_018328928.1,5
XM_018328929.1,1
XM_018328931.1,4
XM_018328932.1,5
XM_018328933.1,4
XM_018328934.1,1
XM_018328935.1,3
XM_018328936.1,3
XM_018328939.1,4
XM_018328940.1,4
XM_018328941.1,5
XM_018328942.1,2
XM_018328943.1,4
XM_018328945.1,3
XM_018328946.1,6
XM_018328948.1,9
XM_018328950.1,5
XM_018328954.1,2
XM_018328956.1,4
XM_018328960.1,2
XM_018328962.1,5
XM_018328963.1,3
XM_018328964.1,2
XM_018328965.1,4
XM_018328966.1,5
XM_018328967.1,3
XM_018328969.1,5
XM_018328971.1,7
XM_018328972.1,3
XM_018328973.1,1
XM_018328977.1,3
XM_018328978.1,2
XM_018328979.1,6
XM_018328980.1,3
