transcript_id,num_exon
NM_001323297.1,10
NM_001323590.1,4
NM_001366156.1,8
XM_015614857.3,26
XM_015614858.2,12
XM_015614859.3,13
XM_015614860.2,11
XM_015614861.2,11
XM_015614862.2,10
XM_015614863.2,11
XM_015614864.2,10
XM_015614865.3,8
XM_015614869.3,6
XM_015614870.2,7
XM_015614872.3,8
XM_015614873.3,7
XM_015614874.3,7
XM_015614875.3,7
XM_015614876.1,7
XM_015614878.1,5
XM_015614879.3,6
XM_015614881.2,4
XM_015614883.1,4
XM_015614884.1,4
XM_015614885.3,5
XM_015614886.3,6
XM_015614887.3,5
XM_015614888.1,5
XM_015614889.2,5
XM_015614890.3,5
XM_015614892.3,10
XM_015614893.1,9
XM_015614894.1,8
XM_015614895.3,10
XM_015614898.3,9
XM_015614899.2,19
XM_015614900.3,20
XM_015614901.3,20
XM_015614902.1,13
XM_015614904.2,19
XM_015614908.3,6
XM_015614912.3,27
XM_015614913.3,27
XM_015614914.3,27
XM_015614918.3,8
XM_015614919.3,8
XM_015614920.3,11
XM_015614924.2,6
XM_015614925.3,9
XM_015614926.2,5
XM_015614928.2,16
XM_015614929.1,15
XM_015614931.3,15
XM_015614932.3,15
XM_015614933.1,14
XM_015614934.1,14
XM_015614936.1,12
XM_015614937.2,12
XM_015614938.2,12
XM_015614939.1,12
XM_015614940.2,11
XM_015614942.3,30
XM_015614944.3,29
XM_015614945.3,16
XM_015614946.1,11
XM_015614948.1,6
XM_015614950.3,6
XM_015614951.3,19
XM_015614952.3,18
XM_015614958.3,25
XM_015614961.3,50
XM_015614962.1,4
XM_015614963.3,6
XM_015614964.3,6
XM_015614965.2,6
XM_015614966.1,5
XM_015614967.1,4
XM_015614968.3,6
XM_015614969.3,5
XM_015614970.3,6
XM_015614972.3,14
XM_015614973.2,14
XM_015614974.2,14
XM_015614976.3,13
XM_015614977.2,10
XM_015614978.2,5
XM_015614979.3,6
XM_015614981.3,17
XM_015614982.3,17
XM_015614983.3,17
XM_015614987.3,6
XM_015614989.3,5
XM_015614990.3,2
XM_015614991.3,16
XM_015614993.3,13
XM_015614998.2,5
XM_015615002.3,15
XM_015615003.3,3
XM_015615004.3,3
XM_015615005.3,3
XM_015615006.3,3
XM_015615007.3,3
XM_015615008.3,17
XM_015615009.3,16
XM_015615011.2,17
XM_015615012.3,17
XM_015615013.2,5
XM_015615014.1,14
XM_015615015.1,12
XM_015615016.1,12
XM_015615018.2,11
XM_015615019.2,11
XM_015615020.1,11
XM_015615021.3,10
XM_015615022.3,10
XM_015615023.2,3
XM_015615025.3,24
XM_015615028.1,14
XM_015615030.2,2
XM_015615031.3,2
XM_015615033.3,2
XM_015615034.1,7
XM_015615035.2,7
XM_015615036.3,7
XM_015615037.1,9
XM_015615038.1,8
XM_015615040.3,4
XM_015615041.2,4
XM_015615042.3,10
XM_015615043.2,10
XM_015615046.3,12
XM_015615047.3,4
XM_015615048.3,4
XM_015615049.3,4
XM_015615050.3,3
XM_015615052.3,18
XM_015615053.3,10
XM_015615055.1,12
XM_015615056.3,9
XM_015615057.3,9
XM_015615059.3,8
XM_015615061.2,11
XM_015615063.2,12
XM_015615068.2,11
XM_015615069.3,16
XM_015615070.1,22
XM_015615071.3,16
XM_015615072.1,5
XM_015615073.3,18
XM_015615074.3,19
XM_015615075.3,18
XM_015615076.3,19
XM_015615077.3,17
XM_015615078.1,21
XM_015615079.1,20
XM_015615082.2,18
XM_015615083.3,18
XM_015615084.1,17
XM_015615085.1,20
XM_015615088.3,6
XM_015615089.2,14
XM_015615090.2,15
XM_015615094.2,5
XM_015615098.2,5
XM_015615099.2,20
XM_015615102.2,39
XM_015615103.3,18
XM_015615104.3,19
XM_015615107.3,4
XM_015615108.1,15
XM_015615109.1,19
XM_015615110.2,3
XM_015615114.3,7
XM_015615115.3,7
XM_015615116.3,7
XM_015615117.3,6
XM_015615118.3,6
XM_015615119.1,20
XM_015615121.3,10
XM_015615122.3,14
XM_015615123.3,15
XM_015615124.3,13
XM_015615125.3,13
XM_015615127.3,30
XM_015615128.1,19
XM_015615129.3,30
XM_015615130.3,30
XM_015615131.3,29
XM_015615133.3,28
XM_015615134.2,7
XM_015615135.3,7
XM_015615136.1,7
XM_015615137.2,6
XM_015615138.1,6
XM_015615140.3,7
XM_015615141.3,6
XM_015615142.3,8
XM_015615143.2,5
XM_015615144.2,9
XM_015615146.2,6
XM_015615147.3,7
XM_015615148.1,20
XM_015615149.3,7
XM_015615150.3,9
XM_015615152.3,10
XM_015615153.3,9
XM_015615154.3,17
XM_015615155.3,16
XM_015615157.2,8
XM_015615159.3,6
XM_015615160.3,15
XM_015615161.3,14
XM_015615162.2,2
XM_015615164.3,5
XM_015615165.2,8
XM_015615166.2,8
XM_015615167.3,4
XM_015615168.2,5
XM_015615169.2,14
XM_015615170.2,14
XM_015615171.3,18
XM_015615172.3,19
XM_015615173.3,23
XM_015615174.1,12
XM_015615175.2,12
XM_015615176.3,4
XM_015615177.2,4
XM_015615178.2,36
XM_015615179.2,35
XM_015615180.3,2
XM_015615181.2,12
XM_015615182.2,12
XM_015615183.3,11
XM_015615184.3,24
XM_015615185.1,11
XM_015615186.3,23
XM_015615188.3,7
XM_015615189.2,14
XM_015615190.3,7
XM_015615191.3,7
XM_015615192.3,7
XM_015615193.3,13
XM_015615194.3,12
XM_015615196.1,10
XM_015615199.1,10
XM_015615200.2,12
XM_015615203.1,30
XM_015615204.3,18
XM_015615205.3,23
XM_015615206.3,12
XM_015615207.2,12
XM_015615208.3,12
XM_015615209.3,7
XM_015615210.1,15
XM_015615211.1,15
XM_015615212.1,44
XM_015615213.2,10
XM_015615214.1,44
XM_015615215.3,44
XM_015615216.2,18
XM_015615217.3,18
XM_015615218.3,9
XM_015615219.2,9
XM_015615220.2,9
XM_015615221.1,9
XM_015615222.3,9
XM_015615223.3,9
XM_015615224.2,8
XM_015615225.3,8
XM_015615226.3,8
XM_015615227.3,8
XM_015615228.3,8
XM_015615229.3,8
XM_015615230.3,36
XM_015615233.2,31
XM_015615235.3,19
XM_015615243.3,4
XM_015615244.3,4
XM_015615245.2,18
XM_015615250.3,4
XM_015615252.1,6
XM_015615254.3,5
XM_015615258.2,3
XM_015615259.3,8
XM_015615260.3,8
XM_015615261.3,10
XM_015615262.3,2
XM_015615263.3,5
XM_015615264.1,14
XM_015615265.2,10
XM_015615266.3,65
XM_015615269.1,14
XM_015615270.3,8
XM_015615271.3,7
XM_015615272.3,7
XM_015615273.3,17
XM_015615274.2,2
XM_015615275.3,11
XM_015615276.2,4
XM_015615277.3,14
XM_015615278.1,15
XM_015615279.2,17
XM_015615280.3,5
XM_015615281.2,4
XM_015615282.2,23
XM_015615283.3,23
XM_015615284.2,13
XM_015615285.3,5
XM_015615286.1,5
XM_015615287.3,12
XM_015615289.2,10
XM_015615290.2,4
XM_015615291.3,8
XM_015615293.3,11
XM_015615295.2,10
XM_015615297.1,8
XM_015615298.2,8
XM_015615300.2,20
XM_015615301.2,19
XM_015615302.1,26
XM_015615303.3,10
XM_015615304.2,10
XM_015615305.2,10
XM_015615306.2,1
XM_015615307.2,2
XM_015615308.2,2
XM_015615309.3,4
XM_015615310.2,15
XM_015615311.2,16
XM_015615312.2,16
XM_015615313.3,13
XM_015615314.3,20
XM_015615317.2,2
XM_015615318.3,2
XM_015615319.3,2
XM_015615320.2,2
XM_015615321.1,10
XM_015615322.3,7
XM_015615323.3,7
XM_015615324.3,8
XM_015615326.3,7
XM_015615327.3,7
XM_015615328.3,8
XM_015615329.3,20
XM_015615330.3,20
XM_015615331.2,29
XM_015615338.2,2
XM_015615339.3,13
XM_015615340.3,4
XM_015615341.3,5
XM_015615342.3,9
XM_015615344.1,9
XM_015615351.3,3
XM_015615356.3,14
XM_015615359.2,18
XM_015615360.2,20
XM_015615361.2,20
XM_015615363.2,19
XM_015615364.1,4
XM_015615365.1,10
XM_015615366.3,10
XM_015615367.1,2
XM_015615368.2,11
XM_015615369.2,11
XM_015615370.2,11
XM_015615372.2,2
XM_015615373.2,10
XM_015615374.1,9
XM_015615375.2,6
