gene_id,num_transcript,num_exon,num_uniq_exon
A1CF,1,12,12
A2M,1,36,36
A4GNT,1,4,4
AAAS,3,53,22
AACS,1,18,18
AADAC,1,5,5
AADAT,1,13,13
AAGAB,2,20,11
AAK1,6,116,26
AAMDC,4,16,8
AANAT,1,4,4
AAR2,1,3,3
AARS1,1,21,21
AARS2,1,22,22
AASDH,2,28,16
AASDHPPT,2,12,7
AASS,1,23,23
AATF,2,24,14
ABAT,5,80,20
ABCA1,2,100,51
ABCA12,1,55,55
ABCA13,1,54,54
ABCA2,5,248,53
ABCA3,1,31,31
ABCA4,1,49,49
ABCA5,3,117,43
ABCA7,3,151,54
ABCB1,5,125,35
ABCB10,1,13,13
ABCB11,1,29,29
ABCB5,7,142,36
ABCB6,2,40,21
ABCB7,1,16,16
ABCB9,1,11,11
ABCC10,5,110,26
ABCC2,2,59,32
ABCC3,2,48,34
ABCC4,4,118,34
ABCC5,5,146,36
ABCC8,4,144,43
ABCC9,9,368,48
ABCD2,1,10,10
ABCD3,2,47,25
ABCD4,13,232,37
ABCE1,2,36,19
ABCF2,1,15,15
ABCG1,2,30,16
ABCG2,6,86,24
ABCG4,2,30,16
ABCG5,1,13,13
ABCG8,1,13,13
ABHD10,1,5,5
ABHD12,2,26,14
ABHD12B,1,13,13
ABHD13,4,11,6
ABHD14A,1,4,4
ABHD14B,1,4,4
ABHD15,1,2,2
ABHD17B,2,8,5
ABHD17C,1,3,3
ABHD18,2,25,15
ABHD2,2,23,13
ABHD3,1,9,9
ABHD5,1,7,7
ABHD6,3,29,12
ABHD8,1,5,5
ABI1,12,122,18
ABI2,25,245,16
ABITRAM,1,6,6
ABL1,2,22,12
ABL2,3,33,13
ABLIM1,32,756,46
ABLIM2,14,288,26
ABLIM3,6,131,26
ABR,5,99,28
ABRA,1,2,2
ABRACL,1,3,3
ABRAXAS1,3,24,11
ABRAXAS2,1,9,9
ABTB1,2,24,14
ABTB2,1,17,17
ACAA1,1,12,12
ACAA2,1,10,10
ACACA,7,391,63
ACACB,1,53,53
ACAD10,1,16,16
ACAD11,1,20,20
ACAD8,1,11,11
ACAD9,1,18,18
ACADL,1,11,11
ACADM,3,36,14
ACADS,2,20,12
ACADSB,3,32,13
ACAN,2,35,19
ACAP2,1,23,23
ACAP3,4,96,29
ACAT1,3,36,14
ACAT2,1,9,9
ACBD3,1,8,8
ACBD5,2,25,13
ACBD6,1,8,8
ACBD7,1,4,4
ACCS,2,31,17
ACE,1,25,25
ACE2,1,18,18
ACER1,2,14,8
ACER2,1,8,8
ACER3,1,11,11
ACKR2,2,7,5
ACKR3,1,2,2
ACKR4,1,2,2
ACLY,2,57,29
ACMSD,10,104,21
ACO1,5,104,26
ACO2,2,36,19
ACOD1,1,5,5
ACOT11,6,106,23
ACOT12,4,59,19
ACOT13,1,4,4
ACOT7,5,46,12
ACOT8,1,6,6
ACOT9,3,46,18
ACOX1,2,28,16
ACOX2,1,15,15
ACOX3,5,86,23
ACP1,2,12,8
ACP2,1,11,11
ACP6,5,40,13
ACSBG1,1,15,15
ACSBG2,1,16,16
ACSF2,1,16,16
ACSF3,1,10,10
ACSL1,3,63,23
ACSL3,5,79,22
ACSL4,5,80,21
ACSL5,2,40,23
ACSL6,8,169,29
ACSS1,1,14,14
ACSS2,2,37,20
ACSS3,3,47,19
ACTA1,1,7,7
ACTB,1,6,6
ACTC1,1,7,7
ACTL6A,1,14,14
ACTN1,7,150,25
ACTN2,1,21,21
ACTR10,1,13,13
ACTR1A,1,11,11
ACTR2,2,19,11
