gene_id,num_transcript,num_exon,num_uniq_exon
20ALPHA-HSD,1,9,9
A1BG,1,8,8
A1CF,6,72,18
A2M,2,74,39
A2ML1,5,181,44
A3GALT2,1,6,6
A4GALT,16,51,21
A4GNT,2,5,5
AAAS,2,32,18
AACS,4,70,23
AADAC,1,5,5
AADACL3,5,32,12
AADACL4,1,4,4
AADAT,2,24,15
AAED1,3,17,9
AAGAB,7,74,15
AAK1,30,599,35
AAMDC,4,17,9
AAMP,2,22,14
AANAT_1,1,4,4
AAR2,3,12,9
AARD,1,2,2
AARS,6,129,29
AARS2,5,107,26
AARSD1,12,92,32
AASDH,8,102,19
AASDHPPT,2,11,8
AASS,3,72,27
AATF,3,30,15
AATK,3,42,17
ABAT,4,66,22
ABCA1,6,300,56
ABCA10,5,192,43
ABCA12,1,53,53
ABCA13,1,45,45
ABCA2,4,194,52
ABCA3,5,166,40
ABCA4,1,50,50
ABCA5,3,116,41
ABCA6,11,447,55
ABCA7,15,679,62
ABCA9,6,211,46
ABCB1,1,29,29
ABCB10,1,13,13
ABCB11,2,55,33
ABCB4,3,79,31
ABCB5,1,28,28
ABCB6,2,38,21
ABCB7,4,61,21
ABCB8,1,17,17
ABCB9,4,46,16
ABCC1,7,217,37
ABCC10,3,66,26
ABCC11,1,30,30
ABCC12,1,29,29
ABCC2,1,32,32
ABCC3,1,32,32
ABCC5,10,234,45
ABCC6,3,91,35
ABCC8,6,223,49
ABCC9,6,236,47
ABCD1,1,10,10
ABCD2,1,2,2
ABCD3,1,23,23
ABCE1,2,36,21
ABCF1,1,25,25
ABCF2,3,45,19
ABCF3,2,36,24
ABCG1,3,44,19
ABCG2,21,345,34
ABCG4,5,75,21
ABCG5,1,13,13
ABCG8,2,26,16
ABHD1,2,17,11
ABHD10,1,5,5
ABHD11,2,11,8
ABHD12,9,130,28
ABHD12B,3,36,15
ABHD13,2,4,4
ABHD14A,2,12,8
ABHD14B,3,11,7
ABHD15,1,2,2
ABHD16A,2,40,22
ABHD16B,1,1,1
ABHD17A,1,5,5
ABHD17B,2,8,6
ABHD17C,1,3,3
ABHD18,10,125,24
ABHD2,3,34,15
ABHD3,1,9,9
ABHD4,3,21,12
ABHD5,5,40,15
ABHD6,5,47,16
ABHD8,1,5,5
ABI1,11,106,23
ABI2,14,146,26
ABI3,1,8,8
ABI3BP,1,59,59
ABL1,2,22,13
ABL2,8,96,19
ABLIM1,25,537,37
ABLIM2,37,771,33
ABLIM3,9,196,29
ABO,11,78,21
ABR,7,144,31
ABRA,1,2,2
ABRACL,2,6,5
ABRAXAS1,2,18,11
ABRAXAS2,1,9,9
ABT1,2,7,6
ABTB1,7,87,20
ABTB2,2,33,18
ACAA1,2,22,13
ACAA2,1,10,10
ACACA,13,710,70
ACACB,5,265,59
ACAD10,8,160,34
ACAD11,1,20,20
ACAD8,1,11,11
ACAD9,5,88,23
ACADL,5,52,17
ACADM,2,22,14
ACADS,2,19,12
ACADSB,2,22,13
ACADVL,2,39,22
ACAN,4,68,22
ACAP1,7,177,38
ACAP2,1,7,7
ACAP3,6,140,32
ACAT1,1,12,12
ACAT2,2,18,11
ACBD3,1,8,8
ACBD4,9,87,23
ACBD5,5,67,19
ACBD6,3,25,12
ACBD7,1,4,4
ACCS,4,60,20
ACCSL,1,14,14
ACD,6,75,16
ACE,2,39,27
ACE2,5,93,24
ACE3,1,15,15
ACER2,4,23,12
ACER3,3,35,16
ACHE,11,57,19
ACIN1,7,117,24
ACKR1,1,2,2
ACKR2,17,93,24
ACKR3,1,2,2
ACKR4,2,3,3
ACLY,3,86,33
ACMSD,4,37,16
ACO1,3,64,25
ACO2,1,18,18
ACOD1,2,9,6
ACOT11,1,6,6
ACOT12,1,15,15
ACOT13,1,3,3
ACOT2,1,5,5
ACOT2_1,1,3,3
ACOT4,1,3,3
ACOT6,2,6,6
ACOT7,6,55,16
ACOT8,3,19,11
ACOT9,1,15,15
ACOX1,3,43,19
ACOX2,16,250,34
ACOX3,6,97,27
ACOXL,6,112,25
ACP1,1,6,6
ACP2,4,44,15
ACP4,1,11,11
ACP5,2,12,8
ACP6,1,10,10
ACP7,1,12,12
ACPP,3,32,15
ACR,2,10,7
ACRBP,3,28,10
ACRV1,2,8,7
ACSBG1,3,45,18
ACSBG2,6,92,22
ACSF2,1,16,16
ACSF3,5,48,15
ACSL1,5,104,26
ACSL3,1,15,15
ACSL4,7,111,21
ACSL5,9,193,29
ACSL6,12,254,34
ACSM1,4,57,20
ACSM2B,3,42,18
ACSM3,1,14,14
ACSM4,1,13,13
ACSM5,5,63,19
ACSS1,4,54,20
ACSS2,4,74,22
ACSS3,4,64,23
ACTA1,2,14,9
ACTA2,2,18,11
ACTB,1,6,6
ACTBL2,2,3,3
ACTC1,1,7,7
ACTG1,1,5,5
ACTG2,1,9,9
ACTL6A,2,28,16
ACTL6B,1,14,14
ACTL7A,1,1,1
ACTL7B,1,1,1
ACTL8,1,2,2
ACTL9,1,1,1
ACTN1,5,106,28
ACTN2,1,21,21
ACTN3,2,41,24
ACTN4,12,256,28
ACTR10,1,13,13
ACTR1A,1,11,11
ACTR1B,3,33,15
ACTR2,1,9,9
ACTR3,1,12,12
ACTR3B,11,118,22
ACTR5,1,9,9
ACTR6,2,21,13
ACTR8,1,13,13
ACTRT2,1,1,1
ACTRT3,6,25,11
ACVR1,3,31,14
ACVR1B,2,18,10
ACVR1C,1,9,9
ACVR2A,1,11,11
ACVR2B,3,31,14
ACVRL1,4,36,14
ACY1,3,44,18
ACYP1,2,6,5
ACYP2,11,53,19
ADA,3,35,16
ADA2,4,39,13
ADAD1,2,25,14
ADAD2,3,31,14
ADAL,5,58,21
ADAM10,3,48,19
ADAM11,3,75,32
ADAM12,1,23,23
