gene_id,num_transcript,num_exon,num_uniq_exon
L228DRAFT_100707,1,1,1
L228DRAFT_100708,1,1,1
L228DRAFT_101896,1,1,1
L228DRAFT_10209,1,2,2
L228DRAFT_102244,1,2,2
L228DRAFT_102498,1,1,1
L228DRAFT_102541,1,1,1
L228DRAFT_10358,1,1,1
L228DRAFT_103707,1,1,1
L228DRAFT_103748,1,1,1
L228DRAFT_10439,1,2,2
L228DRAFT_104700,1,1,1
L228DRAFT_104887,1,1,1
L228DRAFT_105000,1,2,2
L228DRAFT_106174,1,1,1
L228DRAFT_106578,1,1,1
L228DRAFT_106608,1,1,1
L228DRAFT_106612,1,1,1
L228DRAFT_107170,1,1,1
L228DRAFT_107251,1,1,1
L228DRAFT_11006,1,1,1
L228DRAFT_113989,1,5,5
L228DRAFT_115131,1,1,1
L228DRAFT_115132,1,1,1
L228DRAFT_115871,1,1,1
L228DRAFT_116326,1,1,1
L228DRAFT_116631,1,1,1
L228DRAFT_11690,1,1,1
L228DRAFT_116921,1,1,1
L228DRAFT_116927,1,1,1
L228DRAFT_117047,1,3,3
L228DRAFT_117233,1,1,1
L228DRAFT_117257,1,1,1
L228DRAFT_117263,1,1,1
L228DRAFT_117481,1,1,1
L228DRAFT_118171,1,1,1
L228DRAFT_118352,1,1,1
L228DRAFT_118679,1,4,4
L228DRAFT_119366,1,1,1
L228DRAFT_119534,1,1,1
L228DRAFT_120022,1,2,2
L228DRAFT_120227,1,1,1
L228DRAFT_120248,1,1,1
L228DRAFT_120301,1,2,2
L228DRAFT_120717,1,1,1
L228DRAFT_121010,1,1,1
L228DRAFT_121377,1,1,1
L228DRAFT_12150,1,1,1
L228DRAFT_12155,1,1,1
L228DRAFT_121700,1,2,2
L228DRAFT_122236,1,1,1
L228DRAFT_122543,1,1,1
L228DRAFT_122598,1,3,3
L228DRAFT_122643,1,1,1
L228DRAFT_122665,1,1,1
L228DRAFT_123001,1,1,1
L228DRAFT_12374,1,2,2
L228DRAFT_123747,1,1,1
L228DRAFT_124077,1,1,1
L228DRAFT_124503,1,1,1
L228DRAFT_124584,1,1,1
L228DRAFT_125308,1,2,2
L228DRAFT_125607,1,1,1
L228DRAFT_126227,1,2,2
L228DRAFT_126942,1,1,1
L228DRAFT_127110,1,1,1
L228DRAFT_127217,1,1,1
L228DRAFT_127735,1,1,1
L228DRAFT_128505,1,1,1
L228DRAFT_128685,1,1,1
L228DRAFT_128695,1,1,1
L228DRAFT_128765,1,2,2
L228DRAFT_128908,1,1,1
L228DRAFT_128911,1,1,1
L228DRAFT_129208,1,1,1
L228DRAFT_129225,1,1,1
L228DRAFT_129527,1,2,2
L228DRAFT_12953,1,1,1
L228DRAFT_129839,1,1,1
L228DRAFT_130118,1,1,1
L228DRAFT_13019,1,3,3
L228DRAFT_130284,1,3,3
L228DRAFT_13269,1,1,1
L228DRAFT_13278,1,1,1
L228DRAFT_134627,1,1,1
L228DRAFT_135506,1,1,1
L228DRAFT_135678,1,1,1
L228DRAFT_135878,1,1,1
L228DRAFT_136237,1,2,2
L228DRAFT_136262,1,1,1
L228DRAFT_13715,1,1,1
L228DRAFT_137830,1,1,1
L228DRAFT_138110,1,1,1
L228DRAFT_139519,1,2,2
L228DRAFT_139795,1,1,1
L228DRAFT_139803,1,1,1
L228DRAFT_139819,1,1,1
L228DRAFT_139820,1,1,1
L228DRAFT_139991,1,1,1
L228DRAFT_140166,1,2,2
L228DRAFT_141085,1,2,2
L228DRAFT_141198,1,1,1
L228DRAFT_141201,1,1,1
L228DRAFT_141247,1,2,2
L228DRAFT_141356,1,1,1
L228DRAFT_142270,1,1,1
L228DRAFT_142387,1,1,1
L228DRAFT_142786,1,1,1
L228DRAFT_142797,1,1,1
L228DRAFT_14284,1,1,1
L228DRAFT_143190,1,1,1
L228DRAFT_143405,1,1,1
L228DRAFT_143715,1,1,1
L228DRAFT_143727,1,1,1
L228DRAFT_144499,1,1,1
L228DRAFT_144614,1,3,3
L228DRAFT_14502,1,1,1
L228DRAFT_145266,1,1,1
L228DRAFT_145379,1,1,1
L228DRAFT_145780,1,1,1
L228DRAFT_145906,1,1,1
L228DRAFT_14592,1,1,1
L228DRAFT_14598,1,1,1
L228DRAFT_146143,1,1,1
L228DRAFT_14671,1,1,1
L228DRAFT_146856,1,1,1
L228DRAFT_146922,1,1,1
L228DRAFT_146947,1,1,1
L228DRAFT_147018,1,2,2
L228DRAFT_147066,1,2,2
L228DRAFT_147137,1,1,1
L228DRAFT_147336,1,1,1
L228DRAFT_147672,1,1,1
L228DRAFT_147947,1,1,1
L228DRAFT_14885,1,2,2
L228DRAFT_149223,1,1,1
L228DRAFT_150252,1,1,1
L228DRAFT_15037,1,1,1
L228DRAFT_150560,1,1,1
L228DRAFT_150575,1,2,2
L228DRAFT_150840,1,2,2
L228DRAFT_151109,1,1,1
L228DRAFT_151159,1,1,1
L228DRAFT_151203,1,1,1
L228DRAFT_15135,1,1,1
L228DRAFT_151484,1,1,1
L228DRAFT_151687,1,1,1
L228DRAFT_151788,1,1,1
L228DRAFT_152361,1,1,1
L228DRAFT_152700,1,1,1
L228DRAFT_153258,1,1,1
L228DRAFT_153820,1,1,1
L228DRAFT_153868,1,1,1
L228DRAFT_154040,1,1,1
L228DRAFT_154115,1,1,1
L228DRAFT_154254,1,1,1
L228DRAFT_154346,1,1,1
L228DRAFT_154874,1,1,1
L228DRAFT_155037,1,1,1
L228DRAFT_155519,1,1,1
L228DRAFT_156560,1,1,1
L228DRAFT_156642,1,1,1
L228DRAFT_156645,1,1,1
L228DRAFT_156902,1,1,1
L228DRAFT_156930,1,2,2
L228DRAFT_157192,1,1,1
L228DRAFT_157203,1,1,1
L228DRAFT_157652,1,2,2
L228DRAFT_157696,1,1,1
L228DRAFT_157771,1,1,1
L228DRAFT_157890,1,1,1
L228DRAFT_158211,1,1,1
L228DRAFT_158685,1,2,2
L228DRAFT_159556,1,1,1
L228DRAFT_160259,1,1,1
L228DRAFT_160903,1,3,3
L228DRAFT_16097,1,1,1
