transcript_id,num_exon
XM_023872368.1,3
XM_023872373.2,6
XM_023872374.2,7
XM_023872382.2,4
XM_023872383.2,5
XM_023872387.2,2
XM_023872388.2,2
XM_023872402.1,1
XM_023872418.2,4
XM_023872430.2,2
XM_023872441.1,1
XM_023872444.1,1
XM_023872448.1,2
XM_023872453.1,1
XM_023872479.2,4
XM_023872517.1,1
XM_023872521.1,1
XM_023872537.1,7
XM_023872540.2,4
XM_023872541.2,4
XM_023872542.2,4
XM_023872545.2,18
XM_023872546.2,18
XM_023872550.2,12
XM_023872571.2,2
XM_023872581.1,4
XM_023872585.2,2
XM_023872609.1,1
XM_023872613.1,5
XM_023872617.1,1
XM_023872618.1,5
XM_023872673.2,2
XM_023872684.2,4
XM_023872685.2,5
XM_023872687.2,4
XM_023872707.2,4
XM_023872709.2,4
XM_023872710.2,4
XM_023872711.2,5
XM_023872712.2,5
XM_023872764.2,2
XM_023872826.2,2
XM_023872837.2,2
XM_023872846.2,3
XM_023872852.1,2
XM_023872855.1,2
XM_023872858.1,6
XM_023872859.1,1
XM_023872862.2,2
XM_023872863.1,2
XM_023872873.1,8
XM_023872876.1,8
XM_023872889.1,1
XM_023872990.1,3
XM_023872993.1,7
XM_023873026.2,2
XM_023873103.1,1
XM_023873105.1,2
XM_023873106.1,1
XM_023873111.2,8
XM_023873114.1,2
XM_023873125.1,1
XM_023873126.1,1
XM_023873139.2,3
XM_023873140.2,3
XM_023873147.1,3
XM_023873151.1,1
XM_023873153.1,3
XM_023873155.1,2
XM_023873157.1,2
XM_023873175.2,2
XM_023873180.2,3
XM_023873184.2,4
XM_023873187.1,2
XM_023873302.2,2
XM_023873322.1,1
XM_023873352.2,8
XM_023873354.1,3
XM_023873377.1,1
XM_023873379.1,2
XM_023873381.1,2
XM_023873386.1,1
XM_023873388.1,1
XM_023873390.1,2
XM_023873394.1,2
XM_023873421.2,4
XM_023873422.2,4
XM_023873443.1,2
XM_023873446.1,3
XM_023873447.1,2
XM_023873448.1,2
XM_023873455.1,1
XM_023873459.2,5
XM_023873460.2,6
XM_023873462.2,5
XM_023873471.1,2
XM_023873518.1,2
XM_023873534.1,2
XM_023873543.1,3
XM_023873548.2,10
XM_023873550.2,5
XM_023873551.2,12
XM_023873552.2,12
XM_023873578.2,9
XM_023873580.1,1
XM_023873581.1,1
XM_023873584.1,6
XM_023873591.2,1
XM_023873604.1,2
XM_023873605.1,1
XM_023873634.1,3
XM_023873635.2,6
XM_023873648.2,4
XM_023873650.2,2
XM_023873651.2,1
XM_023873654.1,2
XM_023873655.2,2
XM_023873671.2,1
XM_023873676.1,5
XM_023873679.1,4
XM_023873685.1,1
XM_023873686.1,1
XM_023873691.1,1
XM_023873692.2,12
XM_023873700.1,1
XM_023873732.2,3
XM_023873794.1,2
XM_023873796.1,3
XM_023873819.2,2
XM_023873820.2,2
XM_023873859.1,3
XM_023873861.1,3
XM_023873923.1,2
XM_023873929.1,1
XM_023873932.1,2
XM_023873954.1,2
XM_023873956.2,11
XM_023873966.2,6
XM_023873975.2,2
XM_023873982.1,2
XM_023873983.1,2
XM_023873985.1,1
XM_023873988.1,2
XM_023873990.2,5
XM_023873992.1,5
XM_023873994.2,4
XM_023874000.2,4
XM_023874008.2,3
XM_023874012.2,4
XM_023874020.2,4
XM_023874028.2,4
XM_023874036.2,4
XM_023874047.1,4
XM_023874049.2,5
XM_023874065.2,6
XM_023874069.1,1
XM_023874070.1,3
XM_023874074.2,4
XM_023874077.2,6
XM_023874078.1,1
XM_023874079.1,3
XM_023874092.1,2
XM_023874095.2,3
XM_023874120.1,2
XM_023874124.2,2
XM_023874127.1,1
XM_023874128.1,1
XM_023874138.2,9
XM_023874140.1,3
XM_023874145.1,2
XM_023874195.2,2
XM_023874197.2,2
XM_023874198.2,2
XM_023874199.2,2
XM_023874206.1,1
XM_023874211.1,1
XM_023874215.2,2
XM_023874216.1,1
XM_023874244.1,2
XM_023874251.1,1
XM_023874252.1,3
XM_023874276.2,4
XM_023874286.1,1
XM_023874289.1,1
XM_023874295.1,1
XM_023874300.2,6
XM_023874341.1,5
XM_023874342.1,1
XM_023874344.1,1
XM_023874348.1,1
XM_023874359.2,2
XM_023874361.2,6
XM_023874363.2,1
XM_023874376.2,1
XM_023874388.2,3
XM_023874396.1,4
XM_023874399.1,1
XM_023874406.1,1
XM_023874408.1,1
XM_023874459.1,1
XM_023874471.2,3
XM_023874475.1,1
XM_023874562.1,1
XM_023874564.1,3
XM_023874600.1,2
XM_023874602.1,2
XM_023874628.2,6
XM_023874646.2,1
XM_023874648.2,1
XM_023874659.2,5
XM_023874661.1,3
XM_023874662.1,9
XM_023874667.1,1
XM_023874668.1,1
XM_023874670.2,3
XM_023874694.2,3
XM_023874725.1,1
XM_023874732.1,4
XM_023874736.1,1
XM_023874762.1,1
XM_023874803.1,1
XM_023874829.1,2
XM_023874833.1,5
XM_023874846.2,1
XM_023874847.1,1
XM_023874848.1,4
XM_023874871.1,1
XM_023874872.1,1
XM_023874875.1,1
XM_023874877.1,1
XM_023874881.1,10
XM_023874882.1,2
XM_023874884.1,3
XM_023874886.2,5
XM_023874902.1,9
XM_023874904.2,4
XM_023874912.2,1
XM_023874915.1,1
XM_023874919.1,1
XM_023874964.1,3
XM_023874968.1,6
XM_023874969.1,3
XM_023874994.2,6
XM_023875021.2,3
XM_023875022.2,2
XM_023875043.2,4
XM_023875071.2,2
XM_023875098.1,1
XM_023875105.1,1
XM_023875116.1,3
XM_023875117.1,3
XM_023875118.1,1
XM_023875120.1,1
XM_023875123.2,2
XM_023875187.2,1
XM_023875195.1,2
XM_023875223.1,1
XM_023875228.1,1
XM_023875238.1,3
XM_023875285.1,1
XM_023875288.2,3
XM_023875296.1,1
XM_023875314.2,2
XM_023875315.2,2
XM_023875321.2,3
XM_023875329.1,1
XM_023875355.1,1
XM_023875358.2,2
XM_023875392.2,4
XM_023875393.2,5
XM_023875394.2,4
XM_023875403.2,9
XM_023875413.1,7
XM_023875414.2,9
XM_023875435.1,1
XM_023875437.1,2
XM_023875438.1,8
XM_023875439.1,8
XM_023875469.2,5
XM_023875483.1,1
XM_023875485.2,4
XM_023875487.1,2
XM_023875491.2,5
XM_023875511.2,3
XM_023875519.2,1
XM_023875527.1,1
XM_023875559.1,7
XM_023875562.1,2
XM_023875563.1,2
XM_023875565.1,2
XM_023875566.1,3
XM_023875605.2,1
XM_023875615.2,2
XM_023875621.1,2
XM_023875625.1,1
XM_023875655.2,4
XM_023875667.1,4
XM_023875669.2,5
XM_023875688.1,1
XM_023875689.1,5
XM_023875711.2,2
XM_023875712.2,2
XM_023875714.1,1
XM_023875721.1,3
XM_023875732.1,5
XM_023875738.1,1
XM_023875739.1,2
XM_023875740.2,2
XM_023875761.2,2
XM_023875771.2,3
XM_023875772.2,3
XM_023875773.2,2
XM_023875774.2,3
XM_023875777.1,1
XM_023875785.1,7
XM_023875787.1,4
XM_023875790.2,4
XM_023875795.2,8
XM_023875806.2,2
XM_023875875.2,1
XM_023875877.2,1
XM_023875932.2,1
XM_023875937.1,2
XM_023875938.1,2
XM_023875941.1,1
XM_023875943.2,1
XM_023875944.2,4
XM_023875948.1,5
XM_023875949.2,7
XM_023875998.1,1
XM_023876000.1,2
XM_023876010.1,2
XM_023876011.1,2
XM_023876036.2,5
XM_023876037.2,3
XM_023876044.2,5
XM_023876045.2,1
XM_023876046.2,5
XM_023876048.2,9
XM_023876049.2,10
XM_023876079.1,1
XM_023876083.2,2
XM_023876084.2,1
XM_023876097.1,4
XM_023876107.1,2
XM_023876110.1,2
XM_023876112.2,4
XM_023876113.1,2
XM_023876114.1,1
XM_023876145.1,1
XM_023876167.1,4
XM_023876176.2,1
XM_023876179.1,1
XM_023876193.2,3
XM_023876214.2,4
XM_023876216.2,14
XM_023876217.2,15
XM_023876218.2,14
XM_023876224.2,9
XM_023876227.2,1
XM_023876228.1,1
XM_023876243.1,1
XM_023876262.1,8
XM_023876284.2,7
XM_023876285.2,6
XM_023876306.1,4
XM_023876318.1,1
XM_023876319.2,1
XM_023876341.1,1
XM_023876351.1,2
XM_023876357.1,1
XM_023876364.2,3
XM_023876365.1,2
XM_023876366.2,1
XM_023876375.2,4
XM_023876380.2,5
XM_023876386.2,8
XM_023876391.2,4
XM_023876418.2,8
XM_023876425.1,1
XM_023876427.1,2
XM_023876435.1,1
XM_023876436.1,1
XM_023876444.2,2
XM_023876469.2,2
XM_023876484.2,6
XM_023876499.1,3
XM_023876503.1,1
XM_023876512.1,2
XM_023876552.2,13
XM_023876553.2,8
XM_023876564.2,5
XM_023876568.1,2
XM_023876569.1,1
XM_023876570.1,2
XM_023876573.1,1
XM_023876576.1,1
XM_023876593.2,2
XM_023876627.1,1
XM_023876631.2,3
XM_023876637.1,3
XM_023876663.1,1
XM_023876694.2,2
XM_023876762.2,3
XM_023876768.2,2
XM_023876784.1,1
XM_023876785.1,3
XM_023876786.1,2
XM_023876790.1,2
XM_023876795.2,3
XM_023876800.1,1
XM_023876808.2,5
XM_023876810.2,5
XM_023876811.2,6
XM_023876813.2,5
XM_023876814.2,5
XM_023876826.1,1
XM_023876839.1,4
XM_023876842.1,3
XM_023876843.1,4
XM_023876861.2,2
XM_023876875.1,7
XM_023876878.1,1
XM_023876890.1,1
XM_023876930.1,1
XM_023876931.1,2
XM_023876960.2,4
XM_023877011.2,2
XM_023877020.1,1
XM_023877023.1,2
XM_023877026.1,4
XM_023877027.1,3
XM_023877092.1,2
XM_023877100.1,4
XM_023877118.2,6
XM_023877119.2,7
XM_023877120.2,5
XM_023877121.2,6
XM_023877143.2,2
XM_023877145.2,3
XM_023877164.2,5
XM_023877166.1,6
XM_023877173.1,1
XM_023877179.1,4
XM_023877185.1,1
XM_023877195.1,3
XM_023877244.2,2
XM_023877247.2,2
XM_023877300.1,2
XM_023877324.1,2
XM_023877325.1,1
XM_023877327.1,1
XM_023877332.2,6
XM_023877334.1,5
XM_023877335.2,6
XM_023877342.1,4
XM_023877345.1,4
XM_023877349.1,7
XM_023877350.2,2
XM_023877355.2,3
XM_023877356.1,2
XM_023877363.1,1
XM_023877366.1,3
XM_023877367.1,1
XM_023877368.1,2
XM_023877369.1,2
XM_023877381.2,4
XM_023877389.2,3
XM_023877392.1,3
XM_023877412.2,3
XM_023877426.2,2
XM_023877431.1,3
XM_023877450.1,1
XM_023877451.1,8
XM_023877454.1,3
XM_023877485.2,1
XM_023877506.1,3
XM_023877511.1,1
XM_023877526.1,1
XM_023877527.2,2
XM_023877539.1,7
XM_023877566.1,1
XM_023877567.1,2
XM_023877603.2,4
XM_023877604.2,4
XM_023877631.2,4
XM_023877670.2,1
XM_023877678.2,7
XM_023877681.2,6
XM_023877700.2,1
XM_023877703.1,7
XM_023877706.1,1
XM_023877713.1,3
XM_023877715.1,1
XM_023877719.1,3
XM_023877734.2,1
XM_023877742.2,3
XM_023877747.1,1
XM_023877748.2,3
XM_023877749.2,4
XM_023877750.2,4
XM_023877751.2,4
XM_023877764.1,1
XM_023877792.1,2
XM_023877793.1,2
XM_023877798.1,5
XM_023877801.2,3
XM_023877822.2,4
XM_023877849.1,1
XM_023877866.1,2
XM_023877867.2,4
XM_023877872.1,2
XM_023877874.1,1
XM_023877881.2,8
XM_023877885.1,2
XM_023877886.2,3
XM_023877887.2,3
XM_023877892.2,11
XM_023877893.2,2
XM_023877905.1,1
XM_023877909.2,1
XM_023877918.2,14
XM_023877975.2,3
XM_023878007.1,3
XM_023878019.1,1
XM_023878041.2,2
XM_023878067.1,2
XM_023878070.1,1
XM_023878082.1,1
XM_023878084.2,5
XM_023878085.2,5
XM_023878086.2,4
XM_023878087.1,1
XM_023878102.2,1
XM_023878107.2,1
XM_023878126.1,1
XM_023878147.1,2
XM_023878149.1,1
XM_023878151.1,7
XM_023878168.2,4
XM_023878181.2,3
XM_023878208.1,1
XM_023878213.1,6
XM_023878214.1,1
XM_023878217.1,2
XM_023878221.1,1
XM_023878222.1,3
XM_023878223.1,3
XM_023878228.1,4
XM_023878238.2,2
XM_023878260.2,4
XM_023878261.2,3
XM_023878280.1,1
XM_023878339.2,4
XM_023878358.1,2
XM_023878360.1,1
XM_023878372.1,1
XM_023878387.2,3
XM_023878391.1,3
XM_023878415.2,8
XM_023878424.1,6
XM_023878426.1,9
XM_023878441.2,2
XM_023878498.2,3
XM_023878507.1,3
XM_023878551.1,3
XM_023878557.1,3
XM_023878558.2,5
XM_023878569.1,6
XM_023878585.1,1
XM_023878586.1,3
XM_023878595.1,5
XM_023878599.1,5
XM_023878600.1,1
XM_023878602.1,4
XM_023878607.2,1
XM_023878644.2,5
XM_023878679.1,1
XM_023878696.1,1
XM_023878704.2,2
XM_023878710.1,3
XM_023878711.1,3
XM_023878720.1,2
XM_023878721.1,1
XM_023878727.1,4
XM_023878754.1,3
XM_023878759.2,1
XM_023878780.1,12
XM_023878791.2,4
XM_023878799.2,4
XM_023878806.1,2
XM_023878809.1,2
XM_023878815.1,1
XM_023878819.1,9
XM_023878823.2,2
XM_023878836.1,1
XM_023878842.1,1
XM_023878864.1,2
XM_023878869.2,1
XM_023878874.1,1
XM_023878876.2,8
XM_023878891.2,7
XM_023878892.2,7
XM_023878917.1,16
XM_023878927.1,1
XM_023878936.2,3
XM_023878994.1,2
XM_023879006.1,2
XM_023879007.1,2
XM_023879012.1,2
XM_023879019.1,3
XM_023879025.1,1
XM_023879027.1,2
XM_023879033.2,3
XM_023879054.1,3
XM_023879057.2,3
XM_023879062.2,1
XM_023879070.2,8
XM_023879072.2,2
XM_023879088.1,3
XM_023879089.1,3
XM_023879093.2,2
XM_023879095.1,5
XM_023879096.1,1
XM_023879111.2,6
XM_023879112.2,6
XM_023879113.2,6
XM_023879122.2,7
XM_023879123.2,7
XM_023879124.2,8
XM_023879125.2,7
XM_023879139.1,4
XM_023879143.1,1
XM_023879146.1,2
XM_023879186.2,1
XM_023879202.1,3
XM_023879209.1,5
XM_023879230.1,4
XM_023879231.1,1
XM_023879232.1,3
XM_023879249.1,4
XM_023879262.1,2
XM_023879277.1,1
XM_023879303.2,2
XM_023879304.2,4
XM_023879347.1,1
XM_023879349.1,5
XM_023879353.1,2
XM_023879366.2,2
XM_023879413.2,6
XM_023879430.1,7
XM_023879432.1,2
XM_023879434.1,1
XM_023879457.1,3
XM_023879483.1,1
XM_023879521.1,1
XM_023879523.1,2
XM_023879526.1,1
XM_023879528.1,6
XM_023879538.1,1
XM_023879541.1,2
XM_023879563.1,2
XM_023879574.1,2
XM_023879582.1,2
XM_023879583.1,1
XM_023879586.1,1
XM_023879593.1,1
XM_023879609.1,2
XM_023879621.2,3
XM_023879646.1,2
XM_023879660.2,3
XM_023879666.1,2
XM_023879669.1,3
XM_023879679.1,3
XM_023879680.2,2
XM_023879690.1,1
XM_023879694.1,2
XM_023879726.2,8
XM_023879733.1,4
XM_023879770.2,9
XM_023879788.1,2
XM_023879799.1,1
XM_023879807.1,2
XM_023879811.1,2
XM_023879815.1,4
XM_023879818.2,8
XM_023879819.2,7
XM_023879829.2,2
XM_023879830.2,2
XM_023879831.2,2
XM_023879832.2,3
XM_023879833.2,2
XM_023879834.2,2
XM_023879835.2,2
XM_023879837.2,2
XM_023879838.2,2
XM_023879843.1,1
XM_023879844.1,2
XM_023879847.1,2
XM_023879848.2,2
XM_023879849.2,2
XM_023879850.2,2
XM_023879854.2,2
XM_023879860.2,2
XM_023879886.1,1
XM_023879907.2,2
XM_023879919.1,2
XM_023879920.1,2
XM_023879927.2,2
XM_023879937.1,3
XM_023879951.1,1
XM_023879954.1,2
XM_023879955.2,2
XM_023879971.2,5
XM_023879986.1,2
XM_023879998.1,1
XM_023880005.1,1
XM_023880037.1,2
XM_023880039.1,8
XM_023880041.2,3
XM_023880045.1,2
XM_023880071.1,3
XM_023880075.2,5
XM_023880087.1,1
XM_023880090.1,3
XM_023880092.1,2
XM_023880102.1,2
XM_023880103.1,1
XM_023880105.1,6
XM_023880108.1,9
XM_023880135.1,1
XM_023880136.1,1
XM_023880139.1,2
XM_023880140.1,2
XM_023880141.1,1
XM_023880172.1,1
XM_023880276.1,1
XM_023880284.1,4
XM_023880291.2,2
XM_023880347.2,2
XM_023880366.1,1
XM_023880376.2,1
XM_023880383.1,1
XM_023880385.1,2
XM_023880386.1,4
XM_023880401.2,2
XM_023880404.2,2
XM_023880409.2,1
XM_023880439.1,2
XM_023880467.1,3
XM_023880471.2,8
XM_023880472.1,1
XM_023880474.1,3
XM_023880482.2,2
XM_023880493.1,1
XM_023880503.2,2
XM_023880507.2,5
XM_023880508.2,6
XM_023880530.1,1
XM_023880531.1,3
XM_023880533.1,2
XM_023880542.1,4
XM_023880547.1,8
XM_023880548.1,1
XM_023880559.2,5
XM_023880560.2,4
XM_023880595.2,2
XM_023880651.2,16
XM_023880653.2,11
XM_023880654.2,17
XM_023880719.2,8
XM_023880760.1,2
XM_023880763.1,1
XM_023880765.1,1
XM_023880793.2,2
XM_023880795.2,10
XM_023880796.2,10
XM_023880797.2,10
XM_023880803.2,2
XM_023880804.1,9
XM_023880823.1,1
XM_023880826.1,2
XM_023880868.2,1
XM_023880872.1,1
XM_023880891.2,3
XM_023880902.2,2
XM_023880908.2,2
XM_023880909.2,3
XM_023880920.1,1
XM_023880935.1,1
XM_023880936.1,1
XM_023880938.1,4
XM_023880958.2,4
XM_023880968.2,3
XM_023880969.2,3
XM_023880979.2,5
XM_023880980.2,5
XM_023880988.2,3
XM_023880992.2,4
XM_023880993.2,4
XM_023881004.1,4
XM_023881009.1,2
XM_023881017.2,3
XM_023881018.2,2
XM_023881077.1,6
XM_023881083.1,1
XM_023881085.1,1
XM_023881100.1,1
XM_023881137.1,2
XM_023881138.1,2
XM_023881141.2,2
XM_023881148.1,2
XM_023881150.1,1
XM_023881163.2,4
XM_023881167.1,1
XM_023881189.2,4
XM_023881205.1,4
XM_023881219.2,6
XM_023881220.2,5
XM_023881221.2,4
XM_023881222.2,5
XM_023881228.2,6
XM_023881238.1,1
XM_023881239.1,4
XM_023881240.1,5
XM_023881241.2,5
XM_023881243.2,5
XM_023881245.1,3
XM_023881247.2,4
XM_023881255.2,5
XM_023881272.2,4
XM_023881282.2,1
XM_023881290.1,4
XM_023881299.1,1
XM_023881303.1,2
XM_023881325.1,1
XM_023881349.2,7
XM_023881351.2,10
XM_023881362.1,2
XM_023881364.1,5
XM_023881399.1,4
XM_023881401.1,1
XM_023881410.1,2
XM_023881415.2,2
XM_023881419.2,4
XM_023881423.2,4
XM_023881429.2,5
XM_023881432.1,2
XM_023881439.2,2
XM_023881440.1,1
XM_023881443.1,6
XM_023881444.1,4
XM_023881450.2,2
XM_023881472.1,2
XM_023881480.1,1
XM_023881482.1,3
XM_023881485.1,3
XM_023881492.1,4
XM_023881522.1,2
XM_023881523.1,2
XM_023881529.2,4
XM_023881535.1,3
XM_023881545.1,2
XM_023881554.1,2
XM_023881555.1,3
XM_023881557.1,3
XM_023881563.2,2
XM_023881579.2,4
XM_023881583.1,3
XM_023881634.2,1
XM_023881652.1,3
XM_023881654.1,2
XM_023881656.1,1
XM_023881658.1,4
XM_023881666.1,4
XM_023881680.2,6
XM_023881686.1,1
XM_023881689.2,6
XM_023881699.1,2
XM_023881723.2,1
XM_023881731.1,1
XM_023881781.2,3
XM_023881796.1,3
XM_023881798.1,1
XM_023881804.1,1
XM_023881808.1,1
XM_023881809.1,1
XM_023881814.1,1
XM_023881826.2,2
XM_023881828.2,3
XM_023881850.1,4
XM_023881851.1,2
XM_023881858.2,11
XM_023881871.2,4
XM_023881879.1,4
XM_023881940.1,6
XM_023881943.1,2
XM_023881966.2,4
XM_023881970.1,4
XM_023881974.1,3
XM_023881982.2,2
XM_023882018.1,3
XM_023882021.2,2
XM_023882027.1,1
XM_023882029.1,2
XM_023882044.2,8
XM_023882046.2,9
XM_023882054.1,4
XM_023882081.1,2
XM_023882103.2,6
XM_023882104.2,5
XM_023882148.2,2
XM_023882162.2,2
XM_023882200.2,2
XM_023882203.2,3
XM_023882229.1,1
XM_023882235.2,2
XM_023882237.1,1
XM_023882245.1,1
XM_023882252.1,2
XM_023882253.1,3
XM_023882264.2,7
XM_023882294.2,2
XM_023882298.2,8
XM_023882363.1,1
XM_023882379.2,15
XM_023882384.2,14
XM_023882385.1,1
XM_023882388.2,3
XM_023882420.1,3
XM_023882422.1,2
XM_023882430.1,2
XM_023882432.1,2
XM_023882439.1,2
XM_023882478.2,5
XM_023882479.2,5
XM_023882480.2,5
XM_023882481.2,5
XM_023882491.2,5
XM_023882492.2,6
XM_023882495.1,3
XM_023882507.1,2
XM_023882510.1,2
XM_023882518.1,1
XM_023882522.1,2
XM_023882523.1,1
XM_023882526.1,1
XM_023882539.2,10
XM_023882540.2,10
XM_023882548.2,2
XM_023882556.1,3
XM_023882595.2,4
XM_023882598.2,2
XM_023882616.2,3
XM_023882620.1,2
XM_023882706.2,3
XM_023882754.1,1
XM_023882757.2,16
XM_023882759.2,3
XM_023882760.1,6
XM_023882761.1,5
XM_023882765.1,1
XM_023882766.2,4
XM_023882794.2,7
XM_023882829.1,1
XM_023882843.1,2
XM_023882847.1,1
XM_023882859.2,3
XM_023882879.2,2
XM_023882880.2,3
XM_023882930.2,3
XM_023882939.1,3
XM_023882940.1,9
XM_023882970.1,1
XM_023882980.2,5
XM_023882983.1,1
XM_023882984.1,1
XM_023883012.1,1
XM_023883020.1,2
XM_023883077.2,9
XM_023883078.2,9
XM_023883113.2,2
XM_023883134.1,1
XM_023883137.1,1
XM_023883146.1,2
XM_023883150.1,2
XM_023883165.1,1
XM_023883178.2,1
XM_023883185.1,6
XM_023883195.1,3
XM_023883204.2,1
XM_023883209.1,1
XM_023883256.2,6
XM_023883267.1,2
XM_023883270.1,3
XM_023883280.1,2
XM_023883291.2,1
XM_023883299.1,1
XM_023883300.1,5
XM_023883301.1,2
XM_023883310.1,1
XM_023883311.1,1
XM_023883316.2,6
XM_023883331.2,6
XM_023883346.2,18
XM_023883387.2,6
XM_023883392.1,1
XM_023883394.1,3
XM_023883398.1,1
XM_023883403.1,2
XM_023883412.1,1
XM_023883431.1,3
XM_023883432.1,2
XM_023883445.2,2
XM_023883453.2,4
XM_023883454.2,2
XM_023883455.2,4
XM_023883459.1,2
XM_023883463.1,2
XM_023883474.1,1
XM_023883523.2,2
XM_023883548.1,1
XM_023883552.1,2
XM_023883555.1,1
XM_023883558.1,4
XM_023883582.1,1
XM_023883587.1,3
XM_023883613.2,10
XM_023883644.2,2
XM_023883649.1,1
XM_023883655.2,6
XM_023883659.1,2
XM_023883660.1,3
XM_023883684.2,2
XM_023883685.2,2
XM_023883687.2,3
XM_023883688.2,3
XM_023883705.1,2
XM_023883728.2,2
XM_023883731.1,1
XM_023883738.1,2
XM_023883756.2,6
XM_023883760.2,2
XM_023883774.2,2
XM_023883776.2,2
XM_023883780.1,2
XM_023883782.1,3
XM_023883801.2,6
XM_023883802.2,6
XM_023883803.2,4
XM_023883804.2,5
XM_023883805.2,4
XM_023883806.2,4
XM_023883823.2,3
XM_023883872.1,1
XM_023883874.1,4
XM_023883875.1,2
XM_023883878.1,1
XM_023883892.1,2
XM_023883895.2,2
XM_023883909.2,1
XM_023883932.1,1
XM_023883947.2,7
XM_023883952.1,1
XM_023883953.1,4
XM_023883979.1,4
XM_023883982.2,6
XM_023883998.1,3
XM_023884001.1,2
XM_023884002.1,1
XM_023884029.2,2
XM_023884033.2,2
XM_023884035.2,2
XM_023884044.2,2
XM_023884047.2,2
XM_023884089.2,2
XM_023884094.1,3
XM_023884095.1,1
XM_023884100.1,8
XM_023884109.1,1
XM_023884113.1,4
XM_023884125.1,1
XM_023884147.2,2
XM_023884149.1,8
XM_023884152.1,1
XM_023884155.2,3
XM_023884172.2,4
XM_023884174.2,6
XM_023884175.2,6
XM_023884178.2,13
XM_023884187.1,2
XM_023884190.1,5
XM_023884202.2,3
XM_023884205.2,4
XM_023884266.2,1
XM_023884271.1,1
XM_023884281.1,8
XM_023884283.1,1
XM_023884291.1,2
XM_023884299.1,2
XM_023884306.2,1
XM_023884312.2,11
XM_023884313.2,12
XM_023884338.1,2
XM_023884341.2,6
XM_023884378.1,1
