gene_id,num_transcript,num_exon,num_uniq_exon
LOC107275247,1,1,1
LOC107275264,1,2,2
LOC107275268,1,9,9
LOC107275271,1,1,1
LOC107275275,1,2,2
LOC107275276,1,2,2
LOC107275281,1,1,1
LOC107275287,2,4,4
LOC107275297,1,6,6
LOC107275302,1,5,5
LOC107275306,1,2,2
LOC107275318,1,2,2
LOC107275319,1,3,3
LOC107275320,1,2,2
LOC107275321,1,2,2
LOC107275328,1,2,2
LOC107275334,1,1,1
LOC107275336,1,2,2
LOC107275342,1,1,1
LOC107275343,1,3,3
LOC107275358,1,1,1
LOC107275359,1,3,3
LOC107275362,1,1,1
LOC107275364,1,1,1
LOC107275371,1,1,1
LOC107275372,1,1,1
LOC107275376,1,1,1
LOC107275377,1,1,1
LOC107275378,1,1,1
LOC107275379,1,1,1
LOC107275383,1,1,1
LOC107275384,1,1,1
LOC107275393,1,1,1
LOC107275398,1,1,1
LOC107275405,1,2,2
LOC107275407,1,1,1
LOC107275408,1,1,1
LOC107275411,1,2,2
LOC107275413,1,1,1
LOC107275414,1,1,1
LOC107275418,1,1,1
LOC107275421,1,1,1
LOC107275424,1,1,1
LOC107275428,1,4,4
LOC107275430,1,1,1
LOC107275432,1,1,1
LOC107275439,1,1,1
LOC107275442,1,2,2
LOC107275460,1,1,1
LOC107275461,1,1,1
LOC107275463,1,3,3
LOC107275465,1,1,1
LOC107275477,1,1,1
LOC107275483,1,1,1
LOC107275486,1,1,1
LOC107275488,1,1,1
LOC107275502,1,1,1
LOC107275508,1,1,1
LOC107275509,1,1,1
LOC107275515,1,1,1
LOC107275520,1,1,1
LOC107275527,1,1,1
LOC107275528,1,1,1
LOC107275531,1,1,1
LOC107275536,1,1,1
LOC107275541,1,1,1
LOC107275546,1,1,1
LOC107275549,1,1,1
LOC107275551,1,1,1
LOC107275553,1,2,2
LOC107275559,1,1,1
LOC107275561,1,4,4
LOC107275564,1,1,1
LOC107275565,1,1,1
LOC107275583,1,1,1
LOC107275591,1,1,1
LOC107275592,1,1,1
LOC107275593,1,2,2
LOC107275602,1,2,2
LOC107275610,1,4,4
LOC107275613,1,1,1
LOC107275617,1,1,1
LOC107275622,1,2,2
LOC107275624,1,3,3
LOC107275625,1,1,1
LOC107275626,1,2,2
LOC107275627,1,10,10
LOC107275629,1,1,1
LOC107275637,1,1,1
LOC107275641,1,3,3
LOC107275651,1,3,3
LOC107275653,1,3,3
LOC107275657,1,5,5
LOC107275663,2,8,5
LOC107275672,1,3,3
LOC107275677,1,1,1
LOC107275683,1,2,2
LOC107275685,1,1,1
LOC107275693,1,3,3
LOC107275701,1,1,1
LOC107275711,1,4,4
LOC107275715,1,1,1
LOC107275725,1,2,2
LOC107275730,1,1,1
LOC107275750,1,1,1
LOC107275755,1,2,2
LOC107275762,1,2,2
LOC107275775,1,1,1
LOC107275779,1,2,2
LOC107275781,1,2,2
LOC107275783,1,3,3
LOC107275793,1,3,3
LOC107275795,1,1,1
LOC107275800,1,2,2
LOC107275802,1,1,1
LOC107275806,1,1,1
LOC107275813,1,4,4
LOC107275825,1,2,2
LOC107275840,1,3,3
LOC107275842,1,2,2
LOC107275843,1,3,3
LOC107275851,1,1,1
LOC107275859,1,2,2
LOC107275876,1,2,2
LOC107275884,1,1,1
LOC107275893,1,2,2
LOC107275895,1,9,9
LOC107275912,1,3,3
LOC107275919,1,1,1
LOC107275926,1,4,4
LOC107275941,1,2,2
LOC107275942,1,3,3
LOC107275943,1,4,4
LOC107275945,1,1,1
LOC107275969,2,14,10
LOC107275972,1,2,2
LOC107275973,1,2,2
LOC107275984,1,1,1
LOC107275994,1,1,1
LOC107276004,7,77,19
LOC107276014,1,3,3
LOC107276017,1,2,2
LOC107276020,1,5,5
LOC107276022,1,7,7
LOC107276028,1,2,2
LOC107276030,2,14,8
LOC107276045,1,2,2
LOC107276061,1,2,2
LOC107276064,1,3,3
LOC107276079,1,1,1
LOC107276082,1,2,2
LOC107276086,1,1,1
LOC107276091,1,1,1
LOC107276092,1,3,3
LOC107276099,1,1,1
LOC107276104,3,32,12
LOC107276112,2,18,10
LOC107276122,1,6,6
LOC107276139,1,1,1
LOC107276158,1,1,1
LOC107276180,1,4,4
LOC107276185,1,2,2
LOC107276191,1,5,5
LOC107276193,1,3,3
LOC107276198,1,1,1
LOC107276209,1,4,4
LOC107276225,1,1,1
LOC107276236,1,3,3
LOC107276237,1,3,3
LOC107276239,1,3,3
LOC107276246,1,3,3
LOC107276260,1,2,2
LOC107276270,1,5,5
LOC107276274,1,3,3
LOC107276288,1,7,7
LOC107276312,1,1,1
LOC107276315,1,3,3
LOC107276324,1,3,3
LOC107276325,1,3,3
LOC107276331,1,3,3
LOC107276334,1,2,2
LOC107276336,1,2,2
LOC107276352,1,6,6
LOC107276355,1,1,1
LOC107276357,1,2,2
LOC107276361,1,3,3
LOC107276371,1,3,3
LOC107276378,2,7,5
LOC107276387,1,3,3
LOC107276389,1,6,6
LOC107276392,1,1,1
LOC107276403,1,4,4
LOC107276409,1,7,7
LOC107276415,1,1,1
LOC107276417,1,2,2
LOC107276427,1,4,4
LOC107276431,1,1,1
LOC107276439,1,1,1
LOC107276442,1,6,6
LOC107276457,1,3,3
LOC107276458,1,1,1
LOC107276460,1,4,4
LOC107276463,1,1,1
LOC107276469,1,4,4
LOC107276470,1,1,1
LOC107276472,1,7,7
LOC107276478,1,9,9
LOC107276489,1,1,1
LOC107276494,1,2,2
LOC107276496,1,4,4
LOC107276497,1,2,2
LOC107276505,1,4,4
LOC107276509,1,3,3
LOC107276511,1,1,1
LOC107276514,1,2,2
LOC107276518,1,1,1
LOC107276536,3,16,8
LOC107276540,1,3,3
LOC107276546,1,2,2
LOC107276547,1,3,3
LOC107276548,1,6,6
LOC107276561,1,1,1
LOC107276565,1,2,2
LOC107276567,2,6,4
LOC107276569,1,2,2
LOC107276579,1,7,7
LOC107276582,2,5,4
LOC107276587,1,6,6
LOC107276592,1,2,2
LOC107276600,1,2,2
LOC107276604,1,2,2
LOC107276615,1,3,3
LOC107276618,1,4,4
LOC107276619,1,2,2
LOC107276627,2,5,4
LOC107276628,3,17,8
LOC107276634,1,3,3
LOC107276636,1,4,4
LOC107276643,1,2,2
LOC107276644,1,2,2
LOC107276646,1,4,4
LOC107276648,1,1,1
LOC107276649,1,3,3
LOC107276650,1,1,1
LOC107276654,4,10,7
LOC107276665,1,4,4
LOC107276668,1,9,9
LOC107276673,1,2,2
LOC107276678,1,1,1
LOC107276682,6,66,19
LOC107276683,1,2,2
LOC107276684,1,8,8
LOC107276691,1,1,1
