gene_id,num_transcript,num_exon,num_uniq_exon
LOC100125887,1,12,12
LOC100135651,1,11,11
LOC100174997,1,5,5
LOC100174999,1,6,6
LOC100175002,2,44,26
LOC100175004,1,2,2
LOC100175026,1,5,5
LOC100175031,1,3,3
LOC100175037,4,22,13
LOC100175054,1,6,6
LOC100175057,2,8,6
LOC100175076,1,6,6
LOC100175079,2,21,13
LOC100175081,2,12,7
LOC100175089,2,36,19
LOC100175105,1,4,4
LOC100175106,1,4,4
LOC100175110,1,11,11
LOC100175117,2,8,6
LOC100175121,1,13,13
LOC100175130,1,5,5
LOC100175150,3,41,16
LOC100175170,1,10,10
LOC100175175,1,4,4
LOC100175179,1,8,8
LOC100175186,2,19,11
LOC100175190,1,3,3
LOC100175192,1,7,7
LOC100175194,1,10,10
LOC100175197,1,2,2
LOC100175208,1,5,5
LOC100175220,1,6,6
LOC100175235,1,3,3
LOC100175241,1,8,8
LOC100175247,1,4,4
LOC100175248,2,14,9
LOC100175251,1,5,5
LOC100175252,1,13,13
LOC100175262,1,1,1
LOC100175267,4,25,12
LOC100175279,2,6,4
LOC100175283,5,81,21
LOC100175312,2,16,11
LOC100175314,1,2,2
LOC100175315,9,43,16
LOC100175316,1,1,1
LOC100175335,1,7,7
LOC100175336,1,5,5
LOC100175343,2,12,7
LOC100175347,2,13,10
LOC100175364,3,44,17
LOC100175365,1,1,1
LOC100175372,1,8,8
LOC100175415,3,15,9
LOC100175416,1,3,3
LOC100175417,1,9,9
LOC100175419,2,6,4
LOC100175434,1,4,4
LOC100175448,1,3,3
LOC100175458,2,12,9
LOC100175466,1,5,5
LOC100175468,2,8,6
LOC100175481,1,4,4
LOC100175484,1,3,3
LOC100175489,2,12,7
LOC100175508,5,110,27
LOC100175525,1,12,12
LOC100175555,2,10,7
LOC100175559,1,4,4
LOC100175565,1,9,9
LOC100175571,1,20,20
LOC100175574,2,20,11
LOC100175578,1,2,2
LOC100175581,1,3,3
LOC100175583,1,4,4
LOC100175592,1,4,4
LOC100175595,1,4,4
LOC100175608,1,4,4
LOC100175612,1,3,3
LOC100175632,3,36,14
LOC100175634,1,16,16
LOC100175642,1,6,6
LOC100175644,1,4,4
LOC100175654,1,8,8
LOC100175658,3,38,15
LOC100175660,1,7,7
LOC100175665,1,2,2
LOC100175668,1,6,6
LOC100175670,1,2,2
LOC100175683,4,24,12
LOC100175690,1,5,5
LOC100175694,1,2,2
LOC100175718,1,6,6
LOC100175723,1,6,6
LOC100175743,1,3,3
LOC100175745,1,7,7
LOC100175766,1,5,5
LOC100175801,4,92,26
LOC100175818,3,25,20
LOC100175819,1,26,26
LOC100175846,1,8,8
LOC100175862,1,3,3
LOC100175870,1,5,5
LOC100175877,1,3,3
LOC100175884,1,1,1
LOC100175899,1,3,3
LOC100175900,1,7,7
LOC100175909,1,2,2
LOC100175949,1,13,13
LOC100175962,1,1,1
LOC100175969,1,8,8
LOC100175990,4,119,34
LOC100175991,1,4,4
LOC100175997,1,3,3
LOC100176000,1,1,1
LOC100176010,1,1,1
LOC100176017,1,4,4
LOC100176018,5,79,20
LOC100176019,1,12,12
LOC100176024,1,4,4
LOC100176044,2,18,11
LOC100176056,2,14,8
LOC100176061,1,5,5
LOC100176072,1,2,2
LOC100176077,1,5,5
LOC100176079,2,16,9
LOC100176085,1,6,6
LOC100176091,2,6,4
LOC100176094,1,2,2
LOC100176111,3,31,12
LOC100176114,1,5,5
LOC100176132,2,13,9
LOC100176139,2,28,16
LOC100176148,2,12,7
LOC100176151,1,5,5
LOC100176162,1,2,2
LOC100176172,1,5,5
LOC100176175,4,32,12
LOC100176182,1,18,18
LOC100176193,2,12,7
LOC100176206,1,4,4
LOC100176233,2,27,15
LOC100176241,1,4,4
LOC100176254,1,3,3
LOC100176279,1,3,3
LOC100176282,1,6,6
LOC100176283,1,3,3
LOC100176291,1,4,4
LOC100176295,1,3,3
LOC100176306,1,21,21
LOC100176313,2,4,3
LOC100176332,1,1,1
LOC100176348,1,1,1
LOC100176366,1,6,6
LOC100176372,1,2,2
LOC100176377,1,7,7
LOC100176381,2,4,3
LOC100176385,3,129,50
LOC100176386,3,31,13
LOC100176394,2,10,6
LOC100176403,2,4,3
LOC100176418,9,260,37
LOC100176421,3,17,12
LOC100176423,1,10,10
LOC100176425,2,12,7
LOC100176434,1,3,3
LOC100176444,2,12,9
LOC100176446,1,2,2
LOC100176453,10,220,26
LOC100176477,3,59,22
LOC100176490,1,7,7
LOC100176541,1,7,7
LOC100176552,1,4,4
LOC100176564,1,7,7
LOC100176565,1,6,6
LOC100176574,1,3,3
LOC100176576,1,2,2
LOC100176581,1,4,4
LOC100176584,2,7,5
LOC100176587,1,4,4
LOC100176595,1,1,1
LOC100176598,1,11,11
LOC100176601,1,4,4
LOC100176603,1,4,4
LOC100176616,2,23,13
LOC100176626,1,5,5
LOC100176642,2,17,10
LOC100176666,1,3,3
LOC100176672,1,24,24
LOC100176678,1,6,6
LOC100176695,1,20,20
LOC100176699,1,8,8
LOC100176702,1,3,3
LOC100176708,1,7,7
LOC100176713,1,10,10
LOC100176720,1,7,7
LOC100176735,1,8,8
LOC100176740,2,18,13
LOC100176754,2,21,11
LOC100176766,1,3,3
LOC100176784,6,120,24
LOC100176792,1,2,2
LOC100176795,1,3,3
LOC100176798,2,24,15
LOC100176803,1,7,7
LOC100176813,1,7,7
LOC100176823,2,16,9
LOC100176827,1,3,3
LOC100176830,1,9,9
LOC100176835,2,6,4
LOC100176860,1,3,3
LOC100176869,1,15,15
LOC100176870,1,10,10
LOC100176879,1,10,10
LOC100176890,1,1,1
LOC100176895,2,42,24
LOC100176916,2,10,7
LOC100176935,1,3,3
LOC100176965,3,18,9
LOC100176970,1,7,7
LOC100176972,1,6,6
LOC100176973,1,12,12
LOC100177007,1,9,9
LOC100177018,2,18,12
LOC100177024,1,11,11
LOC100177028,1,12,12
LOC100177045,1,4,4
LOC100177054,1,4,4
LOC100177065,1,5,5
LOC100177081,4,28,12
LOC100177082,1,3,3
LOC100177091,1,4,4
LOC100177097,2,16,11
LOC100177107,2,17,12
LOC100177134,1,4,4
LOC100177146,2,5,4
LOC100177161,1,1,1
LOC100177164,1,6,6
LOC100177171,1,3,3
LOC100177173,1,5,5
LOC100177175,1,3,3
LOC100177193,1,2,2
LOC100177195,1,13,13
LOC100177201,2,24,13
LOC100177222,1,1,1
LOC100177227,1,5,5
LOC100177244,1,4,4
LOC100177255,1,3,3
LOC100177256,1,17,17
LOC100177258,1,7,7
LOC100177270,3,14,7
LOC100177293,1,3,3
LOC100177296,3,24,12
LOC100177297,1,3,3
LOC100177305,1,7,7
LOC100177318,1,3,3
LOC100177320,3,26,11
LOC100177323,1,2,2
LOC100177339,1,4,4
LOC100177343,1,10,10
LOC100177345,1,1,1
LOC100177363,1,7,7
LOC100177373,1,4,4
LOC100177376,3,33,17
LOC100177377,1,6,6
LOC100177387,1,4,4
LOC100177397,1,5,5
LOC100177399,1,9,9
LOC100177407,1,1,1
LOC100177414,1,3,3
LOC100177424,2,12,8
LOC100177428,1,5,5
LOC100177436,1,2,2
LOC100177447,4,24,9
LOC100177456,2,6,4
LOC100177479,2,17,9
LOC100177485,1,2,2
LOC100177486,1,5,5
LOC100177494,1,6,6
LOC100177501,3,43,17
LOC100177502,1,6,6
LOC100177503,4,38,13
LOC100177516,1,4,4
LOC100177518,1,8,8
LOC100177519,1,1,1
LOC100177520,1,1,1
LOC100177526,1,4,4
LOC100177527,1,2,2
LOC100177532,2,10,6
LOC100177542,1,2,2
LOC100177550,1,1,1
LOC100177564,1,5,5
LOC100177571,2,8,6
LOC100177587,1,2,2
LOC100177600,1,35,35
LOC100177604,2,12,7
LOC100177613,1,11,11
LOC100177632,1,3,3
LOC100177638,1,3,3
LOC100177647,1,6,6
LOC100177649,2,25,15
LOC100177656,1,8,8
LOC100177663,2,6,5
LOC100177666,1,2,2
LOC100177693,1,4,4
LOC100177700,1,4,4
LOC100177706,1,17,17
LOC100177707,1,13,13
LOC100177713,3,38,16
LOC100177715,1,1,1
LOC100177716,6,102,23
LOC100177719,6,37,16
LOC100177735,1,9,9
LOC100177753,1,2,2
LOC100177757,2,18,10
LOC100177762,1,3,3
LOC100177781,5,49,23
LOC100177814,1,3,3
LOC100177831,2,17,11
LOC100177832,1,11,11
LOC100177841,1,4,4
LOC100177851,1,4,4
LOC100177863,1,4,4
LOC100177885,3,17,9
LOC100177893,1,3,3
LOC100177897,1,19,19
LOC100177917,2,36,19
LOC100177922,1,14,14
LOC100177929,1,3,3
LOC100177931,1,3,3
LOC100177944,1,12,12
LOC100177946,1,16,16
LOC100177954,2,10,6
LOC100177958,1,4,4
LOC100177972,1,3,3
LOC100177978,1,5,5
LOC100177980,1,3,3
LOC100177989,2,35,18
LOC100177996,3,15,7
LOC100178003,1,12,12
LOC100178004,2,6,5
LOC100178009,1,7,7
LOC100178010,1,10,10
LOC100178011,1,2,2
LOC100178013,1,2,2
LOC100178018,1,4,4
