gene_id,num_transcript,num_exon,num_uniq_exon
FBgn0012820,1,3,3
FBgn0012821,1,2,2
FBgn0012823,1,3,3
FBgn0012824,1,4,4
FBgn0012825,2,9,8
FBgn0012832,1,2,2
FBgn0012837,2,14,8
FBgn0012838,1,4,4
FBgn0012840,1,2,2
FBgn0012844,2,11,8
FBgn0012845,1,2,2
FBgn0012846,1,10,10
FBgn0012849,1,3,3
FBgn0012851,8,83,18
FBgn0012854,1,2,2
FBgn0012859,1,2,2
FBgn0012860,3,12,6
FBgn0012864,4,16,6
FBgn0012866,2,12,9
FBgn0012868,3,16,10
FBgn0012892,1,2,2
FBgn0012893,1,2,2
FBgn0012901,2,5,5
FBgn0012902,1,2,2
FBgn0012903,1,2,2
FBgn0012904,1,3,3
FBgn0013875,1,4,4
FBgn0013883,1,3,3
FBgn0013884,1,6,6
FBgn0014814,1,6,6
FBgn0015169,1,8,8
FBgn0015670,1,5,5
FBgn0015673,1,4,4
FBgn0016334,3,10,6
FBgn0016340,1,2,2
FBgn0016343,1,9,9
FBgn0016346,1,3,3
FBgn0016348,3,11,6
FBgn0016352,2,4,4
FBgn0016353,1,5,5
FBgn0016355,2,5,4
FBgn0018225,22,204,17
FBgn0018281,4,35,12
FBgn0018282,1,4,4
FBgn0018304,2,5,4
FBgn0018327,1,5,5
FBgn0020076,5,78,20
FBgn0020078,1,6,6
FBgn0020081,1,2,2
FBgn0020697,1,2,2
FBgn0020700,2,8,5
FBgn0021123,4,29,13
FBgn0021128,1,2,2
FBgn0021129,2,4,4
FBgn0022481,1,1,1
FBgn0022482,1,1,1
FBgn0022505,1,3,3
FBgn0022516,3,31,15
FBgn0022517,1,2,2
FBgn0024395,1,5,5
FBgn0024396,3,9,5
FBgn0024778,1,3,3
FBgn0024781,1,2,2
FBgn0025027,1,3,3
FBgn0025029,4,37,17
FBgn0025030,1,10,10
FBgn0025031,4,24,12
FBgn0025032,2,7,5
FBgn0025033,3,19,7
FBgn0025034,2,6,4
FBgn0025035,3,23,10
FBgn0025036,1,10,10
FBgn0025037,6,26,11
FBgn0025038,1,2,2
FBgn0025039,1,2,2
FBgn0025042,1,4,4
FBgn0025043,1,5,5
FBgn0025409,1,1,1
FBgn0025411,1,2,2
FBgn0025651,1,3,3
FBgn0027417,1,4,4
FBgn0027418,1,1,1
FBgn0027801,1,4,4
FBgn0027802,1,4,4
FBgn0027803,4,18,8
FBgn0027804,1,3,3
FBgn0027806,2,8,6
FBgn0028445,1,1,1
FBgn0028446,1,3,3
FBgn0028769,1,4,4
FBgn0028770,2,4,4
FBgn0029243,1,3,3
FBgn0029245,1,2,2
FBgn0029246,1,4,4
FBgn0029247,1,3,3
FBgn0029248,1,2,2
FBgn0040413,1,3,3
FBgn0040418,2,6,4
FBgn0041268,1,4,4
FBgn0041270,1,7,7
FBgn0041655,1,7,7
