gene_id,num_transcript,num_exon,num_uniq_exon
AAP_00002,1,2,2
AAP_00022,1,3,3
AAP_00023,1,3,3
AAP_00051,1,3,3
AAP_00056,1,1,1
AAP_00059,1,1,1
AAP_00065,1,2,2
AAP_00066,1,2,2
AAP_00082,1,1,1
AAP_00092,1,1,1
AAP_00108,1,1,1
AAP_00118,1,1,1
AAP_00141,1,2,2
AAP_00142,1,2,2
AAP_00150,1,1,1
AAP_00192,1,2,2
AAP_00196,1,2,2
AAP_00217,1,1,1
AAP_00259,1,1,1
AAP_00266,1,1,1
AAP_00279,1,2,2
AAP_00285,1,2,2
AAP_00293,1,4,4
AAP_00305,1,1,1
AAP_00306,1,1,1
AAP_00309,1,1,1
AAP_00328,1,2,2
AAP_00332,1,2,2
AAP_00348,1,2,2
AAP_00349,1,1,1
AAP_00367,1,1,1
AAP_00368,1,1,1
AAP_00387,1,2,2
AAP_00388,1,3,3
AAP_00402,1,1,1
AAP_00405,1,1,1
AAP_00423,1,1,1
AAP_00429,1,1,1
AAP_00435,1,3,3
AAP_00440,1,2,2
AAP_00444,1,2,2
AAP_00445,1,3,3
AAP_00450,1,1,1
AAP_00494,1,3,3
AAP_00495,1,2,2
AAP_00497,1,4,4
AAP_00501,1,1,1
AAP_00516,1,1,1
AAP_00571,1,1,1
AAP_00575,1,2,2
AAP_00580,1,2,2
AAP_00719,1,1,1
AAP_00739,1,1,1
AAP_00786,1,1,1
AAP_00820,1,1,1
AAP_00824,1,2,2
AAP_00843,1,2,2
AAP_00847,1,1,1
AAP_00848,1,1,1
AAP_00870,1,1,1
AAP_00872,1,3,3
AAP_00904,1,1,1
AAP_00912,1,1,1
AAP_00920,1,3,3
AAP_00941,1,1,1
AAP_00945,1,2,2
AAP_00946,1,3,3
AAP_00975,1,3,3
AAP_00976,1,2,2
AAP_00979,1,2,2
AAP_00980,1,2,2
AAP_00985,1,1,1
AAP_01024,1,3,3
AAP_01033,1,1,1
AAP_01042,1,2,2
AAP_01077,1,1,1
AAP_01078,1,2,2
AAP_01089,1,1,1
AAP_01090,1,1,1
AAP_01099,1,2,2
AAP_01118,1,2,2
AAP_01179,1,2,2
AAP_01186,1,1,1
AAP_01201,1,2,2
AAP_01216,1,1,1
AAP_01230,1,1,1
AAP_01234,1,2,2
AAP_01240,1,1,1
AAP_01247,1,3,3
AAP_01270,1,3,3
AAP_01274,1,1,1
AAP_01276,1,3,3
AAP_01286,1,4,4
AAP_01291,1,2,2
AAP_01292,1,2,2
AAP_01307,1,1,1
AAP_01309,1,1,1
AAP_01322,1,1,1
AAP_01329,1,1,1
AAP_01332,1,3,3
AAP_01333,1,1,1
AAP_01347,1,3,3
AAP_01350,1,2,2
AAP_01361,1,1,1
AAP_01388,1,1,1
AAP_01395,1,1,1
AAP_01396,1,2,2
AAP_01418,1,1,1
AAP_01447,1,1,1
AAP_01464,1,1,1
AAP_01466,1,1,1
AAP_01468,1,1,1
AAP_01491,1,1,1
AAP_01502,1,3,3
AAP_01504,1,1,1
AAP_01518,1,1,1
AAP_01526,1,1,1
AAP_01529,1,2,2
AAP_01535,1,2,2
AAP_01536,1,1,1
AAP_01537,1,2,2
AAP_01546,1,2,2
AAP_01553,1,1,1
AAP_01564,1,1,1
AAP_01565,1,1,1
AAP_01583,1,3,3
AAP_01594,1,1,1
AAP_01619,1,1,1
AAP_01628,1,1,1
AAP_01629,1,1,1
AAP_01636,1,1,1
AAP_01646,1,3,3
AAP_01647,1,2,2
AAP_01655,1,3,3
AAP_01672,1,1,1
AAP_01678,1,1,1
AAP_01684,1,2,2
AAP_01691,1,2,2
AAP_01710,1,1,1
AAP_01713,1,1,1
AAP_01719,1,2,2
AAP_01740,1,1,1
AAP_01742,1,1,1
AAP_01748,1,3,3
AAP_01764,1,1,1
AAP_01783,1,2,2
AAP_01786,1,2,2
AAP_01789,1,3,3
AAP_01804,1,1,1
AAP_01813,1,2,2
AAP_01814,1,1,1
AAP_01818,1,2,2
AAP_01819,1,1,1
AAP_01820,1,2,2
AAP_01826,1,1,1
AAP_01827,1,1,1
AAP_01828,1,1,1
AAP_01829,1,1,1
AAP_01831,1,1,1
AAP_01832,1,1,1
AAP_01833,1,2,2
AAP_01834,1,1,1
AAP_01835,1,1,1
AAP_01836,1,1,1
AAP_01837,1,1,1
AAP_01838,1,3,3
AAP_01845,1,2,2
AAP_01863,1,5,5
AAP_01865,1,2,2
AAP_01875,1,2,2
AAP_01878,1,1,1
AAP_01895,1,1,1
AAP_01897,1,2,2
AAP_01904,1,1,1
AAP_01935,1,3,3
AAP_01936,1,2,2
AAP_01958,1,1,1
AAP_01968,1,2,2
AAP_01969,1,2,2
AAP_01974,1,2,2
AAP_01975,1,2,2
AAP_01976,1,2,2
AAP_01981,1,2,2
AAP_01985,1,2,2
AAP_01986,1,2,2
AAP_01993,1,1,1
AAP_01997,1,1,1
AAP_01999,1,1,1
AAP_02002,1,1,1
AAP_02026,1,1,1
AAP_02031,1,2,2
AAP_02050,1,4,4
AAP_02058,1,1,1
AAP_02064,1,2,2
AAP_02068,1,1,1
AAP_02122,1,1,1
AAP_02123,1,3,3
AAP_02124,1,1,1
AAP_02127,1,1,1
AAP_02138,1,4,4
AAP_02143,1,3,3
AAP_02149,1,3,3
AAP_02150,1,2,2
AAP_02155,1,1,1
AAP_02156,1,2,2
AAP_02161,1,4,4
AAP_02200,1,1,1
AAP_02244,1,2,2
AAP_02291,1,3,3
AAP_02320,1,2,2
AAP_02333,1,1,1
AAP_02341,1,2,2
AAP_02345,1,1,1
AAP_02348,1,2,2
AAP_02353,1,2,2
AAP_02356,1,1,1
AAP_02359,1,2,2
AAP_02360,1,2,2
AAP_02361,1,2,2
AAP_02362,1,2,2
AAP_02363,1,2,2
AAP_02364,1,2,2
AAP_02368,1,2,2
AAP_02369,1,2,2
AAP_02370,1,2,2
AAP_02371,1,2,2
AAP_02372,1,2,2
AAP_02373,1,2,2
AAP_02374,1,1,1
AAP_02378,1,3,3
AAP_02379,1,2,2
AAP_02380,1,2,2
AAP_02384,1,2,2
AAP_02385,1,1,1
AAP_02389,1,2,2
AAP_02394,1,2,2
AAP_02395,1,2,2
AAP_02396,1,2,2
AAP_02400,1,1,1
AAP_02455,1,2,2
AAP_02458,1,4,4
AAP_02480,1,2,2
AAP_02485,1,2,2
AAP_02537,1,1,1
AAP_02541,1,1,1
AAP_02543,1,1,1
AAP_02544,1,1,1
AAP_02557,1,1,1
AAP_02566,1,3,3
AAP_02576,1,2,2
AAP_02585,1,1,1
AAP_02605,1,3,3
AAP_02652,1,1,1
AAP_02653,1,2,2
AAP_02654,1,2,2
AAP_02655,1,1,1
AAP_02656,1,1,1
AAP_02674,1,1,1
AAP_02675,1,4,4
AAP_02686,1,1,1
AAP_02696,1,1,1
AAP_02699,1,1,1
AAP_02752,1,2,2
AAP_02759,1,1,1
AAP_02798,1,2,2
AAP_02810,1,2,2
AAP_02826,1,2,2
AAP_02834,1,2,2
AAP_02865,1,1,1
AAP_02868,1,2,2
AAP_02876,1,4,4
AAP_02881,1,2,2
AAP_02882,1,2,2
AAP_02888,1,1,1
AAP_02893,1,1,1
AAP_02899,1,2,2
AAP_02911,1,1,1
AAP_02915,1,3,3
AAP_02947,1,2,2
AAP_02948,1,3,3
AAP_02961,1,2,2
AAP_02970,1,1,1
AAP_02976,1,2,2
AAP_02987,1,1,1
AAP_03000,1,2,2
AAP_03016,1,3,3
AAP_03032,1,1,1
AAP_03046,1,3,3
AAP_03069,1,3,3
AAP_03116,1,2,2
AAP_03117,1,1,1
AAP_03139,1,1,1
AAP_03150,1,2,2
AAP_03163,1,1,1
AAP_03189,1,2,2
AAP_03200,1,1,1
AAP_03202,1,2,2
AAP_03205,1,2,2
AAP_03234,1,1,1
AAP_03257,1,2,2
AAP_03269,1,3,3
AAP_03281,1,2,2
AAP_03286,1,1,1
AAP_03291,1,2,2
AAP_03292,1,1,1
AAP_03294,1,2,2
AAP_03295,1,1,1
AAP_03296,1,2,2
AAP_03297,1,2,2
AAP_03299,1,2,2
AAP_03300,1,2,2
AAP_03301,1,2,2
AAP_03302,1,2,2
AAP_03317,1,1,1
AAP_03322,1,3,3
AAP_03333,1,1,1
AAP_03335,1,1,1
AAP_03342,1,1,1
AAP_03343,1,2,2
AAP_03346,1,2,2
AAP_03347,1,3,3
AAP_03348,1,2,2
AAP_03352,1,1,1
AAP_03353,1,3,3
AAP_03355,1,1,1
AAP_03364,1,1,1
AAP_03366,1,1,1
AAP_03367,1,1,1
AAP_03370,1,1,1
AAP_03400,1,1,1
AAP_03410,1,2,2
AAP_03418,1,1,1
AAP_03419,1,1,1
AAP_03426,1,1,1
AAP_03431,1,1,1
AAP_03460,1,2,2
AAP_03470,1,2,2
AAP_03480,1,2,2
AAP_03490,1,2,2
AAP_03494,1,1,1
AAP_03520,1,2,2
AAP_03605,1,2,2
AAP_03628,1,2,2
AAP_03651,1,1,1
AAP_03656,1,1,1
AAP_03657,1,1,1
AAP_03661,1,1,1
AAP_03692,1,1,1
AAP_03695,1,2,2
AAP_03697,1,1,1
AAP_03715,1,2,2
AAP_03735,1,2,2
AAP_03742,1,2,2
AAP_03763,1,1,1
AAP_03765,1,1,1
AAP_03780,1,1,1
AAP_03807,1,1,1
AAP_03819,1,2,2
AAP_03821,1,2,2
AAP_03822,1,2,2
AAP_03823,1,2,2
AAP_03847,1,1,1
AAP_03850,1,1,1
AAP_03851,1,2,2
AAP_03868,1,1,1
AAP_03891,1,1,1
AAP_03894,1,1,1
AAP_03900,1,2,2
AAP_03928,1,1,1
AAP_03931,1,1,1
AAP_03935,1,1,1
AAP_03936,1,1,1
AAP_03939,1,2,2
AAP_03940,1,1,1
AAP_03989,1,1,1
AAP_04001,1,2,2
AAP_04038,1,1,1
AAP_04041,1,2,2
AAP_04042,1,1,1
AAP_04060,1,2,2
AAP_04061,1,1,1
AAP_04065,1,2,2
AAP_04067,1,1,1
AAP_04070,1,1,1
AAP_04073,1,2,2
AAP_04074,1,1,1
AAP_04075,1,1,1
AAP_04076,1,1,1
AAP_04078,1,2,2
AAP_04111,1,1,1
AAP_04129,1,2,2
AAP_04147,1,2,2
AAP_04154,1,1,1
AAP_04166,1,2,2
AAP_04184,1,1,1
AAP_04211,1,1,1
AAP_04253,1,1,1
AAP_04263,1,1,1
AAP_04283,1,1,1
AAP_04309,1,3,3
AAP_04323,1,1,1
AAP_04324,1,4,4
AAP_04326,1,3,3
AAP_04329,1,2,2
AAP_04331,1,3,3
AAP_04335,1,5,5
AAP_04337,1,2,2
AAP_04345,1,2,2
AAP_04347,1,2,2
AAP_04357,1,1,1
AAP_04360,1,2,2
AAP_04364,1,1,1
AAP_04373,1,2,2
AAP_04376,1,1,1
AAP_04380,1,3,3
AAP_04385,1,1,1
AAP_04386,1,1,1
AAP_04403,1,1,1
AAP_04413,1,1,1
AAP_04419,1,2,2
AAP_04426,1,2,2
AAP_04428,1,2,2
AAP_04450,1,2,2
AAP_04463,1,3,3
AAP_04471,1,1,1
AAP_04477,1,3,3
AAP_04512,1,3,3
AAP_04528,1,1,1
AAP_04579,1,3,3
AAP_04588,1,2,2
AAP_04589,1,3,3
AAP_04614,1,2,2
AAP_04615,1,2,2
AAP_04623,1,1,1
AAP_04624,1,2,2
AAP_04626,1,2,2
AAP_04640,1,2,2
AAP_04657,1,3,3
AAP_04661,1,1,1
AAP_04677,1,2,2
AAP_04678,1,2,2
AAP_04683,1,2,2
AAP_04687,1,1,1
AAP_04701,1,1,1
AAP_04717,1,3,3
AAP_04736,1,2,2
AAP_04744,1,1,1
AAP_04772,1,1,1
AAP_04795,1,2,2
AAP_04798,1,1,1
AAP_04800,1,2,2
AAP_04861,1,2,2
AAP_04893,1,1,1
AAP_04909,1,2,2
AAP_04918,1,2,2
AAP_04938,1,1,1
AAP_04950,1,2,2
AAP_04967,1,2,2
AAP_04969,1,2,2
AAP_04986,1,2,2
AAP_04987,1,2,2
AAP_04997,1,2,2
AAP_05015,1,1,1
AAP_05023,1,1,1
AAP_05028,1,3,3
AAP_05046,1,2,2
AAP_05105,1,1,1
AAP_05115,1,1,1
AAP_05116,1,1,1
AAP_05118,1,1,1
AAP_05132,1,2,2
AAP_05133,1,1,1
AAP_05139,1,2,2
AAP_05142,1,7,7
AAP_05145,1,2,2
AAP_05159,1,3,3
AAP_05209,1,3,3
AAP_05223,1,2,2
AAP_05234,1,1,1
AAP_05264,1,2,2
AAP_05309,1,2,2
AAP_05313,1,2,2
AAP_05328,1,1,1
AAP_05344,1,3,3
AAP_05345,1,1,1
AAP_05376,1,2,2
AAP_05377,1,1,1
AAP_05407,1,2,2
AAP_05409,1,1,1
AAP_05429,1,1,1
AAP_05438,1,1,1
AAP_05439,1,1,1
AAP_05440,1,2,2
AAP_05466,1,2,2
AAP_05473,1,1,1
AAP_05476,1,2,2
AAP_05477,1,2,2
AAP_05514,1,2,2
