transcript_id,num_exon
XM_018843608.1,5
XM_018843610.1,2
XM_018843611.1,3
XM_018843612.1,1
XM_018843613.1,2
XM_018843614.1,4
XM_018843615.1,3
XM_018843616.1,5
XM_018843617.1,2
XM_018843618.1,3
XM_018843619.1,2
XM_018843620.1,1
XM_018843621.1,3
XM_018843622.1,2
XM_018843623.1,2
XM_018843624.1,5
XM_018843625.1,3
XM_018843626.1,3
XM_018843627.1,3
XM_018843628.1,4
XM_018843629.1,3
XM_018843630.1,2
XM_018843631.1,8
XM_018843632.1,1
XM_018843633.1,1
XM_018843634.1,1
XM_018843635.1,1
XM_018843636.1,1
XM_018843637.1,1
XM_018843638.1,2
XM_018843639.1,3
XM_018843640.1,2
XM_018843641.1,3
XM_018843642.1,5
XM_018843643.1,1
XM_018843644.1,3
XM_018843645.1,1
XM_018843646.1,5
XM_018843647.1,2
XM_018843648.1,12
XM_018843649.1,3
XM_018843650.1,3
XM_018843651.1,1
XM_018843652.1,2
XM_018843653.1,1
XM_018843657.1,1
XM_018843658.1,3
XM_018843659.1,3
XM_018843660.1,5
XM_018843661.1,1
XM_018843662.1,2
XM_018843663.1,3
XM_018843664.1,1
XM_018843667.1,3
XM_018843668.1,3
XM_018843669.1,1
XM_018843670.1,3
XM_018843671.1,2
XM_018843672.1,3
XM_018843673.1,3
XM_018843674.1,3
XM_018843675.1,1
XM_018843676.1,3
XM_018843677.1,1
XM_018843678.1,1
XM_018843679.1,1
XM_018843680.1,1
XM_018843681.1,4
XM_018843683.1,3
XM_018843684.1,3
XM_018843685.1,3
XM_018843686.1,6
XM_018843687.1,2
XM_018843688.1,1
XM_018843689.1,2
XM_018843690.1,1
XM_018843692.1,1
XM_018843694.1,5
XM_018843695.1,4
XM_018843696.1,1
XM_018843697.1,1
XM_018843698.1,3
XM_018843699.1,1
XM_018843700.1,4
XM_018843701.1,3
XM_018843702.1,5
XM_018843703.1,4
XM_018843704.1,4
XM_018843706.1,3
XM_018843707.1,5
XM_018843708.1,2
XM_018843709.1,1
XM_018843710.1,1
XM_018843711.1,3
XM_018843712.1,2
XM_018843713.1,2
XM_018843714.1,2
XM_018843715.1,1
XM_018843716.1,4
XM_018843717.1,4
XM_018843718.1,2
XM_018843719.1,3
XM_018843720.1,2
XM_018843721.1,1
XM_018843722.1,1
XM_018843723.1,1
XM_018843724.1,3
XM_018843725.1,1
XM_018843727.1,1
XM_018843728.1,2
XM_018843729.1,2
XM_018843730.1,1
XM_018843731.1,2
XM_018843732.1,4
XM_018843733.1,4
XM_018843734.1,1
XM_018843735.1,4
XM_018843736.1,6
XM_018843737.1,1
XM_018843738.1,2
XM_018843739.1,2
XM_018843740.1,2
XM_018843741.1,5
XM_018843743.1,3
XM_018843744.1,4
XM_018843745.1,2
XM_018843746.1,2
XM_018843747.1,3
XM_018843748.1,2
XM_018843749.1,4
XM_018843750.1,3
XM_018843751.1,3
XM_018843752.1,5
XM_018843753.1,5
XM_018843754.1,1
XM_018843755.1,1
XM_018843756.1,3
XM_018843757.1,1
XM_018843758.1,4
XM_018843759.1,3
XM_018843760.1,2
XM_018843761.1,2
XM_018843762.1,1
XM_018843763.1,3
XM_018843764.1,1
XM_018843765.1,2
XM_018843766.1,5
XM_018843767.1,2
XM_018843768.1,2
XM_018843769.1,1
XM_018843770.1,1
XM_018843771.1,2
XM_018843772.1,1
XM_018843773.1,2
XM_018843774.1,1
XM_018843775.1,6
XM_018843776.1,5
XM_018843777.1,3
XM_018843779.1,2
XM_018843780.1,5
XM_018843781.1,2
XM_018843782.1,2
XM_018843783.1,3
XM_018843784.1,12
XM_018843785.1,1
XM_018843786.1,1
XM_018843787.1,2
XM_018843788.1,4
XM_018843789.1,2
XM_018843790.1,1
XM_018843791.1,3
XM_018843792.1,2
XM_018843793.1,4
XM_018843794.1,1
XM_018843795.1,3
XM_018843796.1,2
XM_018843797.1,2
XM_018843798.1,3
XM_018843799.1,8
XM_018843800.1,1
XM_018843801.1,2
XM_018843802.1,2
XM_018843803.1,1
XM_018843804.1,2
XM_018843805.1,5
XM_018843806.1,3
XM_018843807.1,4
XM_018843808.1,2
XM_018843809.1,1
XM_018843810.1,2
XM_018843811.1,2
XM_018843812.1,2
XM_018843813.1,3
XM_018843814.1,3
XM_018843815.1,5
XM_018843816.1,1
XM_018843817.1,1
XM_018843818.1,3
XM_018843819.1,3
XM_018843820.1,3
XM_018843821.1,4
XM_018843822.1,1
XM_018843823.1,1
XM_018843824.1,1
XM_018843825.1,2
XM_018843826.1,4
XM_018843827.1,2
XM_018843828.1,2
XM_018843829.1,4
XM_018843830.1,1
XM_018843832.1,2
XM_018843833.1,4
XM_018843835.1,2
XM_018843836.1,1
XM_018843837.1,2
XM_018843838.1,6
XM_018843839.1,2
XM_018843840.1,1
XM_018843841.1,3
XM_018843842.1,2
XM_018843843.1,3
XM_018843845.1,3
XM_018843846.1,3
XM_018843847.1,2
XM_018843848.1,1
XM_018843849.1,1
XM_018843850.1,1
XM_018843851.1,1
XM_018843852.1,1
XM_018843853.1,4
XM_018843854.1,5
XM_018843855.1,3
XM_018843857.1,3
XM_018843858.1,3
XM_018843859.1,4
XM_018843860.1,3
XM_018843861.1,1
XM_018843862.1,4
XM_018843863.1,1
XM_018843864.1,1
XM_018843865.1,1
XM_018843866.1,2
XM_018843867.1,2
XM_018843868.1,7
XM_018843869.1,3
XM_018843870.1,3
XM_018843871.1,2
XM_018843872.1,1
XM_018843873.1,2
XM_018843874.1,4
XM_018843875.1,2
XM_018843876.1,1
XM_018843877.1,1
XM_018843878.1,1
XM_018843879.1,1
XM_018843880.1,2
XM_018843881.1,1
XM_018843882.1,1
XM_018843883.1,1
XM_018843884.1,2
XM_018843885.1,1
XM_018843886.1,2
XM_018843887.1,1
XM_018843888.1,7
XM_018843889.1,4
XM_018843890.1,1
XM_018843891.1,2
XM_018843892.1,3
XM_018843893.1,2
XM_018843894.1,1
XM_018843896.1,1
XM_018843897.1,1
XM_018843898.1,1
XM_018843899.1,2
XM_018843900.1,2
XM_018843901.1,2
XM_018843902.1,3
XM_018843904.1,1
XM_018843905.1,1
XM_018843906.1,2
XM_018843907.1,3
XM_018843909.1,2
XM_018843910.1,4
XM_018843911.1,2
XM_018843912.1,1
XM_018843913.1,1
XM_018843914.1,2
XM_018843915.1,3
XM_018843916.1,4
XM_018843917.1,1
XM_018843918.1,3
XM_018843919.1,1
XM_018843920.1,1
XM_018843921.1,1
XM_018843922.1,4
XM_018843923.1,4
XM_018843924.1,2
XM_018843925.1,2
XM_018843926.1,3
XM_018843927.1,3
XM_018843928.1,1
XM_018843929.1,4
XM_018843930.1,1
XM_018843931.1,1
XM_018843932.1,3
XM_018843933.1,2
XM_018843934.1,2
XM_018843935.1,2
XM_018843936.1,3
XM_018843937.1,1
XM_018843938.1,1
XM_018843939.1,4
XM_018843940.1,2
XM_018843941.1,2
XM_018843942.1,2
XM_018843943.1,2
XM_018843944.1,1
XM_018843945.1,1
XM_018843946.1,3
XM_018843947.1,4
XM_018843948.1,4
XM_018843949.1,1
XM_018843950.1,7
XM_018843951.1,2
XM_018843952.1,3
XM_018843953.1,1
XM_018843954.1,1
XM_018843955.1,12
XM_018843956.1,2
XM_018843957.1,3
XM_018843958.1,2
XM_018843959.1,4
XM_018843960.1,4
XM_018843961.1,7
XM_018843962.1,3
XM_018843963.1,4
XM_018843964.1,1
XM_018843965.1,1
XM_018843966.1,2
XM_018843967.1,3
XM_018843968.1,4
XM_018843969.1,4
XM_018843970.1,2
XM_018843971.1,3
XM_018843972.1,6
XM_018843973.1,1
XM_018843974.1,3
XM_018843975.1,2
XM_018843976.1,1
XM_018843977.1,3
XM_018843978.1,6
XM_018843979.1,4
XM_018843980.1,2
XM_018843981.1,2
XM_018843982.1,5
XM_018843983.1,3
XM_018843984.1,5
XM_018843985.1,1
XM_018843986.1,3
XM_018843987.1,1
XM_018843988.1,5
XM_018843990.1,2
XM_018843991.1,1
XM_018843992.1,2
XM_018843993.1,2
XM_018843994.1,1
XM_018843995.1,3
XM_018843996.1,1
XM_018843997.1,6
XM_018843998.1,2
XM_018843999.1,11
XM_018844000.1,2
XM_018844001.1,1
XM_018844002.1,2
XM_018844003.1,2
XM_018844004.1,1
XM_018844005.1,3
XM_018844006.1,4
XM_018844007.1,2
XM_018844008.1,2
XM_018844009.1,2
XM_018844010.1,2
XM_018844011.1,2
XM_018844012.1,3
XM_018844013.1,2
XM_018844014.1,2
XM_018844015.1,1
XM_018844016.1,4
XM_018844017.1,2
