gene_id,num_transcript,num_exon,num_uniq_exon
BD324DRAFT_100007,1,3,3
BD324DRAFT_100353,1,2,2
BD324DRAFT_103788,1,2,2
BD324DRAFT_106718,1,13,13
BD324DRAFT_111931,1,3,3
BD324DRAFT_112778,1,4,4
BD324DRAFT_112966,1,1,1
BD324DRAFT_113749,1,7,7
BD324DRAFT_117143,1,4,4
BD324DRAFT_117647,1,2,2
BD324DRAFT_119242,1,2,2
BD324DRAFT_120107,1,5,5
BD324DRAFT_120310,1,2,2
BD324DRAFT_121060,1,2,2
BD324DRAFT_123476,1,1,1
BD324DRAFT_123828,1,4,4
BD324DRAFT_125217,1,2,2
BD324DRAFT_127711,1,1,1
BD324DRAFT_128458,1,1,1
BD324DRAFT_130386,1,1,1
BD324DRAFT_135269,1,3,3
BD324DRAFT_136501,1,1,1
BD324DRAFT_152625,1,3,3
BD324DRAFT_15361,1,1,1
BD324DRAFT_154298,1,1,1
BD324DRAFT_154426,1,3,3
BD324DRAFT_155475,1,1,1
BD324DRAFT_158242,1,1,1
BD324DRAFT_158919,1,1,1
BD324DRAFT_160954,1,2,2
BD324DRAFT_166659,1,1,1
BD324DRAFT_167060,1,7,7
BD324DRAFT_167532,1,1,1
BD324DRAFT_167582,1,7,7
BD324DRAFT_167660,1,5,5
BD324DRAFT_168498,1,1,1
BD324DRAFT_168649,1,3,3
BD324DRAFT_17148,1,2,2
BD324DRAFT_172050,1,1,1
BD324DRAFT_172112,1,1,1
BD324DRAFT_173782,1,6,6
BD324DRAFT_174000,1,3,3
BD324DRAFT_179207,1,3,3
BD324DRAFT_182213,1,1,1
BD324DRAFT_182716,1,1,1
BD324DRAFT_183214,1,2,2
BD324DRAFT_183626,1,2,2
BD324DRAFT_184393,1,2,2
BD324DRAFT_19338,1,3,3
BD324DRAFT_193540,1,1,1
BD324DRAFT_193885,1,3,3
BD324DRAFT_194186,1,1,1
BD324DRAFT_197433,1,3,3
BD324DRAFT_200109,1,6,6
BD324DRAFT_202940,1,1,1
BD324DRAFT_204652,1,3,3
BD324DRAFT_207114,1,6,6
BD324DRAFT_21317,1,2,2
BD324DRAFT_213287,1,7,7
BD324DRAFT_214492,1,4,4
BD324DRAFT_215524,1,3,3
BD324DRAFT_216037,1,1,1
BD324DRAFT_216687,1,2,2
BD324DRAFT_218703,1,7,7
BD324DRAFT_223362,1,3,3
BD324DRAFT_224985,1,4,4
BD324DRAFT_225131,1,2,2
BD324DRAFT_226098,1,2,2
BD324DRAFT_228563,1,6,6
BD324DRAFT_22978,1,2,2
BD324DRAFT_233736,1,3,3
BD324DRAFT_234849,1,3,3
