gene_id,num_transcript,num_exon,num_uniq_exon
Z517_00001,1,1,1
Z517_00002,1,2,2
Z517_00034,1,1,1
Z517_00172,1,2,2
Z517_00221,1,1,1
Z517_00232,1,2,2
Z517_00291,1,1,1
Z517_00295,1,2,2
Z517_00302,1,8,8
Z517_00326,1,2,2
Z517_00426,1,1,1
Z517_00427,1,1,1
Z517_00471,1,1,1
Z517_00492,1,1,1
Z517_00531,1,1,1
Z517_00537,1,1,1
Z517_00612,1,2,2
Z517_00614,1,1,1
Z517_00766,1,1,1
Z517_00816,1,2,2
Z517_00817,1,2,2
Z517_00861,1,1,1
Z517_00905,1,1,1
Z517_00906,1,1,1
Z517_00946,1,2,2
Z517_00959,1,1,1
Z517_01029,1,2,2
Z517_01103,1,2,2
Z517_01152,1,1,1
Z517_01214,1,2,2
Z517_01250,1,1,1
Z517_01282,1,2,2
Z517_01342,1,2,2
Z517_01343,1,1,1
Z517_01403,1,1,1
Z517_01507,1,2,2
Z517_01545,1,1,1
Z517_01665,1,3,3
Z517_01697,1,1,1
Z517_01703,1,2,2
Z517_01825,1,1,1
Z517_01832,1,2,2
Z517_01852,1,1,1
Z517_01868,1,5,5
Z517_01976,1,1,1
Z517_02011,1,1,1
Z517_02028,1,1,1
Z517_02057,1,1,1
Z517_02093,1,2,2
Z517_02159,1,2,2
Z517_02168,1,1,1
Z517_02323,1,1,1
Z517_02339,1,1,1
Z517_02382,1,2,2
Z517_02406,1,2,2
Z517_02410,1,1,1
Z517_02411,1,1,1
Z517_02579,1,2,2
Z517_02580,1,1,1
Z517_02664,1,1,1
Z517_02750,1,1,1
Z517_02801,1,4,4
Z517_02822,1,2,2
Z517_02836,1,1,1
Z517_02840,1,2,2
Z517_02853,1,4,4
Z517_02867,1,2,2
Z517_02876,1,1,1
Z517_02877,1,3,3
Z517_02892,1,1,1
Z517_02893,1,2,2
Z517_02937,1,1,1
Z517_02947,1,1,1
Z517_02991,1,3,3
Z517_02993,1,2,2
Z517_03092,1,2,2
Z517_03099,1,1,1
Z517_03115,1,1,1
Z517_03170,1,2,2
Z517_03215,1,2,2
Z517_03221,1,1,1
Z517_03224,1,2,2
Z517_03238,1,1,1
Z517_03266,1,1,1
Z517_03358,1,1,1
Z517_03395,1,1,1
Z517_03406,1,1,1
Z517_03477,1,1,1
Z517_03479,1,1,1
Z517_03481,1,5,5
Z517_03509,1,2,2
Z517_03510,1,1,1
Z517_03529,1,1,1
Z517_03540,1,1,1
Z517_03561,1,1,1
Z517_03562,1,1,1
Z517_03601,1,2,2
Z517_03604,1,2,2
Z517_03654,1,3,3
Z517_03667,1,1,1
Z517_03683,1,2,2
Z517_03762,1,1,1
Z517_03776,1,5,5
Z517_03858,1,2,2
Z517_03859,1,2,2
Z517_03861,1,2,2
Z517_03862,1,1,1
Z517_03864,1,1,1
Z517_03872,1,2,2
Z517_03933,1,2,2
Z517_03950,1,4,4
Z517_03962,1,2,2
Z517_04048,1,1,1
Z517_04157,1,4,4
Z517_04193,1,1,1
Z517_04198,1,1,1
Z517_04222,1,1,1
Z517_04224,1,1,1
Z517_04282,1,1,1
Z517_04316,1,1,1
Z517_04321,1,4,4
Z517_04322,1,3,3
Z517_04390,1,2,2
Z517_04415,1,1,1
Z517_04456,1,4,4
Z517_04461,1,2,2
Z517_04476,1,3,3
Z517_04549,1,1,1
Z517_04677,1,2,2
Z517_04706,1,2,2
Z517_04736,1,1,1
Z517_04761,1,2,2
Z517_04811,1,1,1
Z517_04815,1,3,3
