gene_id,num_transcript,num_exon,num_uniq_exon
PV09_00002,1,3,3
PV09_00003,1,2,2
PV09_00004,1,1,1
PV09_00005,1,2,2
PV09_00006,1,3,3
PV09_00007,1,2,2
PV09_00008,1,4,4
PV09_00009,1,7,7
PV09_00010,1,2,2
PV09_00011,1,4,4
PV09_00012,1,1,1
PV09_00013,1,2,2
PV09_00014,1,2,2
PV09_00015,1,4,4
PV09_00016,1,5,5
PV09_00017,1,1,1
PV09_00018,2,5,4
PV09_00019,1,2,2
PV09_00020,1,2,2
PV09_00021,1,2,2
PV09_00022,1,4,4
PV09_00023,1,2,2
PV09_00024,1,3,3
PV09_00025,1,1,1
PV09_00026,1,2,2
PV09_00027,3,11,6
PV09_00028,1,2,2
PV09_00029,1,3,3
PV09_00030,1,1,1
PV09_00031,1,1,1
PV09_00032,2,7,5
PV09_00033,1,2,2
PV09_00034,1,1,1
PV09_00035,1,2,2
PV09_00036,1,3,3
PV09_00037,1,1,1
PV09_00038,1,3,3
PV09_00040,1,2,2
PV09_00041,1,2,2
PV09_00042,1,3,3
PV09_00043,1,2,2
PV09_00044,1,3,3
PV09_00045,1,1,1
PV09_00046,1,1,1
PV09_00047,1,5,5
PV09_00048,1,3,3
PV09_00049,1,3,3
PV09_00051,1,2,2
PV09_00052,1,1,1
PV09_00053,1,3,3
PV09_00054,2,5,4
PV09_00055,1,2,2
PV09_00056,1,2,2
PV09_00057,1,3,3
PV09_00058,1,6,6
PV09_00059,1,4,4
PV09_00060,1,2,2
PV09_00061,3,7,5
PV09_00062,1,2,2
PV09_00064,1,3,3
PV09_00065,1,3,3
PV09_00066,1,2,2
PV09_00067,1,4,4
PV09_00068,1,7,7
PV09_00069,5,26,11
PV09_00070,1,1,1
PV09_00071,1,1,1
PV09_00072,2,5,4
PV09_00073,1,3,3
PV09_00074,1,3,3
PV09_00075,1,3,3
PV09_00076,1,1,1
PV09_00077,2,5,4
PV09_00078,1,1,1
PV09_00079,1,3,3
PV09_00080,1,1,1
PV09_00081,1,7,7
PV09_00082,1,3,3
PV09_00083,1,3,3
PV09_00084,1,1,1
PV09_00085,1,2,2
PV09_00086,1,2,2
PV09_00087,1,2,2
