transcript_id,num_exon
XM_007764164.1,2
XM_007764167.1,3
XM_007764187.1,3
XM_007764188.1,4
XM_007764196.1,4
XM_007764199.1,3
XM_007764205.1,4
XM_007764207.1,3
XM_007764209.1,5
XM_007764210.1,5
XM_007764212.1,8
XM_007764213.1,3
XM_007764214.1,9
XM_007764215.1,7
XM_007764216.1,4
XM_007764217.1,3
XM_007764218.1,4
XM_007764219.1,1
XM_007764220.1,1
XM_007764221.1,12
XM_007764223.1,5
XM_007764224.1,8
XM_007764229.1,3
XM_007764231.1,9
XM_007764232.1,9
XM_007764233.1,8
XM_007764234.1,8
XM_007764237.1,3
XM_007764238.1,3
XM_007764239.1,4
XM_007764240.1,1
XM_007764241.1,3
XM_007764244.1,2
XM_007764246.1,1
XM_007764247.1,5
XM_007764249.1,14
XM_007764250.1,3
XM_007764251.1,3
XM_007764252.1,8
XM_007764254.1,2
XM_007764255.1,3
XM_007764256.1,5
XM_007764257.1,3
XM_007764258.1,4
XM_007764259.1,1
XM_007764260.1,6
XM_007764261.1,1
XM_007764262.1,9
XM_007764263.1,4
XM_007764264.1,3
XM_007764265.1,13
XM_007764266.1,3
XM_007764268.1,5
XM_007764269.1,4
XM_007764270.1,6
XM_007764271.1,5
XM_007764272.1,6
XM_007764273.1,3
XM_007764274.1,7
XM_007764275.1,2
XM_007764276.1,3
XM_007764277.1,6
XM_007764278.1,4
XM_007764279.1,3
XM_007764280.1,2
XM_007764281.1,5
XM_007764282.1,3
XM_007764283.1,2
XM_007764284.1,9
XM_007764285.1,2
XM_007764286.1,2
XM_007764288.1,5
XM_007764290.1,5
XM_007764291.1,9
XM_007764292.1,1
XM_007764293.1,3
XM_007764294.1,3
XM_007764295.1,1
XM_007764296.1,4
XM_007764297.1,3
XM_007764299.1,13
XM_007764301.1,1
XM_007764302.1,14
XM_007764303.1,7
XM_007764304.1,3
XM_007764305.1,12
XM_007764306.1,3
XM_007764307.1,7
XM_007764308.1,9
XM_007764309.1,1
XM_007764312.1,8
XM_007764314.1,9
XM_007764316.1,3
XM_007764317.1,11
XM_007764318.1,17
XM_007764319.1,2
XM_007764320.1,1
