transcript_id,num_exon
LOC103112863,2
LOC103112864,2
LOC103112866,2
LOC103112867,4
LOC103112868,2
LOC103112869,2
LOC103112870,2
LOC103112873,2
LOC103112874,2
LOC103112875,3
LOC103112876,2
LOC103112878,2
LOC103112879,8
LOC103112880,7
LOC103118561,2
LOC103118562,3
LOC103118563,5
LOC103118572,2
LOC103118573,3
LOC103118574,2
LOC103118578,2
LOC103118579,2
LOC103118580,2
LOC103118584,2
LOC103118585,2
LOC103118586,2
LOC103118590,2
LOC103118591,2
LOC103118594,2
LOC103118596,2
LOC103118598,2
LOC103118601,3
LOC103118602,2
LOC103118605,3
LOC103118606,2
LOC103118607,2
LOC103118610,2
LOC103118611,2
LOC103118615,3
LOC103121417,3
LOC103121418,2
LOC103121421,10
LOC103121423,4
LOC103121425,3
LOC103121427,2
LOC103121434,3
LOC103121435,7
LOC103121436,8
LOC103121437,6
LOC103121438,2
LOC103121440,3
LOC103122372,2
LOC103123252,2
LOC103123253,4
LOC103125982,8
LOC103126590,2
LOC103126594,2
LOC103126599,4
LOC103126600,2
LOC103126861,2
LOC103126871,2
LOC103127081,2
LOC103127082,2
LOC103127084,2
LOC103127085,3
LOC103127086,2
LOC103127087,2
LOC103127088,3
LOC103127089,2
LOC103127091,2
LOC103127110,2
LOC103127121,2
LOC103127125,3
LOC103127126,2
LOC103127127,2
LOC103127129,4
LOC103127130,2
LOC103127131,2
LOC103127132,3
LOC103127134,2
LOC103127137,2
LOC103127138,2
LOC107522457,2
LOC107522458,3
LOC107522459,2
LOC107522460,2
LOC107522461,2
LOC107522462,2
LOC107522463,2
LOC107522464,2
LOC107522465,2
LOC107522466,2
LOC107522829,2
LOC107522830,3
LOC107522831,2
LOC107522832,2
LOC107522833,2
LOC107522835,2
LOC107522985,4
LOC107523456,2
LOC107523467,2
TRNAA-AGC,1
TRNAA-AGC_1,1
TRNAA-AGC_10,1
TRNAA-AGC_11,1
TRNAA-AGC_12,1
TRNAA-AGC_13,1
TRNAA-AGC_2,1
TRNAA-AGC_3,1
TRNAA-AGC_4,1
TRNAA-AGC_5,1
TRNAA-AGC_6,1
TRNAA-AGC_7,1
TRNAA-AGC_8,1
TRNAA-AGC_9,1
TRNAA-CGC,1
TRNAA-CGC_1,1
TRNAA-CGC_2,1
TRNAA-CGC_3,1
TRNAA-UGC,1
TRNAA-UGC_1,1
TRNAA-UGC_2,1
TRNAA-UGC_3,1
TRNAA-UGC_4,1
TRNAA-UGC_5,1
TRNAA-UGC_6,1
TRNAA-UGC_7,1
TRNAC-GCA,1
TRNAC-GCA_1,1
TRNAC-GCA_10,1
TRNAC-GCA_11,1
TRNAC-GCA_12,1
TRNAC-GCA_13,1
TRNAC-GCA_14,1
TRNAC-GCA_15,1
TRNAC-GCA_16,1
TRNAC-GCA_17,1
TRNAC-GCA_18,1
TRNAC-GCA_19,1
TRNAC-GCA_2,1
TRNAC-GCA_20,1
TRNAC-GCA_21,1
TRNAC-GCA_22,1
TRNAC-GCA_23,1
TRNAC-GCA_24,1
TRNAC-GCA_25,1
TRNAC-GCA_26,1
TRNAC-GCA_27,1
TRNAC-GCA_28,1
TRNAC-GCA_29,1
TRNAC-GCA_3,1
TRNAC-GCA_30,1
TRNAC-GCA_31,1
TRNAC-GCA_32,1
TRNAC-GCA_4,1
TRNAC-GCA_5,1
TRNAC-GCA_6,1
TRNAC-GCA_7,1
TRNAC-GCA_8,1
TRNAC-GCA_9,1
TRNAD-GUC,1
TRNAD-GUC_1,1
TRNAD-GUC_10,1
TRNAD-GUC_11,1
TRNAD-GUC_12,1
TRNAD-GUC_2,1
TRNAD-GUC_3,1
TRNAD-GUC_4,1
TRNAD-GUC_5,1
TRNAD-GUC_6,1
TRNAD-GUC_7,1
TRNAD-GUC_8,1
TRNAD-GUC_9,1
TRNAE-CUC,1
TRNAE-CUC_1,1
TRNAE-CUC_2,1
TRNAE-CUC_3,1
TRNAE-CUC_4,1
TRNAE-CUC_5,1
TRNAE-CUC_6,1
TRNAE-CUC_7,1
TRNAE-UUC,1
TRNAE-UUC_1,1
TRNAE-UUC_2,1
TRNAE-UUC_3,1
TRNAE-UUC_4,1
TRNAE-UUC_5,1
TRNAE-UUC_6,1
TRNAE-UUC_7,1
TRNAF-GAA,1
TRNAF-GAA_1,1
TRNAF-GAA_2,1
TRNAF-GAA_3,1
TRNAF-GAA_4,1
TRNAF-GAA_5,1
TRNAF-GAA_6,1
TRNAF-GAA_7,1
TRNAG-CCC,1
