transcript_id,num_exon
FBtr0193032,1
FBtr0193044,5
FBtr0193045,1
FBtr0193051,2
FBtr0193052,2
FBtr0193054,1
FBtr0193057,1
FBtr0193061,2
FBtr0193064,1
FBtr0193069,3
FBtr0193072,1
FBtr0193076,4
FBtr0193077,1
FBtr0193078,1
FBtr0193079,2
FBtr0193081,2
FBtr0193082,1
FBtr0193084,1
FBtr0193085,2
FBtr0193088,1
FBtr0193092,2
FBtr0193093,6
FBtr0193106,2
FBtr0193126,1
FBtr0193130,2
FBtr0193132,2
FBtr0193134,3
FBtr0193143,1
FBtr0193150,3
FBtr0193153,1
FBtr0193165,1
FBtr0193180,1
FBtr0193196,1
FBtr0193207,2
FBtr0193217,2
FBtr0193224,1
FBtr0193237,1
FBtr0193240,1
FBtr0193246,3
FBtr0193268,4
FBtr0193271,3
FBtr0193274,1
FBtr0193277,1
FBtr0193291,1
FBtr0193292,2
FBtr0193295,2
FBtr0193298,1
FBtr0193301,2
FBtr0193309,1
FBtr0193314,7
FBtr0193331,1
FBtr0193355,3
FBtr0193373,1
FBtr0193374,1
FBtr0193380,2
FBtr0193384,1
FBtr0193386,1
FBtr0193387,1
FBtr0193388,1
FBtr0193390,2
FBtr0193391,1
FBtr0193393,2
FBtr0193395,1
FBtr0193397,1
FBtr0193416,3
FBtr0193437,1
FBtr0193450,1
FBtr0193464,2
FBtr0193468,1
FBtr0193469,2
FBtr0193475,1
FBtr0193483,1
FBtr0193489,3
FBtr0193502,2
FBtr0193503,2
FBtr0193504,1
FBtr0193505,1
FBtr0193506,2
FBtr0193508,2
FBtr0193511,1
FBtr0193527,2
FBtr0193532,2
FBtr0193534,2
FBtr0193539,2
FBtr0193543,3
FBtr0193546,2
FBtr0193551,2
FBtr0193556,1
FBtr0193558,1
FBtr0193566,2
FBtr0193568,1
FBtr0193588,2
FBtr0193606,3
FBtr0193611,1
FBtr0193621,1
FBtr0193637,5
FBtr0193649,2
FBtr0193655,1
FBtr0193657,2
FBtr0193660,2
FBtr0193670,1
FBtr0193694,1
FBtr0193700,1
FBtr0193710,2
FBtr0193714,1
FBtr0193728,4
FBtr0193741,2
FBtr0193747,2
FBtr0193748,1
FBtr0193749,1
FBtr0193761,1
FBtr0193764,1
FBtr0193766,1
FBtr0193768,6
FBtr0193771,6
FBtr0193773,2
FBtr0193782,1
FBtr0193790,1
FBtr0193798,10
FBtr0193807,1
FBtr0193821,1
FBtr0193837,3
FBtr0193841,1
FBtr0193845,2
FBtr0193888,3
FBtr0193890,1
FBtr0193900,2
FBtr0193901,2
FBtr0193903,2
FBtr0193904,2
FBtr0193905,1
FBtr0193911,4
FBtr0193913,1
FBtr0193914,2
FBtr0193935,1
FBtr0193936,3
FBtr0193939,2
FBtr0193940,1
FBtr0193941,2
FBtr0193948,2
FBtr0193962,1
FBtr0193965,1
FBtr0193972,2
FBtr0193974,1
FBtr0193986,3
FBtr0193990,2
FBtr0193996,2
FBtr0194010,1
FBtr0194011,1
FBtr0194013,3
FBtr0194015,4
FBtr0194016,1
FBtr0194018,1
FBtr0194021,1
FBtr0194022,1
FBtr0194023,1
FBtr0194027,1
FBtr0194028,1
FBtr0194029,1
FBtr0194040,4
FBtr0194043,3
FBtr0194050,2
FBtr0194051,3
FBtr0194052,5
FBtr0194054,2
FBtr0194058,2
FBtr0194063,3
FBtr0194066,1
FBtr0194067,1
FBtr0194069,2
FBtr0194071,3
FBtr0194072,1
FBtr0194073,1
FBtr0194082,2
FBtr0194083,3
FBtr0194089,2
FBtr0194091,1
FBtr0194093,1
FBtr0194094,2
FBtr0194103,1
FBtr0194104,1
FBtr0194113,2
FBtr0194129,1
FBtr0194131,2
FBtr0194133,1
FBtr0194134,1
FBtr0194135,1
FBtr0194136,1
FBtr0194142,2
FBtr0194144,1
FBtr0194147,1
FBtr0194151,1
FBtr0194154,1
FBtr0194155,1
FBtr0194157,2
FBtr0194158,2
FBtr0194163,1
FBtr0194164,3
FBtr0194166,1
FBtr0194168,2
FBtr0194169,1
FBtr0194170,2
FBtr0194172,1
FBtr0194177,1
FBtr0194178,1
FBtr0194180,1
FBtr0194208,3
FBtr0194220,1
FBtr0194223,2
FBtr0194226,4
FBtr0194229,6
FBtr0194235,1
FBtr0194243,1
FBtr0194259,2
FBtr0194281,2
FBtr0194296,5
FBtr0194298,2
FBtr0194309,1
FBtr0194317,2
FBtr0194336,1
FBtr0194338,1
FBtr0194349,6
FBtr0194355,4
FBtr0194356,1
FBtr0194359,2
FBtr0194368,3
FBtr0194369,2
FBtr0194370,2
FBtr0194374,2
FBtr0194381,1
FBtr0194396,1
FBtr0194401,1
FBtr0194406,3
FBtr0194409,1
FBtr0194410,1
FBtr0194425,3
FBtr0194430,2
FBtr0194433,1
FBtr0194467,2
FBtr0194472,2
FBtr0194477,2
FBtr0194480,2
FBtr0194489,5
FBtr0194490,3
FBtr0194504,1
FBtr0194509,1
FBtr0194517,1
FBtr0194524,1
FBtr0194528,2
FBtr0194534,3
FBtr0194539,1
FBtr0194540,1
FBtr0194542,3
FBtr0194546,1
FBtr0194547,5
FBtr0194549,1
FBtr0194550,1
FBtr0194553,3
FBtr0194563,8
FBtr0194572,2
FBtr0194575,1
FBtr0194590,4
FBtr0194596,4
FBtr0194600,2
FBtr0194608,2
FBtr0194610,2
FBtr0194612,1
FBtr0194621,1
FBtr0194622,3
FBtr0194625,1
FBtr0194631,2
FBtr0194633,1
FBtr0194634,2
FBtr0194638,1
FBtr0194639,1
FBtr0194642,2
FBtr0194648,2
FBtr0194651,2
FBtr0194653,1
FBtr0194659,1
FBtr0194661,4
FBtr0194662,1
FBtr0194668,1
FBtr0194673,1
FBtr0194674,2
FBtr0194675,1
FBtr0194676,1
FBtr0194678,1
FBtr0194679,1
FBtr0194685,2
FBtr0194691,1
FBtr0194693,1
FBtr0194696,1
FBtr0194698,1
FBtr0194700,1
FBtr0194702,1
FBtr0194703,1
FBtr0194717,2
FBtr0194724,2
FBtr0194729,1
FBtr0194730,1
FBtr0194732,2
FBtr0194734,1
FBtr0194747,2
FBtr0194752,3
FBtr0194770,1
FBtr0194778,1
FBtr0194795,3
FBtr0194800,2
FBtr0194803,1
FBtr0194815,1
FBtr0194827,2
FBtr0194830,1
FBtr0194838,3
FBtr0194852,1
FBtr0194891,2
FBtr0194893,3
FBtr0194909,1
FBtr0194910,1
FBtr0194915,2
FBtr0194921,1
FBtr0194925,2
FBtr0194927,3
FBtr0194928,3
FBtr0194930,1
FBtr0194932,1
FBtr0194937,1
FBtr0194940,1
FBtr0194961,1
FBtr0194971,2
FBtr0194976,1
FBtr0194977,2
FBtr0194980,2
FBtr0194981,1
FBtr0194983,2
FBtr0194985,2
FBtr0194997,2
FBtr0195007,1
FBtr0195012,1
FBtr0195028,1
FBtr0195046,1
FBtr0195048,5
FBtr0195049,2
FBtr0195051,1
FBtr0195055,2
FBtr0195059,1
FBtr0195060,1
FBtr0195061,1
FBtr0195063,3
FBtr0195065,1
FBtr0195066,1
FBtr0195067,1
FBtr0195069,1
FBtr0195072,3
FBtr0195089,1
FBtr0195117,1
FBtr0195118,2
FBtr0195119,1
FBtr0195143,3
FBtr0195152,1
FBtr0195177,1
FBtr0195190,1
FBtr0195230,3
FBtr0195235,3
FBtr0195249,1
FBtr0195252,1
FBtr0195257,3
FBtr0195259,1
FBtr0195287,1
FBtr0195288,3
FBtr0195318,2
FBtr0195320,1
FBtr0195323,2
FBtr0195328,3
FBtr0195331,2
FBtr0195340,2
FBtr0195350,2
FBtr0195352,2
FBtr0195357,3
FBtr0195365,2
FBtr0195368,2
FBtr0195370,1
FBtr0195378,2
FBtr0195389,2
FBtr0195390,2
FBtr0195400,1
FBtr0195403,3
FBtr0195405,1
FBtr0195406,1
FBtr0195415,3
FBtr0195428,1
FBtr0195451,1
FBtr0195456,1
FBtr0195461,1
FBtr0195471,3
FBtr0195472,2
FBtr0195474,3
FBtr0195475,1
FBtr0195476,2
FBtr0195488,3
FBtr0195489,2
FBtr0195500,2
FBtr0195501,2
FBtr0195503,2
FBtr0195504,1
FBtr0195505,1
FBtr0195508,2
FBtr0195509,1
FBtr0195515,3
FBtr0195517,2
FBtr0195522,3
FBtr0195523,1
FBtr0195534,2
FBtr0195536,4
FBtr0195545,1
FBtr0195549,2
FBtr0195558,1
FBtr0195586,1
FBtr0195587,2
FBtr0195588,1
FBtr0195590,1
FBtr0195595,2
FBtr0195600,1
FBtr0195605,3
FBtr0195610,1
FBtr0195625,2
FBtr0195631,5
FBtr0195642,1
FBtr0195647,3
FBtr0195650,1
FBtr0195654,1
FBtr0195658,1
FBtr0195667,2
FBtr0195673,2
FBtr0195674,2
FBtr0195684,3
FBtr0195690,5
FBtr0195700,2
FBtr0195704,1
FBtr0195711,1
FBtr0195715,1
FBtr0195726,2
FBtr0195735,1
FBtr0195736,1
FBtr0195740,1
FBtr0195761,1
FBtr0195765,1
FBtr0195766,2
FBtr0195767,2
FBtr0195769,3
FBtr0195775,2
FBtr0195778,4
FBtr0195803,2
FBtr0195804,1
FBtr0195805,2
FBtr0195809,1
FBtr0195849,2
FBtr0195872,1
FBtr0195875,2
FBtr0195876,1
FBtr0195891,1
FBtr0195896,1
FBtr0195901,1
FBtr0195915,1
FBtr0195923,1
FBtr0195930,2
FBtr0195935,1
FBtr0195940,5
FBtr0195944,1
FBtr0195947,2
FBtr0195957,2
FBtr0195958,1
FBtr0195962,1
FBtr0195971,1
FBtr0195978,1
FBtr0195983,2
FBtr0195985,1
FBtr0195987,1
FBtr0195988,2
FBtr0195993,4
FBtr0196007,3
FBtr0196019,2
FBtr0196026,2
FBtr0196043,3
FBtr0196055,4
FBtr0196059,3
FBtr0196068,1
FBtr0196075,1
FBtr0196098,1
FBtr0196103,2
FBtr0196104,1
FBtr0196105,1
FBtr0196106,3
FBtr0196109,1
FBtr0196110,1
FBtr0196111,1
FBtr0196113,2
FBtr0196114,1
FBtr0196124,1
FBtr0196125,1
FBtr0196129,1
FBtr0196133,2
FBtr0196138,2
FBtr0196139,1
FBtr0196141,6
FBtr0196142,3
FBtr0196143,1
FBtr0196145,2
FBtr0196148,1
FBtr0196149,1
FBtr0196153,1
FBtr0196156,3
FBtr0196157,1
FBtr0196160,2
FBtr0196164,1
FBtr0196165,1
FBtr0196166,1
FBtr0196168,1
FBtr0196171,1
FBtr0196173,3
FBtr0196175,1
FBtr0196177,1
FBtr0196178,1
FBtr0196181,1
FBtr0196185,2
FBtr0196186,1
FBtr0196192,2
FBtr0196194,1
FBtr0196195,1
FBtr0196200,3
FBtr0196204,2
FBtr0196206,2
FBtr0196207,2
FBtr0196210,1
FBtr0196224,2
FBtr0196227,2
FBtr0196229,3
FBtr0196232,1
FBtr0196238,1
FBtr0196239,1
FBtr0196241,2
FBtr0196248,2
FBtr0196251,3
FBtr0196253,3
FBtr0196256,2
FBtr0196257,2
FBtr0196259,2
FBtr0196279,1
FBtr0196301,1
FBtr0196303,2
FBtr0196304,1
FBtr0196312,1
FBtr0196314,2
FBtr0196316,1
FBtr0196324,1
FBtr0196325,2
FBtr0196326,3
FBtr0196330,3
FBtr0196332,1
FBtr0196333,4
FBtr0196371,6
FBtr0196406,1
FBtr0196407,1
FBtr0196416,2
FBtr0196421,2
FBtr0196422,5
FBtr0196426,3
FBtr0196428,1
FBtr0196429,1
FBtr0196431,2
FBtr0196464,1
FBtr0196471,1
FBtr0196472,2
FBtr0196478,1
FBtr0196483,1
FBtr0196484,3
FBtr0196489,2
FBtr0196492,1
FBtr0196493,1
FBtr0196498,2
FBtr0196505,2
FBtr0196510,1
FBtr0196513,2
FBtr0196515,1
FBtr0196523,1
FBtr0196525,1
FBtr0196528,1
FBtr0196532,1
FBtr0196534,2
FBtr0196537,1
FBtr0196542,2
FBtr0196547,1
FBtr0196553,1
FBtr0196554,1
FBtr0196560,1
FBtr0196561,1
FBtr0196562,2
FBtr0196564,1
FBtr0196567,1
FBtr0196572,1
FBtr0196575,1
FBtr0196583,1
FBtr0196585,1
FBtr0196586,1
FBtr0196587,1
FBtr0196590,2
FBtr0196595,4
FBtr0196601,1
FBtr0196608,1
FBtr0196611,1
FBtr0196613,1
FBtr0196614,1
FBtr0196615,1
FBtr0196616,1
FBtr0196617,1
FBtr0196631,1
FBtr0196647,5
FBtr0196648,1
FBtr0196666,2
FBtr0196672,1
FBtr0196681,2
FBtr0196682,1
FBtr0196686,1
FBtr0196696,1
FBtr0196700,1
FBtr0196711,1
FBtr0196718,1
FBtr0196720,1
FBtr0196723,1
FBtr0196729,2
FBtr0196734,2
FBtr0196750,4
