gene_id,num_transcript,num_exon,num_uniq_exon
T551_00001,1,1,1
T551_00002,1,2,2
T551_00056,1,3,3
T551_00073,1,4,4
T551_00163,1,2,2
T551_00164,1,1,1
T551_00184,1,4,4
T551_00222,1,5,5
T551_00223,1,1,1
T551_00224,1,1,1
T551_00307,1,2,2
T551_00317,1,8,8
T551_00322,1,4,4
T551_00354,1,2,2
T551_00381,1,6,6
T551_00391,1,5,5
T551_00396,1,2,2
T551_00418,1,3,3
T551_00428,1,4,4
T551_00434,1,1,1
T551_00444,1,1,1
T551_00496,1,2,2
T551_00520,1,4,4
T551_00525,1,2,2
T551_00542,1,3,3
T551_00553,1,1,1
T551_00554,1,3,3
T551_00561,1,5,5
T551_00572,1,2,2
T551_00593,1,2,2
T551_00603,1,3,3
T551_00604,1,6,6
T551_00605,1,2,2
T551_00606,1,2,2
T551_00607,1,4,4
T551_00628,1,2,2
T551_00637,1,2,2
T551_00660,1,8,8
T551_00689,1,2,2
T551_00726,1,3,3
T551_00753,1,4,4
T551_00775,1,1,1
T551_00777,1,3,3
T551_00803,1,6,6
T551_00812,1,6,6
T551_00815,1,4,4
T551_00841,1,1,1
T551_00842,1,3,3
T551_00856,1,2,2
T551_00862,1,2,2
T551_00871,1,5,5
T551_00880,1,3,3
T551_00886,1,3,3
T551_00911,1,1,1
T551_00912,1,1,1
T551_00914,1,1,1
T551_00933,1,1,1
T551_00948,1,5,5
T551_01002,1,6,6
T551_01004,1,9,9
T551_01041,1,7,7
T551_01081,1,5,5
T551_01133,1,3,3
T551_01134,1,1,1
T551_01139,1,2,2
T551_01161,1,3,3
T551_01166,1,5,5
T551_01183,1,1,1
T551_01185,1,1,1
T551_01187,1,8,8
T551_01213,1,3,3
T551_01255,1,4,4
T551_01301,1,2,2
T551_01317,1,8,8
T551_01334,1,7,7
T551_01350,1,9,9
T551_01351,1,4,4
T551_01355,1,6,6
T551_01402,1,4,4
T551_01427,1,5,5
T551_01429,1,1,1
T551_01430,1,1,1
T551_01431,1,3,3
T551_01441,1,3,3
T551_01449,1,2,2
T551_01477,1,6,6
T551_01484,1,1,1
T551_01505,1,3,3
T551_01510,1,4,4
T551_01511,1,10,10
T551_01536,1,4,4
T551_01553,1,4,4
T551_01569,1,3,3
T551_01570,1,1,1
T551_01590,1,3,3
T551_01653,1,2,2
T551_01654,1,3,3
T551_01655,1,3,3
T551_01657,1,4,4
T551_01663,1,1,1
T551_01665,1,3,3
T551_01666,1,2,2
T551_01667,1,5,5
T551_01718,1,5,5
T551_01727,1,5,5
T551_01730,1,1,1
T551_01731,1,1,1
T551_01754,1,2,2
T551_01789,1,7,7
T551_01834,1,2,2
T551_01837,1,7,7
T551_01853,1,1,1
T551_01855,1,2,2
T551_01858,1,17,17
T551_01859,1,1,1
T551_01865,1,7,7
T551_01901,1,3,3
T551_01927,1,6,6
T551_01928,1,4,4
T551_01939,1,1,1
T551_01947,1,3,3
T551_01982,1,6,6
T551_01989,1,4,4
T551_01991,1,2,2
T551_02013,1,1,1
T551_02026,1,1,1
T551_02037,1,2,2
T551_02038,1,1,1
