transcript_id,num_exon
XM_008077603.1,2
XM_008077604.1,2
XM_008077605.1,3
XM_008077606.1,4
XM_008077607.1,5
XM_008077608.1,1
XM_008077609.1,1
XM_008077610.1,1
XM_008077611.1,3
XM_008077612.1,2
XM_008077613.1,7
XM_008077614.1,3
XM_008077615.1,1
XM_008077616.1,1
XM_008077617.1,3
XM_008077618.1,1
XM_008077619.1,2
XM_008077620.1,1
XM_008077621.1,1
XM_008077622.1,1
XM_008077623.1,6
XM_008077624.1,3
XM_008077625.1,3
XM_008077626.1,1
XM_008077627.1,1
XM_008077628.1,2
XM_008077629.1,2
XM_008077630.1,2
XM_008077631.1,7
XM_008077632.1,3
XM_008077633.1,1
XM_008077634.1,5
XM_008077635.1,3
XM_008077636.1,2
XM_008077637.1,4
XM_008077638.1,2
XM_008077639.1,2
XM_008077640.1,1
XM_008077641.1,3
XM_008077642.1,1
XM_008077643.1,2
XM_008077644.1,2
XM_008077645.1,2
XM_008077646.1,1
XM_008077647.1,2
XM_008077648.1,1
XM_008077649.1,1
XM_008077650.1,4
XM_008077651.1,2
XM_008077652.1,3
XM_008077653.1,2
XM_008077654.1,5
XM_008077655.1,6
XM_008077656.1,1
XM_008077657.1,2
XM_008077658.1,4
XM_008077659.1,1
XM_008077660.1,1
XM_008077661.1,2
XM_008077662.1,3
XM_008077663.1,7
XM_008077664.1,2
XM_008077665.1,1
XM_008077666.1,3
XM_008077667.1,5
XM_008077668.1,4
XM_008077669.1,3
XM_008077670.1,2
XM_008077671.1,1
XM_008077672.1,1
XM_008077673.1,3
XM_008077674.1,3
XM_008077675.1,6
XM_008077676.1,5
XM_008077677.1,3
XM_008077678.1,2
XM_008077679.1,1
XM_008077680.1,2
XM_008077681.1,2
XM_008077682.1,2
XM_008077683.1,2
XM_008077684.1,3
XM_008077685.1,3
XM_008077686.1,3
XM_008077687.1,2
XM_008077688.1,4
XM_008077689.1,1
XM_008077690.1,4
XM_008077691.1,2
XM_008077692.1,1
XM_008077693.1,4
XM_008077694.1,4
XM_008077695.1,4
XM_008077696.1,3
XM_008077697.1,2
XM_008077698.1,5
XM_008077699.1,7
XM_008077700.1,2
XM_008077701.1,2
XM_008077702.1,1
XM_008077703.1,1
XM_008077704.1,2
XM_008077705.1,3
XM_008077706.1,1
XM_008077707.1,1
XM_008077708.1,1
XM_008077709.1,1
XM_008077710.1,1
XM_008077711.1,2
XM_008077712.1,1
XM_008077713.1,3
XM_008077714.1,1
XM_008077715.1,1
XM_008077716.1,1
XM_008077717.1,2
XM_008077718.1,3
XM_008077719.1,2
XM_008077720.1,1
XM_008077721.1,2
XM_008077722.1,1
XM_008077723.1,1
XM_008077724.1,2
XM_008077725.1,4
XM_008077726.1,4
XM_008077727.1,10
XM_008077728.1,4
XM_008077729.1,3
XM_008077730.1,1
XM_008077731.1,3
XM_008077732.1,5
XM_008077733.1,2
XM_008077734.1,6
XM_008077735.1,3
XM_008077736.1,1
XM_008077737.1,5
XM_008077738.1,5
XM_008077739.1,1
XM_008077740.1,3
XM_008077741.1,2
XM_008077742.1,8
XM_008077743.1,5
XM_008077744.1,5
XM_008077745.1,2
XM_008077746.1,4
XM_008077747.1,2
XM_008077748.1,1
XM_008077749.1,4
XM_008077750.1,5
XM_008077751.1,2
XM_008077752.1,5
XM_008077753.1,3
XM_008077754.1,4
XM_008077755.1,1
XM_008077756.1,2
XM_008077757.1,4
XM_008077758.1,3
XM_008077759.1,2
XM_008077760.1,1
XM_008077761.1,1
XM_008077762.1,3
XM_008077763.1,3
XM_008077764.1,1
XM_008077765.1,1
XM_008077766.1,3
XM_008077767.1,2
XM_008077768.1,1
XM_008077769.1,2
XM_008077770.1,3
XM_008077771.1,2
XM_008077772.1,4
XM_008077773.1,2
XM_008077774.1,3
XM_008077775.1,2
XM_008077776.1,3
XM_008077777.1,3
XM_008077778.1,3
XM_008077779.1,2
XM_008077780.1,10
XM_008077781.1,2
XM_008077782.1,4
XM_008077783.1,9
XM_008077784.1,2
XM_008077785.1,2
XM_008077786.1,2
XM_008077787.1,1
