transcript_id,num_exon
XM_013411024.1,2
XM_013411025.1,1
XM_013411026.1,1
XM_013411027.1,6
XM_013411028.1,1
XM_013411029.1,1
XM_013411030.1,3
XM_013411031.1,1
XM_013411032.1,2
XM_013411033.1,4
XM_013411034.1,1
XM_013411035.1,2
XM_013411036.1,1
XM_013411037.1,1
XM_013411038.1,2
XM_013411039.1,2
XM_013411040.1,2
XM_013411041.1,6
XM_013411042.1,1
XM_013411044.1,5
XM_013411045.1,1
XM_013411046.1,1
XM_013411047.1,2
XM_013411048.1,1
XM_013411049.1,4
XM_013411050.1,2
XM_013411051.1,1
XM_013411052.1,6
XM_013411053.1,1
XM_013411054.1,3
XM_013411055.1,4
XM_013411056.1,1
XM_013411057.1,2
XM_013411058.1,3
XM_013411059.1,1
XM_013411060.1,1
XM_013411061.1,1
XM_013411062.1,2
XM_013411063.1,3
XM_013411064.1,3
XM_013411065.1,4
XM_013411066.1,6
XM_013411067.1,2
XM_013411068.1,1
XM_013411069.1,2
XM_013411070.1,2
XM_013411071.1,2
XM_013411072.1,1
XM_013411073.1,4
XM_013411074.1,2
XM_013411075.1,5
XM_013411076.1,2
XM_013411077.1,3
XM_013411078.1,2
XM_013411079.1,3
XM_013411080.1,2
XM_013411082.1,3
XM_013411083.1,2
XM_013411084.1,1
XM_013411085.1,4
XM_013411086.1,1
XM_013411087.1,2
XM_013411088.1,1
XM_013411090.1,5
XM_013411091.1,2
XM_013411092.1,2
XM_013411093.1,1
XM_013411094.1,1
XM_013411095.1,1
XM_013411096.1,1
XM_013411097.1,3
XM_013411098.1,3
XM_013411099.1,1
XM_013411100.1,4
XM_013411101.1,2
XM_013411102.1,2
XM_013411103.1,3
XM_013411104.1,1
XM_013411105.1,4
XM_013411106.1,4
XM_013411107.1,3
XM_013411108.1,5
XM_013411109.1,2
XM_013411110.1,1
XM_013411111.1,3
XM_013411112.1,3
XM_013411113.1,1
XM_013411114.1,2
XM_013411115.1,9
XM_013411116.1,1
XM_013411117.1,1
XM_013411118.1,3
XM_013411119.1,1
XM_013411120.1,1
XM_013411121.1,1
XM_013411122.1,1
XM_013411123.1,1
XM_013411124.1,2
XM_013411125.1,2
XM_013411126.1,1
XM_013411127.1,1
XM_013411128.1,1
XM_013411129.1,3
XM_013411130.1,1
XM_013411131.1,4
XM_013411132.1,1
XM_013411133.1,3
XM_013411134.1,1
XM_013411135.1,2
XM_013411136.1,5
XM_013411137.1,2
XM_013411138.1,2
XM_013411139.1,2
XM_013411140.1,3
XM_013411141.1,1
XM_013411142.1,1
XM_013411143.1,2
XM_013411144.1,8
XM_013411145.1,1
XM_013411146.1,3
XM_013411147.1,5
XM_013411148.1,3
XM_013411149.1,3
XM_013411150.1,2
XM_013411151.1,4
XM_013411152.1,1
XM_013411153.1,2
XM_013411154.1,1
XM_013411155.1,1
XM_013411156.1,1
XM_013411157.1,1
XM_013411158.1,2
XM_013411159.1,1
XM_013411160.1,1
XM_013411161.1,2
XM_013411162.1,1
XM_013411163.1,1
XM_013411164.1,1
XM_013411166.1,2
XM_013411167.1,2
XM_013411168.1,2
XM_013411169.1,3
XM_013411170.1,8
XM_013411171.1,3
XM_013411172.1,2
XM_013411173.1,2
XM_013411174.1,2
XM_013411175.1,1
XM_013411176.1,3
XM_013411177.1,1
XM_013411178.1,2
XM_013411180.1,4
XM_013411181.1,3
XM_013411182.1,2
XM_013411183.1,3
XM_013411184.1,1
XM_013411185.1,3
XM_013411186.1,2
XM_013411187.1,1
XM_013411188.1,1
XM_013411189.1,5
XM_013411190.1,3
XM_013411191.1,3
XM_013411192.1,10
XM_013411193.1,2
XM_013411194.1,2
XM_013411195.1,3
XM_013411196.1,2
XM_013411197.1,1
XM_013411198.1,2
XM_013411199.1,2
XM_013411200.1,2
XM_013411201.1,3
XM_013411202.1,8
XM_013411203.1,3
XM_013411204.1,4
XM_013411205.1,3
XM_013411206.1,1
XM_013411207.1,2
XM_013411208.1,3
XM_013411209.1,3
XM_013411210.1,2
XM_013411211.1,4
XM_013411212.1,2
XM_013411213.1,4
XM_013411214.1,1
XM_013411215.1,4
XM_013411216.1,1
XM_013411218.1,3
XM_013411219.1,3
XM_013411220.1,5
XM_013411221.1,1
XM_013411222.1,2
XM_013411223.1,1
XM_013411224.1,5
XM_013411225.1,4
XM_013411226.1,4
XM_013411227.1,1
XM_013411228.1,3
XM_013411229.1,6
XM_013411232.1,2
XM_013411233.1,1
XM_013411234.1,1
XM_013411235.1,1
XM_013411236.1,1
XM_013411237.1,2
XM_013411239.1,9
XM_013411240.1,4
XM_013411241.1,2
XM_013411242.1,1
XM_013411243.1,3
XM_013411244.1,1
XM_013411245.1,6
XM_013411246.1,3
XM_013411247.1,5
XM_013411248.1,5
XM_013411250.1,2
XM_013411251.1,1
XM_013411252.1,6
XM_013411253.1,2
XM_013411254.1,5
XM_013411255.1,3
XM_013411256.1,4
XM_013411257.1,1
XM_013411258.1,3
XM_013411259.1,2
XM_013411260.1,5
XM_013411261.1,4
XM_013411262.1,2
