gene_id,num_transcript,num_exon,num_uniq_exon
A2ML1,1,26,26
A4GNT,2,5,4
AAAS,2,34,19
AADAC,1,5,5
AADAT,1,9,9
AAED1,1,5,5
AAGAB,1,2,2
AAK1,3,18,8
AAMP,1,11,11
AANAT,1,4,4
AAR2,1,4,4
AARS2,2,40,24
AASS,1,21,21
AATK,2,23,12
ABAT,1,15,15
ABCA12,1,40,40
ABCA2,1,20,20
ABCA5,1,38,38
ABCB1,1,28,28
ABCB10,1,13,13
ABCB11,1,10,10
ABCB5,2,57,29
ABCB6,1,12,12
ABCB7,2,32,17
ABCB9,1,7,7
ABCC1,1,22,22
ABCC10,4,88,25
ABCC2,1,31,31
ABCC3,1,18,18
ABCC4,1,16,16
ABCC8,1,29,29
ABCC9,1,3,3
ABCD1,1,2,2
ABCD4,1,20,20
ABCE1,1,18,18
ABCF1,1,11,11
ABCF2,1,13,13
ABCG2,1,13,13
ABHD1,1,9,9
ABHD10,2,10,6
ABHD12,1,13,13
ABHD13,3,8,5
ABHD14B,1,4,4
ABHD16A,1,10,10
ABHD16B,1,1,1
ABHD17B,2,8,5
ABHD17C,1,3,3
ABHD2,1,7,7
ABHD3,1,4,4
ABHD4,1,1,1
ABHD5,1,7,7
ABHD6,1,6,6
ABHD8,1,4,4
ABI1,4,40,12
ABI2,1,7,7
ABI3,1,7,7
ABL1,1,5,5
ABL2,1,7,7
ABLIM1,1,11,11
ABLIM2,2,26,16
ABLIM3,1,15,15
ABR,1,4,4
ABRA,1,2,2
ABRACL,2,6,4
ABT1,1,4,4
ABTB1,1,12,12
ABTB2,1,17,17
ACAA1,1,10,10
ACAA2,1,6,6
ACAD10,1,14,14
ACAD11,1,19,19
ACAD9,1,12,12
ACADL,1,5,5
ACADS,1,10,10
ACADSB,1,7,7
ACADVL,1,18,18
ACAN,1,17,17
ACAP2,1,21,21
ACAP3,1,14,14
ACAT1,1,11,11
ACAT2,1,9,9
ACBD3,1,8,8
ACBD4,3,33,14
ACBD5,3,42,16
ACBD7,1,4,4
ACE,1,25,25
ACE2,1,11,11
ACER2,1,5,5
ACER3,1,6,6
ACHE,1,4,4
ACIN1,1,7,7
ACKR3,1,2,2
ACLY,1,28,28
ACMSD,3,27,13
ACO1,1,16,16
ACO2,2,36,19
ACOT11,6,95,24
ACOT12,1,13,13
ACOT7,1,4,4
ACOT8,1,6,6
ACOT9,1,16,16
ACOX1,3,42,16
ACOX2,1,11,11
ACOX3,1,17,17
ACP1,1,3,3
ACP2,1,6,6
ACP6,1,10,10
ACRBP,1,9,9
ACRC,1,9,9
ACSBG1,1,11,11
ACSF2,1,16,16
ACSL3,1,16,16
ACSL4,1,14,14
ACSL5,2,42,22
ACSL6,6,125,25
ACSS2,1,17,17
ACSS3,1,15,15
ACTA1,1,7,7
ACTL7A,1,1,1
ACTN1,1,19,19
ACTN2,2,36,23
ACTR10,1,13,13
ACTR1A,3,34,14
ACTR2,1,9,9
ACTR3,1,12,12
ACTR3B,3,34,15
ACTR5,1,9,9
ACTR6,1,11,11
ACTR8,1,11,11
ACVR1B,2,18,10
ACVR2A,1,11,11
ACVR2B,7,91,19
ACVRL1,1,7,7
ACY1,2,30,16
ACY3,1,6,6
ACYP1,4,10,6
ADA,1,11,11
ADAD1,1,11,11
ADAL,1,7,7
ADAM10,2,32,17
ADAM11,2,60,34
ADAM19,1,15,15
ADAM22,1,28,28
ADAM23,1,16,16
ADAM28,1,17,17
ADAMTS1,2,18,11
ADAMTS15,1,7,7
ADAMTS19,2,40,23
ADAMTS2,1,14,14
ADAMTS4,1,8,8
ADAMTS5,1,8,8
ADAMTS6,3,75,27
ADAMTS7,1,24,24
ADAMTSL1,1,14,14
ADAMTSL2,3,55,22
ADAMTSL3,1,14,14
ADAMTSL4,1,20,20
ADAMTSL5,1,8,8
ADAP1,1,3,3
ADAR,1,13,13
ADARB1,2,19,12
ADARB2,2,22,12
ADAT1,2,16,9
ADAT2,1,6,6
ADAT3,1,1,1
ADCK1,1,9,9
ADCK2,1,8,8
ADCK3,3,47,17
ADCK4,1,11,11
ADCK5,1,7,7
ADCY1,1,20,20
ADCY10,1,25,25
ADCY2,1,3,3
ADCY3,1,21,21
ADCY4,1,22,22
ADCY5,2,41,25
ADCY6,1,7,7
ADCY7,1,11,11
ADCY9,1,12,12
ADCYAP1,1,5,5
ADCYAP1R1,2,30,16
ADD2,3,43,17
ADD3,5,67,18
ADGB,1,25,25
ADGRA1,1,4,4
ADGRA2,1,19,19
ADGRA3,1,8,8
ADGRB2,2,50,27
ADGRB3,1,11,11
ADGRE5,1,18,18
ADGRF5,1,17,17
ADGRG6,1,12,12
ADGRL1,3,65,24
ADGRL2,1,25,25
ADGRL3,3,55,21
ADGRL4,2,33,18
ADIPOR1,1,9,9
ADIPOR2,1,8,8
ADK,1,11,11
ADM,1,4,4
ADM2,1,2,2
ADNP,4,20,8
ADNP2,1,3,3
ADPGK,2,12,7
ADPRH,2,8,5
ADPRHL1,1,7,7
ADPRHL2,2,12,7
ADPRM,1,4,4
ADRA1D,1,2,2
ADRA2A,5,12,6
ADRA2B,1,1,1
ADRB1,1,2,2
ADRB2,1,1,1
ADRB3,1,1,1
ADRBK1,1,21,21
ADRBK2,1,21,21
ADRM1,1,4,4
ADSL,1,13,13
ADSSL1,1,13,13
ADTRP,2,9,6
AEBP1,1,16,16
AES,1,6,6
AFAP1L2,1,19,19
AFF1,1,17,17
AFF3,1,13,13
AFF4,2,45,25
AFG3L2,1,17,17
AFMID,1,11,11
AFTPH,4,40,12
AGAP3,1,17,17
AGBL2,8,130,24
AGBL4,1,12,12
AGBL5,6,101,24
AGFG1,4,57,18
AGGF1,1,14,14
AGK,1,13,13
AGL,1,27,27
AGMAT,1,7,7
AGMO,2,26,14
AGO4,1,18,18
AGPAT2,1,6,6
AGPAT3,1,3,3
AGPAT4,1,7,7
AGPAT5,1,3,3
AGPS,1,19,19
AGR2,2,15,9
AGR3,1,7,7
AGRN,1,11,11
AGRP,1,3,3
AGT,1,5,5
AGTPBP1,3,80,29
AGTR1,1,2,2
AGTR2,1,2,2
AGXT,2,13,8
AGXT2,1,4,4
AHCTF1,1,36,36
AHCY,1,10,10
AHCYL1,2,33,19
AHDC1,1,3,3
AHI1,2,45,25
AHNAK,1,9,9
AHNAK2,1,2,2
AHR,1,11,11
AHSA1,1,4,4
AHSG,1,3,3
AICDA,1,2,2
AIDA,1,5,5
AIF1,1,6,6
AIF1L,1,2,2
AIFM1,1,10,10
AIFM2,1,9,9
AIFM3,1,14,14
AIG1,3,16,8
AIMP1,2,15,9
AIMP2,1,4,4
AIP,1,5,5
AJAP1,1,1,1
AK1,1,2,2
AK2,3,19,10
AK3,1,5,5
AK4,1,3,3
AK5,1,10,10
AK6,1,5,5
AK7,1,11,11
AKAP1,1,9,9
AKAP10,1,2,2
AKAP11,1,7,7
AKAP12,1,3,3
AKAP17A,1,5,5
AKAP2,3,9,6
AKAP3,1,2,2
AKAP5,1,2,2
AKAP6,2,9,5
AKAP7,2,16,10
AKAP8,4,53,18
AKAP8L,4,53,17
AKAP9,3,130,44
AKIRIN2,1,5,5
AKR1A1,1,9,9
AKR1D1,1,8,8
AKT1S1,3,15,7
AKT2,1,14,14
AKT3,1,12,12
AKTIP,1,7,7
ALAD,1,7,7
ALAS1,1,11,11
ALAS2,1,6,6
ALCAM,1,15,15
ALDH16A1,1,16,16
ALDH18A1,3,52,20
ALDH1A1,1,13,13
ALDH1A2,2,25,13
ALDH1L2,1,12,12
ALDH3A2,1,8,8
ALDH3B1,1,8,8
ALDH4A1,1,14,14
ALDH6A1,1,12,12
ALDH7A1,1,17,17
ALDH8A1,1,7,7
ALDH9A1,1,11,11
ALG1,1,13,13
ALG11,3,15,8
ALG12,1,9,9
ALG13,1,2,2
ALG2,1,2,2
ALG3,1,4,4
ALG5,1,10,10
ALG6,1,3,3
ALG8,1,11,11
ALG9,1,9,9
ALK,1,25,25
ALKBH1,2,12,8
ALKBH2,1,2,2
ALKBH3,3,29,12
ALKBH4,1,2,2
ALKBH5,1,2,2
ALKBH8,1,7,7
ALOX12B,1,8,8
ALOX5,1,10,10
ALPK1,1,9,9
ALPK2,1,5,5
ALPK3,1,4,4
ALPL,1,7,7
ALS2,1,11,11
ALS2CL,1,16,16
ALS2CR11,1,4,4
ALX1,1,4,4
ALX4,1,3,3
ALYREF,1,6,6
AMACR,1,2,2
AMBN,1,10,10
AMBRA1,6,114,27
AMD1,1,9,9
AMDHD2,1,3,3
AMER1,2,5,4
AMER2,1,2,2
AMER3,1,3,3
AMFR,1,12,12
AMH,1,4,4
AMIGO1,1,1,1
AMIGO2,1,1,1
AMMECR1,1,4,4
AMMECR1L,3,20,10
AMN,1,5,5
AMN1,1,7,7
AMOT,1,10,10
AMOTL1,1,12,12
AMOTL2,2,20,11
AMPD1,1,15,15
AMPD2,2,36,19
AMPD3,3,48,19
AMPH,1,12,12
AMT,1,2,2
AMTN,1,9,9
AMZ2,1,7,7
ANAPC1,7,334,55
ANAPC10,5,29,11
ANAPC11,2,8,5
ANAPC13,3,9,7
ANAPC15,1,4,4
ANAPC2,1,13,13
ANAPC4,1,9,9
ANGEL1,2,20,11
ANGEL2,2,15,9
ANGPT1,1,8,8
ANGPT2,1,4,4
ANGPTL3,1,7,7
ANGPTL7,1,5,5
ANK2,1,43,43
ANK3,3,26,11
ANKAR,1,18,18
ANKDD1A,1,11,11
ANKDD1B,1,6,6
ANKEF1,1,10,10
ANKFN1,1,7,7
ANKFY1,2,50,26
ANKH,1,5,5
ANKIB1,4,81,25
ANKLE1,1,7,7
ANKLE2,1,11,11
ANKMY1,1,11,11
ANKMY2,2,20,12
ANKRA2,1,8,8
ANKRD10,3,19,10
ANKRD11,1,12,12
ANKRD12,2,8,6
ANKRD13A,2,31,17
ANKRD13C,1,13,13
ANKRD13D,1,15,15
ANKRD17,3,101,35
ANKRD2,1,8,8
ANKRD24,1,3,3
ANKRD27,1,8,8
ANKRD28,3,84,30
ANKRD29,1,10,10
ANKRD33,1,2,2
ANKRD34A,1,2,2
ANKRD34B,1,1,1
ANKRD40,3,10,7
ANKRD45,1,5,5
ANKRD46,6,36,10
ANKRD49,1,2,2
ANKRD50,2,10,6
ANKRD52,2,56,29
ANKRD54,1,8,8
ANKRD55,3,32,12
ANKRD6,1,2,2
ANKRD63,1,1,1
ANKRD65,1,4,4
ANKRD66,1,4,4
ANKRD9,1,1,1
ANKS1A,10,255,32
ANKS1B,3,29,15
ANKS3,1,7,7
ANKS6,1,6,6
ANKUB1,3,17,11
ANKZF1,2,24,16
ANLN,1,24,24
ANO1,1,26,26
ANO10,1,11,11
ANO3,1,4,4
ANO5,1,19,19
ANO7,2,28,17
ANO9,1,10,10
ANOS1,2,28,16
ANP32A,1,7,7
ANP32E,1,7,7
ANPEP,1,20,20
ANXA1,1,12,12
ANXA2,1,8,8
ANXA4,1,5,5
ANXA5,1,9,9
ANXA6,3,71,25
ANXA7,1,13,13
AOC1,1,4,4
AOC3,1,4,4
AP1AR,1,10,10
AP1G1,2,47,24
AP1M1,1,12,12
AP1M2,1,12,12
AP1S1,2,10,6
AP1S2,5,29,11
AP1S3,1,5,5
AP2A1,1,14,14
AP2A2,1,22,22
AP2B1,1,21,21
AP2M1,4,48,13
AP2S1,1,2,2
AP3B2,1,17,17
AP3D1,2,50,26
AP3M2,1,6,6
AP3S1,2,13,9
AP4B1,2,18,10
AP4M1,1,15,15
AP4S1,3,17,8
AP5B1,3,9,7
AP5M1,1,9,9
AP5Z1,1,9,9
