transcript_id,num_exon
NM_001001127.1,7
NM_001001129.1,7
NM_001001131.1,5
NM_001001189.1,7
NM_001001192.1,7
NM_001001193.1,4
NM_001001194.1,4
NM_001001195.2,9
NM_001001201.2,8
NM_001001203.1,5
NM_001001291.2,4
NM_001001292.1,25
NM_001001293.1,9
NM_001001294.1,4
NM_001001296.5,3
NM_001001298.1,13
NM_001001299.2,8
NM_001001300.1,14
NM_001001301.1,11
NM_001001302.1,38
NM_001001304.2,10
NM_001001305.3,3
NM_001001310.4,2
NM_001001311.2,8
NM_001001312.2,8
NM_001001313.2,9
NM_001001314.2,9
NM_001001316.1,8
NM_001001328.2,3
NM_001001337.1,13
NM_001001340.2,11
NM_001001341.1,11
NM_001001460.1,6
NM_001001461.1,3
NM_001001462.1,5
NM_001001463.2,18
NM_001001464.1,8
NM_001001465.1,12
NM_001001466.2,9
NM_001001467.1,1
NM_001001468.1,12
NM_001001469.1,22
NM_001001470.1,6
NM_001001471.1,2
NM_001001472.2,6
NM_001001473.2,10
NM_001001527.2,2
NM_001001528.2,11
NM_001001529.1,15
NM_001001530.1,15
NM_001001531.1,7
NM_001001603.1,7
NM_001001604.1,6
NM_001001605.3,4
NM_001001606.1,3
NM_001001608.2,3
NM_001001609.2,3
NM_001001610.2,4
NM_001001611.2,3
NM_001001613.1,9
NM_001001614.1,6
NM_001001615.1,16
NM_001001616.1,9
NM_001001733.2,13
NM_001001741.1,3
NM_001001742.1,5
NM_001001743.1,5
NM_001001744.1,6
NM_001001745.1,7
NM_001001746.1,4
NM_001001747.2,11
NM_001001748.2,5
NM_001001749.1,9
NM_001001750.3,4
NM_001001751.2,13
NM_001001752.2,9
NM_001001753.1,6
NM_001001754.1,33
NM_001001755.1,21
NM_001001756.1,10
NM_001001757.1,9
NM_001001758.2,12
NM_001001759.1,17
NM_001001760.1,13
NM_001001761.3,9
NM_001001763.1,8
NM_001001764.1,7
NM_001001765.1,12
NM_001001766.1,9
NM_001001767.2,6
NM_001001772.1,9
NM_001001773.1,9
NM_001001774.1,16
NM_001001775.3,16
NM_001001776.1,8
NM_001001777.1,6
NM_001001778.2,5
NM_001001779.1,3
NM_001001780.1,3
NM_001001781.1,4
NM_001001782.1,11
NM_001001783.1,6
NM_001001784.1,5
NM_001001785.1,11
NM_001001858.2,4
NM_001001879.1,11
NM_001001897.2,11
NM_001001899.1,14
NM_001001901.2,8
NM_001002242.1,13
NM_001003718.1,12
NM_001003797.1,6
NM_001004368.1,30
NM_001004369.1,9
NM_001004370.1,10
NM_001004371.1,13
NM_001004372.1,5
NM_001004373.1,2
NM_001004374.2,3
NM_001004375.2,3
NM_001004376.3,3
NM_001004378.2,8
NM_001004379.1,7
NM_001004380.1,10
NM_001004381.3,22
NM_001004382.2,7
NM_001004383.1,14
NM_001004384.2,4
NM_001004385.1,15
NM_001004386.1,9
NM_001004387.1,16
NM_001004388.3,10
NM_001004389.2,15
NM_001004390.2,3
NM_001004391.1,16
NM_001004392.2,40
NM_001004393.1,5
NM_001004395.1,23
NM_001004396.1,10
NM_001004397.1,8
NM_001004398.1,22
NM_001004399.1,5
NM_001004400.2,4
NM_001004401.1,11
NM_001004402.1,15
NM_001004403.2,8
NM_001004404.2,14
NM_001004405.2,24
NM_001004406.1,4
NM_001004407.1,3
NM_001004408.2,35
NM_001004409.2,13
NM_001004410.1,21
NM_001004411.1,9
NM_001004412.1,22
NM_001004413.2,17
NM_001004414.2,5
NM_001004429.3,16
NM_001004493.4,31
NM_001004709.4,27
NM_001004765.2,5
NM_001004766.1,9
NM_001004767.1,9
NM_001004768.1,17
NM_001004769.1,6
NM_001005345.2,11
NM_001005346.1,4
NM_001005347.2,21
NM_001005427.1,3
NM_001005431.1,10
NM_001005571.1,1
NM_001005616.1,4
NM_001005618.1,19
NM_001005791.1,6
NM_001005796.2,17
NM_001005798.1,7
NM_001005800.1,14
NM_001005802.1,6
NM_001005805.1,11
NM_001005808.2,11
NM_001005811.1,12
NM_001005813.1,10
NM_001005816.1,8
NM_001005819.1,8
NM_001005820.1,24
NM_001005821.1,6
NM_001005822.1,8
NM_001005823.1,9
NM_001005825.1,12
NM_001005827.1,5
NM_001005830.1,11
NM_001005831.1,18
NM_001005833.1,6
NM_001005834.2,9
NM_001005835.1,10
NM_001005836.2,21
NM_001005837.1,5
NM_001005838.1,10
NM_001005839.1,17
NM_001005840.1,18
NM_001005841.1,9
NM_001005842.1,17
NM_001005843.1,2
NM_001005848.2,4
NM_001006128.1,18
NM_001006129.2,20
NM_001006130.1,14
NM_001006131.2,8
NM_001006132.1,24
NM_001006133.1,19
NM_001006134.1,22
NM_001006135.1,9
NM_001006136.2,18
NM_001006137.1,6
NM_001006138.1,11
NM_001006139.1,16
NM_001006140.2,11
NM_001006141.1,11
NM_001006142.1,9
NM_001006143.1,12
NM_001006144.1,13
NM_001006145.1,20
NM_001006146.1,15
NM_001006147.1,17
NM_001006148.1,21
NM_001006149.1,9
NM_001006150.1,12
NM_001006151.1,11
NM_001006152.1,7
NM_001006153.1,6
NM_001006154.2,3
NM_001006155.1,16
NM_001006156.1,6
NM_001006158.1,15
NM_001006159.2,9
NM_001006160.2,3
NM_001006161.3,24
NM_001006162.1,12
NM_001006163.1,12
NM_001006164.1,8
NM_001006165.1,12
NM_001006166.1,22
NM_001006167.2,11
NM_001006169.1,9
NM_001006170.1,5
NM_001006171.1,6
NM_001006172.2,5
NM_001006174.1,2
NM_001006175.1,18
NM_001006176.2,28
NM_001006177.1,9
NM_001006178.1,13
NM_001006179.1,20
NM_001006180.1,4
NM_001006181.1,18
NM_001006182.2,13
NM_001006183.1,6
NM_001006184.1,18
NM_001006185.1,14
NM_001006186.1,4
NM_001006187.1,17
NM_001006188.1,6
NM_001006189.1,6
NM_001006190.1,7
NM_001006191.3,11
NM_001006192.2,5
NM_001006193.1,11
NM_001006194.1,7
NM_001006195.2,20
NM_001006196.3,6
NM_001006197.1,13
NM_001006198.1,14
NM_001006199.1,18
NM_001006200.1,11
NM_001006201.2,7
NM_001006202.1,13
NM_001006203.1,5
NM_001006204.1,16
NM_001006205.1,14
NM_001006206.1,14
NM_001006207.2,19
NM_001006208.1,19
NM_001006209.1,11
NM_001006210.1,18
NM_001006211.2,5
NM_001006212.1,11
NM_001006214.2,6
NM_001006215.2,20
NM_001006216.1,14
NM_001006217.2,10
NM_001006218.1,4
NM_001006219.1,6
NM_001006220.2,32
NM_001006221.1,17
NM_001006222.1,9
NM_001006223.1,10
NM_001006224.1,25
NM_001006225.1,12
NM_001006226.1,18
NM_001006227.1,12
NM_001006229.2,9
NM_001006230.1,3
NM_001006231.1,17
NM_001006232.1,12
NM_001006233.1,11
NM_001006234.1,19
NM_001006235.1,9
NM_001006236.2,8
NM_001006237.1,17
NM_001006238.1,17
NM_001006239.3,4
NM_001006240.2,11
NM_001006241.1,9
NM_001006242.1,4
NM_001006243.1,16
NM_001006244.1,5
NM_001006245.1,11
NM_001006246.3,10
NM_001006247.2,10
NM_001006248.1,9
NM_001006249.1,15
NM_001006250.1,10
NM_001006251.1,8
NM_001006252.1,4
NM_001006253.1,5
NM_001006254.1,12
NM_001006255.2,11
NM_001006256.2,8
NM_001006257.1,9
NM_001006258.1,7
NM_001006259.1,11
NM_001006260.2,12
NM_001006261.1,5
NM_001006262.1,8
NM_001006263.1,5
NM_001006264.1,8
NM_001006265.2,18
NM_001006266.2,15
NM_001006268.1,9
NM_001006269.1,9
NM_001006270.1,8
NM_001006271.2,11
NM_001006272.2,11
NM_001006273.1,5
NM_001006274.1,9
NM_001006275.1,22
NM_001006276.1,9
NM_001006277.1,5
NM_001006278.1,6
NM_001006279.2,6
NM_001006280.1,12
NM_001006281.1,11
NM_001006284.2,12
NM_001006285.1,10
NM_001006286.1,5
NM_001006287.1,13
NM_001006288.1,17
NM_001006289.1,6
NM_001006290.2,11
NM_001006291.1,10
NM_001006292.1,13
NM_001006293.1,21
NM_001006294.1,15
NM_001006295.1,9
NM_001006296.1,6
NM_001006297.2,9
NM_001006298.1,5
NM_001006299.2,12
NM_001006300.1,8
NM_001006301.1,20
NM_001006302.1,7
NM_001006303.1,13
NM_001006304.1,8
NM_001006305.2,8
NM_001006306.2,10
NM_001006307.1,3
NM_001006308.1,10
NM_001006309.3,11
NM_001006310.2,8
NM_001006311.1,9
NM_001006312.1,6
NM_001006313.2,8
NM_001006314.1,14
NM_001006315.1,3
NM_001006316.2,11
NM_001006317.3,18
NM_001006318.1,5
NM_001006320.1,5
NM_001006321.1,4
NM_001006322.2,15
NM_001006323.1,5
NM_001006324.2,4
NM_001006325.1,8
NM_001006327.2,4
NM_001006328.2,6
NM_001006329.1,9
NM_001006330.2,5
NM_001006331.1,19
NM_001006332.1,11
NM_001006333.1,3
NM_001006334.1,9
NM_001006335.2,11
NM_001006336.1,17
NM_001006337.3,4
NM_001006338.2,9
NM_001006339.1,10
NM_001006340.1,5
NM_001006341.2,18
NM_001006342.1,6
NM_001006343.1,2
