transcript_id,num_exon
XM_011925679.1,12
XM_011925680.1,5
XM_011925681.1,24
XM_011925682.1,2
XM_011925683.1,18
XM_011925684.1,77
XM_011925685.1,3
XM_011925686.1,21
XM_011925687.1,10
XM_011925688.1,5
XM_011925690.1,5
XM_011925691.1,2
XM_011925692.1,14
XM_011925693.1,6
XM_011925694.1,5
XM_011925695.1,4
XM_011925696.1,9
XM_011925697.1,4
XM_011925698.1,4
XM_011925699.1,28
XM_011925700.1,10
XM_011925702.1,9
XM_011925703.1,9
XM_011925704.1,1
XM_011925705.1,15
XM_011925706.1,4
XM_011925707.1,3
XM_011925708.1,3
XM_011925709.1,6
XM_011925710.1,5
XM_011925712.1,7
XM_011925713.1,5
XM_011925714.1,12
XM_011925715.1,1
XM_011925716.1,2
XM_011925717.1,13
XM_011925718.1,13
XM_011925719.1,2
XM_011925720.1,11
XM_011925721.1,13
XM_011925722.1,17
XM_011925723.1,9
XM_011925724.1,8
XM_011925725.1,5
XM_011925726.1,4
XM_011925727.1,4
XM_011925728.1,5
XM_011925729.1,18
XM_011925730.1,19
XM_011925731.1,16
XM_011925732.1,10
XM_011925733.1,2
XM_011925734.1,11
XM_011925735.1,11
XM_011925736.1,11
XM_011925737.1,5
XM_011925738.1,8
XM_011925739.1,6
XM_011925740.1,6
XM_011925741.1,5
XM_011925742.1,5
XM_011925744.1,10
XM_011925745.1,5
XM_011925746.1,5
XM_011925747.1,9
XM_011925748.1,9
XM_011925749.1,9
XM_011925750.1,9
XM_011925751.1,6
XM_011925752.1,5
XM_011925753.1,5
XM_011925754.1,12
XM_011925755.1,11
XM_011925756.1,2
XM_011925757.1,4
XM_011925758.1,11
XM_011925759.1,29
XM_011925760.1,29
XM_011925761.1,29
XM_011925762.1,28
XM_011925763.1,27
XM_011925764.1,3
XM_011925765.1,3
XM_011925766.1,3
XM_011925767.1,3
XM_011925768.1,2
XM_011925769.1,24
XM_011925770.1,34
XM_011925771.1,5
XM_011925772.1,15
XM_011925773.1,1
XM_011925774.1,2
XM_011925775.1,16
XM_011925776.1,17
XM_011925777.1,17
XM_011925781.1,7
XM_011925782.1,5
XM_011925784.1,3
XM_011925785.1,5
XM_011925786.1,5
XM_011925787.1,4
XM_011925788.1,4
XM_011925789.1,4
XM_011925790.1,4
XM_011925791.1,5
XM_011925792.1,4
XM_011925793.1,5
XM_011925794.1,4
XM_011925795.1,4
XM_011925796.1,2
XM_011925797.1,3
XM_011925798.1,2
XM_011925799.1,11
XM_011925800.1,10
XM_011925801.1,8
XM_011925802.1,12
XM_011925803.1,9
XM_011925804.1,9
XM_011925805.1,5
XM_011925806.1,4
XM_011925807.1,5
XM_011925808.1,5
XM_011925809.1,5
XM_011925810.1,5
XM_011925811.1,5
XM_011925812.1,3
XM_011925813.1,5
XM_011925814.1,4
XM_011925815.1,5
XM_011925816.1,5
XM_011925817.1,3
XM_011925818.1,4
XM_011925819.1,4
XM_011925820.1,8
XM_011925821.1,3
XM_011925822.1,19
XM_011925823.1,18
XM_011925824.1,18
XM_011925825.1,22
XM_011925826.1,7
XM_011925827.1,6
XM_011925828.1,7
XM_011925829.1,7
XM_011925830.1,10
XM_011925831.1,12
XM_011925832.1,10
XM_011925833.1,12
XM_011925834.1,10
XM_011925835.1,11
XM_011925836.1,10
XM_011925837.1,10
XM_011925838.1,8
XM_011925839.1,9
XM_011925840.1,9
XM_011925841.1,8
XM_011925842.1,8
XM_011925843.1,10
XM_011925844.1,9
XM_011925845.1,11
XM_011925846.1,8
XM_011925847.1,7
XM_011925848.1,12
XM_011925849.1,10
XM_011925850.1,5
XM_011925851.1,5
XM_011925852.1,6
XM_011925853.1,6
XM_011925854.1,9
XM_011925855.1,10
XM_011925856.1,6
XM_011925857.1,9
XM_011925858.1,8
XM_011925859.1,9
XM_011925860.1,8
XM_011925861.1,9
XM_011925862.1,6
XM_011925863.1,6
XM_011925864.1,5
XM_011925865.1,9
XM_011925866.1,7
XM_011925867.1,15
XM_011925868.1,5
