transcript_id,num_exon
XM_020269262.1,2
XM_020269263.1,1
XM_020269264.1,1
XM_020269266.1,2
XM_020269267.1,6
XM_020269269.1,2
XM_020269270.1,1
XM_020269271.1,1
XM_020269273.1,3
XM_020269274.1,3
XM_020269275.1,2
XM_020269276.1,4
XM_020269277.1,3
XM_020269278.1,14
XM_020269279.1,2
XM_020269280.1,3
XM_020269281.1,3
XM_020269282.1,6
XM_020269283.1,3
XM_020269284.1,2
XM_020269285.1,2
XM_020269286.1,6
XM_020269287.1,3
XM_020269288.1,3
XM_020269289.1,4
XM_020269290.1,2
XM_020269291.1,6
XM_020269292.1,1
XM_020269293.1,3
XM_020269294.1,2
XM_020269295.1,2
XM_020269296.1,2
XM_020269297.1,5
XM_020269299.1,2
XM_020269300.1,4
XM_020269301.1,3
XM_020269303.1,2
XM_020269304.1,7
XM_020269305.1,1
XM_020269306.1,2
XM_020269307.1,4
XM_020269308.1,2
XM_020269309.1,1
XM_020269310.1,3
XM_020269311.1,2
XM_020269312.1,4
XM_020269314.1,8
XM_020269315.1,3
XM_020269316.1,2
XM_020269317.1,3
XM_020269319.1,3
XM_020269320.1,2
XM_020269321.1,4
XM_020269322.1,2
XM_020269323.1,1
XM_020269324.1,2
XM_020269325.1,1
XM_020269326.1,1
XM_020269327.1,2
XM_020269328.1,4
XM_020269329.1,2
XM_020269331.1,4
XM_020269332.1,5
XM_020269334.1,5
XM_020269335.1,5
XM_020269336.1,1
XM_020269337.1,2
XM_020269338.1,4
XM_020269339.1,3
XM_020269340.1,6
XM_020269341.1,3
XM_020269342.1,4
XM_020269345.1,1
XM_020269346.1,3
XM_020269347.1,3
XM_020269348.1,6
XM_020269349.1,2
XM_020269350.1,1
XM_020269351.1,5
XM_020269352.1,4
XM_020269353.1,1
XM_020269354.1,3
XM_020269355.1,3
XM_020269356.1,4
XM_020269357.1,2
XM_020269358.1,2
XM_020269359.1,3
XM_020269360.1,2
XM_020269361.1,3
XM_020269362.1,2
XM_020269363.1,5
XM_020269364.1,2
XM_020269365.1,7
XM_020269366.1,5
XM_020269367.1,2
XM_020269368.1,1
XM_020269369.1,10
XM_020269370.1,1
XM_020269371.1,2
XM_020269372.1,2
XM_020269373.1,2
XM_020269374.1,4
XM_020269375.1,2
XM_020269376.1,1
XM_020269377.1,4
XM_020269378.1,2
XM_020269379.1,4
XM_020269380.1,2
XM_020269381.1,4
XM_020269382.1,2
XM_020269383.1,2
XM_020269384.1,2
XM_020269385.1,1
XM_020269386.1,5
XM_020269388.1,3
XM_020269389.1,3
XM_020269390.1,3
XM_020269391.1,3
XM_020269392.1,4
XM_020269393.1,1
XM_020269394.1,1
XM_020269395.1,2
XM_020269397.1,6
XM_020269398.1,3
XM_020269399.1,4
XM_020269400.1,1
XM_020269401.1,2
XM_020269402.1,2
XM_020269403.1,5
XM_020269404.1,2
XM_020269405.1,4
XM_020269406.1,4
XM_020269407.1,6
XM_020269408.1,1
XM_020269409.1,2
XM_020269410.1,3
XM_020269411.1,4
XM_020269412.1,3
XM_020269413.1,4
XM_020269414.1,2
XM_020269415.1,1
XM_020269416.1,3
XM_020269417.1,3
XM_020269418.1,1
XM_020269419.1,4
XM_020269420.1,3
XM_020269421.1,1
XM_020269422.1,3
XM_020269423.1,4
XM_020269424.1,2
XM_020269425.1,1
XM_020269426.1,3
XM_020269427.1,3
XM_020269431.1,2
XM_020269432.1,2
XM_020269433.1,1
XM_020269434.1,2
XM_020269435.1,2
XM_020269436.1,2
XM_020269437.1,2
XM_020269438.1,3
XM_020269439.1,2
XM_020269440.1,7
XM_020269441.1,3
XM_020269442.1,4
XM_020269443.1,1
XM_020269444.1,2
XM_020269445.1,3
XM_020269446.1,3
XM_020269447.1,4
XM_020269448.1,5
XM_020269450.1,1
XM_020269451.1,6
XM_020269452.1,8
XM_020269453.1,9
XM_020269454.1,2
XM_020269455.1,2
XM_020269456.1,4
XM_020269457.1,11
XM_020269458.1,1
XM_020269459.1,2
XM_020269460.1,4
XM_020269461.1,5
XM_020269462.1,11
XM_020269463.1,4
XM_020269464.1,1
XM_020269465.1,2
XM_020269466.1,3
XM_020269467.1,6
XM_020269468.1,4
XM_020269469.1,5
XM_020269470.1,2
XM_020269471.1,1
XM_020269472.1,2
XM_020269473.1,1
XM_020269474.1,8
XM_020269475.1,1
XM_020269476.1,3
XM_020269477.1,5
XM_020269478.1,2
XM_020269479.1,2
XM_020269480.1,5
XM_020269481.1,3
XM_020269482.1,2
XM_020269483.1,3
XM_020269484.1,4
XM_020269485.1,3
XM_020269486.1,6
XM_020269487.1,2
XM_020269488.1,2
XM_020269489.1,3
XM_020269490.1,1
XM_020269491.1,3
XM_020269492.1,2
XM_020269493.1,6
XM_020269494.1,3
XM_020269495.1,2
XM_020269497.1,3
XM_020269498.1,2
XM_020269499.1,1
XM_020269500.1,3
XM_020269501.1,2
XM_020269502.1,6
XM_020269503.1,2
XM_020269504.1,1
XM_020269505.1,2
XM_020269506.1,5
XM_020269507.1,2
XM_020269508.1,2
XM_020269509.1,4
XM_020269510.1,2
XM_020269511.1,1
XM_020269512.1,3
XM_020269513.1,1
XM_020269514.1,4
XM_020269515.1,2
XM_020269516.1,5
XM_020269517.1,2
XM_020269518.1,3
XM_020269519.1,1
XM_020269520.1,3
XM_020269521.1,3
XM_020269522.1,2
XM_020269523.1,1
XM_020269524.1,4
XM_020269525.1,5
XM_020269526.1,10
XM_020269527.1,2
XM_020269528.1,6
XM_020269529.1,1
XM_020269530.1,3
XM_020269533.1,3
XM_020269534.1,4
XM_020269535.1,3
XM_020269536.1,4
XM_020269537.1,3
XM_020269538.1,6
XM_020269539.1,1
XM_020269540.1,2
XM_020269541.1,2
XM_020269542.1,7
XM_020269543.1,6
XM_020269544.1,3
XM_020269545.1,3
XM_020269546.1,3
XM_020269547.1,2
XM_020269548.1,5
XM_020269549.1,5
XM_020269550.1,2
XM_020269551.1,3
