gene_id,num_transcript,num_exon,num_uniq_exon
LOC110863686,1,2,2
LOC110863689,1,1,1
LOC110863697,1,2,2
LOC110863704,1,2,2
LOC110863707,1,5,5
LOC110863713,1,1,1
LOC110863718,1,3,3
LOC110863731,1,1,1
LOC110863735,1,1,1
LOC110863740,1,1,1
LOC110863744,1,1,1
LOC110863745,1,1,1
LOC110863746,1,1,1
LOC110863749,1,2,2
LOC110863755,1,2,2
LOC110863759,1,1,1
LOC110863769,1,5,5
LOC110863770,1,5,5
LOC110863788,1,1,1
LOC110863790,1,2,2
LOC110863795,1,2,2
LOC110863799,1,5,5
LOC110863801,1,1,1
LOC110863803,1,1,1
LOC110863810,1,3,3
LOC110863815,1,2,2
LOC110863821,1,2,2
LOC110863830,1,1,1
LOC110863843,2,4,3
LOC110863845,1,3,3
LOC110863846,1,4,4
LOC110863849,1,1,1
LOC110863852,1,3,3
LOC110863854,1,2,2
LOC110863863,1,1,1
LOC110863866,1,2,2
LOC110863868,1,3,3
LOC110863870,1,4,4
LOC110863881,1,3,3
LOC110863886,1,2,2
LOC110863891,1,1,1
LOC110863908,8,93,17
LOC110863910,1,3,3
LOC110863911,1,9,9
LOC110863912,1,7,7
LOC110863916,1,3,3
LOC110863919,1,1,1
LOC110863921,1,2,2
LOC110863924,1,3,3
LOC110863926,1,1,1
LOC110863929,1,3,3
LOC110863930,1,2,2
LOC110863935,1,1,1
LOC110863936,2,11,7
LOC110863938,1,6,6
LOC110863939,1,1,1
LOC110863940,2,8,5
LOC110863964,1,2,2
LOC110863965,6,47,15
LOC110863970,1,2,2
LOC110863971,1,2,2
LOC110863974,1,3,3
LOC110863983,1,1,1
LOC110863987,1,1,1
LOC110863997,2,14,8
LOC110864005,1,2,2
LOC110864013,1,1,1
LOC110864016,1,1,1
LOC110864017,1,1,1
LOC110864025,1,26,26
LOC110864029,1,2,2
LOC110864040,1,6,6
LOC110864051,1,3,3
LOC110864054,3,29,14
LOC110864058,1,2,2
LOC110864061,1,4,4
LOC110864070,1,5,5
LOC110864074,1,2,2
LOC110864080,1,1,1
LOC110864082,1,2,2
LOC110864084,1,1,1
LOC110864087,2,18,10
LOC110864098,1,3,3
LOC110864120,1,3,3
LOC110864123,1,3,3
LOC110864128,1,4,4
LOC110864132,1,3,3
LOC110864135,1,9,9
LOC110864141,1,1,1
LOC110864142,1,2,2
LOC110864154,1,7,7
LOC110864156,1,3,3
LOC110864167,1,1,1
LOC110864173,1,2,2
LOC110864178,1,1,1
LOC110864180,1,2,2
LOC110864187,1,3,3
LOC110864191,1,3,3
LOC110864192,2,7,7
LOC110864193,1,1,1
LOC110864195,2,23,12
LOC110864196,1,1,1
LOC110864201,1,7,7
LOC110864209,1,3,3
LOC110864210,1,2,2
LOC110864217,1,14,14
LOC110864224,3,12,8
LOC110864225,1,3,3
LOC110864226,3,31,14
LOC110864229,2,29,16
LOC110864231,1,3,3
LOC110864233,1,1,1
LOC110864235,1,7,7
LOC110864236,1,14,14
LOC110864237,4,56,19
LOC110864238,1,6,6
LOC110864239,2,40,21
LOC110864240,1,3,3
LOC110864241,2,54,28
LOC110864242,1,6,6
LOC110864244,1,3,3
LOC110864245,2,11,7
LOC110864246,2,28,15
LOC110864247,1,3,3
LOC110864248,2,8,6
LOC110864252,1,10,10
LOC110864253,1,2,2
LOC110864254,2,9,6
LOC110864255,4,72,23
LOC110864256,1,9,9
LOC110864257,2,6,5
LOC110864258,1,2,2
LOC110864259,2,23,13
LOC110864264,5,73,18
LOC110864265,1,2,2
LOC110864266,1,3,3
LOC110864267,1,4,4
LOC110864268,2,18,12
LOC110864269,1,2,2
LOC110864270,1,1,1
LOC110864271,1,9,9
LOC110864273,1,9,9
LOC110864274,1,10,10
LOC110864276,1,7,7
LOC110864277,4,27,10
LOC110864279,1,2,2
LOC110864280,1,1,1
LOC110864281,3,24,10
LOC110864282,1,5,5
LOC110864283,1,1,1
LOC110864284,1,1,1
LOC110864285,2,3,3
LOC110864286,1,1,1
LOC110864287,1,2,2
LOC110864288,1,1,1
LOC110864289,1,1,1
LOC110864290,1,5,5
LOC110864291,5,80,28
LOC110864292,1,24,24
LOC110864294,2,10,7
LOC110864296,1,1,1
LOC110864297,1,1,1
LOC110864298,5,54,16
LOC110864299,1,2,2
LOC110864300,1,1,1
LOC110864301,1,12,12
LOC110864302,1,6,6
LOC110864303,1,5,5
LOC110864304,3,22,12
LOC110864306,4,29,12
LOC110864307,1,5,5
LOC110864308,1,6,6
LOC110864309,1,3,3
LOC110864310,1,5,5
LOC110864311,1,3,3
LOC110864313,1,3,3
LOC110864314,1,7,7
LOC110864315,1,1,1
LOC110864316,1,19,19
LOC110864317,2,5,5
LOC110864319,3,16,9
LOC110864321,1,5,5
LOC110864322,1,5,5
LOC110864324,1,9,9
LOC110864326,1,1,1
LOC110864328,1,2,2
LOC110864329,1,2,2
LOC110864330,1,1,1
LOC110864335,1,18,18
LOC110864336,1,2,2
LOC110864337,1,1,1
LOC110864338,1,5,5
LOC110864339,1,3,3
LOC110864340,1,6,6
LOC110864341,1,6,6
LOC110864344,3,11,6
LOC110864346,1,1,1
LOC110864347,1,1,1
LOC110864349,1,1,1
LOC110864350,3,51,20
LOC110864351,1,6,6
LOC110864352,1,3,3
LOC110864353,1,11,11
LOC110864354,1,5,5
LOC110864355,1,1,1
LOC110864356,2,14,13
LOC110864357,1,10,10
LOC110864358,1,9,9
LOC110864359,1,5,5
LOC110864360,1,4,4
LOC110864361,1,4,4
LOC110864362,1,3,3
LOC110864363,1,8,8
LOC110864365,1,2,2
LOC110864368,1,1,1
LOC110864370,1,1,1
LOC110864371,1,3,3
LOC110864372,4,100,29
LOC110864373,1,7,7
LOC110864374,1,9,9
LOC110864375,1,9,9
LOC110864376,1,1,1
LOC110864377,1,3,3
LOC110864378,1,2,2
LOC110864379,4,26,9
LOC110864380,1,3,3
LOC110864381,2,12,8
LOC110864383,1,10,10
LOC110864384,1,4,4
LOC110864387,1,5,5
LOC110864388,1,13,13
LOC110864391,1,8,8
LOC110864396,1,10,10
LOC110864398,3,47,18
LOC110864399,1,1,1
LOC110864400,1,5,5
LOC110864401,2,26,14
LOC110864402,4,27,12
LOC110864403,1,6,6
LOC110864404,2,10,7
LOC110864405,3,24,11
LOC110864406,1,6,6
LOC110864408,1,6,6
LOC110864409,2,9,8
LOC110864410,1,7,7
LOC110864411,1,7,7
LOC110864412,1,12,12
LOC110864413,1,7,7
LOC110864414,1,4,4
LOC110864415,1,7,7
LOC110864416,2,37,21
LOC110864417,2,17,10
LOC110864418,1,1,1
LOC110864419,1,4,4
LOC110864420,1,2,2
LOC110864421,1,15,15
LOC110864423,1,3,3
LOC110864424,2,16,9
LOC110864430,1,3,3
LOC110864433,4,71,22
LOC110864434,1,2,2
LOC110864435,5,25,11
LOC110864436,2,28,15
LOC110864437,1,16,16
LOC110864438,2,10,6
LOC110864439,1,3,3
LOC110864440,3,12,6
LOC110864441,3,17,7
LOC110864442,1,12,12
LOC110864443,2,13,8
LOC110864444,2,27,15
LOC110864445,1,13,13
LOC110864446,2,12,8
LOC110864447,2,9,7
LOC110864449,1,5,5
LOC110864451,1,9,9
LOC110864452,2,9,6
