gene_id,num_transcript,num_exon,num_uniq_exon
L076_r001,1,1,1
L076_r002,1,1,1
L076_r003,1,1,1
L076_r004,1,1,1
L076_r005,1,1,1
L076_r006,1,1,1
L076_r007,1,1,1
L076_r008,1,1,1
L076_r01,1,1,1
L076_r02,1,1,1
L076_r03,1,1,1
L076_t001,1,1,1
L076_t002,1,1,1
L076_t003,1,2,2
L076_t004,1,1,1
L076_t005,1,1,1
L076_t006,1,1,1
L076_t007,1,1,1
L076_t008,1,1,1
L076_t009,1,1,1
L076_t01,1,1,1
L076_t010,1,1,1
L076_t011,1,1,1
L076_t012,1,1,1
L076_t013,1,1,1
L076_t014,1,1,1
L076_t015,1,1,1
L076_t016,1,1,1
L076_t017,1,1,1
L076_t018,1,1,1
L076_t019,1,2,2
L076_t02,1,1,1
L076_t020,1,1,1
L076_t021,1,1,1
L076_t022,1,2,2
L076_t023,1,2,2
L076_t024,1,1,1
L076_t025,1,1,1
L076_t026,1,1,1
L076_t027,1,1,1
L076_t028,1,1,1
L076_t029,1,1,1
L076_t03,1,1,1
L076_t030,1,1,1
L076_t031,1,1,1
L076_t032,1,1,1
L076_t033,1,2,2
L076_t034,1,2,2
L076_t035,1,2,2
L076_t036,1,1,1
L076_t04,1,1,1
L076_t05,1,1,1
L076_t06,1,1,1
L076_t07,1,1,1
L076_t08,1,1,1
L076_t09,1,1,1
L076_t10,1,1,1
L076_t11,1,1,1
L076_t12,1,1,1
L076_t13,1,1,1
L076_t14,1,1,1
L076_t15,1,1,1
L076_t16,1,1,1
LOC108318740,1,6,6
LOC108318741,1,6,6
LOC108318747,1,4,4
LOC108318752,1,1,1
LOC108318769,1,3,3
LOC108318780,1,5,5
LOC108318781,1,1,1
LOC108318784,1,4,4
LOC108318785,1,2,2
LOC108318789,1,2,2
LOC108318797,1,7,7
LOC108318801,1,4,4
LOC108318802,1,2,2
LOC108318805,1,2,2
LOC108318806,1,5,5
LOC108318822,1,1,1
LOC108318825,1,2,2
LOC108318827,1,4,4
LOC108318833,1,3,3
LOC108318843,1,2,2
LOC108318844,1,2,2
LOC108318846,1,2,2
LOC108318848,1,4,4
LOC108318849,1,3,3
LOC108318862,1,1,1
LOC108318866,2,11,7
LOC108318867,3,9,8
LOC108318878,2,8,6
LOC108318893,1,4,4
LOC108318895,2,8,5
LOC108318911,1,1,1
LOC108318913,1,2,2
LOC108318928,1,2,2
LOC108318929,1,4,4
LOC108318938,1,5,5
LOC108318939,1,3,3
LOC108318940,1,4,4
LOC108318958,1,1,1
LOC108318960,1,1,1
LOC108318961,1,1,1
LOC108318968,1,2,2
LOC108318992,1,7,7
LOC108319003,1,2,2
LOC108319010,1,6,6
LOC108319022,1,3,3
LOC108319024,1,4,4
LOC108319064,1,1,1
LOC108319078,1,4,4
LOC108319106,1,4,4
LOC108319115,2,7,5
LOC108319133,1,1,1
LOC108319135,1,1,1
LOC108319136,1,2,2
LOC108319159,1,2,2
LOC108319178,1,7,7
LOC108319202,1,1,1
LOC108319203,1,1,1
LOC108319207,1,3,3
LOC108319211,2,8,5
LOC108319212,1,3,3
LOC108319213,1,2,2
LOC108319219,1,3,3
LOC108319225,1,2,2
LOC108319227,3,8,4
LOC108319254,16,159,19
LOC108319255,7,78,17
LOC108319258,4,19,12
LOC108319282,1,3,3
LOC108319288,1,2,2
LOC108319325,1,5,5
LOC108319335,1,3,3
LOC108319343,1,1,1
LOC108319345,1,3,3
LOC108319352,1,3,3
LOC108319356,1,1,1
LOC108319364,1,1,1
LOC108319366,1,3,3
LOC108319367,1,2,2
LOC108319369,1,1,1
LOC108319371,1,1,1
LOC108319390,1,2,2
LOC108319399,1,2,2
LOC108319446,1,3,3
LOC108319448,1,2,2
LOC108319452,1,1,1
LOC108319464,1,3,3
LOC108319489,1,1,1
LOC108319490,1,1,1
LOC108319491,1,2,2
LOC108319492,1,2,2
LOC108319493,1,4,4
LOC108319494,1,3,3
LOC108319498,1,2,2
LOC108319499,1,2,2
LOC108319503,1,4,4
LOC108319506,1,1,1
LOC108319510,1,1,1
LOC108319542,1,3,3
LOC108319543,1,1,1
LOC108319545,1,3,3
LOC108319546,1,1,1
LOC108319548,1,1,1
LOC108319549,1,2,2
LOC108319553,1,1,1
LOC108319554,1,3,3
LOC108319556,2,6,4
LOC108319563,1,3,3
LOC108319564,1,3,3
LOC108319573,1,2,2
LOC108319595,10,80,16
LOC108319610,1,1,1
LOC108319664,2,6,5
LOC108319683,1,2,2
LOC108319685,1,7,7
LOC108319687,1,1,1
LOC108319691,1,3,3
LOC108319701,1,1,1
LOC108319710,1,2,2
LOC108319721,9,47,12
LOC108319736,1,1,1
LOC108319742,1,3,3
LOC108319743,1,1,1
LOC108319759,1,1,1
LOC108319767,1,1,1
LOC108319769,1,6,6
LOC108319826,1,2,2
LOC108319845,2,8,6
LOC108319846,1,3,3
LOC108319870,1,3,3
LOC108319873,4,18,7
LOC108319881,2,4,3
LOC108319884,2,5,4
LOC108319900,1,2,2
LOC108319901,1,2,2
LOC108319902,1,6,6
LOC108319937,1,4,4
LOC108319940,1,3,3
LOC108319949,1,3,3
LOC108319995,2,13,8
LOC108320018,1,1,1
LOC108320026,5,11,8
LOC108320034,1,1,1
LOC108320040,1,1,1
LOC108320041,1,1,1
LOC108320045,1,2,2
LOC108320049,1,2,2
LOC108320053,1,2,2
LOC108320056,1,3,3
LOC108320058,1,2,2
LOC108320064,1,3,3
LOC108320066,1,3,3
LOC108320075,2,8,6
LOC108320085,1,1,1
LOC108320086,1,5,5
LOC108320099,1,2,2
LOC108320106,9,43,15
LOC108320107,1,4,4
LOC108320114,1,4,4
LOC108320118,1,4,4
LOC108320124,1,3,3
LOC108320125,1,4,4
LOC108320149,1,3,3
LOC108320150,1,2,2
LOC108320154,1,1,1
LOC108320159,1,2,2
LOC108320160,1,3,3
LOC108320172,1,2,2
LOC108320178,1,1,1
LOC108320219,1,4,4
LOC108320229,1,3,3
LOC108320231,1,3,3
LOC108320244,1,3,3
LOC108320269,1,7,7
LOC108320270,1,4,4
LOC108320272,1,2,2
LOC108320273,1,2,2
LOC108320275,1,3,3
LOC108320276,1,2,2
LOC108320278,2,7,6
LOC108320303,1,3,3
LOC108320307,1,2,2
LOC108320315,1,1,1
LOC108320316,1,3,3
LOC108320317,3,13,8
LOC108320373,2,6,4
LOC108320386,1,3,3
LOC108320390,1,5,5
LOC108320392,1,1,1
LOC108320427,1,4,4
LOC108320432,1,2,2
LOC108320455,1,3,3
LOC108320460,1,7,7
LOC108320572,2,6,4
LOC108320581,1,3,3
LOC108320584,4,18,10
LOC108320614,1,2,2
LOC108320704,1,1,1
LOC108320708,1,4,4
LOC108320718,1,2,2
LOC108320726,1,2,2
LOC108320747,2,7,5
LOC108320757,2,5,4
LOC108320772,1,7,7
LOC108320773,1,4,4
LOC108320819,1,1,1
LOC108320821,13,56,19
LOC108320823,1,1,1
LOC108320864,1,5,5
LOC108320871,2,19,12
LOC108320918,1,4,4
LOC108320926,2,7,6
LOC108320947,1,3,3
LOC108320955,5,25,13
LOC108320965,4,28,10
LOC108320969,1,3,3
LOC108320974,1,5,5
LOC108320984,1,1,1
LOC108321008,1,2,2
LOC108321016,1,4,4
LOC108321022,1,4,4
LOC108321026,1,3,3
LOC108321053,1,2,2
LOC108321056,1,3,3
LOC108321057,1,1,1
LOC108321066,1,1,1
LOC108321082,1,3,3
LOC108321098,3,8,5
LOC108321099,3,13,8
LOC108321119,1,2,2
LOC108321121,1,3,3
LOC108321156,1,2,2
LOC108321157,1,3,3
LOC108321164,6,36,13
LOC108321175,1,1,1
LOC108321179,3,15,9
LOC108321180,1,2,2
LOC108321191,1,2,2
LOC108321193,1,2,2
LOC108321213,1,3,3
LOC108321214,1,6,6
LOC108321220,1,3,3
LOC108321221,1,4,4
LOC108321223,1,3,3
LOC108321235,1,1,1
LOC108321236,1,4,4
LOC108321237,1,2,2
LOC108321240,1,2,2
LOC108321250,1,2,2
LOC108321276,2,6,4
LOC108321284,1,2,2
LOC108321308,1,3,3
LOC108321339,2,6,4
LOC108321364,7,59,15
LOC108321375,4,34,12
LOC108321388,1,3,3
LOC108321397,1,3,3
LOC108321401,1,1,1
LOC108321408,1,1,1
LOC108321424,1,3,3
LOC108321427,1,2,2
LOC108321438,1,2,2
LOC108321442,1,3,3
LOC108321463,1,3,3
LOC108321485,1,2,2
LOC108321487,1,5,5
LOC108321490,1,3,3
LOC108321491,1,2,2
LOC108321501,1,1,1
LOC108321511,1,2,2
LOC108321513,1,2,2
LOC108321521,1,3,3
LOC108321531,1,5,5
LOC108321532,1,1,1
LOC108321561,1,1,1
LOC108321562,1,1,1
LOC108321582,1,2,2
LOC108321611,1,3,3
LOC108321627,1,2,2
LOC108321629,1,4,4
LOC108321656,1,3,3
LOC108321679,1,3,3
LOC108321684,1,2,2
LOC108321688,1,3,3
LOC108321689,1,5,5
LOC108321690,2,5,4
LOC108321730,1,2,2
LOC108321747,1,5,5
LOC108321756,1,4,4
LOC108321758,1,3,3
LOC108321760,1,3,3
LOC108321761,1,3,3
LOC108321762,1,3,3
LOC108321768,10,38,18
LOC108321778,1,4,4
LOC108321779,1,1,1
LOC108321791,1,1,1
LOC108321792,1,1,1
LOC108321793,1,9,9
LOC108321835,3,17,8
LOC108321861,5,22,8
LOC108321867,1,3,3
LOC108321868,1,1,1
LOC108321873,1,4,4
LOC108321888,1,2,2
LOC108321896,8,33,14
LOC108321901,1,3,3
LOC108321903,1,2,2
LOC108321922,1,1,1
LOC108321923,1,1,1
LOC108321925,1,1,1
LOC108321926,1,2,2
LOC108321927,1,2,2
LOC108321938,1,5,5
LOC108321949,1,2,2
LOC108321964,1,1,1
LOC108321967,1,3,3
LOC108321986,12,206,27
LOC108321989,1,4,4
LOC108321997,3,15,7
LOC108322014,1,2,2
LOC108322015,1,2,2
LOC108322016,1,2,2
LOC108322017,1,2,2
LOC108322018,1,2,2
LOC108322019,1,2,2
LOC108322020,1,2,2
LOC108322051,1,3,3
LOC108322061,1,4,4
LOC108322064,1,3,3
LOC108322068,1,1,1
LOC108322078,1,2,2
LOC108322099,1,2,2
LOC108322100,1,3,3
LOC108322118,1,1,1
LOC108322119,1,1,1
LOC108322120,1,12,12
LOC108322201,1,1,1
LOC108322206,1,1,1
LOC108322209,1,3,3
LOC108322210,1,3,3
LOC108322211,1,3,3
LOC108322236,1,6,6
LOC108322238,1,1,1
LOC108322267,4,16,7
LOC108322344,1,2,2
LOC108322345,1,3,3
LOC108322346,1,5,5
LOC108322377,1,1,1
LOC108322381,1,2,2
LOC108322383,1,3,3
LOC108322410,4,26,10
LOC108322421,1,3,3
LOC108322431,1,3,3
LOC108322434,3,13,10
LOC108322446,3,13,7
LOC108322456,2,8,5
LOC108322475,1,2,2
LOC108322484,2,7,5
LOC108322493,1,2,2
LOC108322518,1,3,3
LOC108322519,1,3,3
LOC108322531,1,3,3
LOC108322540,1,5,5
LOC108322549,1,5,5
LOC108322552,1,1,1
LOC108322555,1,1,1
LOC108322592,1,1,1
LOC108322594,1,2,2
LOC108322601,1,3,3
LOC108322624,1,1,1
LOC108322632,1,3,3
LOC108322723,1,3,3
LOC108322765,1,1,1
LOC108322773,1,3,3
LOC108322774,1,2,2
LOC108322775,1,2,2
LOC108322778,1,4,4
LOC108322791,1,2,2
LOC108322819,1,3,3
LOC108322834,1,3,3
