gene_id,num_transcript,num_exon,num_uniq_exon
LOC111982910,1,1,1
LOC111982911,1,2,2
LOC111982917,1,1,1
LOC111982937,1,1,1
LOC111982938,1,3,3
LOC111982940,1,1,1
LOC111982941,1,1,1
LOC111982953,1,2,2
LOC111982966,1,3,3
LOC111982968,1,3,3
LOC111982981,1,3,3
LOC111982994,1,1,1
LOC111982995,1,2,2
LOC111982997,1,1,1
LOC111983001,1,2,2
LOC111983003,2,5,5
LOC111983034,1,2,2
LOC111983065,1,1,1
LOC111983067,1,7,7
LOC111983071,1,6,6
LOC111983075,1,3,3
LOC111983085,1,2,2
LOC111983091,1,2,2
LOC111983093,2,5,5
LOC111983094,1,1,1
LOC111983099,1,1,1
LOC111983114,1,1,1
LOC111983120,1,1,1
LOC111983121,1,1,1
LOC111983131,1,3,3
LOC111983137,1,1,1
LOC111983138,2,6,4
LOC111983144,2,5,4
LOC111983147,1,2,2
LOC111983159,2,5,4
LOC111983165,1,6,6
LOC111983176,1,1,1
LOC111983185,1,4,4
LOC111983188,1,2,2
LOC111983191,1,1,1
LOC111983194,1,1,1
LOC111983217,1,2,2
LOC111983220,1,1,1
LOC111983234,13,215,25
LOC111983236,1,1,1
LOC111983237,1,1,1
LOC111983238,1,1,1
LOC111983252,1,3,3
LOC111983261,1,2,2
LOC111983262,1,1,1
LOC111983264,1,1,1
LOC111983265,1,7,7
LOC111983266,1,2,2
LOC111983269,1,2,2
LOC111983274,1,2,2
LOC111983275,1,5,5
LOC111983276,1,3,3
LOC111983278,1,2,2
LOC111983280,1,1,1
LOC111983283,10,66,17
LOC111983286,1,3,3
LOC111983289,1,3,3
LOC111983291,1,3,3
LOC111983293,1,3,3
LOC111983294,1,2,2
LOC111983295,1,3,3
LOC111983296,1,2,2
LOC111983298,1,2,2
LOC111983299,1,3,3
LOC111983301,1,3,3
LOC111983302,1,2,2
LOC111983303,1,4,4
LOC111983304,1,2,2
LOC111983305,1,4,4
LOC111983307,1,1,1
LOC111983308,1,6,6
LOC111983309,1,3,3
LOC111983313,1,1,1
LOC111983315,1,2,2
LOC111983317,1,4,4
LOC111983319,1,2,2
LOC111983322,1,1,1
LOC111983325,1,4,4
LOC111983326,1,4,4
LOC111983328,1,2,2
LOC111983329,1,2,2
LOC111983330,1,2,2
LOC111983331,1,2,2
LOC111983333,1,2,2
LOC111983335,1,1,1
LOC111983336,1,6,6
LOC111983338,1,3,3
