gene_id,num_transcript,num_exon,num_uniq_exon
AAPT1,4,78,26
AAPT3,2,38,21
ACA3,2,14,9
ACT1,1,5,5
AGPL,1,15,15
AOP2-1,1,4,4
AOX,1,4,4
APG1,1,5,5
APK,3,33,17
ARF10,1,5,5
ARF11,1,12,12
ARF16-1,3,13,8
ARF16-2,1,4,4
ARF17-1,2,6,6
ARF17-2,2,6,4
ARF18-1,1,12,12
ARF18-2,1,11,11
ARF19-1,1,11,11
ARF19-2,1,11,11
ARF2-1,1,15,15
ARF2-2,1,16,16
ARF2-3,1,16,16
ARF25,1,14,14
ARF26,1,15,15
ARF27,1,14,14
ARF3-1,1,9,9
ARF3-2,2,20,12
ARF5-1,3,39,15
ARF5-2,1,13,13
ARF5-3,3,38,16
ARF7-1,1,13,13
ARF7-2,1,12,12
ARF8-1,1,15,15
ARF8-2,2,27,15
ARF9-1,1,13,13
ARF9-2,1,14,14
ARP1,1,3,3
AUX1,1,9,9
AVP1-1,1,7,7
AVP1-2,1,7,7
BCAT4-1,1,9,9
BCAT4-2,2,18,10
BCH,1,7,7
BCPI-2,1,4,4
BR42,1,1,1
BRAB-1,3,27,12
CAX1,1,6,6
CCA1,4,31,14
CENH3,4,39,17
CHL-CPN10,1,6,6
CKX,1,4,4
COPZ1,4,29,12
CRY1,3,12,11
CTR1,1,16,16
CYS1-2,2,6,6
CYS7,1,4,4
DCL2,1,4,4
DHHC1,1,5,5
DRM1,2,7,5
EGL3,1,7,7
EPR1,2,10,8
ESM,1,5,5
ETR1,1,7,7
EXL6,1,5,5
EXPA1,1,5,5
EXPA10,2,7,5
EXPA11,1,3,3
EXPA12,1,3,3
EXPA14,2,7,6
EXPA15,1,4,4
EXPA16,1,3,3
EXPA17,1,3,3
EXPA18,1,5,5
EXPA2,1,3,3
EXPA20,2,5,5
EXPA3,1,3,3
EXPA4,1,3,3
EXPA5,1,3,3
EXPA6,2,7,6
EXPA7,1,3,3
EXPA8,1,3,3
EXPA9,1,3,3
EXPB1,1,4,4
EXPB2,1,4,4
EXPB3,1,4,4
EXPB5,1,4,4
EXPLB1,1,4,4
EXPLB2,2,5,5
FCA,1,20,20
FLC1,4,30,14
FMO,1,3,3
FMOGS-OX1,1,7,7
FSD1,3,24,12
GATA1,3,11,9
GDH,1,5,5
GLDH,1,6,6
GME,2,14,9
GR1,1,17,17
GRF5,2,8,5
GSL-OH,1,3,3
GST1,1,3,3
HD1,1,8,8
HY5,1,4,4
JMJ30,4,22,11
LCB1,1,11,11
LCB2,1,11,11
