transcript_id,num_exon
LOC102443420,2
LOC102443452,3
LOC102443490,6
LOC102443703,2
LOC102443941,2
LOC102444172,2
LOC102444346,2
LOC102444646,4
LOC102445375,4
LOC102445618,3
LOC102446315,3
LOC102446345,2
LOC102447584,3
LOC102447679,2
LOC102447866,2
LOC102447933,2
LOC102448418,3
LOC102448659,3
LOC102448902,3
LOC102449083,5
LOC102449377,2
LOC102449502,2
LOC102449555,6
LOC102449795,8
LOC102450045,6
LOC102451622,1
LOC102452015,2
LOC102452298,2
LOC102452849,2
LOC102453026,2
LOC102453539,3
LOC102454714,3
LOC102454973,2
LOC102455085,7
LOC102455230,2
LOC102455474,2
LOC102455725,2
LOC102455821,9
LOC102456066,7
LOC102456210,2
LOC102456262,2
LOC102456330,2
LOC102456461,2
LOC102456467,2
LOC102456713,2
LOC102456808,8
LOC102457028,2
LOC102457202,2
LOC102457298,4
LOC102457447,2
LOC102457554,5
LOC102457632,2
LOC102457694,2
LOC102457788,2
LOC102457809,5
LOC102457954,2
LOC102458041,2
LOC102458064,9
LOC102458305,6
LOC102458549,10
LOC102458681,2
LOC102458786,8
LOC102458910,2
LOC102459365,1
LOC102459620,2
LOC102459668,1
LOC102459739,3
LOC102460098,2
LOC102460387,3
LOC102460579,2
LOC102461257,1
LOC102461305,3
LOC102461539,2
LOC102461724,2
LOC102461784,3
LOC102462008,5
LOC102462256,2
LOC102462690,2
LOC102463408,3
LOC102463909,2
LOC106731395,3
LOC106731399,2
LOC106731490,3
LOC106731646,2
LOC106731687,1
LOC106731770,2
LOC106731771,2
LOC106731801,5
LOC106731802,3
LOC106731830,1
LOC106731916,2
LOC106731917,2
LOC106731918,2
LOC106731919,2
LOC106731920,2
LOC106731921,2
LOC106731922,2
LOC106731923,3
LOC106731924,2
LOC106731925,2
LOC106731926,2
LOC106731928,2
LOC106731929,2
LOC106732485,2
LOC106732659,3
LOC106732663,2
LOC106732697,2
LOC106732778,1
LOC106732951,4
LOC106733062,2
LOC106733066,2
LOC106733067,2
LOC106733070,2
LOC112543517,2
LOC112543615,2
LOC112543616,2
LOC112543617,2
LOC112543618,2
LOC112543619,4
LOC112543620,2
LOC112543621,2
LOC112543622,2
LOC112543623,3
LOC112543624,2
LOC112543625,2
LOC112543626,2
LOC112543628,2
LOC112543629,2
LOC112543630,2
LOC112543631,2
LOC112543633,2
LOC112543634,2
LOC112543989,2
LOC112544002,3
LOC112544011,2
LOC112544448,2
LOC112544449,2
LOC112544606,2
LOC112544676,2
LOC112544677,2
LOC112544678,2
LOC112544993,2
LOC112544995,2
LOC112545011,3
LOC112545018,3
LOC112545105,3
LOC112545106,1
LOC112545353,2
LOC112545354,2
LOC112545355,5
LOC112545564,2
LOC112545763,2
LOC112545948,2
LOC112545949,2
LOC112545950,2
LOC112545952,2
LOC112545963,2
LOC112545964,2
LOC112545965,2
LOC112546102,4
LOC112546184,2
LOC112546464,2
LOC112546465,2
LOC112546466,2
LOC112546485,3
LOC112546492,2
LOC112546495,2
LOC112546505,3
LOC112546506,2
LOC112546585,3
LOC112546641,4
LOC112546668,2
LOC112546669,2
LOC112547068,2
LOC112547446,2
LOC112547447,3
LOC112547448,3
LOC112547449,2
LOC112547450,2
TRNAA-AGC,1
TRNAA-AGC_1,1
TRNAA-AGC_2,1
TRNAA-AGC_3,1
TRNAA-AGC_4,1
TRNAA-AGC_5,1
TRNAA-AGC_6,1
TRNAA-AGC_7,1
TRNAA-AGC_8,1
TRNAA-CGC,1
TRNAA-CGC_1,1
TRNAA-CGC_2,1
TRNAA-UGC,1
TRNAA-UGC_1,1
TRNAA-UGC_2,1
TRNAA-UGC_3,1
TRNAA-UGC_4,1
TRNAA-UGC_5,1
TRNAA-UGC_6,1
TRNAC-ACA,1
TRNAC-GCA,1
TRNAC-GCA_1,1
TRNAC-GCA_10,1
TRNAC-GCA_11,1
TRNAC-GCA_12,1
TRNAC-GCA_13,1
TRNAC-GCA_14,1
TRNAC-GCA_15,1
TRNAC-GCA_16,1
TRNAC-GCA_17,1
TRNAC-GCA_18,1
TRNAC-GCA_19,1
TRNAC-GCA_2,1
TRNAC-GCA_20,1
TRNAC-GCA_21,1
TRNAC-GCA_3,1
TRNAC-GCA_4,1
TRNAC-GCA_5,1
TRNAC-GCA_6,1
TRNAC-GCA_7,1
TRNAC-GCA_8,1
TRNAC-GCA_9,1
TRNAD-GUC,1
TRNAD-GUC_1,1
TRNAD-GUC_2,1
TRNAD-GUC_3,1
TRNAD-GUC_4,1
TRNAD-GUC_5,1
TRNAE-CUC,1
TRNAE-CUC_1,1
TRNAE-CUC_10,1
TRNAE-CUC_11,1
TRNAE-CUC_12,1
TRNAE-CUC_13,1
TRNAE-CUC_14,1
TRNAE-CUC_15,1
TRNAE-CUC_2,1
TRNAE-CUC_3,1
TRNAE-CUC_4,1
TRNAE-CUC_5,1
TRNAE-CUC_6,1
TRNAE-CUC_7,1
TRNAE-CUC_8,1
TRNAE-CUC_9,1
TRNAE-UUC,1
TRNAE-UUC_1,1
TRNAE-UUC_10,1
TRNAE-UUC_11,1
TRNAE-UUC_12,1
TRNAE-UUC_13,1
TRNAE-UUC_14,1
TRNAE-UUC_15,1
TRNAE-UUC_16,1
TRNAE-UUC_17,1
TRNAE-UUC_18,1
TRNAE-UUC_2,1
TRNAE-UUC_3,1
TRNAE-UUC_4,1
TRNAE-UUC_5,1
TRNAE-UUC_6,1
TRNAE-UUC_7,1
TRNAE-UUC_8,1
TRNAE-UUC_9,1
TRNAF-AAA,1
TRNAF-AAA_1,1
TRNAF-AAA_2,1
TRNAF-AAA_3,1
TRNAF-AAA_4,1
TRNAF-GAA,1
TRNAF-GAA_1,1
TRNAF-GAA_10,1
TRNAF-GAA_11,1
TRNAF-GAA_12,1
TRNAF-GAA_13,1
TRNAF-GAA_14,1
TRNAF-GAA_15,1
TRNAF-GAA_16,1
TRNAF-GAA_17,1
TRNAF-GAA_18,1
TRNAF-GAA_19,1
TRNAF-GAA_2,1
TRNAF-GAA_20,1
TRNAF-GAA_21,1
TRNAF-GAA_22,1
TRNAF-GAA_23,1
TRNAF-GAA_24,1
TRNAF-GAA_25,1
TRNAF-GAA_3,1
TRNAF-GAA_4,1
TRNAF-GAA_5,1
TRNAF-GAA_6,1
TRNAF-GAA_7,1
TRNAF-GAA_8,1
TRNAF-GAA_9,1
TRNAG-CCC,1
TRNAG-CCC_1,1
TRNAG-CCC_2,1
TRNAG-GCC,1
TRNAG-GCC_1,1
TRNAG-GCC_2,1
TRNAG-GCC_3,1
TRNAG-GCC_4,1
TRNAG-GCC_5,1
TRNAG-GCC_6,1
TRNAG-GCC_7,1
TRNAG-GCC_8,1
TRNAG-UCC,1
TRNAG-UCC_1,1
TRNAG-UCC_10,1
TRNAG-UCC_11,1
TRNAG-UCC_12,1
TRNAG-UCC_13,1
TRNAG-UCC_14,1
TRNAG-UCC_15,1
TRNAG-UCC_16,1
TRNAG-UCC_17,1
TRNAG-UCC_18,1
TRNAG-UCC_19,1
TRNAG-UCC_2,1
TRNAG-UCC_20,1
TRNAG-UCC_21,1
TRNAG-UCC_22,1
TRNAG-UCC_23,1
TRNAG-UCC_3,1
TRNAG-UCC_4,1
TRNAG-UCC_5,1
TRNAG-UCC_6,1
TRNAG-UCC_7,1
TRNAG-UCC_8,1
TRNAG-UCC_9,1
TRNAH-GUG,1
TRNAH-GUG_1,1
TRNAH-GUG_2,1
TRNAI-AAU,1
TRNAI-AAU_1,1
TRNAI-AAU_10,1
TRNAI-AAU_11,1
TRNAI-AAU_12,1
TRNAI-AAU_13,1
TRNAI-AAU_14,1
TRNAI-AAU_2,1
TRNAI-AAU_3,1
TRNAI-AAU_4,1
TRNAI-AAU_5,1
TRNAI-AAU_6,1
TRNAI-AAU_7,1
TRNAI-AAU_8,1
TRNAI-AAU_9,1
TRNAI-GAU,1
TRNAI-GAU_1,1
TRNAI-UAU,1
TRNAI-UAU_1,2
TRNAI-UAU_2,2
TRNAI-UAU_3,2
TRNAI-UAU_4,2
TRNAI-UAU_5,2
TRNAI-UAU_6,2
TRNAI-UAU_7,1
TRNAI-UAU_8,2
TRNAK-CUU,1
TRNAK-CUU_1,1
TRNAK-CUU_10,1
TRNAK-CUU_11,1
TRNAK-CUU_12,1
TRNAK-CUU_13,1
TRNAK-CUU_14,1
TRNAK-CUU_15,1
TRNAK-CUU_16,1
TRNAK-CUU_17,1
TRNAK-CUU_18,1
TRNAK-CUU_19,1
TRNAK-CUU_2,1
TRNAK-CUU_3,1
TRNAK-CUU_4,1
TRNAK-CUU_5,1
TRNAK-CUU_6,1
TRNAK-CUU_7,1
TRNAK-CUU_8,1
TRNAK-CUU_9,1
TRNAK-UUU,1
TRNAK-UUU_1,1
TRNAK-UUU_10,1
TRNAK-UUU_11,2
TRNAK-UUU_12,1
TRNAK-UUU_13,1
TRNAK-UUU_14,1
TRNAK-UUU_15,1
TRNAK-UUU_16,1
TRNAK-UUU_17,1
TRNAK-UUU_18,1
TRNAK-UUU_2,1
TRNAK-UUU_3,1
TRNAK-UUU_4,1
TRNAK-UUU_5,1
TRNAK-UUU_6,1
TRNAK-UUU_7,1
TRNAK-UUU_8,1
TRNAK-UUU_9,1
TRNAL-AAG,1
TRNAL-AAG_1,1
TRNAL-CAA,1
TRNAL-CAA_1,2
TRNAL-CAA_2,2
TRNAL-CAA_3,1
TRNAL-CAA_4,1
TRNAL-CAA_5,2
TRNAL-CAG,1
TRNAL-CAG_1,1
TRNAL-CAG_2,1
TRNAL-GAG,1
TRNAL-UAA,1
TRNAL-UAA_1,1
TRNAL-UAA_2,1
TRNAL-UAA_3,1
TRNAL-UAA_4,1
TRNAL-UAA_5,1
TRNAL-UAA_6,2
TRNAL-UAA_7,1
TRNAL-UAA_8,1
TRNAL-UAA_9,1
TRNAL-UAG,1
TRNAL-UAG_1,1
TRNAM-CAU,1
TRNAM-CAU_1,1
TRNAM-CAU_10,1
TRNAM-CAU_11,1
TRNAM-CAU_12,1
TRNAM-CAU_13,1
TRNAM-CAU_14,1
TRNAM-CAU_15,1
TRNAM-CAU_16,1
TRNAM-CAU_17,1
TRNAM-CAU_18,1
TRNAM-CAU_19,1
TRNAM-CAU_2,1
TRNAM-CAU_3,1
TRNAM-CAU_4,1
TRNAM-CAU_5,1
TRNAM-CAU_6,1
TRNAM-CAU_7,1
TRNAM-CAU_8,1
TRNAM-CAU_9,1
TRNAN-AUU,1
TRNAN-GUU,1
TRNAN-GUU_1,1
TRNAN-GUU_2,1
TRNAN-GUU_3,1
TRNAN-GUU_4,1
TRNAP-AGG,1
TRNAP-AGG_1,1
TRNAP-AGG_2,1
TRNAP-AGG_3,1
TRNAP-AGG_4,1
TRNAP-AGG_5,1
TRNAP-AGG_6,1
TRNAP-CGG,1
TRNAP-CGG_1,1
TRNAP-CGG_2,1
TRNAP-CGG_3,1
TRNAP-CGG_4,1
TRNAP-CGG_5,1
TRNAP-CGG_6,1
TRNAP-UGG,1
TRNAP-UGG_1,1
TRNAP-UGG_10,1
TRNAP-UGG_2,1
TRNAP-UGG_3,1
TRNAP-UGG_4,1
TRNAP-UGG_5,1
TRNAP-UGG_6,1
TRNAP-UGG_7,1
TRNAP-UGG_8,1
TRNAP-UGG_9,1
TRNAQ-CUG,1
TRNAQ-CUG_1,1
TRNAQ-CUG_10,1
TRNAQ-CUG_2,1
TRNAQ-CUG_3,1
TRNAQ-CUG_4,1
TRNAQ-CUG_5,1
TRNAQ-CUG_6,1
TRNAQ-CUG_7,1
TRNAQ-CUG_8,1
TRNAQ-CUG_9,1
TRNAQ-UUG,1
TRNAQ-UUG_1,1
TRNAQ-UUG_2,1
TRNAQ-UUG_3,1
TRNAR-ACG,1
TRNAR-ACG_1,1
TRNAR-ACG_2,1
TRNAR-CCG,1
TRNAR-CCG_1,1
TRNAR-CCG_2,1
TRNAR-CCG_3,1
TRNAR-CCG_4,1
TRNAR-CCU,1
TRNAR-CCU_1,1
TRNAR-CCU_10,1
TRNAR-CCU_11,1
TRNAR-CCU_12,1
TRNAR-CCU_13,1
TRNAR-CCU_14,1
TRNAR-CCU_15,1
TRNAR-CCU_16,1
TRNAR-CCU_17,1
TRNAR-CCU_2,1
TRNAR-CCU_3,1
TRNAR-CCU_4,1
TRNAR-CCU_5,1
TRNAR-CCU_6,1
TRNAR-CCU_7,1
TRNAR-CCU_8,1
TRNAR-CCU_9,1
TRNAR-GCG,1
TRNAR-UCG,1
TRNAR-UCG_1,1
TRNAR-UCG_2,1
TRNAR-UCG_3,1
TRNAR-UCU,1
TRNAR-UCU_1,2
TRNAR-UCU_10,1
TRNAR-UCU_2,1
TRNAR-UCU_3,2
TRNAR-UCU_4,2
TRNAR-UCU_5,2
TRNAR-UCU_6,2
TRNAR-UCU_7,2
TRNAR-UCU_8,2
TRNAR-UCU_9,2
TRNAS-AGA,1
TRNAS-AGA_1,1
TRNAS-AGA_10,1
TRNAS-AGA_11,1
TRNAS-AGA_12,1
TRNAS-AGA_13,1
TRNAS-AGA_14,1
TRNAS-AGA_15,1
TRNAS-AGA_16,1
TRNAS-AGA_17,1
TRNAS-AGA_18,1
TRNAS-AGA_19,1
TRNAS-AGA_2,1
TRNAS-AGA_20,1
TRNAS-AGA_21,1
TRNAS-AGA_3,1
TRNAS-AGA_4,1
TRNAS-AGA_5,1
TRNAS-AGA_6,1
TRNAS-AGA_7,1
TRNAS-AGA_8,1
TRNAS-AGA_9,1
TRNAS-CGA,1
TRNAS-CGA_1,1
TRNAS-CGA_2,1
TRNAS-GCU,1
TRNAS-GCU_1,1
TRNAS-GCU_10,1
TRNAS-GCU_11,1
TRNAS-GCU_12,1
TRNAS-GCU_13,1
TRNAS-GCU_14,1
TRNAS-GCU_2,1
TRNAS-GCU_3,1
TRNAS-GCU_4,1
TRNAS-GCU_5,1
TRNAS-GCU_6,1
TRNAS-GCU_7,1
TRNAS-GCU_8,1
TRNAS-GCU_9,1
TRNAS-GGA,1
TRNAS-UGA,1
TRNAS-UGA_1,1
TRNAS-UGA_2,1
TRNAS-UGA_3,1
TRNAS-UGA_4,1
TRNAS-UGA_5,1
TRNAS-UGA_6,1
TRNAS-UGA_7,1
TRNASTOP-UCA,1
TRNAT-AGU,1
TRNAT-AGU_1,1
TRNAT-AGU_10,1
TRNAT-AGU_11,1
TRNAT-AGU_12,1
TRNAT-AGU_2,1
TRNAT-AGU_3,1
TRNAT-AGU_4,1
TRNAT-AGU_5,1
TRNAT-AGU_6,1
TRNAT-AGU_7,1
TRNAT-AGU_8,1
TRNAT-AGU_9,1
TRNAT-CGU,1
TRNAT-CGU_1,1
TRNAT-CGU_2,1
TRNAT-CGU_3,1
TRNAT-CGU_4,1
TRNAT-UGU,1
TRNAT-UGU_1,1
TRNAT-UGU_10,1
TRNAT-UGU_11,1
TRNAT-UGU_12,1
TRNAT-UGU_13,1
TRNAT-UGU_14,1
TRNAT-UGU_15,1
TRNAT-UGU_16,1
TRNAT-UGU_17,2
TRNAT-UGU_18,1
TRNAT-UGU_19,1
TRNAT-UGU_2,2
TRNAT-UGU_20,1
TRNAT-UGU_21,1
TRNAT-UGU_3,1
TRNAT-UGU_4,1
TRNAT-UGU_5,1
TRNAT-UGU_6,1
TRNAT-UGU_7,1
TRNAT-UGU_8,1
TRNAT-UGU_9,1
TRNAV-AAC,1
TRNAV-AAC_1,1
TRNAV-AAC_10,1
TRNAV-AAC_11,1
TRNAV-AAC_12,1
TRNAV-AAC_13,1
TRNAV-AAC_14,1
TRNAV-AAC_15,1
TRNAV-AAC_16,1
TRNAV-AAC_17,1
TRNAV-AAC_18,1
TRNAV-AAC_19,1
TRNAV-AAC_2,1
TRNAV-AAC_20,1
TRNAV-AAC_21,1
TRNAV-AAC_22,1
TRNAV-AAC_3,1
TRNAV-AAC_4,1
TRNAV-AAC_5,1
TRNAV-AAC_6,1
TRNAV-AAC_7,1
TRNAV-AAC_8,1
TRNAV-AAC_9,1
TRNAV-CAC,1
TRNAV-CAC_1,1
TRNAV-CAC_2,1
TRNAV-CAC_3,1
TRNAV-CAC_4,1
TRNAV-CAC_5,1
TRNAV-CAC_6,1
TRNAV-GAC,1
TRNAV-GAC_1,1
TRNAV-UAC,1
TRNAV-UAC_1,1
TRNAV-UAC_2,1
TRNAW-CCA,1
TRNAW-CCA_1,1
TRNAW-CCA_2,1
TRNAY-AUA,2
TRNAY-AUA_1,1
TRNAY-GUA,2
TRNAY-GUA_1,2
TRNAY-GUA_2,2
TRNAY-GUA_3,2
TRNAY-GUA_4,2
TRNAY-GUA_5,2
TRNAY-GUA_6,2
TRNAY-GUA_7,2
TRNAY-GUA_8,2
XM_006110168.1,1
XM_006110223.1,3
XM_006110226.1,1
XM_006110228.1,1
XM_006110229.1,1
XM_006110240.1,3
XM_006110245.3,3
XM_006110332.1,2
XM_006110345.1,1
XM_006110358.3,2
XM_006110369.1,1
XM_006110371.1,1
XM_006110372.1,1
XM_006110421.3,1
XM_006110500.1,1
XM_006110741.2,4
XM_006110750.1,1
XM_006110751.1,1
XM_006110803.1,1
XM_006110804.1,1
XM_006110871.3,1
XM_006110872.3,2
XM_006111008.3,2
XM_006111123.3,3
XM_006111270.3,6
XM_006111278.1,1
XM_006111280.3,1
XM_006111282.2,1
XM_006111283.2,1
XM_006111284.1,1
XM_006111287.2,1
XM_006111292.1,1
XM_006111355.3,3
XM_006111575.3,1
XM_006111727.1,1
XM_006111798.1,1
XM_006111864.3,2
XM_006111865.3,1
XM_006112065.3,2
XM_006112079.2,1
XM_006112338.1,1
XM_006112347.1,1
XM_006112366.3,5
XM_006112367.2,5
XM_006112368.3,5
XM_006112369.3,5
XM_006112422.2,1
XM_006112427.1,1
XM_006112429.1,1
XM_006112432.1,1
XM_006112433.1,2
XM_006112445.2,5
XM_006112545.1,1
XM_006112570.1,1
XM_006112571.1,1
XM_006112573.1,1
XM_006112953.3,1
XM_006113132.2,1
XM_006113148.1,1
XM_006113151.1,1
XM_006113158.2,10
XM_006113207.3,4
XM_006113211.2,5
XM_006113271.2,2
XM_006113542.3,2
XM_006113705.1,1
XM_006113714.1,1
XM_006113773.3,1
XM_006113781.1,1
XM_006113782.3,1
XM_006113886.2,1
XM_006113917.3,5
XM_006113918.3,4
XM_006114040.1,1
XM_006114046.1,1
XM_006114049.1,1
XM_006114199.3,1
XM_006114274.3,6
XM_006114352.3,2
XM_006114559.3,5
XM_006114560.3,5
XM_006114561.3,5
XM_006114620.2,1
XM_006114734.3,3
XM_006114908.3,3
XM_006114939.3,3
XM_006115155.1,1
XM_006115518.1,3
XM_006115630.3,5
XM_006115631.3,5
XM_006115632.2,5
XM_006115771.2,5
XM_006115806.3,3
XM_006115841.1,1
XM_006116196.2,1
XM_006116203.2,2
XM_006116207.2,1
XM_006116208.1,1
XM_006116232.2,3
XM_006116342.3,3
XM_006116353.2,3
XM_006116433.1,1
XM_006116434.1,1
XM_006116452.2,2
XM_006116617.3,7
XM_006116618.2,6
XM_006116670.3,3
XM_006116703.1,2
XM_006116704.2,2
XM_006116822.3,5
XM_006116823.3,4
XM_006116832.3,1
XM_006116925.2,4
XM_006116926.3,3
XM_006117164.1,1
XM_006117168.1,1
XM_006117169.1,1
XM_006117170.1,1
XM_006117171.3,1
XM_006117175.1,1
XM_006117177.1,1
XM_006117178.1,1
XM_006117190.3,5
XM_006117222.1,1
XM_006117310.1,1
XM_006117385.3,1
XM_006117386.3,2
XM_006117390.3,6
XM_006117860.1,3
XM_006118402.3,2
XM_006118856.1,1
XM_006118857.1,1
XM_006118982.3,2
XM_006118988.2,8
XM_006119129.3,22
XM_006119374.1,5
XM_006119568.1,2
XM_006119575.3,1
XM_006119577.1,2
XM_006119578.3,2
XM_006119584.2,1
XM_006119663.3,2
XM_006119762.1,1
XM_006119763.1,1
XM_006119930.3,4
XM_006119945.2,3
XM_006120116.3,3
XM_006120147.1,1
XM_006120149.1,2
XM_006120150.1,2
XM_006120152.1,2
XM_006120157.1,1
XM_006120158.1,1
XM_006120164.2,2
XM_006120167.1,1
XM_006120427.2,3
XM_006120650.3,2
XM_006120715.1,2
XM_006120869.1,2
XM_006121078.2,1
XM_006121093.3,9
XM_006121492.3,7
XM_006121613.3,7
XM_006121843.3,2
XM_006121962.3,3
