transcript_id,num_exon
XM_023872358.2,3
XM_023872359.2,12
XM_023872360.2,3
XM_023872361.2,3
XM_023872365.2,2
XM_023872366.2,4
XM_023872367.1,1
XM_023872368.1,3
XM_023872369.2,5
XM_023872370.2,5
XM_023872371.1,4
XM_023872373.2,6
XM_023872374.2,7
XM_023872375.2,4
XM_023872377.2,4
XM_023872379.2,4
XM_023872382.2,4
XM_023872383.2,5
XM_023872387.2,2
XM_023872388.2,2
XM_023872389.2,1
XM_023872390.2,3
XM_023872391.2,3
XM_023872393.2,18
XM_023872394.2,18
XM_023872397.1,5
XM_023872399.2,17
XM_023872400.2,17
XM_023872402.1,1
XM_023872404.2,5
XM_023872405.2,8
XM_023872407.2,1
XM_023872408.2,5
XM_023872409.2,6
XM_023872410.2,5
XM_023872411.2,8
XM_023872412.2,3
XM_023872413.2,3
XM_023872414.2,12
XM_023872415.2,3
XM_023872416.2,12
XM_023872418.2,4
XM_023872419.2,2
XM_023872420.2,2
XM_023872421.2,3
XM_023872422.2,3
XM_023872424.1,1
XM_023872425.2,17
XM_023872426.1,6
XM_023872427.2,1
XM_023872428.2,17
XM_023872430.2,2
XM_023872431.2,1
XM_023872432.2,1
XM_023872435.1,1
XM_023872436.1,1
XM_023872437.2,17
XM_023872438.1,1
XM_023872439.2,10
XM_023872440.1,1
XM_023872441.1,1
XM_023872442.1,1
XM_023872443.1,1
XM_023872444.1,1
XM_023872445.2,9
XM_023872446.1,1
XM_023872448.1,2
XM_023872449.2,1
XM_023872450.1,1
XM_023872451.2,15
XM_023872452.1,2
XM_023872453.1,1
XM_023872455.2,29
XM_023872456.2,30
XM_023872457.2,31
XM_023872458.2,15
XM_023872459.2,30
XM_023872460.2,1
XM_023872461.2,1
XM_023872462.2,1
XM_023872463.2,21
XM_023872464.2,1
XM_023872465.2,1
XM_023872467.2,1
XM_023872468.2,3
XM_023872469.2,3
XM_023872470.2,1
XM_023872471.2,1
XM_023872472.2,1
XM_023872473.1,1
XM_023872474.2,1
XM_023872475.2,13
XM_023872476.2,1
XM_023872477.2,29
XM_023872478.2,1
XM_023872479.2,4
XM_023872480.1,1
XM_023872481.1,2
XM_023872482.2,2
XM_023872484.2,5
XM_023872485.2,6
XM_023872486.2,3
XM_023872487.1,3
XM_023872489.2,15
XM_023872490.2,10
XM_023872491.2,1
XM_023872492.2,7
XM_023872493.2,2
XM_023872494.2,4
XM_023872495.2,15
XM_023872496.2,15
XM_023872498.2,16
XM_023872499.2,6
XM_023872500.2,6
XM_023872501.2,8
XM_023872502.2,8
XM_023872503.2,10
XM_023872504.2,2
XM_023872505.2,4
XM_023872506.2,2
XM_023872507.2,2
XM_023872508.2,6
XM_023872509.2,6
XM_023872510.2,14
XM_023872511.2,14
XM_023872512.2,14
XM_023872515.2,13
XM_023872516.2,2
XM_023872517.1,1
XM_023872518.1,1
XM_023872519.1,1
XM_023872520.1,7
XM_023872521.1,1
XM_023872522.1,1
XM_023872523.1,3
XM_023872524.1,1
XM_023872525.2,7
XM_023872526.2,7
XM_023872527.2,3
XM_023872528.2,5
XM_023872529.2,2
XM_023872530.2,1
XM_023872531.2,3
XM_023872532.2,15
XM_023872533.2,9
XM_023872534.2,18
XM_023872535.2,9
XM_023872536.2,1
XM_023872537.1,7
XM_023872538.1,1
XM_023872539.2,3
XM_023872540.2,4
XM_023872541.2,4
XM_023872542.2,4
XM_023872545.2,18
XM_023872546.2,18
XM_023872548.2,7
XM_023872550.2,12
XM_023872552.2,6
XM_023872553.2,5
XM_023872554.2,6
XM_023872555.2,19
XM_023872556.2,3
XM_023872557.2,17
XM_023872558.2,1
XM_023872559.2,17
XM_023872562.2,5
XM_023872563.2,6
XM_023872564.2,6
XM_023872565.2,1
XM_023872566.2,3
XM_023872567.1,13
XM_023872568.2,8
XM_023872569.2,3
XM_023872571.2,2
XM_023872572.2,7
XM_023872574.2,6
XM_023872575.2,8
XM_023872576.2,9
XM_023872577.2,2
XM_023872578.2,5
XM_023872579.2,3
XM_023872580.2,8
XM_023872581.1,4
XM_023872582.2,1
XM_023872583.2,7
XM_023872584.1,7
XM_023872585.2,2
XM_023872586.2,8
XM_023872587.2,3
XM_023872588.2,6
XM_023872589.2,6
XM_023872590.2,6
XM_023872591.2,6
XM_023872592.1,9
XM_023872593.2,10
XM_023872594.2,9
XM_023872595.2,9
XM_023872596.2,9
XM_023872597.2,9
XM_023872598.2,8
XM_023872599.2,9
XM_023872600.2,11
XM_023872601.2,12
XM_023872602.2,12
XM_023872604.1,1
XM_023872605.1,1
XM_023872606.1,1
