transcript_id,num_exon
XM_009267399.1,2
XM_009267400.1,4
XM_009267401.1,8
XM_009267402.1,4
XM_009267403.1,3
XM_009267404.1,3
XM_009267405.1,4
XM_009267406.1,1
XM_009267407.1,2
XM_009267408.1,1
XM_009267409.1,2
XM_009267410.1,3
XM_009267411.1,2
XM_009267412.1,6
XM_009267413.1,2
XM_009267414.1,7
XM_009267415.1,3
XM_009267416.1,1
XM_009267417.1,2
XM_009267418.1,3
XM_009267419.1,2
XM_009267420.1,2
XM_009267421.1,3
XM_009267422.1,6
XM_009267423.1,4
XM_009267424.1,3
XM_009267425.1,5
XM_009267426.1,3
XM_009267427.1,2
XM_009267428.1,2
XM_009267429.1,5
XM_009267430.1,2
XM_009267431.1,5
XM_009267432.1,2
XM_009267433.1,3
XM_009267434.1,4
XM_009267435.1,4
XM_009267436.1,4
XM_009267437.1,5
XM_009267438.1,5
XM_009267439.1,3
XM_009267440.1,3
XM_009267441.1,2
XM_009267442.1,6
XM_009267443.1,4
XM_009267444.1,2
XM_009267445.1,5
XM_009267446.1,1
XM_009267447.1,2
XM_009267448.1,2
XM_009267449.1,2
XM_009267450.1,2
XM_009267451.1,1
XM_009267452.1,2
XM_009267453.1,8
XM_009267454.1,3
XM_009267455.1,3
XM_009267456.1,1
XM_009267457.1,2
XM_009267458.1,3
XM_009267459.1,1
XM_009267460.1,3
XM_009267461.1,1
XM_009267462.1,4
XM_009267463.1,2
XM_009267464.1,5
XM_009267465.1,2
XM_009267466.1,7
XM_009267467.1,1
XM_009267468.1,4
XM_009267469.1,2
XM_009267470.1,1
XM_009267471.1,3
XM_009267472.1,2
XM_009267473.1,4
XM_009267474.1,3
XM_009267475.1,2
XM_009267476.1,2
XM_009267477.1,5
XM_009267478.1,2
XM_009267479.1,8
XM_009267480.1,7
XM_009267481.1,3
XM_009267482.1,2
XM_009267483.1,3
XM_009267484.1,6
XM_009267485.1,1
XM_009267486.1,5
XM_009267487.1,2
XM_009267488.1,3
XM_009267489.1,3
XM_009267490.1,6
XM_009267491.1,4
XM_009267492.1,2
XM_009267493.1,1
XM_009267494.1,3
XM_009267495.1,2
XM_009267496.1,4
XM_009267497.1,3
XM_009267498.1,5
XM_009267499.1,4
XM_009267500.1,19
XM_009267501.1,1
XM_009267502.1,1
XM_009267503.1,6
XM_009267504.1,2
XM_009267505.1,1
XM_009267506.1,5
XM_009267507.1,6
XM_009267508.1,3
XM_009267509.1,9
XM_009267510.1,2
XM_009267511.1,1
XM_009267512.1,6
XM_009267513.1,2
XM_009267514.1,5
XM_009267515.1,4
XM_009267516.1,2
XM_009267517.1,11
XM_009267518.1,2
XM_009267519.1,3
XM_009267520.1,2
XM_009267521.1,2
XM_009267522.1,5
XM_009267523.1,2
XM_009267524.1,2
XM_009267525.1,3
XM_009267526.1,2
XM_009267527.1,7
XM_009267528.1,2
XM_009267529.1,2
XM_009267530.1,2
XM_009267531.1,2
XM_009267532.1,4
XM_009267533.1,1
XM_009267534.1,6
XM_009267535.1,3
XM_009267536.1,7
XM_009267537.1,5
XM_009267538.1,4
XM_009267539.1,3
XM_009267540.1,3
XM_009267541.1,3
XM_009267542.1,8
XM_009267543.1,6
XM_009267544.1,5
XM_009267545.1,7
XM_009267546.1,1
XM_009267547.1,3
XM_009267548.1,3
XM_009267549.1,1
XM_009267550.1,2
XM_009267551.1,3
XM_009267552.1,3
XM_009267553.1,2
XM_009267554.1,3
XM_009267555.1,2
XM_009267556.1,5
XM_009267557.1,7
XM_009267558.1,12
XM_009267559.1,5
XM_009267560.1,4
XM_009267561.1,3
XM_009267562.1,2
XM_009267563.1,1
XM_009267564.1,3
XM_009267565.1,5
XM_009267566.1,2
XM_009267567.1,2
XM_009267568.1,11
XM_009267569.1,3
XM_009267570.1,3
XM_009267571.1,6
XM_009267572.1,3
XM_009267573.1,6
XM_009267574.1,7
XM_009267575.1,2
XM_009267576.1,4
XM_009267577.1,3
XM_009267578.1,2
XM_009267579.1,3
XM_009267580.1,2
XM_009267581.1,4
XM_009267582.1,3
XM_009267583.1,3
XM_009267584.1,3
XM_009267585.1,5
XM_009267586.1,2
XM_009267587.1,6
XM_009267588.1,4
XM_009267589.1,1
XM_009267590.1,1
XM_009267591.1,1
XM_009267592.1,2
XM_009267593.1,2
XM_009267594.1,2
XM_009267595.1,2
XM_009267596.1,7
XM_009267597.1,10
XM_009267598.1,3
XM_009267599.1,3
XM_009267600.1,3
XM_009267601.1,6
XM_009267602.1,7
XM_009267603.1,1
XM_009267604.1,2
XM_009267605.1,1
XM_009267606.1,3
XM_009267607.1,2
XM_009267608.1,2
XM_009267609.1,3
XM_009267610.1,1
XM_009267611.1,1
XM_009267612.1,8
XM_009267613.1,10
XM_009267614.1,7
XM_009267615.1,4
XM_009267616.1,3
XM_009267617.1,5
XM_009267618.1,6
XM_009267619.1,6
XM_009267620.1,2
XM_009267621.1,2
XM_009267622.1,1
XM_009267623.1,1
XM_009267624.1,4
XM_009267625.1,2
XM_009267626.1,5
XM_009267627.1,2
XM_009267628.1,4
XM_009267629.1,7
XM_009267630.1,4
XM_009267631.1,2
XM_009267632.1,2
XM_009267633.1,2
XM_009267634.1,2
XM_009267635.1,2
XM_009267636.1,6
XM_009267637.1,3
XM_009267638.1,4
XM_009267639.1,1
XM_009267640.1,3
XM_009267641.1,2
XM_009267642.1,1
XM_009267643.1,2
XM_009267644.1,2
XM_009267645.1,2
XM_009267646.1,2
XM_009267647.1,13
XM_009267648.1,5
XM_009267649.1,5
XM_009267650.1,4
XM_009267651.1,3
XM_009267652.1,2
XM_009267653.1,4
XM_009267654.1,3
XM_009267655.1,2
XM_009267656.1,3
XM_009267657.1,2
XM_009267658.1,4
XM_009267659.1,2
XM_009267660.1,1
XM_009267661.1,2
XM_009267662.1,2
XM_009267663.1,2
XM_009267664.1,1
XM_009267665.1,2
XM_009267666.1,3
XM_009267667.1,2
XM_009267668.1,2
XM_009267669.1,2
