transcript_id,num_exon
XM_022858682.1,2
XM_022858683.1,1
XM_022858684.1,1
XM_022858685.1,1
XM_022858686.1,1
XM_022858687.1,4
XM_022858688.1,1
XM_022858689.1,1
XM_022858692.1,1
XM_022858693.1,2
XM_022858694.1,4
XM_022858695.1,5
XM_022858696.1,16
XM_022858697.1,16
XM_022858698.1,6
XM_022858699.1,6
XM_022858700.1,4
XM_022858701.1,3
XM_022858702.1,3
XM_022858703.1,5
XM_022858704.1,5
XM_022858705.1,2
XM_022858706.1,3
XM_022858707.1,2
XM_022858708.1,3
XM_022858709.1,1
XM_022858710.1,12
XM_022858711.1,3
XM_022858712.1,7
XM_022858713.1,6
XM_022858714.1,2
XM_022858715.1,3
XM_022858716.1,5
XM_022858717.1,3
XM_022858718.1,1
XM_022858719.1,1
XM_022858720.1,1
XM_022858721.1,1
XM_022858722.1,11
XM_022858723.1,2
XM_022858724.1,11
XM_022858725.1,11
XM_022858726.1,11
XM_022858727.1,10
XM_022858729.1,3
XM_022858730.1,3
XM_022858731.1,14
XM_022858732.1,2
XM_022858733.1,1
XM_022858734.1,1
XM_022858735.1,9
XM_022858736.1,9
XM_022858737.1,8
XM_022858738.1,1
XM_022858739.1,4
XM_022858740.1,4
XM_022858741.1,4
XM_022858742.1,4
XM_022858743.1,3
XM_022858744.1,3
XM_022858745.1,9
XM_022858746.1,9
XM_022858747.1,3
XM_022858748.1,8
XM_022858749.1,1
XM_022858750.1,5
XM_022858751.1,4
XM_022858752.1,3
XM_022858753.1,9
XM_022858754.1,3
XM_022858755.1,7
XM_022858756.1,3
XM_022858757.1,6
XM_022858758.1,1
XM_022858759.1,1
XM_022858760.1,1
XM_022858761.1,2
XM_022858762.1,3
XM_022858763.1,14
XM_022858764.1,4
XM_022858765.1,7
XM_022858766.1,10
XM_022858767.1,6
XM_022858768.1,3
XM_022858769.1,2
XM_022858773.1,4
XM_022858774.1,2
XM_022858775.1,19
XM_022858776.1,1
XM_022858777.1,9
XM_022858778.1,4
XM_022858780.1,19
XM_022858781.1,1
XM_022858782.1,16
XM_022858783.1,5
XM_022858784.1,13
XM_022858785.1,13
XM_022858786.1,15
XM_022858787.1,18
XM_022858788.1,16
XM_022858789.1,12
XM_022858790.1,13
XM_022858791.1,13
XM_022858793.1,5
XM_022858794.1,6
XM_022858795.1,4
XM_022858796.1,7
XM_022858797.1,4
XM_022858798.1,9
XM_022858799.1,7
XM_022858800.1,9
XM_022858801.1,5
XM_022858802.1,1
XM_022858804.1,3
XM_022858805.1,3
XM_022858806.1,5
XM_022858808.1,4
XM_022858809.1,1
XM_022858811.1,1
XM_022858812.1,1
XM_022858813.1,3
XM_022858814.1,2
XM_022858815.1,2
XM_022858816.1,3
XM_022858817.1,5
XM_022858818.1,7
XM_022858820.1,24
XM_022858821.1,13
XM_022858822.1,3
XM_022858824.1,2
XM_022858825.1,3
XM_022858826.1,12
XM_022858827.1,1
XM_022858828.1,5
XM_022858829.1,5
XM_022858830.1,1
XM_022858831.1,1
XM_022858832.1,1
XM_022858834.1,3
XM_022858836.1,4
XM_022858837.1,8
XM_022858838.1,2
XM_022858839.1,1
XM_022858840.1,8
XM_022858841.1,6
XM_022858842.1,46
XM_022858843.1,1
XM_022858844.1,2
XM_022858845.1,4
XM_022858846.1,4
XM_022858847.1,3
XM_022858848.1,26
XM_022858850.1,3
XM_022858851.1,4
XM_022858854.1,16
XM_022858855.1,5
