gene_id,num_transcript,num_exon,num_uniq_exon
BSLG_00001,1,3,3
BSLG_00002,1,9,9
BSLG_00003,4,16,8
BSLG_00004,1,19,19
BSLG_00005,1,4,4
BSLG_00006,1,13,13
BSLG_00007,1,7,7
BSLG_00009,1,27,27
BSLG_00010,1,12,12
BSLG_00011,1,5,5
BSLG_00013,2,7,5
BSLG_00014,1,5,5
BSLG_00015,2,38,21
BSLG_00016,1,7,7
BSLG_00017,1,7,7
BSLG_00018,1,5,5
BSLG_00020,1,8,8
BSLG_00021,1,8,8
BSLG_00022,1,5,5
BSLG_00023,1,3,3
BSLG_00024,1,1,1
BSLG_00025,1,5,5
BSLG_00026,1,4,4
BSLG_00027,1,3,3
BSLG_00028,2,7,5
BSLG_00029,1,1,1
BSLG_00030,1,3,3
BSLG_00031,1,5,5
BSLG_00032,3,18,8
BSLG_00033,2,3,3
BSLG_00034,2,5,4
BSLG_00035,1,3,3
BSLG_00036,1,7,7
BSLG_00037,1,4,4
BSLG_00039,1,2,2
BSLG_00040,1,3,3
BSLG_00041,1,9,9
BSLG_00042,1,2,2
BSLG_00043,1,6,6
BSLG_00044,1,6,6
BSLG_00045,3,8,5
BSLG_00047,1,3,3
BSLG_00048,1,7,7
BSLG_00049,1,5,5
BSLG_00050,1,5,5
BSLG_00051,1,4,4
BSLG_00052,1,7,7
BSLG_00053,1,6,6
BSLG_00054,1,6,6
BSLG_00055,1,6,6
BSLG_00056,1,4,4
BSLG_00057,2,17,10
BSLG_00058,3,15,8
BSLG_00059,3,25,11
BSLG_00060,1,5,5
BSLG_00061,1,9,9
BSLG_00063,1,17,17
BSLG_00065,2,9,6
BSLG_00068,1,5,5
BSLG_00069,1,3,3
BSLG_00070,1,6,6
BSLG_00071,1,5,5
BSLG_00072,1,4,4
BSLG_00073,1,3,3
BSLG_00074,1,17,17
BSLG_00076,1,24,24
BSLG_00077,2,7,5
BSLG_00078,1,12,12
BSLG_00079,1,5,5
BSLG_00080,3,25,11
BSLG_00081,1,5,5
BSLG_00082,1,1,1
BSLG_00083,4,12,7
BSLG_00084,2,24,14
BSLG_00085,1,4,4
BSLG_00086,2,5,4
BSLG_00088,1,5,5
BSLG_00089,1,5,5
BSLG_00090,1,6,6
BSLG_00091,1,8,8
BSLG_00092,1,5,5
BSLG_00093,1,1,1
BSLG_00094,1,4,4
BSLG_00095,1,2,2
BSLG_00096,1,6,6
BSLG_00097,1,2,2
BSLG_00099,1,4,4
BSLG_00101,1,9,9
BSLG_00102,1,4,4
BSLG_00104,1,25,25
BSLG_00105,1,2,2
BSLG_00106,1,1,1
BSLG_00107,1,1,1
BSLG_00108,1,5,5
BSLG_00109,1,11,11
BSLG_00110,1,2,2
BSLG_00111,1,15,15
BSLG_00112,3,17,9
BSLG_00113,1,8,8
BSLG_00114,1,4,4
BSLG_00115,2,13,8
BSLG_00116,1,3,3
BSLG_00117,1,13,13
BSLG_00118,1,10,10
BSLG_00119,1,2,2
BSLG_00120,1,6,6
BSLG_00121,1,5,5
BSLG_00122,1,2,2
BSLG_00123,1,5,5
BSLG_00124,2,25,14
BSLG_00125,2,13,8
BSLG_00126,1,9,9
BSLG_00127,1,5,5
BSLG_00128,1,14,14
BSLG_00129,1,4,4
BSLG_00130,1,1,1
BSLG_00131,1,1,1
BSLG_00132,1,14,14
BSLG_00133,1,1,1
BSLG_00134,2,11,7
BSLG_00135,3,15,8
BSLG_00136,2,5,4
BSLG_00138,1,5,5
BSLG_00140,1,6,6
BSLG_00141,1,15,15
BSLG_00142,1,6,6
BSLG_00143,1,3,3
BSLG_00144,1,30,30
BSLG_00145,1,5,5
BSLG_00146,1,7,7
BSLG_00148,1,10,10
BSLG_00149,1,3,3
BSLG_00150,1,2,2
BSLG_00151,2,8,6
BSLG_00153,1,15,15
BSLG_00154,1,2,2
BSLG_00155,1,4,4
BSLG_00156,1,11,11
BSLG_00157,1,7,7
BSLG_00159,1,6,6
BSLG_00160,1,4,4
BSLG_00161,1,10,10
BSLG_00162,1,4,4
BSLG_00163,1,3,3
BSLG_00164,1,8,8
BSLG_00165,1,10,10
BSLG_00166,1,6,6
BSLG_00167,1,9,9
BSLG_00168,1,4,4
BSLG_00169,1,5,5
BSLG_00170,1,6,6
BSLG_00171,4,81,24
BSLG_00174,3,43,18
BSLG_00175,1,8,8
BSLG_00176,1,5,5
BSLG_00177,1,4,4
BSLG_00178,1,4,4
BSLG_00179,1,4,4
BSLG_00180,1,9,9
BSLG_00181,1,4,4
BSLG_00182,1,15,15
BSLG_00183,1,17,17
BSLG_00184,1,5,5
BSLG_00185,2,55,29
BSLG_00186,1,2,2
BSLG_00187,1,6,6
BSLG_00188,1,2,2
BSLG_00189,1,3,3
BSLG_00191,1,1,1
BSLG_00192,1,7,7
BSLG_00193,1,3,3
