transcript_id,num_exon
NM_001288840.1,2
NM_001288841.1,8
NM_001288842.1,8
NM_001288843.1,8
NM_001288844.1,16
NM_001288845.1,11
NM_001288846.1,2
NM_001288847.1,15
NM_001288848.1,9
NM_001288849.1,3
NM_001288850.1,19
NM_001288851.1,3
NM_001288852.1,3
NM_001288853.1,10
NM_001288854.1,4
NM_001288855.1,2
NM_001288856.1,7
NM_001288857.1,9
NM_001288858.1,7
NM_001288859.1,1
NM_001288860.1,15
NM_001288861.1,2
NM_001288862.1,14
NM_001288863.1,3
NM_001288864.1,14
NM_001288865.1,7
NM_001288866.1,7
NM_001288867.1,3
NM_001288868.1,6
NM_001288869.1,1
NM_001288870.1,10
NM_001288871.1,11
NM_001288872.1,4
NM_001288874.1,7
NM_001288875.1,6
NM_001288876.1,8
NM_001288877.1,3
NM_001288878.1,1
NM_001288879.1,8
NM_001288880.1,6
NM_001288881.1,6
NM_001288882.1,6
NM_001288883.1,4
NM_001288884.1,7
NM_001288885.1,2
NM_001288886.1,6
NM_001288887.1,3
NM_001288888.1,2
NM_001288890.1,2
NM_001288891.1,4
NM_001288893.1,6
NM_001288894.1,14
NM_001288895.1,3
NM_001288896.1,11
NM_001288897.1,7
NM_001288898.1,3
NM_001288899.1,8
NM_001288900.1,1
NM_001288901.1,7
NM_001288902.1,4
NM_001288903.1,8
NM_001288904.1,9
NM_001288905.1,2
NM_001288906.1,2
NM_001288907.1,9
NM_001288908.1,9
NM_001288909.1,7
NM_001288910.1,2
NM_001288911.1,3
NM_001288912.1,11
NM_001288914.1,16
NM_001288915.1,3
NM_001288916.1,18
NM_001288917.1,2
NM_001288918.1,3
NM_001288919.1,4
NM_001288920.1,1
NM_001288921.1,5
NM_001288922.1,2
NM_001288923.1,10
NM_001288924.1,2
NM_001288925.1,9
NM_001288926.1,2
NM_001288927.1,1
NM_001288928.1,5
NM_001288929.1,3
NM_001288930.1,2
NM_001288931.1,6
NM_001288932.1,6
NM_001288933.1,1
NM_001288934.1,7
NM_001288935.1,1
NM_001288936.1,1
NM_001288937.1,4
NM_001288938.1,4
NM_001288939.1,1
NM_001288940.1,4
NM_001288941.1,9
NM_001288942.1,5
NM_001288943.1,4
NM_001288944.2,4
NM_001288945.1,7
NM_001288946.1,8
NM_001288947.1,7
NM_001288948.1,21
NM_001288949.1,6
NM_001289140.1,2
NM_001289141.1,2
NM_001289142.1,1
NM_001289143.1,2
NM_001315497.1,1
NM_001320057.1,2
NM_001320058.1,1
NM_001320059.1,4
NM_001320060.1,1
NM_001320061.1,4
NM_001320062.1,2
NM_001320063.1,5
NM_001320064.1,1
NM_001320065.1,1
NM_001320066.1,8
NM_001320067.1,8
NM_001320068.1,1
NM_001320069.1,1
NM_001320070.1,3
NM_001320071.1,1
XM_006464126.3,14
XM_006464127.3,21
XM_006464129.3,9
XM_006464130.3,9
XM_006464131.3,10
XM_006464132.3,1
XM_006464133.3,5
XM_006464134.3,14
XM_006464135.3,13
XM_006464136.3,12
XM_006464141.3,12
XM_006464142.2,7
XM_006464143.2,4
XM_006464144.3,2
XM_006464145.3,8
XM_006464146.3,5
XM_006464149.3,5
XM_006464150.3,6
XM_006464151.3,7
XM_006464152.3,5
XM_006464153.3,1
XM_006464154.3,12
XM_006464155.3,2
XM_006464157.3,7
XM_006464158.3,1
XM_006464159.3,3
XM_006464160.3,3
XM_006464161.3,3
XM_006464162.3,1
XM_006464163.3,4
XM_006464164.3,26
XM_006464165.3,5
XM_006464166.3,5
XM_006464167.3,8
XM_006464168.3,15
XM_006464169.3,7
XM_006464170.3,6
XM_006464171.3,7
XM_006464172.3,1
XM_006464173.3,6
XM_006464174.2,7
XM_006464175.3,4
XM_006464177.3,12
XM_006464178.3,12
XM_006464179.2,6
XM_006464180.2,2
XM_006464183.3,8
XM_006464184.2,2
XM_006464188.1,1
XM_006464190.2,5
XM_006464191.3,1
XM_006464192.3,3
XM_006464195.2,10
XM_006464196.3,11
XM_006464197.3,4
XM_006464198.3,10
XM_006464199.3,10
XM_006464200.3,1
XM_006464201.3,1
XM_006464202.3,10
XM_006464203.3,5
XM_006464204.3,5
XM_006464205.3,2
XM_006464215.3,10
XM_006464216.3,10
XM_006464218.3,8
XM_006464220.3,7
XM_006464222.2,12
XM_006464224.3,27
XM_006464227.3,5
XM_006464230.3,7
XM_006464231.3,1
XM_006464232.3,7
XM_006464233.2,3
XM_006464234.3,3
XM_006464236.2,2
XM_006464237.3,2
XM_006464238.3,7
XM_006464239.3,2
XM_006464241.3,9
XM_006464242.3,10
XM_006464243.3,10
XM_006464246.3,10
XM_006464249.3,7
XM_006464250.3,7
XM_006464251.3,1
XM_006464255.3,6
XM_006464256.3,7
XM_006464257.3,7
XM_006464258.3,7
XM_006464259.3,3
XM_006464260.2,2
XM_006464263.2,1
XM_006464264.3,3
XM_006464270.3,1
XM_006464271.3,11
XM_006464272.3,6
XM_006464273.2,6
XM_006464274.3,14
XM_006464275.3,14
XM_006464276.3,8
XM_006464277.3,8
XM_006464279.3,10
XM_006464280.3,7
XM_006464282.3,6
XM_006464283.3,7
XM_006464285.2,3
XM_006464286.3,13
XM_006464287.3,13
XM_006464288.3,12
XM_006464289.3,35
XM_006464290.3,35
XM_006464291.3,34
XM_006464292.3,34
XM_006464293.2,4
XM_006464295.3,4
XM_006464296.3,4
XM_006464297.2,9
XM_006464298.2,10
XM_006464299.2,10
XM_006464302.3,10
XM_006464303.3,14
XM_006464304.3,13
XM_006464305.3,4
XM_006464306.3,4
XM_006464307.3,14
XM_006464308.3,19
XM_006464309.3,1
XM_006464311.3,3
XM_006464312.3,2
XM_006464313.3,3
XM_006464315.3,6
XM_006464316.3,2
XM_006464317.2,5
XM_006464318.1,7
XM_006464319.3,2
XM_006464320.3,1
XM_006464321.3,3
XM_006464322.3,3
XM_006464323.3,3
XM_006464324.3,5
XM_006464325.3,3
XM_006464327.3,5
XM_006464328.3,3
XM_006464329.3,5
XM_006464330.2,5
XM_006464331.3,3
XM_006464332.3,7
XM_006464333.3,3
XM_006464334.3,12
XM_006464337.3,12
XM_006464338.3,5
XM_006464339.3,7
XM_006464340.3,8
XM_006464341.3,1
XM_006464342.3,2
XM_006464343.3,2
XM_006464344.3,20
XM_006464345.3,20
XM_006464346.3,4
XM_006464347.3,10
XM_006464348.3,5
XM_006464349.3,3
XM_006464350.2,9
XM_006464351.3,36
XM_006464354.3,7
XM_006464355.3,18
XM_006464356.3,18
XM_006464357.3,18
XM_006464358.3,18
XM_006464359.3,3
XM_006464363.3,13
XM_006464364.3,12
XM_006464366.3,9
XM_006464367.3,9
XM_006464368.3,9
XM_006464369.3,9
XM_006464370.3,1
XM_006464371.2,1
XM_006464372.3,3
XM_006464373.3,12
XM_006464374.3,12
XM_006464376.3,8
XM_006464377.2,7
XM_006464378.3,6
XM_006464380.2,1
XM_006464381.2,4
XM_006464383.2,9
XM_006464384.3,9
XM_006464386.3,9
XM_006464387.3,1
XM_006464388.3,3
XM_006464389.3,3
XM_006464390.3,3
XM_006464391.3,7
XM_006464392.3,6
XM_006464393.3,6
XM_006464394.3,3
XM_006464395.3,4
XM_006464396.3,8
XM_006464397.3,1
XM_006464398.3,19
XM_006464399.3,9
XM_006464400.3,2
XM_006464401.3,17
XM_006464404.3,14
XM_006464405.3,4
XM_006464406.3,9
XM_006464407.3,4
XM_006464408.3,14
XM_006464410.3,20
XM_006464411.3,7
XM_006464412.3,7
XM_006464413.3,5
XM_006464414.3,4
XM_006464415.3,1
XM_006464416.3,1
XM_006464417.3,3
XM_006464420.3,5
XM_006464421.3,6
XM_006464422.3,2
XM_006464424.3,5
XM_006464425.3,5
XM_006464426.3,1
XM_006464427.2,2
XM_006464428.3,7
XM_006464429.3,3
XM_006464430.3,6
XM_006464431.3,7
XM_006464432.3,3
XM_006464433.2,4
XM_006464435.3,2
XM_006464438.2,7
XM_006464439.2,25
XM_006464440.2,26
XM_006464441.2,22
XM_006464442.3,21
XM_006464443.3,4
XM_006464444.3,2
XM_006464445.3,13
XM_006464446.3,26
XM_006464448.3,3
XM_006464449.3,3
XM_006464450.3,3
XM_006464451.3,4
XM_006464452.3,1
XM_006464453.3,6
XM_006464456.3,6
XM_006464457.3,6
XM_006464459.2,3
XM_006464460.3,8
XM_006464461.3,8
XM_006464462.3,8
XM_006464464.3,8
XM_006464465.3,7
XM_006464466.3,12
XM_006464467.3,10
XM_006464468.3,4
XM_006464469.3,8
XM_006464470.3,14
XM_006464471.2,7
XM_006464472.3,13
XM_006464473.3,9
XM_006464474.3,2
XM_006464475.2,17
XM_006464476.3,2
XM_006464477.3,2
XM_006464478.3,12
XM_006464479.3,5
XM_006464480.3,7
XM_006464481.3,3
XM_006464482.3,2
XM_006464483.3,1
XM_006464484.3,7
XM_006464485.3,8
XM_006464486.3,8
XM_006464487.3,13
XM_006464488.3,2
XM_006464489.3,7
XM_006464490.3,3
XM_006464491.3,9
XM_006464497.2,4
XM_006464498.3,1
XM_006464500.3,1
XM_006464501.3,1
XM_006464502.3,1
XM_006464503.3,5
XM_006464504.3,10
XM_006464505.3,4
XM_006464506.2,2
XM_006464507.2,5
XM_006464508.3,5
XM_006464510.3,5
XM_006464511.3,2
XM_006464512.3,8
XM_006464513.3,8
XM_006464514.3,8
XM_006464515.3,8
XM_006464516.3,8
XM_006464517.3,8
XM_006464518.3,8
XM_006464522.3,1
XM_006464523.3,2
XM_006464524.3,3
XM_006464525.3,7
XM_006464526.3,7
XM_006464527.3,3
XM_006464529.3,2
XM_006464530.3,1
XM_006464531.3,1
XM_006464532.3,8
XM_006464534.3,6
XM_006464535.3,8
XM_006464537.3,6
XM_006464540.2,20
XM_006464541.2,20
XM_006464543.3,1
XM_006464544.3,8
XM_006464546.3,8
XM_006464548.3,7
XM_006464549.3,7
XM_006464550.3,7
XM_006464551.3,7
XM_006464552.3,6
XM_006464553.3,7
XM_006464554.3,8
XM_006464555.3,6
XM_006464556.3,3
XM_006464557.3,6
XM_006464558.3,7
XM_006464559.3,5
XM_006464560.3,2
XM_006464561.3,5
XM_006464562.3,4
XM_006464563.3,6
XM_006464564.3,4
XM_006464565.3,4
XM_006464566.3,1
XM_006464567.3,12
XM_006464568.3,3
XM_006464569.3,4
XM_006464570.3,1
XM_006464571.3,5
XM_006464572.3,5
XM_006464573.3,5
XM_006464574.3,17
XM_006464575.3,17
XM_006464576.3,11
XM_006464577.3,2
XM_006464578.3,16
XM_006464579.3,16
XM_006464580.3,6
XM_006464581.2,2
XM_006464582.3,3
XM_006464583.3,1
XM_006464584.3,1
XM_006464585.2,2
XM_006464593.3,2
XM_006464594.3,3
XM_006464595.3,9
XM_006464596.3,20
XM_006464597.3,3
XM_006464598.1,14
XM_006464599.3,14
XM_006464601.2,1
XM_006464602.3,7
XM_006464603.3,2
XM_006464604.3,2
XM_006464605.3,7
XM_006464606.3,23
XM_006464607.3,6
XM_006464608.3,3
XM_006464609.3,26
XM_006464610.3,25
XM_006464611.3,25
XM_006464613.3,25
XM_006464614.3,27
XM_006464615.3,3
XM_006464616.3,13
XM_006464617.2,13
XM_006464618.3,11
XM_006464619.2,2
XM_006464620.1,13
