gene_id,num_transcript,num_exon,num_uniq_exon
ASCRUDRAFT_10014,3,5,5
ASCRUDRAFT_10022,1,1,1
ASCRUDRAFT_10023,1,1,1
ASCRUDRAFT_10053,1,2,2
ASCRUDRAFT_100646,1,1,1
ASCRUDRAFT_100750,1,1,1
ASCRUDRAFT_100763,1,1,1
ASCRUDRAFT_100788,1,1,1
ASCRUDRAFT_10083,1,1,1
ASCRUDRAFT_100890,1,1,1
ASCRUDRAFT_10108,1,1,1
ASCRUDRAFT_101133,1,3,3
ASCRUDRAFT_10121,1,3,3
ASCRUDRAFT_101257,1,3,3
ASCRUDRAFT_10135,1,2,2
ASCRUDRAFT_101546,1,1,1
ASCRUDRAFT_10163,1,1,1
ASCRUDRAFT_10166,1,1,1
ASCRUDRAFT_10170,1,1,1
ASCRUDRAFT_101798,1,2,2
ASCRUDRAFT_10181,1,1,1
ASCRUDRAFT_102074,1,1,1
ASCRUDRAFT_102076,1,3,3
ASCRUDRAFT_10221,1,1,1
ASCRUDRAFT_10223,1,2,2
ASCRUDRAFT_102304,1,1,1
ASCRUDRAFT_10250,1,1,1
ASCRUDRAFT_10252,1,1,1
ASCRUDRAFT_10256,1,1,1
ASCRUDRAFT_10271,1,1,1
ASCRUDRAFT_102716,1,1,1
ASCRUDRAFT_10278,1,1,1
ASCRUDRAFT_10283,1,2,2
ASCRUDRAFT_10286,1,1,1
ASCRUDRAFT_10288,1,2,2
ASCRUDRAFT_102979,1,1,1
ASCRUDRAFT_10300,1,1,1
ASCRUDRAFT_103097,1,1,1
ASCRUDRAFT_10311,1,1,1
ASCRUDRAFT_10319,1,1,1
ASCRUDRAFT_10320,1,2,2
ASCRUDRAFT_10331,1,1,1
ASCRUDRAFT_103339,1,2,2
ASCRUDRAFT_10335,1,1,1
ASCRUDRAFT_103422,1,1,1
ASCRUDRAFT_10343,1,2,2
ASCRUDRAFT_10346,1,1,1
ASCRUDRAFT_10353,1,1,1
ASCRUDRAFT_10355,1,1,1
ASCRUDRAFT_10359,1,1,1
ASCRUDRAFT_103622,1,1,1
ASCRUDRAFT_10374,1,1,1
ASCRUDRAFT_10381,1,2,2
ASCRUDRAFT_103874,1,1,1
ASCRUDRAFT_10411,1,1,1
ASCRUDRAFT_10420,1,1,1
ASCRUDRAFT_104327,1,2,2
ASCRUDRAFT_10443,1,1,1
ASCRUDRAFT_10445,1,1,1
ASCRUDRAFT_10447,1,1,1
ASCRUDRAFT_104536,1,3,3
ASCRUDRAFT_10457,1,2,2
ASCRUDRAFT_10458,1,2,2
ASCRUDRAFT_10460,1,1,1
ASCRUDRAFT_10468,1,1,1
ASCRUDRAFT_104693,1,1,1
ASCRUDRAFT_10477,1,1,1
ASCRUDRAFT_104805,1,1,1
ASCRUDRAFT_10493,1,1,1
ASCRUDRAFT_10494,1,1,1
ASCRUDRAFT_104960,1,2,2
ASCRUDRAFT_105017,1,1,1
ASCRUDRAFT_10513,1,1,1
ASCRUDRAFT_10514,1,3,3
ASCRUDRAFT_105181,1,1,1
ASCRUDRAFT_10527,1,1,1
ASCRUDRAFT_105304,1,1,1
ASCRUDRAFT_10541,1,1,1
ASCRUDRAFT_105565,1,1,1
ASCRUDRAFT_10575,1,1,1
ASCRUDRAFT_10579,1,1,1
ASCRUDRAFT_105809,1,1,1
ASCRUDRAFT_105818,1,1,1
ASCRUDRAFT_10585,1,1,1
ASCRUDRAFT_10599,1,1,1
ASCRUDRAFT_10603,1,1,1
ASCRUDRAFT_106184,1,1,1
ASCRUDRAFT_106205,1,1,1
ASCRUDRAFT_10629,1,2,2
ASCRUDRAFT_10650,1,1,1
ASCRUDRAFT_10675,1,4,4
ASCRUDRAFT_10678,1,6,6
ASCRUDRAFT_106922,1,1,1
ASCRUDRAFT_10709,1,2,2
ASCRUDRAFT_10712,1,1,1
ASCRUDRAFT_10720,1,1,1
ASCRUDRAFT_107246,1,2,2
ASCRUDRAFT_10726,1,1,1
ASCRUDRAFT_107478,1,4,4
ASCRUDRAFT_10751,1,1,1
ASCRUDRAFT_107513,1,2,2
ASCRUDRAFT_10752,1,1,1
ASCRUDRAFT_107621,1,1,1
ASCRUDRAFT_107756,1,1,1
ASCRUDRAFT_107789,1,1,1
ASCRUDRAFT_107797,1,1,1
ASCRUDRAFT_107849,1,1,1
ASCRUDRAFT_107983,1,1,1
ASCRUDRAFT_108362,1,1,1
ASCRUDRAFT_108434,1,1,1
ASCRUDRAFT_108999,1,1,1
ASCRUDRAFT_109007,1,1,1
ASCRUDRAFT_109019,1,1,1
ASCRUDRAFT_109099,1,1,1
ASCRUDRAFT_109284,1,1,1
ASCRUDRAFT_109509,1,1,1
ASCRUDRAFT_109543,1,1,1
ASCRUDRAFT_109587,1,1,1
ASCRUDRAFT_109626,1,1,1
ASCRUDRAFT_109635,1,1,1
ASCRUDRAFT_109737,1,1,1
ASCRUDRAFT_109785,1,1,1
ASCRUDRAFT_10996,1,2,2
ASCRUDRAFT_110064,1,1,1
ASCRUDRAFT_11007,1,2,2
ASCRUDRAFT_110103,1,1,1
ASCRUDRAFT_110275,1,1,1
ASCRUDRAFT_110318,1,1,1
ASCRUDRAFT_11061,1,2,2
ASCRUDRAFT_110746,1,2,2
ASCRUDRAFT_110881,1,1,1
ASCRUDRAFT_11106,1,3,3
ASCRUDRAFT_111184,1,1,1
ASCRUDRAFT_111368,1,2,2
ASCRUDRAFT_111381,1,1,1
ASCRUDRAFT_111436,1,1,1
ASCRUDRAFT_111447,1,1,1
ASCRUDRAFT_11145,1,2,2
ASCRUDRAFT_111530,1,1,1
ASCRUDRAFT_111798,1,1,1
ASCRUDRAFT_111813,1,1,1
ASCRUDRAFT_112010,1,1,1
ASCRUDRAFT_112239,1,1,1
ASCRUDRAFT_112243,1,1,1
ASCRUDRAFT_112330,1,1,1
ASCRUDRAFT_11239,1,1,1
ASCRUDRAFT_112408,1,2,2
ASCRUDRAFT_11245,1,2,2
ASCRUDRAFT_112469,1,2,2
ASCRUDRAFT_11252,1,2,2
ASCRUDRAFT_112529,1,1,1
ASCRUDRAFT_112633,1,1,1
ASCRUDRAFT_112989,1,2,2
ASCRUDRAFT_113266,1,2,2
ASCRUDRAFT_113293,1,1,1
ASCRUDRAFT_113295,1,1,1
ASCRUDRAFT_113646,1,1,1
ASCRUDRAFT_113690,1,1,1
ASCRUDRAFT_113814,1,1,1
ASCRUDRAFT_113817,1,1,1
ASCRUDRAFT_113819,1,2,2
ASCRUDRAFT_113959,1,1,1
ASCRUDRAFT_114242,1,1,1
ASCRUDRAFT_114319,1,1,1
ASCRUDRAFT_114331,1,1,1
ASCRUDRAFT_114458,1,1,1
ASCRUDRAFT_114762,1,2,2
ASCRUDRAFT_114785,1,1,1
ASCRUDRAFT_114885,1,2,2
ASCRUDRAFT_11500,1,3,3
ASCRUDRAFT_115190,1,1,1
ASCRUDRAFT_115638,1,1,1
ASCRUDRAFT_115727,1,1,1
ASCRUDRAFT_115771,1,1,1
ASCRUDRAFT_116075,1,1,1
ASCRUDRAFT_116199,1,2,2
ASCRUDRAFT_116257,1,1,1
ASCRUDRAFT_116306,1,3,3
ASCRUDRAFT_11631,1,1,1
ASCRUDRAFT_116349,1,1,1
ASCRUDRAFT_116361,1,1,1
ASCRUDRAFT_116416,1,2,2
ASCRUDRAFT_116423,1,2,2
ASCRUDRAFT_116521,1,1,1
ASCRUDRAFT_11671,1,2,2
ASCRUDRAFT_11677,1,3,3
ASCRUDRAFT_11717,1,2,2
ASCRUDRAFT_117537,1,2,2
ASCRUDRAFT_117568,1,1,1
ASCRUDRAFT_117732,1,1,1
ASCRUDRAFT_11796,1,1,1
ASCRUDRAFT_118440,1,1,1
ASCRUDRAFT_11850,1,2,2
ASCRUDRAFT_118591,1,1,1
ASCRUDRAFT_118694,1,2,2
ASCRUDRAFT_118835,1,1,1
ASCRUDRAFT_11898,1,1,1
ASCRUDRAFT_119309,1,2,2
ASCRUDRAFT_119594,1,2,2
ASCRUDRAFT_119670,1,2,2
ASCRUDRAFT_119759,1,1,1
ASCRUDRAFT_120184,1,1,1
ASCRUDRAFT_120416,1,2,2
ASCRUDRAFT_120643,1,1,1
ASCRUDRAFT_12078,1,1,1
ASCRUDRAFT_120827,1,1,1
ASCRUDRAFT_120849,1,1,1
ASCRUDRAFT_120861,1,1,1
ASCRUDRAFT_120949,1,1,1
ASCRUDRAFT_121256,1,1,1
ASCRUDRAFT_121297,1,1,1
ASCRUDRAFT_12163,1,1,1
ASCRUDRAFT_12179,1,2,2
ASCRUDRAFT_121925,1,1,1
ASCRUDRAFT_122203,1,1,1
ASCRUDRAFT_122287,1,1,1
ASCRUDRAFT_122557,1,1,1
ASCRUDRAFT_12277,1,1,1
ASCRUDRAFT_122809,1,2,2
ASCRUDRAFT_122893,1,1,1
ASCRUDRAFT_122894,1,1,1
ASCRUDRAFT_122897,1,1,1
ASCRUDRAFT_122909,1,1,1
ASCRUDRAFT_122920,1,1,1
ASCRUDRAFT_123186,1,1,1
ASCRUDRAFT_123191,1,1,1
ASCRUDRAFT_12328,1,2,2
ASCRUDRAFT_123371,1,1,1
ASCRUDRAFT_123553,1,1,1
ASCRUDRAFT_12373,1,2,2
ASCRUDRAFT_123782,1,1,1
ASCRUDRAFT_123984,1,1,1
ASCRUDRAFT_124044,1,1,1
ASCRUDRAFT_124207,1,1,1
ASCRUDRAFT_124669,1,1,1
ASCRUDRAFT_124711,1,2,2
ASCRUDRAFT_124770,1,1,1
ASCRUDRAFT_12484,1,1,1
ASCRUDRAFT_125010,1,1,1
ASCRUDRAFT_12513,1,1,1
ASCRUDRAFT_12537,1,1,1
ASCRUDRAFT_125451,1,1,1
ASCRUDRAFT_125531,1,1,1
ASCRUDRAFT_125731,1,1,1
ASCRUDRAFT_125745,1,1,1
ASCRUDRAFT_12578,1,1,1
ASCRUDRAFT_12606,1,2,2
ASCRUDRAFT_12609,1,1,1
ASCRUDRAFT_126269,1,1,1
ASCRUDRAFT_126294,1,1,1
ASCRUDRAFT_126370,1,1,1
ASCRUDRAFT_126732,1,1,1
ASCRUDRAFT_12687,1,3,3
ASCRUDRAFT_126902,1,1,1
ASCRUDRAFT_126905,1,1,1
ASCRUDRAFT_126912,1,1,1
ASCRUDRAFT_12736,1,2,2
ASCRUDRAFT_127426,1,1,1
ASCRUDRAFT_127608,1,1,1
ASCRUDRAFT_127851,1,1,1
ASCRUDRAFT_127956,1,1,1
ASCRUDRAFT_128213,1,2,2
ASCRUDRAFT_128254,1,1,1
ASCRUDRAFT_12827,1,2,2
ASCRUDRAFT_128369,1,1,1
ASCRUDRAFT_12874,1,2,2
ASCRUDRAFT_128752,1,5,5
ASCRUDRAFT_128755,1,1,1
ASCRUDRAFT_128968,1,1,1
ASCRUDRAFT_128985,1,1,1
ASCRUDRAFT_129116,1,1,1
ASCRUDRAFT_129137,1,2,2
ASCRUDRAFT_129150,1,1,1
ASCRUDRAFT_129193,1,1,1
ASCRUDRAFT_129219,1,1,1
ASCRUDRAFT_129312,1,3,3
ASCRUDRAFT_129344,1,1,1
ASCRUDRAFT_129349,1,1,1
ASCRUDRAFT_129376,1,1,1
ASCRUDRAFT_129764,1,1,1
ASCRUDRAFT_129829,1,1,1
ASCRUDRAFT_130060,1,1,1
ASCRUDRAFT_13009,1,1,1
ASCRUDRAFT_130158,1,1,1
ASCRUDRAFT_130975,1,1,1
ASCRUDRAFT_131013,1,2,2
ASCRUDRAFT_131061,1,1,1
ASCRUDRAFT_131089,1,1,1
ASCRUDRAFT_131279,1,2,2
ASCRUDRAFT_131320,1,1,1
ASCRUDRAFT_131967,1,2,2
ASCRUDRAFT_132056,1,1,1
ASCRUDRAFT_13213,1,2,2
ASCRUDRAFT_132707,1,1,1
ASCRUDRAFT_132708,1,1,1
ASCRUDRAFT_132714,1,2,2
ASCRUDRAFT_132726,1,1,1
ASCRUDRAFT_133106,1,1,1
ASCRUDRAFT_133123,1,1,1
ASCRUDRAFT_13318,1,1,1
ASCRUDRAFT_13326,1,3,3
ASCRUDRAFT_133396,1,2,2
ASCRUDRAFT_133971,1,2,2
ASCRUDRAFT_133988,1,1,1
ASCRUDRAFT_134048,1,2,2
ASCRUDRAFT_134051,1,1,1
ASCRUDRAFT_134141,1,1,1
ASCRUDRAFT_134156,1,1,1
ASCRUDRAFT_134225,1,2,2
ASCRUDRAFT_134275,1,1,1
ASCRUDRAFT_134370,1,1,1
ASCRUDRAFT_134690,1,1,1
ASCRUDRAFT_134795,1,1,1
ASCRUDRAFT_134834,1,1,1
ASCRUDRAFT_13510,1,3,3
ASCRUDRAFT_135192,1,2,2
ASCRUDRAFT_13524,1,1,1
ASCRUDRAFT_13528,1,1,1
ASCRUDRAFT_135295,1,1,1
ASCRUDRAFT_135345,1,1,1
ASCRUDRAFT_135505,1,2,2
ASCRUDRAFT_13554,1,1,1
ASCRUDRAFT_135585,1,2,2
ASCRUDRAFT_13560,1,2,2
ASCRUDRAFT_135796,1,1,1
ASCRUDRAFT_135828,1,1,1
ASCRUDRAFT_135834,1,1,1
ASCRUDRAFT_13607,1,1,1
ASCRUDRAFT_136405,1,1,1
ASCRUDRAFT_136466,1,1,1
ASCRUDRAFT_136630,1,1,1
ASCRUDRAFT_136698,1,1,1
ASCRUDRAFT_136721,1,1,1
ASCRUDRAFT_13692,1,2,2
ASCRUDRAFT_137002,1,1,1
ASCRUDRAFT_137078,1,2,2
ASCRUDRAFT_137198,1,1,1
ASCRUDRAFT_137327,1,1,1
ASCRUDRAFT_137684,1,2,2
ASCRUDRAFT_137866,1,1,1
ASCRUDRAFT_137900,1,3,3
ASCRUDRAFT_138346,1,1,1
ASCRUDRAFT_138375,1,1,1
ASCRUDRAFT_138467,1,1,1
ASCRUDRAFT_138477,1,1,1
ASCRUDRAFT_138540,1,1,1
ASCRUDRAFT_138603,1,1,1
ASCRUDRAFT_138736,1,1,1
ASCRUDRAFT_138779,1,1,1
