transcript_id,num_exon
LOC100587273,2
LOC100587939,4
LOC100604208,2
LOC100604550,3
LOC101178831,3
NM_001280085.1,4
NM_001280089.1,18
NM_001280092.1,7
NM_001280095.1,9
NM_001280098.1,35
NM_001280099.1,7
NM_001280102.1,13
NM_001280106.1,24
NM_001280110.1,15
NM_001280113.1,7
NM_001280117.1,14
NM_001280119.1,16
NM_001282004.1,6
NM_001286029.1,7
NM_001289893.1,2
NM_001289954.1,5
NM_001290275.1,5
NM_001291095.1,2
NM_001291096.1,2
NM_001291477.1,12
NM_001301413.1,5
NM_001304545.1,2
NM_001305072.1,2
NM_001308194.1,1
NM_001308667.1,21
NM_001308668.1,22
NM_001308672.1,6
NM_001308673.1,4
NM_001308674.1,17
NM_001309208.1,2
NM_001345971.1,4
NM_001367605.1,9
XM_003252038.3,2
XM_003252046.4,3
XM_003252048.2,14
XM_003252049.4,15
XM_003252050.4,14
XM_003252055.3,11
XM_003252056.3,9
XM_003252058.4,16
XM_003252059.4,15
XM_003252061.3,3
XM_003252062.3,11
XM_003252067.3,4
XM_003252072.3,7
XM_003252073.2,15
XM_003252074.4,4
XM_003252075.4,15
XM_003252077.4,9
XM_003252079.4,9
XM_003252080.4,9
XM_003252082.4,18
XM_003252083.2,9
XM_003252084.1,9
XM_003252085.3,9
XM_003252086.2,9
XM_003252087.4,8
XM_003252088.3,9
XM_003252090.2,9
XM_003252097.3,2
XM_003252098.3,3
XM_003252099.1,9
XM_003252101.2,9
XM_003252103.2,9
XM_003252105.4,10
XM_003252108.4,9
XM_003252110.2,9
XM_003252111.2,9
XM_003252112.2,9
XM_003252113.3,4
XM_003252116.4,7
XM_003252120.3,5
XM_003252123.2,25
XM_003252125.3,12
XM_003252126.2,8
XM_003252135.4,15
XM_003252138.3,26
XM_003252139.3,25
XM_003252140.2,23
XM_003252141.3,11
XM_003252142.2,9
XM_003252143.3,9
XM_003252145.3,17
XM_003252149.3,5
XM_003252151.3,5
XM_003252152.4,7
XM_003252153.3,38
XM_003252156.3,15
XM_003252161.4,11
XM_003252162.3,11
XM_003252164.4,8
XM_003252169.2,4
XM_003252170.2,4
XM_003252172.4,2
XM_003252173.3,15
XM_003252175.3,15
XM_003252180.4,25
XM_003252183.2,8
XM_003252187.4,4
XM_003252188.3,9
XM_003252189.3,18
XM_003252191.4,17
XM_003252196.3,3
XM_003252198.4,8
XM_003252206.3,8
XM_003252207.3,5
XM_003252210.4,9
XM_003252211.4,10
XM_003252212.3,4
XM_003252213.2,2
XM_003252214.4,6
XM_003252217.3,1
XM_003252218.4,1
XM_003252219.4,18
XM_003252220.2,8
XM_003252221.3,4
XM_003252227.4,54
XM_003252228.4,53
XM_003252229.3,8
XM_003252231.3,8
XM_003252233.4,10
XM_003252235.4,3
XM_003252238.3,19
XM_003252245.3,11
XM_003252248.3,17
XM_003252253.4,16
XM_003252254.4,15
XM_003252256.3,17
XM_003252262.4,20
XM_003252266.4,4
XM_003252267.4,20
XM_003252270.3,8
XM_003252271.3,9
XM_003252272.2,12
XM_003252274.4,11
XM_003252278.4,10
XM_003252282.2,39
XM_003252283.3,8
XM_003252284.3,8
XM_003252290.4,17
XM_003252291.3,4
XM_003252292.4,5
XM_003252293.4,5
XM_003252298.2,8
XM_003252300.3,51
XM_003252302.4,10
XM_003252303.4,13
XM_003252304.4,10
XM_003252305.3,34
XM_003252307.3,38
XM_003252308.2,20
XM_003252323.4,6
XM_003252329.4,1
XM_003252331.4,5
XM_003252338.4,11
XM_003252339.4,10
XM_003252340.4,12
XM_003252348.4,12
XM_003252350.2,12
XM_003252352.4,31
XM_003252353.4,30
XM_003252354.4,31
XM_003252356.4,8
XM_003252357.4,8
XM_003252359.2,5
XM_003252360.2,6
XM_003252361.2,4
XM_003252363.4,3
XM_003252368.2,4
XM_003252370.2,4
XM_003252375.3,2
XM_003252379.2,5
XM_003252381.3,5
XM_003252387.2,23
XM_003252389.4,10
XM_003252392.3,3
XM_003252393.3,4
XM_003252399.4,14
XM_003252400.3,6
XM_003252401.4,1
XM_003252406.3,3
XM_003252407.4,3
XM_003252414.4,10
XM_003252420.3,5
XM_003252426.3,19
XM_003252433.2,1
XM_003252434.2,1
XM_003252435.4,20
XM_003252436.3,1
XM_003252445.3,24
XM_003252446.3,5
XM_003252454.3,11
XM_003252459.2,8
XM_003252461.2,9
XM_003252477.3,10
XM_003252488.3,3
XM_003252493.3,5
XM_003252497.4,5
XM_003252498.4,3
XM_003252499.2,3
XM_003252500.4,2
XM_003252502.3,5
XM_003252507.4,52
XM_003252509.2,8
XM_003252514.4,20
XM_003252515.4,9
XM_003252516.3,9
XM_003252517.3,9
XM_003252519.3,5
XM_003252524.4,17
XM_003252527.2,18
XM_003252528.3,8
XM_003252529.4,3
XM_003252533.4,2
XM_003252534.2,7
XM_003252535.2,6
XM_003252544.4,4
XM_003252546.4,8
XM_003252556.4,3
XM_003252559.4,4
XM_003252564.4,17
XM_003252566.3,28
XM_003252567.4,8
XM_003252569.3,29
XM_003252571.4,16
XM_003252576.2,2
XM_003252579.3,12
XM_003252589.3,32
XM_003252590.4,33
XM_003252592.4,13
XM_003252593.3,3
XM_003252597.2,9
XM_003252600.2,38
XM_003252601.3,12
XM_003252602.3,12
XM_003252604.3,8
XM_003252605.3,8
XM_003252609.4,6
XM_003252610.3,8
XM_003252611.3,26
XM_003252613.3,1
XM_003252620.2,1
XM_003252622.3,10
XM_003252625.2,7
XM_003252626.4,5
XM_003252628.2,28
XM_003252633.4,10
XM_003252636.3,6
XM_003252638.4,10
XM_003252640.4,26
XM_003252642.3,5
XM_003252644.3,8
XM_003252645.3,8
XM_003252647.4,3
XM_003252648.4,11
XM_003252651.4,21
XM_003252652.4,21
XM_003252654.4,8
XM_003252656.4,17
XM_003252657.4,17
XM_003252658.4,17
XM_003252659.4,15
