transcript_id,num_exon
XM_014051517.1,4
XM_014051518.1,2
XM_014051520.1,4
XM_014051521.1,14
XM_014051522.1,13
XM_014051523.1,13
XM_014051524.1,6
XM_014051525.1,10
XM_014051526.1,2
XM_014051527.1,5
XM_014051528.1,5
XM_014051529.1,17
XM_014051530.1,17
XM_014051531.1,53
XM_014051532.1,10
XM_014051533.1,52
XM_014051534.1,9
XM_014051535.1,9
XM_014051536.1,8
XM_014051537.1,8
XM_014051538.1,8
XM_014051539.1,7
XM_014051540.1,9
XM_014051541.1,6
XM_014051542.1,8
XM_014051543.1,4
XM_014051544.1,14
XM_014051545.1,4
XM_014051546.1,3
XM_014051547.1,3
XM_014051548.1,7
XM_014051549.1,2
XM_014051550.1,3
XM_014051551.1,4
XM_014051552.1,3
XM_014051553.1,4
XM_014051554.1,5
XM_014051555.1,2
XM_014051556.1,3
XM_014051557.1,4
XM_014051558.1,10
XM_014051559.1,4
XM_014051560.1,11
XM_014051561.1,9
XM_014051562.1,52
XM_014051563.1,2
XM_014051564.1,8
XM_014051565.1,39
XM_014051566.1,7
XM_014051567.1,3
XM_014051568.1,3
XM_014051569.1,3
XM_014051570.1,4
XM_014051571.1,4
XM_014051572.1,4
XM_014051573.1,4
XM_014051574.1,12
XM_014051575.1,5
XM_014051576.1,4
XM_014051577.1,10
XM_014051578.1,9
XM_014051579.1,4
XM_014051581.1,9
XM_014051582.1,6
XM_014051583.1,6
XM_014051584.1,6
XM_014051585.1,7
XM_014051586.1,31
XM_014051587.1,30
XM_014051588.1,10
XM_014051589.1,10
XM_014051590.1,9
XM_014051591.1,8
XM_014051592.1,11
XM_014051593.1,4
XM_014051594.1,8
XM_014051595.1,12
XM_014051596.1,4
XM_014051597.1,2
XM_014051598.1,5
XM_014051599.1,10
XM_014051600.1,3
XM_014051601.1,9
XM_014051602.1,21
XM_014051603.1,1
XM_014051604.1,3
XM_014051605.1,10
XM_014051606.1,2
XM_014051607.1,3
XM_014051608.1,3
XM_014051609.1,2
XM_014051610.1,10
XM_014051611.1,3
XM_014051612.1,2
XM_014051615.1,3
XM_014051616.1,17
XM_014051617.1,7
XM_014051618.1,6
XM_014051619.1,6
XM_014051620.1,7
XM_014051621.1,8
XM_014051622.1,21
XM_014051623.1,22
XM_014051624.1,21
XM_014051625.1,20
XM_014051626.1,20
XM_014051627.1,5
XM_014051628.1,2
XM_014051629.1,6
XM_014051630.1,10
XM_014051631.1,7
XM_014051632.1,1
XM_014051633.1,6
XM_014051634.1,7
XM_014051635.1,7
XM_014051636.1,8
XM_014051637.1,7
XM_014051638.1,10
XM_014051639.1,9
XM_014051640.1,9
XM_014051641.1,7
XM_014051642.1,9
XM_014051643.1,8
XM_014051644.1,15
XM_014051645.1,13
XM_014051646.1,14
