transcript_id,num_exon
XM_016748339.1,7
XM_016748340.1,8
XM_016748341.1,3
XM_016748342.1,5
XM_016748343.1,4
XM_016748344.1,4
XM_016748345.1,3
XM_016748346.1,3
XM_016748348.1,6
XM_016748351.1,3
XM_016748352.1,6
XM_016748353.1,6
XM_016748355.1,9
XM_016748356.1,10
XM_016748358.1,5
XM_016748359.1,9
XM_016748360.1,4
XM_016748362.1,8
XM_016748363.1,9
XM_016748364.1,8
XM_016748365.1,5
XM_016748366.1,3
XM_016748368.1,14
XM_016748369.1,7
XM_016748370.1,6
XM_016748371.1,6
XM_016748372.1,4
XM_016748375.1,4
XM_016748376.1,3
XM_016748377.1,4
XM_016748378.1,4
XM_016748379.1,4
XM_016748380.1,4
XM_016748381.1,3
XM_016748382.1,1
XM_016748384.1,1
XM_016748385.1,4
XM_016748386.1,8
XM_016748388.1,8
XM_016748389.1,26
XM_016748391.1,7
XM_016748392.1,14
XM_016748393.1,6
XM_016748394.1,5
XM_016748395.1,12
XM_016748396.1,9
XM_016748397.1,2
XM_016748399.1,2
XM_016748400.1,2
XM_016748401.1,3
XM_016748402.1,20
XM_016748403.1,14
XM_016748404.1,15
XM_016748405.1,5
XM_016748406.1,4
XM_016748407.1,13
XM_016748408.1,4
XM_016748409.1,5
XM_016748410.1,6
XM_016748411.1,3
XM_016748412.1,54
XM_016748413.1,5
XM_016748414.1,4
XM_016748415.1,7
XM_016748416.1,20
XM_016748417.1,20
XM_016748418.1,4
XM_016748419.1,5
XM_016748421.1,13
XM_016748422.1,5
XM_016748423.1,3
XM_016748424.1,3
XM_016748425.1,11
XM_016748426.1,3
XM_016748427.1,4
XM_016748428.1,7
XM_016748429.1,6
XM_016748430.1,3
XM_016748431.1,4
XM_016748432.1,2
XM_016748433.1,2
XM_016748434.1,2
XM_016748435.1,6
XM_016748436.1,2
XM_016748437.1,10
XM_016748438.1,7
XM_016748439.1,3
XM_016748440.1,2
XM_016748442.1,3
XM_016748443.1,5
XM_016748444.1,8
XM_016748446.1,21
XM_016748448.1,8
XM_016748449.1,4
XM_016748450.1,1
XM_016748451.1,9
XM_016748452.1,1
XM_016748454.1,10
XM_016748456.1,14
XM_016748457.1,9
XM_016748458.1,5
XM_016748459.1,4
XM_016748460.1,7
XM_016748461.1,9
XM_016748462.1,5
XM_016748463.1,20
XM_016748464.1,12
XM_016748465.1,4
XM_016748466.1,3
XM_016748467.1,4
XM_016748468.1,4
XM_016748469.1,4
XM_016748470.1,4
XM_016748471.1,11
XM_016748472.1,24
XM_016748473.1,15
XM_016748474.1,5
XM_016748475.1,1
XM_016748476.1,1
XM_016748479.1,3
XM_016748480.1,15
XM_016748482.1,5
XM_016748483.1,18
XM_016748484.1,3
XM_016748486.1,6
XM_016748487.1,5
XM_016748488.1,9
XM_016748491.1,4
XM_016748492.1,1
XM_016748493.1,1
XM_016748494.1,8
XM_016748496.1,5
XM_016748497.1,11
XM_016748499.1,2
XM_016748500.1,3
XM_016748502.1,6
XM_016748504.1,6
XM_016748505.1,1
XM_016748506.1,2
XM_016748507.1,1
XM_016748508.1,2
XM_016748509.1,5
XM_016748510.1,6
XM_016748511.1,7
XM_016748512.1,5
XM_016748514.1,2
XM_016748515.1,7
XM_016748516.1,5
XM_016748517.1,2
XM_016748518.1,10
XM_016748519.1,2
XM_016748520.1,8
XM_016748521.1,7
XM_016748522.1,4
XM_016748524.1,2
XM_016748525.1,4
XM_016748526.1,4
XM_016748527.1,8
XM_016748528.1,11
XM_016748529.1,6
XM_016748530.1,2
XM_016748532.1,16
XM_016748533.1,4
XM_016748535.1,4
XM_016748537.1,4
XM_016748538.1,1
XM_016748539.1,11
XM_016748540.1,10
XM_016748543.1,10
XM_016748544.1,6
XM_016748545.1,4
XM_016748546.1,13
XM_016748547.1,3
XM_016748548.1,5
XM_016748549.1,2
XM_016748550.1,6
XM_016748551.1,12
XM_016748552.1,12
XM_016748554.1,4
XM_016748555.1,19
XM_016748556.1,7
XM_016748557.1,15
XM_016748558.1,5
XM_016748559.1,4
XM_016748560.1,10
XM_016748561.1,7
XM_016748562.1,6
XM_016748563.1,6
XM_016748564.1,17
XM_016748565.1,19
XM_016748566.1,11
XM_016748567.1,6
XM_016748570.1,23
XM_016748571.1,1
XM_016748572.1,7
XM_016748573.1,4
XM_016748574.1,5
XM_016748576.1,2
XM_016748578.1,1
XM_016748579.1,9
XM_016748580.1,4
XM_016748581.1,7
XM_016748582.1,11
XM_016748584.1,3
XM_016748585.1,5
XM_016748586.1,11
XM_016748589.1,12
XM_016748590.1,9
XM_016748591.1,9
XM_016748592.1,2
XM_016748593.1,15
XM_016748594.1,4
XM_016748595.1,18
XM_016748596.1,3
XM_016748597.1,31
XM_016748598.1,8
XM_016748599.1,11
XM_016748600.1,23
XM_016748601.1,7
XM_016748602.1,1
XM_016748603.1,8
XM_016748604.1,4
XM_016748605.1,7
XM_016748606.1,13
XM_016748607.1,1
XM_016748608.1,4
XM_016748609.1,5
XM_016748610.1,3
XM_016748611.1,2
XM_016748615.1,2
XM_016748616.1,10
XM_016748617.1,3
XM_016748618.1,1
XM_016748619.1,2
XM_016748620.1,18
XM_016748621.1,17
XM_016748622.1,6
XM_016748623.1,15
XM_016748624.1,6
XM_016748625.1,6
