transcript_id,num_exon
NM_001303063.1,15
NM_001303064.1,3
NM_001303065.1,14
NM_001303066.1,11
NM_001303067.1,7
NM_001303068.1,18
NM_001303069.1,9
NM_001303070.1,4
NM_001303071.1,8
NM_001303073.1,20
NM_001303075.1,4
NM_001303077.1,7
NM_001303079.1,4
NM_001303081.1,8
NM_001303083.1,7
NM_001303085.1,4
NM_001303087.1,3
NM_001303089.1,4
NM_001303090.1,6
NM_001303091.1,5
NM_001303092.1,4
NM_001303093.1,4
NM_001303094.1,15
NM_001320012.1,2
XM_010667200.2,3
XM_010667202.2,4
XM_010667203.2,7
XM_010667204.2,8
XM_010667205.2,1
XM_010667206.2,4
XM_010667207.2,5
XM_010667210.2,5
XM_010667211.2,4
XM_010667212.2,4
XM_010667213.2,1
XM_010667214.2,9
XM_010667215.2,2
XM_010667216.2,8
XM_010667218.2,2
XM_010667219.2,5
XM_010667220.2,5
XM_010667221.2,3
XM_010667222.2,13
XM_010667223.2,13
XM_010667224.2,2
XM_010667226.2,9
XM_010667228.2,5
XM_010667229.2,7
XM_010667230.1,2
XM_010667231.2,5
XM_010667232.2,5
XM_010667233.2,5
XM_010667234.2,4
XM_010667235.2,9
XM_010667236.2,4
XM_010667242.2,10
XM_010667243.2,11
XM_010667244.2,8
XM_010667246.2,9
XM_010667247.1,2
XM_010667248.2,11
XM_010667249.2,11
XM_010667250.2,18
XM_010667251.2,16
XM_010667252.1,5
XM_010667253.2,8
XM_010667254.2,2
XM_010667255.2,12
XM_010667256.2,6
XM_010667257.2,19
XM_010667258.2,2
XM_010667259.2,2
XM_010667260.2,7
XM_010667261.2,5
XM_010667262.2,11
XM_010667263.2,1
XM_010667264.2,14
XM_010667265.2,14
XM_010667266.2,14
XM_010667267.2,9
XM_010667268.2,7
XM_010667269.2,10
XM_010667270.2,6
XM_010667271.2,8
XM_010667273.1,1
XM_010667274.1,1
XM_010667275.1,2
XM_010667276.2,3
XM_010667277.1,5
XM_010667281.2,2
XM_010667282.1,1
XM_010667284.1,4
XM_010667285.1,5
XM_010667288.1,3
XM_010667289.1,2
XM_010667290.1,1
XM_010667291.1,2
XM_010667292.1,1
XM_010667293.2,1
XM_010667294.2,3
XM_010667296.1,2
XM_010667297.1,1
XM_010667298.1,1
XM_010667299.2,4
XM_010667300.1,1
XM_010667304.1,2
XM_010667305.2,1
XM_010667306.1,3
XM_010667307.1,2
XM_010667308.1,2
XM_010667310.1,1
XM_010667313.1,1
XM_010667314.1,1
XM_010667315.2,5
XM_010667316.2,5
XM_010667317.2,5
XM_010667319.2,4
XM_010667321.1,14
XM_010667322.2,14
XM_010667323.2,10
XM_010667324.1,3
XM_010667325.2,6
XM_010667326.2,5
XM_010667328.2,8
XM_010667329.1,1
XM_010667331.2,8
XM_010667332.1,1
XM_010667334.2,4
XM_010667335.2,4
XM_010667336.2,4
XM_010667337.2,3
XM_010667338.2,5
XM_010667339.2,10
XM_010667340.2,14
XM_010667341.2,14
XM_010667342.2,1
XM_010667343.2,8
XM_010667344.2,8
XM_010667345.2,8
XM_010667346.2,8
XM_010667347.2,8
XM_010667348.1,1
XM_010667349.2,7
XM_010667353.1,4
XM_010667355.1,2
XM_010667357.1,1
XM_010667359.2,7
XM_010667360.2,7
XM_010667362.2,6
XM_010667363.2,24
XM_010667364.2,24
XM_010667365.2,23
XM_010667366.2,24
XM_010667367.2,24
XM_010667368.2,24
XM_010667369.2,23
XM_010667370.2,4
XM_010667371.2,21
XM_010667372.2,5
XM_010667373.2,6
XM_010667374.2,7
XM_010667375.2,4
XM_010667376.2,9
XM_010667377.2,5
XM_010667378.2,1
XM_010667379.2,2
XM_010667380.2,3
XM_010667382.2,1
XM_010667383.2,4
XM_010667385.2,6
XM_010667386.2,5
XM_010667387.2,5
XM_010667388.2,17
XM_010667389.2,17
XM_010667390.2,17
XM_010667391.2,5
XM_010667392.2,5
XM_010667393.2,10
XM_010667394.2,7
XM_010667396.1,6
XM_010667398.1,1
XM_010667399.2,21
XM_010667401.1,3
XM_010667403.2,5
XM_010667404.2,22
XM_010667405.1,2
XM_010667407.1,3
XM_010667408.2,6
XM_010667409.2,22
XM_010667410.2,8
XM_010667411.2,22
XM_010667412.2,21
XM_010667413.2,20
XM_010667414.2,20
XM_010667415.2,2
XM_010667416.2,2
XM_010667417.2,16
XM_010667418.2,11
XM_010667421.1,1
XM_010667422.1,2
XM_010667423.1,4
XM_010667424.2,6
XM_010667425.1,3
XM_010667428.1,3
XM_010667431.1,6
XM_010667432.2,2
XM_010667434.2,9
XM_010667435.2,9
XM_010667436.2,2
XM_010667437.2,3
XM_010667438.2,2
XM_010667439.2,3
XM_010667440.2,5
XM_010667441.2,6
XM_010667442.2,6
XM_010667443.2,1
XM_010667445.2,4
XM_010667446.1,7
XM_010667447.2,6
XM_010667448.2,1
XM_010667449.2,1
XM_010667450.2,1
XM_010667451.2,15
XM_010667452.2,10
XM_010667453.1,1
XM_010667454.2,1
XM_010667455.1,1
XM_010667456.1,1
XM_010667457.2,7
XM_010667458.2,7
XM_010667459.2,3
XM_010667460.2,8
XM_010667461.1,14
XM_010667462.2,1
XM_010667463.2,4
XM_010667464.2,7
XM_010667465.2,5
XM_010667466.2,18
XM_010667467.1,13
XM_010667471.1,1
XM_010667473.2,5
XM_010667474.1,4
XM_010667475.2,5
XM_010667476.2,5
XM_010667477.2,5
XM_010667478.2,2
XM_010667483.2,3
XM_010667484.2,10
XM_010667485.2,1
XM_010667486.2,4
XM_010667488.2,3
XM_010667489.2,5
XM_010667490.2,5
XM_010667491.2,1
XM_010667492.2,8
XM_010667496.1,1
XM_010667497.2,12
XM_010667498.2,6
XM_010667501.2,7
XM_010667502.2,6
XM_010667504.1,2
XM_010667505.2,4
XM_010667508.1,4
XM_010667509.1,1
XM_010667510.2,4
XM_010667513.2,13
XM_010667514.2,12
XM_010667516.1,4
XM_010667517.1,2
XM_010667518.2,4
XM_010667519.2,3
XM_010667520.2,5
XM_010667521.2,11
XM_010667522.2,11
XM_010667523.2,11
XM_010667524.2,6
XM_010667525.2,5
XM_010667526.2,6
XM_010667529.2,3
XM_010667530.2,8
XM_010667531.2,8
XM_010667532.2,7
XM_010667534.1,2
XM_010667535.1,4
XM_010667538.2,2
XM_010667541.2,2
XM_010667542.2,6
XM_010667543.2,7
XM_010667544.2,7
XM_010667545.2,6
XM_010667546.2,3
XM_010667547.2,2
XM_010667548.2,6
XM_010667549.1,1
XM_010667550.1,2
XM_010667551.1,1
XM_010667553.1,2
XM_010667555.1,1
XM_010667556.1,1
XM_010667557.2,2
XM_010667558.2,5
XM_010667559.2,1
XM_010667560.2,9
XM_010667562.2,10
XM_010667563.2,4
XM_010667564.2,3
XM_010667565.2,4
XM_010667566.2,2
XM_010667568.2,1
XM_010667569.2,1
XM_010667570.2,3
XM_010667571.2,1
XM_010667576.2,11
XM_010667578.2,1
XM_010667579.2,8
XM_010667580.1,7
XM_010667581.2,4
XM_010667582.2,9
XM_010667583.2,9
XM_010667584.2,9
XM_010667585.2,12
XM_010667586.2,3
XM_010667587.2,3
XM_010667588.2,2
XM_010667589.2,3
XM_010667590.2,3
XM_010667591.2,7
XM_010667592.2,21
XM_010667593.2,18
XM_010667594.2,12
XM_010667595.2,10
XM_010667596.2,11
XM_010667597.2,10
XM_010667598.2,4
XM_010667600.2,10
XM_010667604.2,11
XM_010667605.2,9
XM_010667607.2,8
XM_010667609.2,3
XM_010667610.2,20
XM_010667611.1,2
XM_010667614.2,2
XM_010667615.2,22
XM_010667616.1,2
XM_010667617.2,4
XM_010667620.1,1
XM_010667622.2,5
XM_010667623.1,1
XM_010667624.1,1
XM_010667625.1,1
XM_010667626.1,9
XM_010667627.2,5
XM_010667629.1,1
XM_010667632.2,8
XM_010667633.2,6
XM_010667634.2,5
XM_010667635.2,12
XM_010667636.2,1
XM_010667637.2,2
XM_010667638.2,31
XM_010667639.2,5
XM_010667640.2,3
XM_010667641.2,5
XM_010667642.2,5
XM_010667643.2,6
XM_010667644.2,4
XM_010667645.2,3
XM_010667646.2,19
XM_010667647.2,32
XM_010667648.2,2
XM_010667649.2,3
XM_010667650.2,13
XM_010667651.2,14
XM_010667652.2,2
XM_010667653.2,2
XM_010667654.2,10
XM_010667655.2,10
XM_010667656.1,2
XM_010667657.2,2
XM_010667658.2,2
XM_010667659.2,2
XM_010667660.2,1
XM_010667662.2,2
XM_010667663.2,1
XM_010667664.2,3
XM_010667665.2,3
XM_010667666.2,5
XM_010667667.1,1
XM_010667668.1,1
XM_010667669.1,2
XM_010667671.2,3
XM_010667672.2,5
XM_010667673.2,1
XM_010667674.2,2
XM_010667675.2,3
XM_010667676.2,4
XM_010667677.2,4
XM_010667679.2,4
XM_010667680.2,2
XM_010667684.1,3
XM_010667686.2,4
XM_010667688.2,5
XM_010667689.1,4
XM_010667691.1,4
XM_010667693.1,1
XM_010667695.1,1
XM_010667696.2,3
XM_010667697.2,10
XM_010667698.1,1
XM_010667699.1,1
XM_010667700.2,1
XM_010667701.2,1
XM_010667702.2,1
XM_010667703.2,13
XM_010667705.2,25
XM_010667706.2,18
XM_010667707.1,2
XM_010667708.2,2
XM_010667710.1,4
XM_010667712.1,1
XM_010667714.1,2
XM_010667715.2,4
XM_010667716.2,6
XM_010667717.2,27
XM_010667718.2,26
XM_010667719.2,6
XM_010667720.2,5
XM_010667721.2,5
XM_010667725.2,9
XM_010667727.1,1
XM_010667728.2,2
XM_010667729.2,3
XM_010667730.2,3
XM_010667731.2,10
XM_010667732.2,9
XM_010667733.2,9
XM_010667734.2,2
XM_010667736.2,18
XM_010667738.2,5
XM_010667739.2,5
XM_010667740.2,5
XM_010667741.2,5
XM_010667743.2,18
XM_010667744.1,1
XM_010667745.1,1
XM_010667746.1,1
XM_010667747.2,2
XM_010667749.2,8
XM_010667752.1,2
XM_010667753.1,1
XM_010667754.1,1
XM_010667755.2,6
XM_010667756.2,1
XM_010667759.2,2
XM_010667761.1,1
XM_010667763.2,5
XM_010667765.2,2
XM_010667767.2,4
XM_010667768.2,5
XM_010667769.2,4
XM_010667771.1,1
XM_010667772.1,15
XM_010667773.2,3
XM_010667774.2,2
XM_010667775.2,7
XM_010667776.2,7
XM_010667777.2,1
XM_010667779.2,2
XM_010667780.1,2
XM_010667781.1,1
XM_010667782.1,1
XM_010667783.2,15
XM_010667784.2,6
XM_010667786.2,10
XM_010667787.2,8
XM_010667788.2,7
XM_010667789.2,1
XM_010667791.2,2
XM_010667792.2,5
XM_010667794.1,1
XM_010667795.2,2
XM_010667796.2,5
XM_010667797.2,6
XM_010667798.2,6
XM_010667800.2,2
XM_010667804.2,7
XM_010667805.1,2
XM_010667809.2,6
XM_010667812.2,5
XM_010667815.2,4
XM_010667816.1,1
XM_010667825.2,5
XM_010667826.2,2
XM_010667827.2,3
XM_010667828.2,6
XM_010667829.2,14
XM_010667830.2,7
XM_010667831.2,14
XM_010667832.2,14
XM_010667833.2,13
XM_010667834.2,20
XM_010667835.2,11
XM_010667836.2,11
XM_010667837.2,11
XM_010667838.2,12
XM_010667840.2,1
XM_010667842.2,6
XM_010667843.1,1
XM_010667845.2,2
XM_010667846.2,6
XM_010667847.2,4
XM_010667848.2,1
XM_010667849.2,2
XM_010667850.2,4
XM_010667851.2,16
XM_010667852.2,16
XM_010667853.2,16
XM_010667854.2,16
XM_010667855.2,4
XM_010667856.2,15
XM_010667857.2,16
XM_010667858.2,11
XM_010667859.2,11
XM_010667860.2,2
XM_010667861.2,2
XM_010667862.2,9
XM_010667863.2,6
XM_010667864.2,8
XM_010667865.2,8
XM_010667866.2,5
XM_010667867.2,5
XM_010667871.2,7
XM_010667872.2,2
XM_010667873.2,1
XM_010667874.2,1
XM_010667875.2,12
XM_010667876.2,11
XM_010667877.2,11
XM_010667878.2,3
XM_010667879.2,3
XM_010667880.2,3
XM_010667881.1,1
XM_010667882.1,2
XM_010667884.2,2
XM_010667885.2,1
XM_010667886.1,2
XM_010667887.1,2
XM_010667888.1,1
XM_010667889.2,23
XM_010667890.2,23
XM_010667891.2,23
XM_010667892.2,19
XM_010667893.2,4
XM_010667894.2,4
XM_010667895.2,5
XM_010667896.2,6
XM_010667897.2,7
XM_010667898.2,2
XM_010667899.2,1
XM_010667900.2,1
XM_010667901.2,2
XM_010667902.2,14
XM_010667903.2,34
XM_010667904.2,33
XM_010667905.2,31
XM_010667906.2,30
XM_010667907.2,29
XM_010667909.2,5
XM_010667910.2,5
XM_010667911.2,5
XM_010667912.2,8
XM_010667913.2,8
XM_010667915.2,11
XM_010667916.2,1
XM_010667918.2,9
XM_010667920.2,3
XM_010667922.1,3
XM_010667923.2,6
XM_010667924.2,7
XM_010667925.2,1
XM_010667926.1,1
XM_010667927.1,1
XM_010667928.1,1
XM_010667929.1,3
XM_010667930.1,3
XM_010667931.1,2
XM_010667932.1,2
XM_010667933.2,10
XM_010667934.2,1
XM_010667935.2,1
XM_010667937.1,2
XM_010667938.1,6
XM_010667939.1,2
XM_010667940.2,1
XM_010667941.2,9
XM_010667942.2,19
XM_010667944.2,1
XM_010667945.1,1
XM_010667946.2,9
XM_010667947.2,9
XM_010667948.1,1
XM_010667950.2,1
XM_010667951.1,3
XM_010667952.2,6
XM_010667953.2,6
XM_010667954.2,5
XM_010667955.2,5
XM_010667956.2,11
XM_010667958.1,24
XM_010667959.1,25
