gene_id,num_transcript,num_exon,num_uniq_exon
RHOBADRAFT_10063,1,8,8
RHOBADRAFT_10101,1,4,4
RHOBADRAFT_10194,1,7,7
RHOBADRAFT_10213,1,2,2
RHOBADRAFT_10281,1,2,2
RHOBADRAFT_10302,1,8,8
RHOBADRAFT_10478,1,16,16
RHOBADRAFT_10581,1,4,4
RHOBADRAFT_10586,1,5,5
RHOBADRAFT_10697,1,3,3
RHOBADRAFT_10706,1,8,8
RHOBADRAFT_10812,1,2,2
RHOBADRAFT_10892,1,6,6
RHOBADRAFT_10924,1,2,2
RHOBADRAFT_11010,1,4,4
RHOBADRAFT_11059,1,6,6
RHOBADRAFT_1111,1,2,2
RHOBADRAFT_11206,1,2,2
RHOBADRAFT_11228,1,2,2
RHOBADRAFT_11235,1,2,2
RHOBADRAFT_11250,1,10,10
RHOBADRAFT_11258,1,2,2
RHOBADRAFT_11265,1,4,4
RHOBADRAFT_11340,1,6,6
RHOBADRAFT_11382,1,5,5
RHOBADRAFT_11408,1,3,3
RHOBADRAFT_116,1,2,2
RHOBADRAFT_1161,1,4,4
RHOBADRAFT_11628,1,5,5
RHOBADRAFT_11749,1,2,2
RHOBADRAFT_11758,1,5,5
RHOBADRAFT_11859,1,2,2
RHOBADRAFT_11922,1,10,10
RHOBADRAFT_11939,1,9,9
RHOBADRAFT_11944,1,4,4
RHOBADRAFT_11949,1,11,11
RHOBADRAFT_1199,1,4,4
RHOBADRAFT_12154,1,3,3
RHOBADRAFT_12226,1,9,9
RHOBADRAFT_12290,1,12,12
RHOBADRAFT_12319,1,4,4
RHOBADRAFT_12321,1,4,4
RHOBADRAFT_12394,1,2,2
RHOBADRAFT_12489,1,7,7
RHOBADRAFT_12541,1,8,8
RHOBADRAFT_12594,1,3,3
RHOBADRAFT_12624,1,7,7
RHOBADRAFT_12647,1,9,9
RHOBADRAFT_12732,1,6,6
RHOBADRAFT_12797,1,1,1
RHOBADRAFT_12822,1,10,10
RHOBADRAFT_12828,1,3,3
RHOBADRAFT_12927,1,3,3
RHOBADRAFT_12976,1,8,8
RHOBADRAFT_13038,1,8,8
RHOBADRAFT_13114,1,5,5
RHOBADRAFT_13171,1,2,2
RHOBADRAFT_13174,1,5,5
RHOBADRAFT_13310,1,13,13
RHOBADRAFT_13548,1,2,2
RHOBADRAFT_13647,1,4,4
RHOBADRAFT_13696,1,4,4
RHOBADRAFT_13761,1,5,5
RHOBADRAFT_13779,1,3,3
RHOBADRAFT_1383,1,3,3
RHOBADRAFT_1384,1,2,2
RHOBADRAFT_13848,1,4,4
RHOBADRAFT_13918,1,5,5
RHOBADRAFT_13968,1,7,7
RHOBADRAFT_13973,1,7,7
RHOBADRAFT_13982,1,5,5
RHOBADRAFT_14063,1,3,3
RHOBADRAFT_14078,1,2,2
RHOBADRAFT_14083,1,6,6
RHOBADRAFT_14084,1,8,8
RHOBADRAFT_14116,1,16,16
RHOBADRAFT_14144,1,2,2
RHOBADRAFT_1415,1,2,2
RHOBADRAFT_14188,1,4,4
RHOBADRAFT_14214,1,4,4
RHOBADRAFT_14269,1,5,5
RHOBADRAFT_14284,1,13,13
RHOBADRAFT_14417,1,5,5
RHOBADRAFT_14433,1,2,2
RHOBADRAFT_1454,1,2,2
RHOBADRAFT_14607,1,3,3
RHOBADRAFT_14709,1,4,4
RHOBADRAFT_14767,1,4,4
RHOBADRAFT_14770,1,4,4
RHOBADRAFT_14907,1,5,5
RHOBADRAFT_14939,1,7,7
RHOBADRAFT_14979,1,3,3
RHOBADRAFT_1499,1,5,5
RHOBADRAFT_14991,1,7,7
RHOBADRAFT_15007,1,5,5
RHOBADRAFT_15009,1,8,8
RHOBADRAFT_15055,1,2,2
RHOBADRAFT_15105,1,6,6
RHOBADRAFT_15188,1,4,4
RHOBADRAFT_15193,1,3,3
RHOBADRAFT_152,1,4,4
RHOBADRAFT_15208,1,5,5
RHOBADRAFT_15250,1,4,4
RHOBADRAFT_15257,1,9,9
RHOBADRAFT_15373,1,3,3
RHOBADRAFT_15397,1,2,2
RHOBADRAFT_1545,1,5,5
RHOBADRAFT_15469,1,9,9
RHOBADRAFT_15559,1,8,8
RHOBADRAFT_15577,1,6,6
RHOBADRAFT_15587,1,9,9
RHOBADRAFT_1571,1,6,6
RHOBADRAFT_15713,1,4,4
RHOBADRAFT_15720,1,7,7
RHOBADRAFT_15770,1,8,8
RHOBADRAFT_15797,1,3,3
RHOBADRAFT_15858,1,5,5
RHOBADRAFT_15861,1,7,7
RHOBADRAFT_15880,1,7,7
RHOBADRAFT_15912,1,7,7
RHOBADRAFT_15945,1,7,7
RHOBADRAFT_15999,1,1,1
RHOBADRAFT_16002,1,7,7
RHOBADRAFT_16035,1,6,6
RHOBADRAFT_16077,1,2,2
RHOBADRAFT_16088,1,10,10
RHOBADRAFT_16174,1,5,5
RHOBADRAFT_1624,1,4,4
RHOBADRAFT_16288,1,2,2
RHOBADRAFT_16290,1,3,3
RHOBADRAFT_16423,1,4,4
RHOBADRAFT_16425,1,8,8
RHOBADRAFT_16565,1,6,6
RHOBADRAFT_16578,1,2,2
RHOBADRAFT_16585,1,5,5
RHOBADRAFT_16612,1,2,2
RHOBADRAFT_16630,1,8,8
RHOBADRAFT_16687,1,3,3
RHOBADRAFT_16803,1,8,8
RHOBADRAFT_16823,1,4,4
RHOBADRAFT_16870,1,3,3
RHOBADRAFT_16906,1,5,5
RHOBADRAFT_16994,1,5,5
RHOBADRAFT_1704,1,3,3
RHOBADRAFT_17093,1,9,9
RHOBADRAFT_17263,1,4,4
RHOBADRAFT_17297,1,11,11
RHOBADRAFT_17417,1,5,5
RHOBADRAFT_1745,1,5,5
RHOBADRAFT_17567,1,1,1
