transcript_id,num_exon
NM_001131070.1,7
NM_001131072.1,1
NM_001131073.1,10
NM_001131074.1,5
NM_001131075.1,6
NM_001131076.1,53
NM_001131077.1,21
NM_001131078.1,12
NM_001131079.1,23
NM_001131080.1,37
NM_001131081.2,46
NM_001131082.1,20
NM_001131083.1,7
NM_001131084.1,45
NM_001131085.1,23
NM_001131086.1,23
NM_001131087.1,6
NM_001131088.1,6
NM_001131089.1,8
NM_001131090.1,7
NM_001131091.1,16
NM_001131092.1,14
NM_001131093.1,14
NM_001131094.1,10
NM_001131095.1,16
NM_001131097.1,11
NM_001131098.1,6
NM_001131099.1,7
NM_001131100.1,10
NM_001131101.1,8
NM_001131103.1,10
NM_001131104.1,17
NM_001131105.1,2
NM_001131106.1,6
NM_001131107.1,10
NM_001131108.1,5
NM_001131109.2,12
NM_001131110.1,10
NM_001131111.1,12
NM_001131112.1,8
NM_001131113.2,10
NM_001131114.1,3
NM_001131115.1,5
NM_001131116.1,5
NM_001131117.1,16
NM_001131120.1,20
NM_001131121.1,8
NM_001131122.2,14
NM_001131123.1,8
NM_001131124.2,3
NM_001131125.1,19
NM_001131126.2,11
NM_001131127.1,14
NM_001131128.2,4
NM_001131129.1,7
NM_001131130.2,11
NM_001131131.2,8
NM_001131132.2,18
NM_001131133.1,5
NM_001131134.1,13
NM_001131135.1,7
NM_001131136.2,16
NM_001131137.1,7
NM_001131139.1,8
NM_001131140.1,12
NM_001131141.1,5
NM_001131142.1,13
NM_001131143.2,3
NM_001131144.2,13
NM_001131145.1,17
NM_001131146.2,5
NM_001131147.1,13
NM_001131148.1,7
NM_001131150.1,12
NM_001131151.1,6
NM_001131152.2,12
NM_001131153.2,8
NM_001131154.2,3
NM_001131155.1,7
NM_001131156.2,12
NM_001131157.2,8
NM_001131158.2,8
NM_001131159.2,2
NM_001131160.1,2
NM_001131161.2,2
NM_001131162.1,7
NM_001131163.2,12
NM_001131164.2,7
NM_001131165.1,8
NM_001131166.2,30
NM_001131167.2,3
NM_001131168.2,3
NM_001131170.1,10
NM_001131171.1,6
NM_001131172.1,7
NM_001131173.1,5
NM_001131174.2,3
NM_001131175.1,11
NM_001131176.1,13
NM_001131177.2,8
NM_001131178.2,4
NM_001131179.1,12
NM_001131180.1,15
NM_001131181.1,6
NM_001131182.1,22
NM_001131183.1,8
NM_001131184.1,13
NM_001131185.2,6
NM_001131186.2,14
NM_001131187.1,9
NM_001131188.1,6
NM_001131189.2,11
NM_001131190.2,17
NM_001131191.1,4
NM_001131193.2,10
NM_001131194.2,13
NM_001131195.1,4
NM_001131196.2,9
NM_001131197.1,10
NM_001131198.1,10
NM_001131199.1,8
NM_001131200.1,18
NM_001131201.2,15
NM_001131202.2,5
NM_001131203.2,6
NM_001131204.2,11
NM_001131205.2,14
NM_001131206.1,11
NM_001131207.1,15
NM_001131208.1,12
NM_001131209.1,8
NM_001131210.1,10
NM_001131211.1,10
NM_001131212.2,8
NM_001131213.1,11
NM_001131214.1,12
NM_001131215.2,12
NM_001131216.1,4
NM_001131217.1,11
NM_001131218.1,9
NM_001131219.1,6
NM_001131220.1,7
NM_001131221.1,10
NM_001131222.1,24
NM_001131223.2,6
NM_001131224.1,16
NM_001131225.2,5
NM_001131226.2,7
NM_001131227.2,6
NM_001131228.1,18
NM_001131229.1,3
NM_001131230.2,3
NM_001131231.1,6
NM_001131232.1,23
NM_001131233.1,5
NM_001131234.1,16
NM_001131235.2,5
NM_001131236.2,7
NM_001131237.2,11
NM_001131238.1,14
NM_001131239.1,3
NM_001131240.1,5
NM_001131241.2,8
NM_001131242.1,5
NM_001131243.1,11
NM_001131244.1,15
NM_001131245.1,13
NM_001131246.1,5
NM_001131247.1,9
NM_001131249.1,5
NM_001131250.1,11
NM_001131251.1,12
NM_001131253.1,11
NM_001131254.1,8
NM_001131255.1,6
NM_001131256.2,8
NM_001131257.2,11
NM_001131258.1,5
NM_001131259.1,10
NM_001131260.1,9
NM_001131261.1,7
NM_001131262.2,2
NM_001131263.1,10
NM_001131265.1,20
NM_001131266.2,14
NM_001131267.2,13
NM_001131268.2,7
NM_001131269.2,5
NM_001131270.2,14
NM_001131271.2,14
NM_001131272.1,7
NM_001131274.1,4
NM_001131275.1,13
NM_001131276.2,12
NM_001131278.1,6
NM_001131279.1,13
NM_001131280.1,3
NM_001131281.2,8
NM_001131282.2,10
NM_001131283.1,5
NM_001131284.1,3
NM_001131285.1,5
NM_001131286.1,10
NM_001131287.2,12
NM_001131288.1,17
NM_001131289.1,5
NM_001131290.1,20
NM_001131291.1,15
NM_001131292.1,4
NM_001131293.1,29
NM_001131294.1,11
NM_001131295.1,7
NM_001131296.1,26
NM_001131297.1,2
NM_001131298.1,13
NM_001131299.1,9
NM_001131300.1,14
NM_001131301.1,5
NM_001131302.1,14
NM_001131304.1,2
NM_001131305.1,9
NM_001131306.1,2
NM_001131307.1,5
NM_001131308.1,8
NM_001131309.1,10
NM_001131310.1,12
NM_001131311.1,11
NM_001131312.1,13
NM_001131313.1,10
NM_001131314.1,4
NM_001131315.1,17
NM_001131316.1,5
NM_001131317.1,4
NM_001131319.1,10
NM_001131320.1,3
NM_001131321.2,10
NM_001131322.1,17
NM_001131323.1,4
NM_001131325.1,9
NM_001131326.1,12
NM_001131327.1,14
NM_001131328.1,8
NM_001131329.2,3
NM_001131330.2,19
NM_001131331.1,9
NM_001131332.1,12
NM_001131333.1,14
NM_001131334.1,3
NM_001131335.1,3
NM_001131336.1,11
NM_001131337.1,9
NM_001131338.1,7
NM_001131339.1,5
NM_001131340.1,10
NM_001131341.1,4
NM_001131342.1,4
NM_001131343.1,6
NM_001131344.1,7
NM_001131345.1,8
NM_001131346.1,12
NM_001131347.1,3
NM_001131348.1,9
NM_001131349.1,19
NM_001131350.1,9
NM_001131351.1,9
NM_001131352.1,10
NM_001131353.1,10
NM_001131354.1,13
NM_001131355.1,11
NM_001131356.1,11
NM_001131358.1,5
NM_001131359.1,11
NM_001131360.1,9
NM_001131361.1,5
NM_001131362.2,5
NM_001131363.1,9
NM_001131364.1,9
NM_001131365.1,4
NM_001131366.1,3
NM_001131367.1,12
NM_001131368.1,2
NM_001131369.1,8
NM_001131370.1,8
NM_001131371.1,6
NM_001131372.1,2
NM_001131374.1,21
NM_001131376.1,4
NM_001131377.1,3
NM_001131378.1,2
NM_001131379.1,13
NM_001131380.1,15
NM_001131381.1,11
NM_001131382.1,18
NM_001131383.1,24
NM_001131384.1,6
NM_001131385.1,4
NM_001131386.1,19
NM_001131387.1,16
NM_001131388.1,16
NM_001131389.1,27
NM_001131390.1,38
NM_001131391.1,6
NM_001131392.1,11
NM_001131394.1,11
NM_001131395.1,13
NM_001131396.1,5
NM_001131397.1,5
NM_001131398.1,13
NM_001131399.1,19
NM_001131400.1,16
NM_001131401.1,3
NM_001131402.1,7
NM_001131403.1,8
NM_001131404.1,2
NM_001131405.1,4
NM_001131406.1,6
NM_001131407.1,12
NM_001131408.1,9
NM_001131409.1,16
NM_001131410.1,14
NM_001131411.1,2
NM_001131412.1,16
NM_001131413.1,11
NM_001131414.1,6
NM_001131415.1,6
NM_001131416.1,10
NM_001131417.1,4
NM_001131418.1,8
NM_001131419.1,13
NM_001131420.1,4
NM_001131421.1,4
NM_001131422.1,4
NM_001131423.1,15
NM_001131424.1,10
NM_001131425.1,2
NM_001131426.1,9
NM_001131427.1,8
NM_001131428.1,19
NM_001131429.1,22
NM_001131430.1,14
NM_001131431.1,11
NM_001131432.1,6
NM_001131433.2,10
NM_001131434.1,18
NM_001131435.1,19
NM_001131436.1,10
NM_001131437.1,30
NM_001131438.1,1
NM_001131439.1,8
NM_001131440.1,18
NM_001131441.1,15
NM_001131442.1,15
NM_001131443.1,6
NM_001131444.1,9
NM_001131445.1,17
NM_001131446.1,3
NM_001131447.1,6
