transcript_id,num_exon
ArthCr086,1
ArthCr087,1
ArthCr088,1
ArthCr089,1
ArthCr090,1
ArthCr091,1
ArthCt088,1
ArthCt089,2
ArthCt090,1
ArthCt091,1
ArthCt092,2
ArthCt093,1
ArthCt094,1
ArthCt095,1
ArthCt096,1
ArthCt097,1
ArthCt098,1
ArthCt099,1
ArthCt100,1
ArthCt101,2
ArthCt102,1
ArthCt103,2
ArthCt104,1
ArthCt105,1
ArthCt106,1
ArthCt107,2
ArthCt108,2
ArthCt109,1
ArthCt110,1
ArthCt111,1
ArthCt112,1
ArthCt113,1
ArthCt114,2
ArthCt115,1
ArthCt116,1
ArthCt117,1
ArthCt118,1
ArthCt124,2
ArthCt125,1
ArthCt126,1
ArthCt127,1
Arthct120,1
Arthct121,1
Arthct122,1
DA397_mgp09,1
DA397_mgp11,1
DA397_mgp11_1,1
DA397_mgp11_2,1
DA397_mgp19,1
DA397_mgp19_1,1
DA397_mgp20,1
DA397_mgp21,1
DA397_mgp22,1
DA397_mgp24,1
DA397_mgp28,1
DA397_mgp29,1
DA397_mgp30,1
DA397_mgp33,1
DA397_mgp36,1
DA397_mgp37,1
DA397_mgp40,1
DA397_mgp40_1,1
DA397_mgr01,1
DA397_mgr01_1,1
DA397_mgr02,1
DA397_mgr02_1,1
DA397_mgr03,1
DA397_mgr03_1,1
DA397_mgt01,1
DA397_mgt02,1
DA397_mgt02_1,1
DA397_mgt03,1
DA397_mgt03_1,1
DA397_mgt04,1
DA397_mgt04_1,1
DA397_mgt05,1
DA397_mgt05_1,1
DA397_mgt06,1
DA397_mgt07,1
DA397_mgt08,1
DA397_mgt09,1
DA397_mgt09_1,1
DA397_mgt10,1
DA397_mgt11,1
DA397_mgt12,1
DA397_mgt12_1,1
DA397_mgt13,1
DA397_mgt13_1,1
DA397_mgt14,1
DA397_mgt14_1,1
DA397_mgt15,1
DA397_mgt16,1
DA397_mgt17,1
DA397_mgt17_1,1
DA397_mgt18,1
DA397_mgt18_1,1
DA397_mgt19,1
DA397_mgt20,1
DA397_mgt20_1,1
DA397_mgt21,1
DA397_mgt21_1,1
DA397_mgt22,1
NM_001035536.3,10
NM_001035537.3,31
NM_001035538.2,1
NM_001035539.1,2
NM_001035540.3,1
NM_001035542.1,10
NM_001035543.1,8
NM_001035544.2,2
NM_001035546.1,10
NM_001035547.2,7
NM_001035548.1,4
NM_001035549.1,12
NM_001035550.1,8
NM_001035551.2,5
NM_001035552.2,7
NM_001035553.2,2
NM_001035554.2,4
NM_001035555.2,2
NM_001035557.2,2
NM_001035558.1,13
NM_001035559.1,2
NM_001035560.1,7
NM_001035561.1,2
NM_001035562.1,2
NM_001035563.2,19
NM_001035564.2,6
NM_001035565.3,3
NM_001035566.2,19
NM_001035568.3,2
NM_001035569.2,1
NM_001035570.1,3
NM_001035572.1,2
NM_001035573.2,2
NM_001035574.2,3
NM_001035575.2,2
NM_001035576.2,2
NM_001035577.1,4
NM_001035578.2,10
NM_001035579.1,3
NM_001035580.1,6
NM_001035581.3,7
NM_001035582.1,6
NM_001035583.1,10
NM_001035584.2,1
NM_001035585.4,9
NM_001035586.1,2
NM_001035587.3,10
NM_001035588.3,6
NM_001035589.3,9
NM_001035590.2,2
NM_001035591.2,4
NM_001035592.2,13
NM_001035593.2,6
NM_001035594.1,9
NM_001035595.1,12
NM_001035596.3,9
NM_001035598.1,4
NM_001035600.3,9
NM_001035601.1,9
NM_001035602.3,1
NM_001035603.1,8
NM_001035604.2,3
NM_001035605.2,4
NM_001035606.4,3
NM_001035608.2,2
NM_001035609.1,2
NM_001035610.2,1
NM_001035611.2,9
NM_001035612.1,9
NM_001035613.1,9
NM_001035614.2,3
NM_001035615.2,3
NM_001035617.1,12
NM_001035618.2,7
NM_001035619.2,3
NM_001035620.2,2
NM_001035621.1,8
NM_001035622.2,3
NM_001035623.1,4
NM_001035624.3,2
NM_001035625.2,3
NM_001035626.2,13
NM_001035627.3,7
NM_001035628.1,5
NM_001035629.1,8
NM_001035630.1,8
NM_001035631.2,26
NM_001035632.1,3
NM_001035633.1,5
NM_001035634.3,4
NM_001035637.1,4
NM_001035638.3,2
NM_001035639.2,10
NM_001035640.3,2
NM_001035641.2,3
NM_001035642.2,1
NM_001035643.1,9
NM_001035644.2,6
NM_001035645.3,5
NM_001035646.2,8
NM_001035647.3,4
NM_001035648.1,11
NM_001035649.4,7
NM_001035650.3,2
NM_001035651.2,5
NM_001035652.4,5
NM_001035653.2,3
NM_001035654.2,16
NM_001035655.3,3
NM_001035656.1,7
NM_001035657.2,5
NM_001035658.1,6
NM_001035659.2,2
NM_001035660.1,2
NM_001035661.3,9
NM_001035662.2,13
NM_001035664.1,5
NM_001035665.1,6
NM_001035666.2,3
NM_001035667.1,6
NM_001035668.1,2
NM_001035669.1,2
NM_001035670.1,2
NM_001035671.1,10
NM_001035672.2,7
NM_001035673.2,14
NM_001035674.1,2
NM_001035675.2,2
NM_001035676.1,4
NM_001035677.2,1
NM_001035678.2,1
NM_001035679.2,17
NM_001035680.1,20
NM_001035681.2,9
NM_001035682.2,2
NM_001035683.1,2
NM_001035684.3,3
NM_001035685.1,3
NM_001035686.2,2
NM_001035687.1,4
NM_001035688.1,8
NM_001035689.2,16
NM_001035690.1,17
NM_001035691.4,1
NM_001035692.1,12
NM_001035693.2,4
NM_001035694.3,14
NM_001035697.2,5
NM_001035699.2,5
NM_001035700.1,7
NM_001035701.2,11
NM_001035702.3,3
NM_001035703.3,17
NM_001035704.2,3
NM_001035705.2,4
NM_001035706.2,2
NM_001035707.3,3
NM_001035708.1,2
NM_001035709.1,2
NM_001035711.3,6
NM_001035712.1,2
NM_001035713.4,6
NM_001035714.2,10
NM_001035715.1,2
NM_001035717.2,3
NM_001035718.1,7
NM_001035719.2,3
NM_001035720.1,2
NM_001035721.2,2
NM_001035723.3,2
NM_001035724.2,2
NM_001035725.2,2
NM_001035726.2,3
NM_001035727.2,2
NM_001035729.4,9
NM_001035730.4,1
NM_001035731.2,25
NM_001035733.2,2
NM_001035734.2,12
NM_001035735.1,8
NM_001035736.2,1
NM_001035737.2,20
NM_001035738.3,3
NM_001035739.2,2
NM_001035740.3,9
NM_001035741.2,9
NM_001035742.3,9
NM_001035743.2,10
NM_001035744.2,10
NM_001035745.2,10
NM_001035746.2,2
NM_001035747.2,9
NM_001035748.2,2
NM_001035749.3,3
NM_001035750.2,11
NM_001035751.2,6
NM_001035752.1,4
NM_001035753.3,2
NM_001035754.1,5
NM_001035755.2,10
NM_001035756.2,11
NM_001035757.6,13
NM_001035758.3,5
NM_001035759.1,2
NM_001035760.2,1
NM_001035761.1,4
NM_001035762.6,5
NM_001035763.2,9
NM_001035764.1,5
NM_001035765.2,12
NM_001035766.2,11
NM_001035767.2,11
NM_001035768.1,5
NM_001035769.3,8
NM_001035770.2,4
NM_001035771.1,15
NM_001035772.3,8
NM_001035773.2,15
NM_001035774.1,5
NM_001035775.2,3
NM_001035776.1,14
NM_001035777.2,4
NM_001035778.3,4
NM_001035779.2,6
NM_001035780.3,7
NM_001035781.1,17
NM_001035783.3,6
NM_001035784.2,3
NM_001035785.2,16
NM_001035786.3,5
NM_001035787.3,14
NM_001035788.3,6
NM_001035789.1,1
NM_001035791.1,6
NM_001035793.2,6
NM_001035794.1,8
NM_001035795.1,9
NM_001035796.1,8
NM_001035797.1,2
NM_001035798.2,3
NM_001035799.2,3
NM_001035800.1,11
NM_001035801.1,2
NM_001035802.1,2
NM_001035803.1,2
NM_001035805.2,11
NM_001035806.2,5
NM_001035807.1,7
NM_001035808.1,2
NM_001035809.1,3
NM_001035810.1,5
NM_001035811.2,22
NM_001035812.2,5
NM_001035813.2,6
NM_001035814.1,2
NM_001035815.1,13
NM_001035816.1,7
NM_001035818.3,6
NM_001035819.1,13
NM_001035820.3,15
NM_001035821.1,12
NM_001035822.2,11
NM_001035823.2,9
NM_001035824.3,4
NM_001035825.2,14
NM_001035826.1,7
NM_001035827.1,7
NM_001035828.2,7
NM_001035830.3,1
NM_001035831.2,12
NM_001035832.2,2
NM_001035833.1,2
NM_001035834.2,2
NM_001035835.5,2
NM_001035837.1,9
NM_001035838.2,2
NM_001035839.1,12
NM_001035840.2,2
NM_001035841.4,3
NM_001035844.1,8
NM_001035845.2,9
NM_001035846.2,8
NM_001035847.1,10
NM_001035848.1,4
NM_001035849.2,3
NM_001035850.3,9
NM_001035851.2,4
NM_001035852.3,2
NM_001035853.1,13
NM_001035855.1,7
NM_001035856.3,16
NM_001035857.2,3
NM_001035859.3,6
NM_001035860.1,5
NM_001035861.2,13
NM_001035862.2,10
NM_001035863.1,10
NM_001035864.1,10
NM_001035865.2,6
NM_001035866.2,3
NM_001035867.3,9
NM_001035868.2,12
NM_001035869.3,3
NM_001035870.4,3
NM_001035871.1,5
NM_001035872.3,3
NM_001035873.5,6
NM_001035874.1,3
NM_001035875.2,2
NM_001035876.2,3
NM_001035877.2,28
NM_001035878.2,10
NM_001035879.1,4
NM_001035880.3,11
NM_001035881.1,18
NM_001035882.1,3
NM_001035883.2,1
NM_001035884.2,1
NM_001035886.3,7
NM_001035887.1,9
