gene_id,num_transcript,num_exon,num_uniq_exon
,1,24,24
ABCB10,1,4,4
ACSM5,1,16,16
APLN,1,3,3
ARL4A,3,6,5
ASCL4,1,2,2
ASF1A,1,3,3
ATAD3A,1,2,2
BAALC,1,3,3
BAG2,1,3,3
BASP1,1,1,1
BBIP1,1,3,3
BDKRB1,2,5,5
BLCAP,2,5,5
BMP15,1,1,1
C13H1orf210,3,11,6
C16H10orf113,1,5,5
C18H10orf105,1,4,4
C18H10orf131,1,9,9
C19H17orf78,1,7,7
C1H11orf42,2,6,4
C2H2orf15,8,28,11
C3H5orf58,6,29,13
C5H19orf33,1,4,4
CDC42SE2,3,18,9
CDIP1,2,12,8
CDK5R2,1,3,3
CEP19,3,8,6
CHAC2,1,3,3
CHKA,1,3,3
CLCF1,2,6,4
CLCN7,1,1,1
CLEC3B,1,2,2
CMC4,4,12,6
COMMD6,3,10,6
CPLX1,1,3,3
CPLX2,1,5,5
CPNE1,11,139,26
CRCT1,1,2,2
CSRP2,3,11,10
CSTA,2,6,6
CTXN1,1,1,1
CXCR6,3,6,4
CYS1,1,2,2
CYSTM1,1,2,2
DACT3,1,1,1
ELN,1,17,17
ENHO,1,2,2
FOXD3,1,4,4
FOXE3,1,2,2
FOXO6,1,2,2
G0S2,1,2,2
GABARAPL2,3,9,8
GADD45GIP1,1,1,1
GGACT,4,12,6
GNB1L,1,8,8
GNG2,4,14,8
GNG3,2,6,5
GNG5,1,3,3
GYPA,1,9,9
HIF3A,1,4,4
HMGA1,1,5,5
HOXD9,1,1,1
HRK,1,2,2
HSPA6,1,11,11
HYLS1,4,16,5
INAFM2,1,3,3
IRX3,1,3,3
KAP6.1.1,1,1,1
KIAA0040,2,5,4
KIAA0101,2,5,5
KIF1A,1,5,5
KRTAP6-1,1,1,1
LACRT,2,9,6
LAMTOR1,1,5,5
LECT2,1,4,4
LENG1,2,9,7
LOC100125980,1,3,3
LOC100337833,1,1,1
LOC100337919,1,1,1
LOC100337939,1,4,4
LOC100338086,1,1,1
LOC100338342,1,1,1
LOC100338350,1,1,1
LOC100338481,1,1,1
LOC100338513,1,1,1
LOC100338592,1,2,2
LOC100338675,2,6,4
LOC100338767,1,2,2
LOC100338859,1,2,2
LOC100339055,7,26,12
