transcript_id,num_exon
XM_019151794.1,3
XM_019151815.1,1
XM_019151904.1,2
XM_019151942.1,3
XM_019151980.1,1
XM_019151981.1,1
XM_019152030.1,2
XM_019152090.1,1
XM_019152100.1,2
XM_019152104.1,2
XM_019152152.1,1
XM_019152167.1,1
XM_019152175.1,1
XM_019152176.1,1
XM_019152231.1,3
XM_019152270.1,3
XM_019152277.1,2
XM_019152285.1,1
XM_019152334.1,2
XM_019152353.1,1
XM_019152362.1,1
XM_019152409.1,7
XM_019152437.1,2
XM_019152443.1,2
XM_019152520.1,2
XM_019152523.1,2
XM_019152533.1,2
XM_019152570.1,5
XM_019152572.1,5
XM_019152578.1,3
XM_019152580.1,6
XM_019152588.1,1
XM_019152593.1,3
XM_019152595.1,2
XM_019152601.1,4
XM_019152602.1,1
XM_019152613.1,2
XM_019152630.1,1
XM_019152639.1,2
XM_019152658.1,1
XM_019152669.1,3
XM_019152670.1,1
XM_019152711.1,2
XM_019152731.1,4
XM_019152742.1,2
XM_019152887.1,2
XM_019152893.1,7
XM_019152898.1,1
XM_019152908.1,2
XM_019152941.1,1
XM_019152942.1,1
XM_019152968.1,1
XM_019152979.1,2
XM_019152980.1,1
XM_019152993.1,2
XM_019152999.1,3
XM_019153004.1,2
XM_019153018.1,3
XM_019153041.1,2
XM_019153070.1,3
XM_019153080.1,2
XM_019153097.1,1
XM_019153098.1,1
XM_019153100.1,1
XM_019153118.1,1
XM_019153119.1,1
XM_019153130.1,2
XM_019153131.1,2
XM_019153135.1,2
XM_019153145.1,2
XM_019153149.1,2
XM_019153150.1,1
XM_019153157.1,1
XM_019153160.1,1
XM_019153161.1,1
XM_019153162.1,1
XM_019153163.1,2
XM_019153164.1,3
XM_019153221.1,2
XM_019153229.1,1
XM_019153293.1,5
XM_019153311.1,1
XM_019153314.1,1
XM_019153346.1,1
XM_019153373.1,3
XM_019153384.1,5
XM_019153425.1,2
XM_019153453.1,2
XM_019153500.1,3
XM_019153544.1,1
XM_019153581.1,1
XM_019153582.1,1
XM_019153594.1,4
XM_019153595.1,3
XM_019153601.1,2
XM_019153646.1,2
XM_019153647.1,1
XM_019153650.1,2
XM_019153672.1,2
XM_019153759.1,4
XM_019153764.1,2
XM_019153769.1,1
XM_019153775.1,1
XM_019153777.1,3
XM_019153783.1,3
XM_019153784.1,1
XM_019153818.1,2
XM_019153841.1,2
XM_019153843.1,1
XM_019153848.1,3
XM_019153852.1,2
XM_019153871.1,1
XM_019153872.1,1
XM_019153880.1,4
XM_019153881.1,3
XM_019153891.1,2
XM_019153893.1,2
XM_019153894.1,1
XM_019153919.1,3
XM_019153930.1,2
XM_019153951.1,2
XM_019153952.1,2
XM_019153971.1,2
XM_019154031.1,3
XM_019154032.1,3
XM_019154040.1,1
XM_019154061.1,2
XM_019154080.1,2
XM_019154134.1,1
XM_019154143.1,2
XM_019154144.1,1
XM_019154149.1,1
XM_019154174.1,1
XM_019154227.1,2
XM_019154243.1,1
XM_019154289.1,1
XM_019154290.1,1
XM_019154346.1,1
XM_019154360.1,2
XM_019154385.1,1
XM_019154387.1,2
XM_019154391.1,1
XM_019154395.1,1
XM_019154409.1,3
XM_019154412.1,1
XM_019154440.1,2
XM_019154528.1,2
XM_019154529.1,2
XM_019154535.1,6
XM_019154551.1,2
XM_019154556.1,5
XM_019154557.1,3
XM_019154571.1,3
XM_019154575.1,5
XM_019154584.1,1
XM_019154602.1,6
XM_019154798.1,1
XM_019154810.1,1
XM_019154838.1,3
XM_019154896.1,1
XM_019154897.1,1
XM_019154906.1,1
XM_019154907.1,1
XM_019154908.1,1
XM_019154928.1,2
XM_019154932.1,3
XM_019154933.1,2
XM_019154935.1,1
XM_019154995.1,3
XM_019155007.1,1
XM_019155008.1,2
XM_019155009.1,1
XM_019155010.1,2
XM_019155022.1,2
XM_019155023.1,2
XM_019155024.1,2
XM_019155031.1,2
XM_019155058.1,2
XM_019155071.1,2
XM_019155072.1,3
XM_019155099.1,6
XM_019155108.1,3
XM_019155138.1,2
XM_019155148.1,2
XM_019155161.1,5
XM_019155208.1,1
XM_019155226.1,1
XM_019155250.1,2
XM_019155280.1,2
XM_019155331.1,1
XM_019155341.1,3
XM_019155463.1,2
XM_019155465.1,1
XM_019155471.1,3
XM_019155472.1,2
XM_019155547.1,2
XM_019155551.1,2
XM_019155556.1,1
XM_019155562.1,2
XM_019155578.1,1
XM_019155632.1,4
XM_019155637.1,4
XM_019155639.1,2
XM_019155656.1,2
XM_019155660.1,1
XM_019155692.1,3
XM_019155733.1,3
XM_019155748.1,1
XM_019155759.1,2
XM_019155783.1,2
XM_019155784.1,2
XM_019155852.1,2
XM_019155862.1,2
XM_019155863.1,2
XM_019155900.1,1
XM_019155901.1,1
XM_019155908.1,3
XM_019155945.1,2
XM_019156004.1,3
XM_019156034.1,2
XM_019156046.1,1
XM_019156074.1,2
XM_019156100.1,2
XM_019156101.1,2
XM_019156114.1,1
XM_019156155.1,1
XM_019156164.1,5
XM_019156176.1,2
XM_019156189.1,6
XM_019156200.1,2
XM_019156241.1,4
XM_019156252.1,2
XM_019156256.1,3
XM_019156279.1,6
XM_019156285.1,3
XM_019156287.1,1
XM_019156289.1,2
XM_019156343.1,2
XM_019156344.1,2
XM_019156361.1,2
XM_019156367.1,2
XM_019156377.1,2
XM_019156378.1,1
XM_019156392.1,1
XM_019156393.1,1
XM_019156399.1,1
XM_019156400.1,1
XM_019156412.1,1
XM_019156500.1,1
XM_019156504.1,3
XM_019156538.1,1
XM_019156539.1,1
XM_019156553.1,2
XM_019156577.1,4
XM_019156592.1,2
