gene_id,num_transcript,num_exon,num_uniq_exon
ADIRF,1,3,3
ADM2,1,3,3
AGBL3,10,71,20
ANG,1,2,2
ANKRD40CL,1,2,2
ARGLU1,1,4,4
ARTN,1,4,4
ASNSD1,1,3,3
ATP5F1E,1,6,6
AURKC,1,7,7
BASP1,1,3,3
BEND5,6,39,14
BMPR1B,4,8,5
BRD3OS,1,2,2
C1QTNF8,1,6,6
CCDC192,1,2,2
CCDC194,1,2,2
CCNA2,2,18,11
CD177,1,9,9
CD302,1,4,4
CD99,1,14,14
CDC42SE1,1,6,6
CDK2AP1,3,11,7
CDKN2AIPNL,1,3,3
CHST13,1,5,5
CHST9,1,1,1
CLDN12,2,5,3
COMMD3,2,15,8
CPLX1,1,4,4
CPLX2,1,4,4
CRCT1,1,2,2
CSRP3,2,13,8
CTU1,1,2,2
CTXN1,1,1,1
CTXND1,5,22,7
CUNH10orf105,3,6,4
CUNH10orf143,4,20,11
CUNH10orf71,1,2,2
CUNH10orf99,1,4,4
CUNH11orf87,1,2,2
CUNH13orf42,1,4,4
CUNH17orf113,1,3,3
CUNH19orf18,1,6,6
CUNH1orf232,1,5,5
CUNH1orf74,3,7,6
CUNH2orf15,1,2,2
CUNH3orf49,1,5,5
CUNH4orf3,1,1,1
CUNH5orf56,1,5,5
CXCL11,1,4,4
CYSTM1,1,2,2
DCLRE1A,1,2,2
DEFB108B,1,2,2
DEFB114,1,2,2
DEFB115,1,3,3
DEFB124,1,2,2
DEFB133,1,2,2
DIO1,2,7,5
DIP2C,1,38,38
DPM2,2,6,6
DUXB,1,2,2
DYDC2,1,7,7
EEF1D,1,3,3
EFCC1,1,8,8
EID3,1,1,1
EIF4EBP3,1,3,3
ENHO,1,2,2
ERI2,1,9,9
EXOC1L,1,3,3
FAM111B,1,4,4
FAM122A,1,1,1
FAM3B,6,47,15
FAM71C,1,5,5
FRAS1,1,74,74
FRMD3,1,3,3
G0S2,1,2,2
GNG3,1,3,3
GNG7,2,6,4
GPR21,1,2,2
GPR62,1,3,3
GPR65,8,32,11
GZMK,1,5,5
HILPDA,1,2,2
HMGA1,2,10,7
HNRNPUL2,1,13,13
HOXA5,1,3,3
HSPB2,1,2,2
HTD2,1,1,1
HYLS1,4,14,7
KCNJ13,2,6,5
KIAA0040,1,3,3
KLF2,1,2,2
KLLN,1,3,3
LACRT,2,12,8
LBHD1,1,2,2
LBHD2,1,4,4
LCE6A,1,1,1
LHX6,4,34,13
LMLN2,1,14,14
LOC102467676,2,6,4
LOC102467678,1,3,3
LOC102467728,1,3,3
LOC102467733,1,3,3
LOC102467743,2,6,4
LOC102467746,1,2,2
LOC102467748,1,4,4
LOC102467754,1,1,1
LOC102467771,4,50,14
LOC102467772,1,3,3
LOC102467781,1,3,3
LOC102467802,2,7,4
LOC102467821,1,4,4
LOC102467842,1,2,2
LOC102467874,1,5,5
LOC102467878,1,3,3
LOC102467880,1,5,5
LOC102467885,1,3,3
LOC102467912,3,20,9
LOC102467946,1,3,3
LOC102467950,1,4,4
LOC102467960,1,4,4
LOC102467994,1,3,3
LOC102467998,1,4,4
LOC102468022,1,3,3
LOC102468064,3,15,7
LOC102468075,2,5,4
LOC102468144,1,3,3
LOC102468153,1,3,3
LOC102468166,1,3,3
LOC102468167,2,6,5
LOC102468181,1,3,3
LOC102468182,2,6,4
LOC102468194,1,3,3
LOC102468202,1,5,5
LOC102468208,1,3,3
LOC102468238,1,4,4
LOC102468258,1,1,1
LOC102468265,3,11,6
LOC102468297,1,3,3
LOC102468308,1,2,2
LOC102468358,1,3,3
LOC102468375,1,4,4
LOC102468377,8,43,12
LOC102468380,1,3,3
LOC102468400,1,3,3
LOC102468412,2,11,7
LOC102468431,1,3,3
LOC102468434,1,2,2
LOC102468451,2,4,3
LOC102468487,1,3,3
LOC102468506,1,3,3
LOC102468532,2,9,5
LOC102468540,2,6,4
LOC102468554,1,3,3
LOC102468568,1,3,3
LOC102468570,1,3,3
LOC102468586,1,3,3
LOC102468587,1,3,3
LOC102468596,1,3,3
LOC102468605,1,3,3
LOC102468611,2,8,5
LOC102468613,1,3,3
LOC102468627,1,3,3
LOC102468628,1,2,2
LOC102468637,1,1,1
LOC102468645,1,3,3
LOC102468662,1,3,3
LOC102468669,1,5,5
LOC102468677,1,2,2
LOC102468714,1,3,3
LOC102468717,1,3,3
LOC102468723,1,3,3
LOC102468732,1,3,3
LOC102468758,1,2,2
LOC102468769,6,21,9
LOC102468775,1,5,5
LOC102468806,3,19,10
LOC102468807,5,25,11
LOC102468820,1,3,3
LOC102468834,1,3,3
LOC102468859,1,4,4
LOC102468886,1,3,3
LOC102468950,2,7,4
LOC102468967,1,1,1
LOC102468977,1,3,3
LOC102469007,3,9,5
LOC102469012,1,3,3
LOC102469025,2,15,8
LOC102469033,1,3,3
LOC102469049,1,1,1
LOC102469069,1,3,3
LOC102469097,5,25,9
LOC102469127,1,4,4
LOC102469129,1,3,3
LOC102469141,1,3,3
LOC102469144,1,3,3
LOC102469153,1,3,3
LOC102469168,1,13,13
LOC102469171,1,5,5
LOC102469195,1,3,3
LOC102469200,2,6,4
LOC102469216,1,2,2
LOC102469217,1,3,3
LOC102469230,1,4,4
LOC102469236,1,3,3
LOC102469248,1,3,3
LOC102469252,1,3,3
LOC102469261,1,3,3
LOC102469262,1,1,1
LOC102469277,1,3,3
LOC102469283,1,3,3
LOC102469294,1,4,4
LOC102469295,1,3,3
LOC102469309,2,6,4
LOC102469334,2,6,4
LOC102469338,1,3,3
LOC102469351,1,2,2
LOC102469357,3,18,8
LOC102469413,1,3,3
LOC102469422,1,3,3
LOC102469423,1,3,3
LOC102469426,1,3,3
LOC102469436,1,4,4
LOC102469457,1,3,3
LOC102469466,1,1,1
LOC102469497,1,3,3
LOC102469521,1,3,3
LOC102469524,5,20,9
LOC102469525,1,3,3
LOC102469535,1,3,3
LOC102469539,1,6,6
LOC102469558,1,3,3
LOC102469615,1,3,3
LOC102469624,1,3,3
LOC102469626,2,23,12
LOC102469653,1,3,3
LOC102469662,1,3,3
LOC102469689,1,3,3
LOC102469695,2,7,4
LOC102469715,2,7,4
LOC102469716,1,2,2
LOC102469754,1,3,3
LOC102469764,1,3,3
LOC102469785,2,12,7
LOC102469818,1,3,3
LOC102469824,2,6,4
LOC102469837,2,8,5
LOC102469845,1,3,3
LOC102469848,1,5,5
LOC102469849,1,2,2
LOC102469880,1,3,3
LOC102469881,2,9,6
LOC102469887,2,9,5
LOC102469896,1,4,4
LOC102469899,2,7,5
LOC102469905,4,13,7
LOC102469915,1,3,3
LOC102469931,3,9,5
LOC102469936,1,4,4
LOC102469942,1,3,3
LOC102469950,1,4,4
LOC102469963,1,2,2
LOC102469966,2,6,4
LOC102470011,1,4,4
LOC102470014,1,3,3
LOC102470032,1,3,3
LOC102470060,1,4,4
LOC102470075,2,3,3
LOC102470091,2,8,6
LOC102470100,2,7,4
LOC102470113,1,3,3
LOC102470114,1,3,3
LOC102470159,1,3,3
LOC102470185,1,4,4
LOC102470187,3,9,5
LOC102470189,1,4,4
LOC102470208,1,3,3
LOC102470221,1,3,3
LOC102470230,1,2,2
LOC102470234,1,4,4
LOC102470241,1,3,3
LOC102470243,1,3,3
