gene_id,num_transcript,num_exon,num_uniq_exon
A1BG,2,15,8
A1CF,4,47,18
A2M,1,36,36
A2ML1,5,171,38
A3GALT2,2,7,5
A4GALT,2,7,5
A4GNT,1,2,2
AAAS,4,62,22
AACS,4,71,23
AADACL3,4,19,12
AADAT,8,109,27
AAGAB,5,50,14
AAK1,9,187,26
AAMDC,1,4,4
AAMP,2,22,13
AANAT,3,14,7
AAR2,1,4,4
AARD,1,2,2
AARS1,2,42,22
AARS2,3,63,25
AARSD1,2,24,13
AASDH,20,264,28
AASDHPPT,3,20,9
AASS,1,24,24
AATF,2,23,14
AATK,19,272,35
ABAT,2,32,17
ABCA1,4,200,54
ABCA10,1,35,35
ABCA12,1,54,54
ABCA13,4,235,66
ABCA2,10,485,54
ABCA3,7,238,44
ABCA4,5,237,56
ABCA5,5,196,44
ABCA6,6,232,46
ABCA7,8,380,55
ABCA8,3,106,40
ABCB1,1,29,29
ABCB10,3,40,16
ABCB11,4,110,35
ABCB4,5,126,34
ABCB5,1,27,27
ABCB6,2,37,20
ABCB7,3,48,19
ABCB8,3,46,19
ABCB9,7,77,14
ABCC1,5,158,35
ABCC10,8,169,33
ABCC11,3,91,31
ABCC12,1,41,41
ABCC2,3,92,34
ABCC3,7,224,41
ABCC4,5,154,39
ABCC5,6,150,38
ABCC6,5,150,39
ABCC8,9,345,53
ABCD1,1,10,10
ABCD2,3,29,13
ABCD3,10,227,33
ABCD4,12,202,34
ABCE1,1,18,18
ABCF1,2,50,27
ABCF3,2,42,24
ABCG1,2,30,17
ABCG2,3,49,20
ABCG4,5,77,21
ABCG5,4,51,17
ABCG8,1,13,13
ABHD1,3,26,11
ABHD10,1,5,5
ABHD11,3,17,9
ABHD12,3,40,17
ABHD12B,2,24,14
ABHD13,2,6,6
ABHD14B,6,39,13
ABHD15,1,2,2
ABHD16A,5,94,24
ABHD16B,1,1,1
ABHD17A,1,5,5
ABHD17B,3,13,6
ABHD17C,1,3,3
ABHD18,15,167,25
ABHD2,2,9,7
ABHD3,1,9,9
ABHD4,2,14,8
ABHD5,4,27,13
ABHD6,6,57,19
ABHD8,1,5,5
ABI1,18,183,14
ABI2,44,445,26
ABI3,3,23,11
ABI3BP,31,1880,68
ABITRAM,2,12,7
ABL1,2,22,12
ABL2,8,96,20
ABLIM1,31,695,51
ABLIM2,39,791,31
ABLIM3,7,154,28
ABO,4,26,9
ABR,9,187,35
ABRA,1,2,2
ABRACL,2,6,5
ABRAXAS1,5,43,14
ABRAXAS2,2,18,10
ABTB1,7,84,17
ABTB2,1,17,17
ACAA1,2,24,14
ACAA2,1,10,10
ACACA,8,442,66
ACACB,6,309,62
ACAD10,9,181,31
ACAD11,2,40,21
ACAD8,4,44,16
ACAD9,6,110,24
ACADL,1,11,11
ACADM,8,92,22
ACADS,3,29,13
ACADSB,4,47,17
ACADVL,2,37,21
ACAN,4,72,19
ACAP1,24,686,51
ACAP2,12,297,30
ACAP3,6,142,29
ACAT1,2,24,14
ACAT2,1,9,9
ACBD3,1,8,8
ACBD4,7,73,17
ACBD5,9,120,25
ACBD6,6,65,17
ACCS,6,94,23
ACCSL,2,28,16
ACD,4,50,16
ACE2,1,19,19
ACER1,1,6,6
ACER2,2,11,8
ACER3,5,61,19
ACHE,14,72,21
ACIN1,1,20,20
ACKR1,2,6,5
ACKR2,7,18,11
ACKR3,2,4,3
ACKR4,1,2,2
ACLY,4,114,34
ACMSD,5,50,16
ACO1,1,21,21
ACO2,1,18,18
ACOD1,1,5,5
ACOT11,7,107,24
ACOT12,7,97,20
ACOT13,1,3,3
ACOT4,1,5,5
ACOT6,1,4,4
ACOT7,7,65,15
ACOT8,3,17,8
ACOT9,4,62,19
ACOX1,3,43,18
ACOX2,12,184,31
ACOX3,16,279,37
ACP1,3,18,8
ACP2,1,11,11
ACP3,3,33,15
ACP4,1,11,11
ACP5,5,34,11
ACP6,4,41,15
ACP7,1,13,13
ACR,1,5,5
ACRBP,2,20,11
ACRV1,4,18,8
ACSBG1,4,60,18
ACSBG2,8,116,23
ACSF2,2,33,19
ACSF3,9,92,21
ACSL1,15,314,34
ACSL3,14,223,33
ACSL4,9,142,26
ACSL5,3,64,25
ACSL6,12,249,28
ACSM2B,4,53,16
ACSM3,3,41,17
ACSM4,3,42,16
ACSM6,1,11,11
ACSS1,3,42,17
ACSS2,8,145,29
ACSS3,2,31,18
ACTA1,1,7,7
ACTA2,2,18,10
ACTB,1,6,6
ACTBL2,1,1,1
ACTC1,1,7,7
ACTG1,1,6,6
ACTG2,2,18,11
ACTL10,1,1,1
ACTL6A,4,57,18
ACTL6B,6,86,20
ACTL7A,3,6,5
ACTL7B,1,1,1
ACTL8,1,3,3
ACTL9,1,1,1
ACTN1,5,105,26
ACTN2,2,42,23
ACTN3,1,21,21
ACTN4,8,170,30
ACTR10,2,26,14
ACTR1A,1,11,11
ACTR1B,2,23,13
ACTR2,3,29,12
ACTR3,2,24,14
ACTR3B,3,34,14
ACTR5,2,19,12
ACTR6,2,21,12
ACTR8,2,26,16
ACTRT2,1,1,1
ACTRT3,1,2,2
ACVR1,6,64,17
ACVR1B,4,34,13
ACVR1C,4,37,13
ACVR2A,4,48,18
ACVR2B,1,12,12
ACVRL1,3,30,14
ACY1,3,45,19
ACY3,3,21,10
ACYP1,4,13,8
ACYP2,2,9,5
ADA,7,81,18
ADA2,8,82,21
ADAD1,4,49,19
ADAD2,4,36,14
ADAL,10,117,20
ADAM10,6,92,21
ADAM11,7,181,34
ADAM12,1,23,23
ADAM15,19,404,42
ADAM17,10,186,26
ADAM19,3,65,26
ADAM2,4,89,26
ADAM22,19,595,51
ADAM23,12,275,37
ADAM28,6,135,26
ADAM29,9,59,11
ADAM30,1,1,1
ADAM33,13,282,40
ADAM7,1,22,22
ADAM8,2,46,24
ADAM9,2,43,23
ADAMDEC1,2,28,15
