transcript_id,num_exon
XM_007052815.4,6
XM_007053405.3,1
XM_007053951.3,1
XM_007054341.3,1
XM_007054646.4,9
XM_007055190.4,7
XM_007057353.3,9
XM_007058232.4,2
XM_007059051.4,2
XM_007063618.4,2
XM_007064038.3,1
XM_007065854.3,1
XM_007069846.4,1
XM_007070102.4,7
XM_007070498.3,6
XM_007070570.4,3
XM_007070660.4,2
XM_027817372.3,1
XM_027817405.3,1
XM_027817406.3,2
XM_027817436.3,2
XM_027817437.3,3
XM_027817561.3,10
XM_027817657.3,1
XM_027817712.3,2
XM_027817759.3,2
XM_027817839.3,2
XM_027817860.3,4
XM_027817951.3,2
XM_027817991.2,1
XM_027818002.3,1
XM_027818013.3,2
XM_027818051.3,5
XM_027818073.3,5
XM_027818106.3,9
XM_027818173.3,4
XM_027818178.3,10
XM_027818215.3,4
XM_027818223.1,3
XM_027818260.3,8
XM_027818261.3,8
XM_027818269.2,1
XM_027818280.3,2
XM_027818283.3,4
XM_027818320.3,4
XM_027818342.3,9
XM_027818410.3,3
XM_027818543.3,2
XM_027818601.2,4
XM_027818607.3,4
XM_027818627.3,6
XM_027818629.3,7
XM_027818683.2,2
XM_027818750.3,1
XM_027818866.3,4
XM_027818922.3,5
XM_027818996.3,27
XM_027819018.3,5
XM_027819172.2,2
XM_027819227.3,8
XM_027819237.3,6
XM_027819264.3,3
XM_027819265.3,13
XM_027819268.3,3
XM_027819269.3,3
XM_027819270.3,4
XM_027819282.3,4
XM_027819301.3,2
XM_027819435.3,1
XM_027819463.3,9
XM_027819535.3,2
XM_027819572.3,4
XM_027819574.3,5
XM_027819575.3,3
XM_027819579.3,5
XM_027819663.3,9
XM_027819760.3,5
XM_027819762.3,5
XM_027819784.3,1
XM_027819802.3,6
XM_027819833.3,2
XM_027819885.3,10
XM_027819895.3,6
XM_027819994.3,4
XM_027820021.3,6
XM_027820037.3,7
XM_027820141.3,1
XM_027820279.3,3
XM_027820384.3,5
XM_027820397.3,4
XM_027820398.3,4
XM_027820427.3,5
XM_027820480.3,43
XM_027820532.3,3
XM_027820544.3,5
XM_027820570.3,2
XM_027820596.3,1
XM_027820605.3,4
XM_027820672.3,3
XM_027820716.3,3
XM_027820790.3,6
XM_027820791.3,5
XM_027820893.2,1
XM_027820927.3,1
XM_027820986.2,6
XM_027821009.3,2
XM_027821062.3,2
XM_027821101.3,1
XM_027821191.3,3
XM_027821490.3,1
XM_027821524.3,9
XM_027821535.3,2
XM_027821646.3,3
XM_027821652.3,2
XM_027821661.3,2
XM_027821677.3,12
XM_027821720.3,9
XM_027821725.3,9
XM_027821732.3,9
XM_027821920.3,8
XM_027821932.2,1
XM_027822025.3,2
XM_027822056.3,6
XM_027822114.3,7
XM_027822151.3,1
XM_027822154.3,6
XM_027822170.3,15
XM_027822233.3,20
XM_027822245.3,4
XM_027822405.3,6
XM_027822540.3,1
XM_027822541.2,1
XM_027822579.3,21
XM_027822613.3,3
XM_027822663.3,2
XM_027822794.3,4
XM_027822913.3,5
XM_027823029.3,2
XM_027823038.2,2
XM_027823039.2,1
XM_027823040.3,3
XM_027823052.3,3
XM_027823107.3,5
XM_027823113.3,7
XM_027823274.3,8
XM_027823293.2,1
XM_027823295.3,4
XM_027823303.3,12
XM_027823342.3,1
XM_027823461.3,2
XM_027823481.3,4
XM_027823482.3,4
XM_027823686.3,4
XM_027823735.3,3
XM_027823756.2,6
XM_027823875.3,5
XM_027824051.3,9
XM_027824121.3,3
XM_027824142.3,2
XM_027824206.3,5
XM_027824465.3,8
XM_027824500.3,1
XM_027824563.2,1
XM_027824564.2,3
XM_027824578.2,1
XM_027824620.3,6
XM_027824634.3,4
XM_027824642.2,3
XM_027824645.3,7
XM_027824670.3,4
XM_027824675.3,3
XM_027824706.3,2
XM_027824769.3,1
XM_027824793.3,4
XM_027824817.3,14
XM_027824844.3,1
XM_027824917.3,18
XM_027824943.3,6
XM_027824944.3,6
XM_027824946.3,5
XM_027824980.3,27
XM_027825060.3,8
XM_027825061.3,8
XM_027825100.3,2
XM_027825188.3,5
XM_027825282.3,4
XM_027825423.3,3
XM_027825430.2,8
XM_027825530.3,1
XM_027825638.3,12
XM_027825639.3,13
XM_027825641.3,12
XM_027825807.3,2
XM_027825929.2,12
XM_027825982.3,5
XM_027826088.3,9
XM_027826089.3,9
XM_027826090.3,9
XM_027826091.3,9
XM_027826184.3,6
XM_027826185.2,6
XM_027826197.3,5
XM_027826219.3,2
XM_027826273.3,1
XM_027826280.3,2
XM_027826329.3,7
XM_027826333.3,5
XM_027826354.3,12
XM_027826356.3,11
XM_027826359.3,11
XM_027826393.3,6
XM_027826396.3,7
XM_027826465.3,3
XM_027826488.3,1
XM_027826545.3,4
XM_027826547.3,3
XM_027826639.3,1
XM_027826683.3,5
XM_027826954.3,3
XM_027827016.3,5
XM_027827032.2,1
XM_027827064.2,1
XM_027827069.3,1
XM_027827087.3,4
XM_027827160.2,1
XM_027827218.3,2
XM_027827339.3,14
XM_027827490.3,11
XM_027827500.3,5
XM_027827716.3,20
XM_027827808.3,18
XM_027827872.3,2
XM_027827924.3,6
XM_027828136.3,5
XM_027828187.3,4
XM_027828207.3,2
XM_027828213.3,2
XM_027828348.3,8
XM_027828411.3,1
XM_027828481.3,3
XM_027828501.3,1
XM_027828525.3,4
XM_027828526.3,3
XM_027828565.3,3
XM_027828596.3,4
XM_027828645.3,7
XM_027828677.2,1
XM_027828693.3,5
XM_027828706.3,6
XM_027828740.3,4
XM_027828800.3,1
XM_027828802.3,4
XM_027828841.3,1
XM_027828857.3,2
XM_027828863.3,4
XM_027828914.3,1
XM_027828935.3,23
XM_027828941.3,2
XM_027828955.3,1
XM_027828972.2,4
XM_027829020.2,1
XM_027829032.3,4
XM_027829180.3,6
XM_027829269.3,3
XM_027829272.3,2
XM_027829280.3,1
XM_027829323.3,1
XM_027829332.3,11
XM_027829494.3,3
XM_027829495.3,12
XM_027829569.3,10
XM_027829570.3,4
XM_027829615.3,10
XM_027829703.3,4
XM_027829726.3,3
XM_027829731.2,1
XM_027829732.3,1
XM_027829927.3,5
XM_027829931.3,2
XM_027829961.2,2
XM_027829967.3,5
XM_027829971.3,2
XM_027830061.3,1
XM_027830091.3,4
XM_027830150.3,1
XM_027830162.3,2
XM_027830200.3,5
XM_027830213.3,1
XM_027830245.3,11
XM_027830274.3,1
XM_027830276.3,1
XM_027830296.3,2
XM_027830301.3,3
XM_027830324.3,6
XM_027830327.3,8
XM_027830339.3,1
XM_027830343.2,1
XM_027830409.3,3
XM_027830414.3,2
XM_027830421.3,3
XM_027830460.3,19
XM_027830474.3,7
XM_027830592.3,6
XM_027830611.3,1
XM_027830618.3,3
XM_027830628.3,3
XM_027830634.3,4
XM_027830711.3,4
XM_027830838.3,3
XM_027830875.3,2
XM_027830917.3,5
XM_027830921.3,1
XM_027830934.3,1
XM_027830939.3,2
XM_027830943.3,2
XM_027830944.3,2
XM_027831159.3,3
XM_027831192.3,3
XM_027831230.2,1
XM_027831371.3,4
XM_027831403.2,5
XM_027831412.3,3
XM_027831465.3,5
XM_027831468.2,5
XM_027831473.3,4
XM_027831489.3,9
XM_027831490.3,10
XM_027831491.3,8
XM_027831574.3,5
XM_027831607.2,8
XM_027831609.3,3
XM_027831610.3,3
XM_027831614.3,3
XM_027831616.3,5
XM_027831690.3,1
XM_027831701.3,4
XM_027831734.3,3
XM_027831809.3,3
XM_027831810.3,3
XM_027831814.3,9
XM_027831817.3,3
XM_027831820.3,4
XM_027831924.3,2
XM_027831925.3,3
XM_027831985.3,8
XM_027831999.2,6
XM_027832040.3,4
XM_027832051.2,2
XM_027832052.2,1
XM_027832056.3,2
XM_027832122.3,3
XM_027832128.3,3
XM_027832139.3,10
XM_027832160.3,7
XM_027832161.3,2
XM_027832205.3,2
XM_027832214.2,1
XM_027832226.3,4
XM_027832229.3,2
XM_027832230.3,4
XM_027832234.3,8
XM_027832248.3,7
XM_027832249.3,5
XM_027832270.3,3
XM_027832276.3,6
XM_027832377.2,1
XM_027832411.3,7
XM_027832412.3,7
XM_027832482.3,14
XM_027832528.3,11
XM_027832611.3,4
XM_027832617.3,7
XM_027832619.3,8
XM_027832643.3,3
XM_027832725.3,3
XM_027832726.3,2
XM_027832762.3,3
XM_027832763.2,4
XM_027832784.3,4
XM_027832822.3,3
XM_027832835.3,6
XM_027832887.2,1
XM_027832917.3,10
XM_027832922.3,4
XM_027832927.3,2
XM_027833005.3,4
XM_027833069.3,5
XM_027833083.3,4
XM_027833137.3,2
XM_027833176.3,1
XM_027833197.2,3
XM_027833262.3,2
XM_027833293.3,9
XM_027833326.3,11
XM_027833376.3,5
XM_027833403.3,3
XM_027833505.3,5
XM_027833529.3,2
XM_027833559.2,1
XM_027833574.2,3
XM_027833601.3,9
XM_027833634.3,4
XM_027833663.3,2
XM_027833674.3,4
XM_027833675.3,2
XM_027833738.3,10
XM_027833741.3,10
XM_027833743.3,10
XM_027833750.3,3
XM_027833764.3,2
XM_027833786.3,6
XM_027833796.3,4
XM_027833835.3,22
XM_027833836.3,22
XM_027833983.3,3
XM_027834212.3,8
XM_027834271.3,8
XM_027834317.3,5
XM_027834339.3,5
XM_027834347.3,15
XM_027834359.3,5
XM_027834532.2,1
XM_027834534.2,1
XM_027834535.3,1
XM_027834536.3,1
XM_027834538.2,1
XM_027834574.3,1
XM_027834575.2,1
XM_027834589.3,6
XM_027834611.3,4
XM_027834614.3,2
XM_027834641.3,4
XM_027834655.3,16
XM_027834656.3,16
XM_027834657.3,16
XM_027834658.3,16
XM_027834698.2,6
XM_027834715.3,2
XM_027834718.3,6
XM_027834785.3,1
XM_027834800.3,6
XM_027834801.3,7
XM_027834802.3,6
XM_027834804.3,6
XM_027834805.3,5
XM_027834880.3,4
XM_027834886.3,5
XM_027834898.3,7
XM_037877030.2,1
XM_037877035.2,2
XM_037877039.2,4
XM_037877040.2,5
XM_037877041.2,4
XM_037877043.2,3
XM_037877057.2,2
XM_037877058.2,3
XM_037877065.1,1
XM_037877066.2,1
XM_037877069.2,2
XM_037877070.1,1
XM_037877072.1,2
XM_037877074.2,1
XM_037877077.1,1
XM_037877081.1,1
XM_037877083.2,10
XM_037877085.2,5
XM_037877092.2,3
XM_037877099.2,5
XM_037877109.2,9
XM_037877110.2,9
XM_037877111.2,8
XM_037877117.2,6
XM_037877132.2,14
XM_037877136.1,1
XM_037877143.2,10
XM_037877144.2,13
XM_037877145.2,13
XM_037877150.2,11
XM_037877152.2,10
XM_037877155.1,9
XM_037877165.1,8
XM_037877172.2,8
XM_037877194.2,7
XM_037877195.2,6
XM_037877207.2,2
XM_037877208.2,5
XM_037877210.2,2
XM_037877236.2,6
XM_037877241.2,4
XM_037877245.2,7
XM_037877248.2,9
XM_037877255.2,15
XM_037877273.2,14
XM_037877274.2,14
XM_037877275.2,14
XM_037877276.2,14
XM_037877331.2,9
XM_037877367.2,9
XM_037877388.2,10
XM_037877389.2,13
XM_037877428.2,15
XM_037877429.2,15
XM_037877481.2,2
XM_037877483.2,2
XM_037877484.2,2
XM_037877485.2,2
XM_037877486.2,2
XM_037877514.2,7
XM_037877567.2,4
XM_037877610.2,7
XM_037877678.2,3
XM_037877679.2,3
XM_037877690.2,18
XM_037877711.2,1
XM_037877814.2,3
XM_037877821.2,4
XM_037877825.1,3
XM_037877841.2,7
XM_037877866.1,7
XM_037877896.2,12
XM_037877897.2,11
XM_037877899.2,11
XM_037877907.2,1
XM_037877931.2,10
XM_037877932.2,9
XM_037877933.2,9
XM_037877934.2,9
XM_037877935.2,8
XM_037877981.2,4
XM_037877983.2,1
XM_037877999.2,2
XM_037878001.2,3
XM_037878002.2,3
XM_037878014.2,5
XM_037878015.2,6
XM_037878017.1,4
XM_037878018.2,6
XM_037878019.2,2
XM_037878024.2,14
XM_037878026.2,14
XM_037878079.2,8
XM_037878088.1,1
XM_037878099.2,2
XM_037878100.2,8
XM_037878101.2,3
XM_037878240.2,4
XM_037878271.2,3
XM_037878273.2,3
XM_037878274.2,3
XM_037878275.2,3
XM_037878276.2,3
XM_037878277.2,3
XM_037878307.2,4
XM_037878310.2,4
XM_037878323.2,3
XM_037878363.2,16
XM_037878364.2,16
XM_037878365.2,17
XM_037878366.2,17
XM_037878367.2,17
XM_037878368.2,15
XM_037878370.1,16
XM_037878371.2,16
XM_037878425.2,1
XM_037878426.2,5
XM_037878492.2,2
XM_037878498.2,4
XM_037878499.2,4
XM_037878657.2,10
XM_037878663.2,22
XM_037878671.2,22
XM_037878685.2,23
XM_037878691.2,23
XM_037878700.2,23
XM_037878767.2,5
XM_037878919.2,4
XM_037878928.2,4
XM_037878930.2,2
XM_037878990.2,27
XM_037878993.1,5
XM_037879068.2,6
XM_037879070.2,6
XM_037879071.2,5
XM_037879081.2,8
XM_037879122.2,3
XM_037879124.1,12
XM_037879188.2,9
XM_037879193.2,18
XM_037879196.2,18
XM_037879200.2,17
XM_037879204.2,17
XM_037879207.2,18
XM_037879210.2,18
XM_037879213.2,16
XM_037879216.2,15
XM_037879217.2,15
XM_037879287.2,6
XM_037879330.2,3
XM_037879469.2,3
XM_037879510.2,6
XM_037879511.2,7
XM_037879512.2,6
XM_037879513.2,6
XM_037879514.1,6
XM_037879515.2,4
XM_037879546.2,3
XM_037879701.2,4
XM_037879714.2,5
XM_037879767.1,2
XM_037879769.2,13
XM_037879771.2,12
XM_037879827.2,2
XM_037879865.2,12
XM_037879879.2,1
XM_037879883.2,1
XM_037879898.2,6
XM_037879900.2,7
XM_037879956.2,1
XM_037880003.2,30
XM_037880008.2,68
XM_037880031.2,6
XM_037880126.2,4
XM_037880179.2,12
XM_037880181.2,14
XM_037880264.2,1
XM_037880440.2,4
XM_037880487.2,3
XM_037880510.2,3
XM_037880512.2,9
XM_037880559.2,9
XM_037880560.2,9
XM_037880561.2,10
XM_037880565.2,3
XM_037880622.2,3
XM_037880625.2,3
XM_037880651.2,2
XM_037880652.2,2
XM_037880679.2,40
XM_037880680.2,39
XM_037880681.2,39
XM_037880682.2,39
XM_037880683.2,38
XM_037880685.2,38
XM_037880783.2,2
XM_037880784.2,2
XM_037880795.2,3
XM_037880823.2,2
XM_037880830.1,8
XM_037880832.1,3
XM_037880833.1,2
XM_037880839.2,14
XM_037880844.2,2
XM_037880845.2,1
XM_037880846.2,4
XM_037880847.2,3
XM_037880888.2,3
XM_037880921.2,8
XM_037880925.2,1
XM_037881005.2,14
XM_037881090.2,2
XM_037881092.2,8
XM_037881094.2,39
XM_037881095.2,39
XM_037881096.2,39
XM_037881099.2,34
XM_037881173.2,2
XM_037881209.2,2
XM_037881392.2,12
XM_037881393.2,12
XM_037881396.2,4
XM_037881397.2,3
XM_037881407.2,3
XM_037881414.2,5
XM_037881438.2,4
XM_037881439.2,4
XM_037881447.2,11
XM_037881448.2,11
XM_037881449.2,11
XM_037881454.2,11
XM_037881483.2,1
XM_037881486.2,5
XM_037881495.2,4
XM_037881496.1,6
XM_037881530.2,10
XM_037881585.2,7
XM_037881586.2,7
XM_037881587.2,7
XM_037881624.2,2
XM_037881717.2,17
XM_037881740.2,5
XM_037881741.2,5
XM_037881742.2,5
XM_037881743.2,5
XM_037881744.2,4
XM_037881745.2,4
XM_037881748.1,5
XM_037881749.1,5
XM_037881750.1,5
XM_037881751.1,5
XM_037881752.1,5
XM_037881753.1,4
XM_037881757.2,11
XM_037881762.2,5
XM_037881763.2,5
XM_037881775.2,8
XM_037881776.2,7
XM_037881778.2,8
XM_037881779.2,7
XM_037881847.2,3
XM_037881866.2,4
XM_037881886.2,2
XM_037881910.2,21
XM_037881921.2,2
XM_037881932.2,3
XM_037881933.2,5
XM_037881951.2,4
XM_037881955.2,4
XM_037881958.2,3
XM_037881995.1,3
XM_037882004.2,1
XM_037882021.2,2
XM_037882022.2,2
XM_037882034.2,4
XM_037882035.2,4
XM_037882036.2,16
XM_037882051.2,1
XM_037882087.2,12
XM_037882106.2,3
XM_037882107.1,4
XM_037882109.2,4
XM_037882110.2,4
XM_037882171.2,11
XM_037882173.2,11
XM_037882174.2,11
XM_037882177.2,10
XM_037882178.2,10
XM_037882179.2,10
XM_037882180.2,11
XM_037882181.2,11
XM_037882182.2,10
XM_037882184.2,10
XM_037882185.2,11
XM_037882186.2,11
XM_037882187.2,11
XM_037882189.2,10
XM_037882191.2,10
XM_037882192.2,9
XM_037882193.2,8
XM_037882196.2,9
XM_037882197.2,6
XM_037882282.2,16
XM_037882363.2,5
XM_037882443.2,1
XM_037882445.2,4
XM_037882464.2,20
XM_037882465.2,20
XM_037882485.2,7
XM_037882563.2,4
XM_037882564.2,4
XM_037882566.2,5
XM_037882568.2,6
XM_037882569.2,5
XM_037882570.2,6
XM_037882571.2,6
XM_037882572.2,6
XM_037882574.2,6
XM_037882575.2,5
XM_037882576.2,6
XM_037882577.2,6
XM_037882578.2,5
XM_037882579.2,6
XM_037882580.2,5
XM_037882586.2,5
XM_037882588.2,6
XM_037882590.2,6
XM_037882684.1,17
XM_037882688.2,1
XM_037882698.2,5
XM_037882713.2,10
XM_037882714.2,10
XM_037882715.2,9
XM_037882716.2,9
XM_037882718.2,6
XM_037882742.2,12
XM_037882743.2,11
XM_037882744.2,12
XM_037882746.2,3
XM_037882747.1,3
XM_037882781.2,3
XM_037882789.2,4
XM_037882790.2,4
XM_037882791.2,13
XM_037882800.2,12
XM_037882801.2,11
XM_037882803.2,5
XM_037882805.2,11
XM_037882806.2,11
XM_037882807.2,11
XM_037882810.2,8
XM_037882812.2,10
XM_037882821.2,5
XM_037882822.2,21
XM_037882824.2,21
XM_037882825.2,20
XM_037882827.2,2
XM_037882830.2,1
XM_037882831.2,1
XM_037882834.2,1
XM_037882837.2,1
XM_037882848.2,6
XM_037882849.2,6
XM_037882884.2,2
XM_037882887.2,16
XM_037882889.2,7
XM_037882895.2,9
XM_037882896.2,9
XM_037882901.2,5
XM_037882902.2,6
XM_037882905.2,3
XM_037882922.2,2
XM_037882927.2,2
XM_037882929.2,8
XM_037882930.2,12
XM_037882931.2,12
XM_037882932.2,12
XM_037882933.2,11
XM_037882935.2,12
XM_037882936.2,12
XM_037882944.2,3
XM_037882951.2,4
XM_037882959.2,2
XM_037882960.2,3
